date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-06-02,RAAQ,10.18,10.18,10.03,10.05,10.05,154471,0.0,1.0
2025-06-03,RAAQ,10.07,10.07,10.05,10.06,10.06,245254,0.0,1.0
2025-06-04,RAAQ,10.0686,10.11,10.06,10.09,10.09,1094769,0.0,1.0
2025-06-05,RAAQ,10.1,10.1,10.1,10.1,10.1,14948,0.0,1.0
2025-06-06,RAAQ,10.11,10.11,10.1,10.11,10.11,179968,0.0,1.0
2025-06-09,RAAQ,10.1,10.13,10.1,10.12,10.12,190356,0.0,1.0
2025-06-10,RAAQ,10.1199,10.135,10.1199,10.13,10.13,105768,0.0,1.0
2025-06-11,RAAQ,10.135,10.14,10.13,10.14,10.14,21318,0.0,1.0
2025-06-12,RAAQ,10.11,10.14,10.11,10.14,10.14,831,0.0,1.0
2025-06-13,RAAQ,10.14,10.18,10.13,10.18,10.18,122037,0.0,1.0
2025-06-16,RAAQ,10.17,10.18,10.16,10.16,10.16,27318,0.0,1.0
2025-06-17,RAAQ,10.13,10.13,10.13,10.13,10.13,295,0.0,1.0
2025-06-18,RAAQ,10.11,10.2,10.11,10.19,10.19,129575,0.0,1.0
2025-06-20,RAAQ,10.2,10.27,10.2,10.26,10.26,840319,0.0,1.0
2025-06-23,RAAQ,10.25,10.25,10.25,10.25,10.25,12881,0.0,1.0
2025-06-24,RAAQ,10.29,10.29,10.2827,10.2827,10.2827,1004,0.0,1.0
2025-06-25,RAAQ,10.24,10.27,10.19,10.2,10.2,163302,0.0,1.0
2025-06-26,RAAQ,10.17,10.17,10.16,10.17,10.17,47112,0.0,1.0
2025-06-27,RAAQ,10.18,10.18,10.17,10.17,10.17,13306,0.0,1.0
2025-06-30,RAAQ,10.1765,10.1765,10.15,10.15,10.15,31684,0.0,1.0
2025-07-01,RAAQ,10.17,10.17,10.14,10.15,10.15,73162,0.0,1.0
2025-07-02,RAAQ,10.14,10.15,10.14,10.15,10.15,12149,0.0,1.0
2025-07-03,RAAQ,10.15,10.15,10.15,10.15,10.15,1,0.0,1.0
2025-07-07,RAAQ,10.14,10.15,10.14,10.14,10.14,30323,0.0,1.0
2025-07-08,RAAQ,10.15,10.16,10.1,10.16,10.16,41925,0.0,1.0
2025-07-09,RAAQ,10.16,10.16,10.15,10.15,10.15,125526,0.0,1.0
2025-07-10,RAAQ,10.15,10.17,10.15,10.17,10.17,57104,0.0,1.0
2025-07-11,RAAQ,10.19,10.2,10.17,10.17,10.17,87824,0.0,1.0
2025-07-14,RAAQ,10.17,10.17,10.15,10.15,10.15,9921,0.0,1.0
