date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-06-23,RDAG,12.64,12.64,10.31,10.39,10.39,3593,0.0,1.0
2025-06-24,RDAG,10.42,10.94,10.41,10.5,10.5,16892,0.0,1.0
2025-06-25,RDAG,10.5,10.5,10.3,10.33,10.33,363650,0.0,1.0
2025-06-26,RDAG,10.35,10.35,10.24,10.2627,10.2627,454197,0.0,1.0
2025-06-27,RDAG,10.26,10.26,10.22,10.24,10.24,111867,0.0,1.0
2025-06-30,RDAG,10.25,10.26,10.25,10.26,10.26,71858,0.0,1.0
2025-07-01,RDAG,10.2807,10.29,10.26,10.26,10.26,65776,0.0,1.0
2025-07-02,RDAG,10.265,10.29,10.26,10.26,10.26,239308,0.0,1.0
2025-07-03,RDAG,10.27,10.28,10.27,10.275,10.275,15024,0.0,1.0
2025-07-07,RDAG,10.2558,10.3,10.2558,10.29,10.29,213016,0.0,1.0
2025-07-08,RDAG,10.25,10.25,10.25,10.25,10.25,1032,0.0,1.0
2025-07-09,RDAG,10.251,10.26,10.25,10.2599,10.2599,43924,0.0,1.0
2025-07-10,RDAG,10.28,10.28,10.25,10.27,10.27,54809,0.0,1.0
2025-07-11,RDAG,10.27,10.28,10.27,10.27,10.27,23082,0.0,1.0
2025-07-14,RDAG,10.2799,10.32,10.27,10.3,10.3,367770,0.0,1.0
2025-07-15,RDAG,10.3,10.345,10.295,10.34,10.34,578714,0.0,1.0
2025-07-16,RDAG,10.32,10.365,10.3,10.34,10.34,175321,0.0,1.0
2025-07-17,RDAG,10.311,10.34,10.31,10.32,10.32,62080,0.0,1.0
2025-07-18,RDAG,10.31,10.35,10.3,10.33,10.33,95242,0.0,1.0
2025-07-21,RDAG,10.33,10.45,10.3001,10.45,10.45,140500,0.0,1.0
2025-07-22,RDAG,10.36,10.3799,10.36,10.3799,10.3799,33103,0.0,1.0
2025-07-23,RDAG,10.36,10.3744,10.34,10.36,10.36,57634,0.0,1.0
2025-07-24,RDAG,10.36,10.36,10.36,10.36,10.36,31766,0.0,1.0
2025-07-25,RDAG,10.3772,10.38,10.36,10.3608,10.3608,35407,0.0,1.0
2025-07-28,RDAG,10.37,10.375,10.37,10.37,10.37,37500,0.0,1.0
2025-07-29,RDAG,10.35,10.3802,10.34,10.35,10.35,44679,0.0,1.0
2025-07-30,RDAG,10.34,10.34,10.3,10.3,10.3,132262,0.0,1.0
2025-07-31,RDAG,10.34,10.35,10.3,10.35,10.35,22964,0.0,1.0
2025-08-01,RDAG,10.3001,10.37,10.3001,10.37,10.37,11520,0.0,1.0
2025-08-04,RDAG,10.3,10.36,10.3,10.33,10.33,44481,0.0,1.0
2025-08-05,RDAG,10.31,10.37,10.31,10.37,10.37,176277,0.0,1.0
2025-08-06,RDAG,10.31,10.39,10.31,10.37,10.37,177267,0.0,1.0
2025-08-07,RDAG,10.375,10.39,10.34,10.39,10.39,42434,0.0,1.0
2025-08-08,RDAG,10.355,10.39,10.32,10.34,10.34,61813,0.0,1.0
2025-08-11,RDAG,10.311,10.3282,10.25,10.29,10.29,303140,0.0,1.0
2025-08-12,RDAG,10.25,10.31,10.25,10.31,10.31,23565,0.0,1.0
2025-08-13,RDAG,10.35,10.35,10.3,10.3,10.3,136625,0.0,1.0
2025-08-14,RDAG,10.3,10.325,10.25,10.25,10.25,159185,0.0,1.0
2025-08-15,RDAG,10.3,10.3,10.23,10.23,10.23,22086,0.0,1.0
2025-08-18,RDAG,10.3,10.3,10.25,10.26,10.26,34717,0.0,1.0
2025-08-19,RDAG,10.26,10.28,10.02,10.18,10.18,41932,0.0,1.0
2025-08-20,RDAG,10.22,10.23,10.19,10.195,10.195,194549,0.0,1.0
2025-08-21,RDAG,10.2,10.22,10.2,10.21,10.21,128305,0.0,1.0
2025-08-22,RDAG,10.2,10.22,10.2,10.2,10.2,136096,0.0,1.0
2025-08-25,RDAG,10.22,10.25,10.2,10.2,10.2,59983,0.0,1.0
2025-08-26,RDAG,10.21,10.22,10.195,10.22,10.22,120880,0.0,1.0
2025-08-27,RDAG,10.22,10.22,10.22,10.22,10.22,254,0.0,1.0
2025-08-28,RDAG,10.25,10.25,10.1999,10.22,10.22,939,0.0,1.0
2025-08-29,RDAG,10.22,10.23,10.22,10.22,10.22,25523,0.0,1.0
2025-09-02,RDAG,10.24,10.24,10.19,10.22,10.22,26144,0.0,1.0
2025-09-03,RDAG,10.24,10.24,10.22,10.22,10.22,85251,0.0,1.0
2025-09-04,RDAG,10.22,10.23,10.22,10.22,10.22,107486,0.0,1.0
2025-09-05,RDAG,10.235,10.235,10.22,10.22,10.22,1454,0.0,1.0
2025-09-08,RDAG,10.25,10.25,10.24,10.24,10.24,1834,0.0,1.0
2025-09-09,RDAG,10.22,10.27,10.22,10.24,10.24,267555,0.0,1.0
2025-09-10,RDAG,10.27,10.27,10.24,10.24,10.24,1072,0.0,1.0
2025-09-11,RDAG,10.32,10.32,10.22,10.225,10.225,8853,0.0,1.0
2025-09-12,RDAG,10.24,10.265,10.24,10.265,10.265,7852,0.0,1.0
2025-09-15,RDAG,10.23,10.3,10.23,10.28,10.28,3293,0.0,1.0
2025-09-16,RDAG,10.23,10.29,10.22,10.29,10.29,1573,0.0,1.0
2025-09-17,RDAG,10.2217,10.29,10.22,10.23,10.23,1283,0.0,1.0
2025-09-18,RDAG,10.24,10.24,10.24,10.24,10.24,554,0.0,1.0
2025-09-19,RDAG,10.24,10.24,10.24,10.24,10.24,2642,0.0,1.0
2025-09-22,RDAG,10.3,10.3,10.3,10.3,10.3,155,0.0,1.0
2025-09-23,RDAG,10.29,10.2919,10.29,10.2919,10.2919,6201,0.0,1.0
2025-09-24,RDAG,10.3,10.3,10.3,10.3,10.3,139,0.0,1.0
2025-09-25,RDAG,10.22,10.22,10.18,10.21,10.21,5801,0.0,1.0
2025-09-26,RDAG,10.22,10.2562,10.22,10.2562,10.2562,5564,0.0,1.0
2025-09-29,RDAG,10.24,10.24,10.22,10.23,10.23,2670,0.0,1.0
2025-09-30,RDAG,10.23,10.23,10.21,10.21,10.21,10065,0.0,1.0
2025-10-01,RDAG,10.22,10.28,10.22,10.24,10.24,141294,0.0,1.0
