date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-11-24,RNGT,10.0,10.03,9.8977,10.0,10.0,209695,0.0,1.0
2025-11-25,RNGT,10.0,10.02,10.0,10.02,10.02,3904,0.0,1.0
2025-11-26,RNGT,10.02,10.05,10.0,10.0,10.0,59458,0.0,1.0
2025-11-28,RNGT,9.995,9.995,9.99,9.99,9.99,2418,0.0,1.0
2025-12-01,RNGT,9.99,10.0002,9.99,9.99,9.99,386582,0.0,1.0
2025-12-02,RNGT,10.01,10.03,10.0,10.0,10.0,2511,0.0,1.0
2025-12-03,RNGT,10.0,10.0,10.0,10.0,10.0,2,0.0,1.0
2025-12-04,RNGT,10.0,10.0,10.0,10.0,10.0,303650,0.0,1.0
2025-12-05,RNGT,10.02,10.02,10.01,10.01,10.01,3669,0.0,1.0
2025-12-08,RNGT,10.01,10.01,10.01,10.01,10.01,2,0.0,1.0
2025-12-09,RNGT,10.0,10.0,10.0,10.0,10.0,31172,0.0,1.0
2025-12-10,RNGT,10.0,10.0,10.0,10.0,10.0,547,0.0,1.0
2025-12-11,RNGT,10.0,10.0,10.0,10.0,10.0,17005,0.0,1.0
2025-12-12,RNGT,10.0,10.0,10.0,10.0,10.0,0,0.0,1.0
2025-12-15,RNGT,10.0,10.0,9.98,10.0,10.0,152047,0.0,1.0
2025-12-16,RNGT,9.98,10.0,9.98,10.0,10.0,29170,0.0,1.0
2025-12-17,RNGT,9.98,9.98,9.98,9.98,9.98,20000,0.0,1.0
2025-12-18,RNGT,9.98,9.99,9.97,9.97,9.97,300,0.0,1.0
2025-12-19,RNGT,9.97,9.97,9.97,9.97,9.97,4116,0.0,1.0
2025-12-22,RNGT,9.97,9.97,9.97,9.97,9.97,2,0.0,1.0
2025-12-23,RNGT,9.97,9.97,9.95,9.97,9.97,640506,0.0,1.0
2025-12-24,RNGT,9.98,9.98,9.98,9.98,9.98,504,0.0,1.0
2025-12-26,RNGT,9.98,9.98,9.98,9.98,9.98,407,0.0,1.0
