date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-08-30,SIMA,9.97,9.98,9.95,9.96,9.96,1501896,0.0,1.0
2024-09-03,SIMA,9.97,9.99,9.97,9.98,9.98,101695,0.0,1.0
2024-09-04,SIMA,9.97,9.99,9.97,9.98,9.98,1940820,0.0,1.0
2024-09-05,SIMA,9.99,9.99,9.97,9.97,9.97,72005,0.0,1.0
2024-09-06,SIMA,9.99,9.99,9.97,9.97,9.97,1302,0.0,1.0
2024-09-09,SIMA,9.99,9.99,9.97,9.97,9.97,94177,0.0,1.0
2024-09-10,SIMA,9.99,9.99,9.97,9.975,9.975,546534,0.0,1.0
2024-09-11,SIMA,9.99,9.99,9.965,9.975,9.975,358643,0.0,1.0
2024-09-12,SIMA,9.97,9.97,9.97,9.97,9.97,263552,0.0,1.0
2024-09-13,SIMA,9.97,10.0,9.97,9.9952,9.9952,96888,0.0,1.0
2024-09-16,SIMA,9.97,9.975,9.97,9.975,9.975,104919,0.0,1.0
2024-09-17,SIMA,9.97,10.0,9.97,10.0,10.0,676541,0.0,1.0
2024-09-18,SIMA,10.0015,10.0015,9.98,9.98,9.98,83399,0.0,1.0
2024-09-19,SIMA,9.98,9.98,9.98,9.98,9.98,45560,0.0,1.0
2024-09-20,SIMA,9.98,9.98,9.98,9.98,9.98,44525,0.0,1.0
2024-09-23,SIMA,9.97,9.97,9.97,9.97,9.97,45637,0.0,1.0
2024-09-24,SIMA,9.9716,10.015,9.9716,9.995,9.995,516740,0.0,1.0
2024-09-25,SIMA,9.9919,9.9919,9.9919,9.9919,9.9919,57370,0.0,1.0
2024-09-26,SIMA,10.042,10.042,9.99,9.99,9.99,39438,0.0,1.0
2024-09-27,SIMA,9.99,9.99,9.99,9.99,9.99,34000,0.0,1.0
2024-09-30,SIMA,10.0091,10.0091,9.9915,9.9915,9.9915,33381,0.0,1.0
2024-10-01,SIMA,9.99,9.99,9.99,9.99,9.99,37414,0.0,1.0
2024-10-02,SIMA,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2024-10-03,SIMA,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2024-10-04,SIMA,10.0,10.01,10.0,10.0,10.0,6270,0.0,1.0
2024-10-07,SIMA,10.0,10.0,10.0,10.0,10.0,1,0.0,1.0
2024-10-08,SIMA,9.995,9.995,9.995,9.995,9.995,200,0.0,1.0
2024-10-09,SIMA,9.995,9.995,9.99,9.99,9.99,12474,0.0,1.0
2024-10-10,SIMA,9.9701,9.98,9.9701,9.98,9.98,4035,0.0,1.0
2024-10-11,SIMA,9.98,9.98,9.98,9.98,9.98,3,0.0,1.0
2024-10-14,SIMA,9.99,9.99,9.99,9.99,9.99,5004,0.0,1.0
2024-10-15,SIMA,9.97,9.98,9.97,9.975,9.975,82842,0.0,1.0
2024-10-16,SIMA,9.98,9.98,9.97,9.97,9.97,10103,0.0,1.0
2024-10-17,SIMA,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
