date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-09-05,SOCA,9.96,10.0,9.96,9.96,9.96,501735,0.0,1.0
2025-09-08,SOCA,9.96,9.96,9.945,9.945,9.945,1425,0.0,1.0
2025-09-09,SOCA,9.94,9.96,9.94,9.96,9.96,850084,0.0,1.0
2025-09-10,SOCA,9.97,9.975,9.97,9.97,9.97,31264,0.0,1.0
2025-09-11,SOCA,9.97,9.97,9.96,9.97,9.97,699442,0.0,1.0
2025-09-12,SOCA,9.97,9.98,9.96,9.96,9.96,675237,0.0,1.0
2025-09-15,SOCA,9.97,9.98,9.96,9.96,9.96,76090,0.0,1.0
2025-09-16,SOCA,9.97,9.98,9.96,9.96,9.96,217180,0.0,1.0
2025-09-17,SOCA,9.97,9.98,9.97,9.97,9.97,83897,0.0,1.0
2025-09-18,SOCA,9.97,9.99,9.97,9.98,9.98,1871,0.0,1.0
2025-09-19,SOCA,9.97,9.99,9.97,9.99,9.99,140417,0.0,1.0
2025-09-22,SOCA,9.98,9.98,9.98,9.98,9.98,754,0.0,1.0
2025-09-23,SOCA,9.99,9.99,9.99,9.99,9.99,20699,0.0,1.0
2025-09-24,SOCA,9.99,10.0,9.98,10.0,10.0,105543,0.0,1.0
2025-09-25,SOCA,10.03,10.05,9.98,10.05,10.05,34241,0.0,1.0
2025-09-26,SOCA,9.99,10.0,9.99,10.0,10.0,5616,0.0,1.0
2025-09-29,SOCA,10.04,10.04,9.98,9.98,9.98,368,0.0,1.0
2025-09-30,SOCA,10.03,10.03,9.96,9.96,9.96,967,0.0,1.0
2025-10-01,SOCA,9.99,10.04,9.99,9.99,9.99,3134,0.0,1.0
2025-10-02,SOCA,9.99,10.03,9.99,10.03,10.03,4508,0.0,1.0
2025-10-03,SOCA,9.99,10.04,9.98,9.99,9.99,41281,0.0,1.0
2025-10-06,SOCA,9.98,10.03,9.98,10.03,10.03,854,0.0,1.0
2025-10-07,SOCA,10.03,10.03,10.03,10.03,10.03,107,0.0,1.0
2025-10-08,SOCA,10.0,10.015,10.0,10.0,10.0,518406,0.0,1.0
