date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-09-30,SVAC,10.05,10.1443,10.03,10.1,10.1,23510,0.0,1.0
2025-10-01,SVAC,10.08,10.15,10.07,10.1283,10.1283,5478,0.0,1.0
2025-10-02,SVAC,10.08,10.12,10.08,10.12,10.12,4694,0.0,1.0
2025-10-03,SVAC,10.11,10.14,10.08,10.1,10.1,24821,0.0,1.0
2025-10-06,SVAC,10.14,10.15,10.11,10.12,10.12,233595,0.0,1.0
2025-10-07,SVAC,10.1,10.1,10.1,10.1,10.1,957,0.0,1.0
2025-10-08,SVAC,10.1,10.15,10.1,10.15,10.15,244140,0.0,1.0
2025-10-09,SVAC,10.16,10.1649,10.11,10.15,10.15,239382,0.0,1.0
2025-10-10,SVAC,10.15,10.17,10.15,10.15,10.15,3141,0.0,1.0
2025-10-13,SVAC,10.1545,10.1999,10.1545,10.1999,10.1999,7952,0.0,1.0
2025-10-14,SVAC,10.13,10.89,10.13,10.4,10.4,3371,0.0,1.0
2025-10-15,SVAC,10.6,10.6,10.3505,10.44,10.44,23819,0.0,1.0
2025-10-16,SVAC,10.5,10.555,10.39,10.4,10.4,257195,0.0,1.0
2025-10-17,SVAC,10.41,10.41,10.4,10.4,10.4,3432,0.0,1.0
2025-10-20,SVAC,10.5,10.6,10.45,10.45,10.45,82886,0.0,1.0
2025-10-21,SVAC,10.45,10.45,10.31,10.4,10.4,118276,0.0,1.0
2025-10-22,SVAC,10.4,10.4,10.35,10.4,10.4,18064,0.0,1.0
2025-10-23,SVAC,10.35,10.465,10.35,10.4,10.4,103676,0.0,1.0
2025-10-24,SVAC,10.4,10.4,10.4,10.4,10.4,239719,0.0,1.0
2025-10-27,SVAC,10.19,10.6,10.16,10.44,10.44,44561,0.0,1.0
2025-10-28,SVAC,10.5446,10.5499,10.475,10.475,10.475,2850,0.0,1.0
2025-10-29,SVAC,10.345,10.5505,10.345,10.55,10.55,28286,0.0,1.0
2025-10-30,SVAC,10.5,10.6,10.5,10.6,10.6,137748,0.0,1.0
2025-10-31,SVAC,10.1512,10.6,10.1512,10.48,10.48,6919,0.0,1.0
2025-11-03,SVAC,10.5769,10.5769,10.4001,10.45,10.45,34547,0.0,1.0
2025-11-04,SVAC,10.4751,10.4751,10.31,10.31,10.31,27086,0.0,1.0
2025-11-05,SVAC,10.45,10.525,10.45,10.525,10.525,1303,0.0,1.0
2025-11-06,SVAC,10.47,10.6,10.47,10.5,10.5,39607,0.0,1.0
2025-11-07,SVAC,10.25,10.45,10.25,10.42,10.42,4652,0.0,1.0
2025-11-10,SVAC,10.4,10.4,10.4,10.4,10.4,136,0.0,1.0
2025-11-11,SVAC,10.3325,10.36,10.3325,10.3501,10.3501,8652,0.0,1.0
2025-11-12,SVAC,10.4,10.4,10.4,10.4,10.4,121,0.0,1.0
2025-11-13,SVAC,10.35,10.375,10.3,10.3,10.3,54993,0.0,1.0
2025-11-14,SVAC,10.3,10.3,10.25,10.3,10.3,23506,0.0,1.0
2025-11-17,SVAC,10.25,10.26,10.25,10.255,10.255,44041,0.0,1.0
2025-11-18,SVAC,10.26,10.3,10.235,10.3,10.3,94607,0.0,1.0
2025-11-19,SVAC,10.317,10.3501,10.317,10.3501,10.3501,2069,0.0,1.0
2025-11-20,SVAC,10.3,10.3,10.3,10.3,10.3,2705,0.0,1.0
2025-11-21,SVAC,10.27,10.3,10.24,10.28,10.28,155972,0.0,1.0
2025-11-24,SVAC,10.24,10.45,10.24,10.38,10.38,33550,0.0,1.0
2025-11-25,SVAC,10.35,10.35,10.35,10.35,10.35,320,0.0,1.0
2025-11-26,SVAC,10.45,10.45,10.25,10.4,10.4,1321,0.0,1.0
2025-11-28,SVAC,10.4,10.4,10.4,10.4,10.4,42,0.0,1.0
2025-12-01,SVAC,10.25,10.45,10.25,10.3,10.3,44996,0.0,1.0
2025-12-02,SVAC,10.3,10.3,10.27,10.27,10.27,9638,0.0,1.0
2025-12-03,SVAC,10.35,10.35,10.28,10.3,10.3,66756,0.0,1.0
2025-12-04,SVAC,10.38,10.39,10.27,10.3,10.3,15697,0.0,1.0
2025-12-05,SVAC,10.26,10.26,10.26,10.26,10.26,146,0.0,1.0
2025-12-08,SVAC,10.26,10.26,10.25,10.25,10.25,50129,0.0,1.0
2025-12-09,SVAC,10.3073,10.34,10.3073,10.34,10.34,479,0.0,1.0
2025-12-10,SVAC,10.27,10.292,10.27,10.292,10.292,10412,0.0,1.0
2025-12-11,SVAC,10.27,10.27,10.26,10.26,10.26,14834,0.0,1.0
2025-12-12,SVAC,10.282,10.282,10.282,10.282,10.282,306,0.0,1.0
2025-12-15,SVAC,10.3,10.3,10.26,10.26,10.26,2410,0.0,1.0
2025-12-16,SVAC,10.26,10.26,10.26,10.26,10.26,50066,0.0,1.0
2025-12-17,SVAC,10.27,10.27,10.27,10.27,10.27,383,0.0,1.0
2025-12-18,SVAC,10.2,10.3,10.15,10.3,10.3,18943,0.0,1.0
2025-12-19,SVAC,10.299,10.3185,10.299,10.3185,10.3185,6405,0.0,1.0
2025-12-22,SVAC,10.23,10.31,10.23,10.305,10.305,27817,0.0,1.0
2025-12-23,SVAC,10.3244,10.3244,10.23,10.23,10.23,1197,0.0,1.0
2025-12-24,SVAC,10.2469,10.2469,10.2303,10.2303,10.2303,1122,0.0,1.0
2025-12-26,SVAC,10.23,10.23,10.23,10.23,10.23,772,0.0,1.0
