date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-11-09,SWAG,3.1,4.14,3.0,3.96,3.96,7271960,0.0,1.0
2021-11-10,SWAG,4.0,4.99,4.0,4.74,4.74,10580178,0.0,1.0
2021-11-11,SWAG,4.6,5.12,4.5,4.86,4.86,3503381,0.0,1.0
2021-11-12,SWAG,5.57,6.08,5.3,5.75,5.75,7289601,0.0,1.0
2021-11-15,SWAG,5.35,5.59,5.1,5.42,5.42,3026789,0.0,1.0
2021-11-16,SWAG,5.61,5.7295,5.22,5.31,5.31,1969613,0.0,1.0
2021-11-17,SWAG,5.37,5.42,4.775,4.84,4.84,3269710,0.0,1.0
2021-11-18,SWAG,4.76,4.86,4.11,4.36,4.36,3238725,0.0,1.0
2021-11-19,SWAG,4.39,4.605,4.25,4.36,4.36,1142629,0.0,1.0
2021-11-22,SWAG,4.19,4.29,2.73,3.04,3.04,5272197,0.0,1.0
2021-11-23,SWAG,3.05,3.12,2.73,2.99,2.99,1333310,0.0,1.0
2021-11-24,SWAG,2.91,3.34,2.88,3.24,3.24,808646,0.0,1.0
2021-11-26,SWAG,2.99,3.14,2.83,3.13,3.13,329099,0.0,1.0
2021-11-29,SWAG,3.2052,3.79,3.18,3.55,3.55,2800285,0.0,1.0
2021-11-30,SWAG,3.46,3.57,3.23,3.52,3.52,890471,0.0,1.0
2021-12-01,SWAG,3.7,4.32,3.65,3.9,3.9,2607773,0.0,1.0
2021-12-02,SWAG,3.7,4.8399,3.65,4.63,4.63,3912215,0.0,1.0
2021-12-03,SWAG,4.5,4.9,4.42,4.72,4.72,2037848,0.0,1.0
2021-12-06,SWAG,4.71,5.32,4.44,5.21,5.21,2346455,0.0,1.0
2021-12-07,SWAG,5.83,6.2699,5.28,5.54,5.54,23771482,0.0,1.0
2021-12-08,SWAG,4.72,6.1,4.53,5.66,5.66,12668957,0.0,1.0
2021-12-09,SWAG,5.45,5.6599,5.15,5.31,5.31,2977003,0.0,1.0
2021-12-10,SWAG,5.46,5.73,5.251,5.49,5.49,2621461,0.0,1.0
2021-12-13,SWAG,5.5313,6.07,5.42,5.75,5.75,2885940,0.0,1.0
2021-12-14,SWAG,6.01,6.4,5.86,6.27,6.27,3579948,0.0,1.0
2021-12-15,SWAG,6.12,6.1873,5.6401,5.94,5.94,1891622,0.0,1.0
2021-12-16,SWAG,6.15,6.35,5.91,5.99,5.99,965105,0.0,1.0
2021-12-17,SWAG,5.94,6.99,5.9301,6.5,6.5,2719657,0.0,1.0
2021-12-20,SWAG,6.32,6.38,5.81,6.05,6.05,1539031,0.0,1.0
2021-12-21,SWAG,6.03,6.44,4.92,5.9,5.9,3747815,0.0,1.0
2021-12-22,SWAG,5.86,6.44,5.71,6.37,6.37,1262095,0.0,1.0
2021-12-23,SWAG,6.24,6.2699,5.84,5.92,5.92,1484180,0.0,1.0
2021-12-27,SWAG,5.68,5.79,5.25,5.31,5.31,1393062,0.0,1.0
2021-12-28,SWAG,5.47,5.72,5.2801,5.67,5.67,1248227,0.0,1.0
2021-12-29,SWAG,5.7,6.15,5.7,6.14,6.14,1000273,0.0,1.0
2021-12-30,SWAG,6.1,6.1,5.6,5.65,5.65,2258547,0.0,1.0
2021-12-31,SWAG,5.66,6.0847,5.66,6.05,6.05,2132076,0.0,1.0
2022-01-03,SWAG,6.09,6.4,5.86,6.17,6.17,2900550,0.0,1.0
2022-01-04,SWAG,6.15,6.28,5.91,6.11,6.11,2094951,0.0,1.0
2022-01-05,SWAG,6.0729,6.5,5.8,5.85,5.85,2333218,0.0,1.0
2022-01-06,SWAG,5.26,5.289,4.31,4.95,4.95,11065297,0.0,1.0
2022-01-07,SWAG,4.95,4.96,4.48,4.67,4.67,1861757,0.0,1.0
2022-01-10,SWAG,4.5193,4.5193,3.78,4.14,4.14,4811957,0.0,1.0
2022-01-11,SWAG,4.33,4.53,4.13,4.18,4.18,1482277,0.0,1.0
2022-01-12,SWAG,4.08,4.55,4.04,4.28,4.28,3145360,0.0,1.0
2022-01-13,SWAG,4.23,4.372,3.82,3.91,3.91,1362135,0.0,1.0
2022-01-14,SWAG,3.79,4.1,3.79,4.05,4.05,921364,0.0,1.0
2022-01-18,SWAG,3.95,4.35,3.91,4.26,4.26,2495230,0.0,1.0
2022-01-19,SWAG,4.4,4.93,4.17,4.79,4.79,5962663,0.0,1.0
2022-01-20,SWAG,4.82,5.019,4.33,4.4,4.4,4275560,0.0,1.0
2022-01-21,SWAG,4.2,4.3,3.91,4.19,4.19,2178985,0.0,1.0
2022-01-24,SWAG,3.79,3.9,3.25,3.5,3.5,2168747,0.0,1.0
2022-01-25,SWAG,3.41,3.55,3.21,3.41,3.41,1178719,0.0,1.0
2022-01-26,SWAG,3.6,3.69,3.11,3.2,3.2,2978578,0.0,1.0
2022-01-27,SWAG,3.2,3.35,2.14,2.28,2.28,4039199,0.0,1.0
2022-01-28,SWAG,2.16,2.39,2.01,2.17,2.17,2776866,0.0,1.0
2022-01-31,SWAG,2.1432,2.37,2.12,2.18,2.18,1899619,0.0,1.0
2022-02-01,SWAG,2.21,2.24,2.0701,2.12,2.12,1671999,0.0,1.0
2022-02-02,SWAG,2.12,2.12,1.8,2.0,2.0,3898233,0.0,1.0
2022-02-03,SWAG,1.89,1.99,1.85,1.92,1.92,887073,0.0,1.0
2022-02-04,SWAG,1.92,1.968,1.89,1.89,1.89,495117,0.0,1.0
2022-02-07,SWAG,1.84,1.94,1.81,1.87,1.87,1103920,0.0,1.0
2022-02-08,SWAG,1.83,1.8899,1.72,1.75,1.75,1241733,0.0,1.0
2022-02-09,SWAG,1.78,1.88,1.74,1.88,1.88,591021,0.0,1.0
2022-02-10,SWAG,1.87,2.29,1.86,2.09,2.09,4375650,0.0,1.0
2022-02-11,SWAG,2.1,2.11,1.67,1.72,1.72,2030886,0.0,1.0
2022-02-14,SWAG,1.74,1.84,1.6899,1.79,1.79,831623,0.0,1.0
2022-02-15,SWAG,1.77,1.88,1.7,1.79,1.79,712833,0.0,1.0
2022-02-16,SWAG,1.81,1.85,1.69,1.71,1.71,521862,0.0,1.0
2022-02-17,SWAG,1.69,1.7191,1.52,1.54,1.54,1001223,0.0,1.0
2022-02-18,SWAG,1.59,1.59,1.45,1.49,1.49,517721,0.0,1.0
2022-02-22,SWAG,1.47,1.54,1.3973,1.48,1.48,512302,0.0,1.0
2022-02-23,SWAG,1.67,1.91,1.64,1.84,1.84,12655494,0.0,1.0
2022-02-24,SWAG,1.71,1.7996,1.61,1.7201,1.7201,1179691,0.0,1.0
2022-02-25,SWAG,1.73,1.86,1.64,1.85,1.85,829259,0.0,1.0
2022-02-28,SWAG,1.79,1.8791,1.69,1.71,1.71,748896,0.0,1.0
2022-03-01,SWAG,1.68,1.73,1.6,1.62,1.62,430622,0.0,1.0
2022-03-02,SWAG,1.62,1.64,1.56,1.6,1.6,274133,0.0,1.0
2022-03-03,SWAG,1.57,1.7099,1.54,1.55,1.55,511624,0.0,1.0
2022-03-04,SWAG,1.51,1.65,1.47,1.63,1.63,731975,0.0,1.0
2022-03-07,SWAG,1.57,1.62,1.43,1.47,1.47,674460,0.0,1.0
2022-03-08,SWAG,1.37,1.56,1.33,1.51,1.51,689444,0.0,1.0
2022-03-09,SWAG,1.47,1.5146,1.44,1.47,1.47,363861,0.0,1.0
2022-03-10,SWAG,1.46,1.765,1.46,1.66,1.66,1016199,0.0,1.0
2022-03-11,SWAG,1.65,1.65,1.4901,1.6,1.6,370473,0.0,1.0
2022-03-14,SWAG,1.5,1.5299,1.47,1.5,1.5,205601,0.0,1.0
2022-03-15,SWAG,1.31,1.57,1.31,1.54,1.54,805518,0.0,1.0
2022-03-16,SWAG,1.52,1.65,1.5,1.62,1.62,243540,0.0,1.0
2022-03-17,SWAG,1.61,1.85,1.54,1.83,1.83,1604733,0.0,1.0
2022-03-18,SWAG,1.79,2.0187,1.71,1.71,1.71,1531802,0.0,1.0
