date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-09-23,SWSS,9.73,9.77,9.71,9.73,9.73,100842,0.0,1.0
2021-09-24,SWSS,9.77,9.77,9.75,9.76,9.76,92850,0.0,1.0
2021-09-27,SWSS,9.75,9.78,9.75,9.76,9.76,250240,0.0,1.0
2021-09-28,SWSS,9.74,9.74,9.74,9.74,9.74,72851,0.0,1.0
2021-09-29,SWSS,9.75,9.78,9.75,9.77,9.77,175924,0.0,1.0
2021-09-30,SWSS,9.77,9.79,9.76,9.77,9.77,185407,0.0,1.0
2021-10-01,SWSS,9.77,9.79,9.77,9.78,9.78,179765,0.0,1.0
2021-10-04,SWSS,9.78,9.8,9.75,9.77,9.77,222666,0.0,1.0
2021-10-05,SWSS,9.8,9.81,9.79,9.79,9.79,25580,0.0,1.0
2021-10-06,SWSS,9.805,9.805,9.79,9.79,9.79,29164,0.0,1.0
2021-10-07,SWSS,9.8,9.82,9.79,9.8,9.8,139022,0.0,1.0
2021-10-08,SWSS,9.8015,9.8015,9.8015,9.8015,9.8015,1006,0.0,1.0
2021-10-11,SWSS,9.8,9.81,9.8,9.8,9.8,85043,0.0,1.0
2021-10-12,SWSS,9.8,9.8,9.8,9.8,9.8,100,0.0,1.0
2021-10-13,SWSS,9.8,9.8,9.8,9.8,9.8,353,0.0,1.0
2021-10-14,SWSS,9.8,9.8,9.8,9.8,9.8,63,0.0,1.0
2021-10-15,SWSS,9.8,9.81,9.8,9.81,9.81,11282,0.0,1.0
2021-10-18,SWSS,9.8,9.8,9.8,9.8,9.8,807,0.0,1.0
2021-10-19,SWSS,9.8,9.8,9.8,9.8,9.8,17099,0.0,1.0
2021-10-20,SWSS,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2021-10-21,SWSS,9.8,9.8,9.8,9.8,9.8,100,0.0,1.0
2021-10-22,SWSS,9.8,9.8,9.8,9.8,9.8,283,0.0,1.0
2021-10-25,SWSS,9.8,9.8,9.8,9.8,9.8,228,0.0,1.0
2021-10-26,SWSS,9.8,9.8,9.8,9.8,9.8,369,0.0,1.0
2021-10-27,SWSS,9.8,9.8,9.8,9.8,9.8,954,0.0,1.0
2021-10-28,SWSS,9.8,9.81,9.79,9.8,9.8,6745,0.0,1.0
2021-10-29,SWSS,9.79,9.81,9.79,9.8,9.8,276809,0.0,1.0
2021-11-01,SWSS,9.8,9.81,9.8,9.81,9.81,10416,0.0,1.0
2021-11-02,SWSS,9.8,9.8,9.8,9.8,9.8,6860,0.0,1.0
2021-11-03,SWSS,9.8,9.82,9.8,9.815,9.815,13830,0.0,1.0
2021-11-04,SWSS,9.8,9.8,9.8,9.8,9.8,415,0.0,1.0
2021-11-05,SWSS,9.82,9.82,9.81,9.81,9.81,10622,0.0,1.0
2021-11-08,SWSS,9.81,9.82,9.81,9.8101,9.8101,136211,0.0,1.0
2021-11-09,SWSS,9.8,9.84,9.8,9.81,9.81,1775,0.0,1.0
2021-11-10,SWSS,9.81,9.81,9.81,9.81,9.81,60,0.0,1.0
2021-11-11,SWSS,9.81,9.82,9.8,9.82,9.82,101020,0.0,1.0
2021-11-12,SWSS,9.81,9.81,9.81,9.81,9.81,10705,0.0,1.0
2021-11-15,SWSS,9.81,9.83,9.81,9.82,9.82,6244,0.0,1.0
2021-11-16,SWSS,9.81,9.81,9.81,9.81,9.81,345,0.0,1.0
2021-11-17,SWSS,9.8,9.83,9.8,9.82,9.82,8029,0.0,1.0
2021-11-18,SWSS,9.81,9.81,9.81,9.81,9.81,1832,0.0,1.0
2021-11-19,SWSS,10.1,10.1,10.1,10.1,10.1,623,0.0,1.0
2021-11-22,SWSS,10.07,10.07,9.8,9.86,9.86,4590,0.0,1.0
2021-11-23,SWSS,9.855,9.86,9.8,9.83,9.83,4548,0.0,1.0
2021-11-24,SWSS,9.82,9.83,9.82,9.825,9.825,200876,0.0,1.0
2021-11-26,SWSS,9.82,9.82,9.82,9.82,9.82,13851,0.0,1.0
2021-11-29,SWSS,9.82,9.82,9.81,9.81,9.81,52055,0.0,1.0
2021-11-30,SWSS,9.83,9.83,9.8,9.8,9.8,23441,0.0,1.0
2021-12-01,SWSS,9.8,9.8,9.8,9.8,9.8,14,0.0,1.0
