date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-05-23,SZZL,9.86,9.93,9.86,9.91,9.91,1451985,0.0,1.0
2025-05-27,SZZL,9.9,9.91,9.9,9.905,9.905,412163,0.0,1.0
2025-05-28,SZZL,9.91,9.9153,9.905,9.91,9.91,174486,0.0,1.0
2025-05-29,SZZL,9.92,9.93,9.91,9.92,9.92,253849,0.0,1.0
2025-05-30,SZZL,9.92,9.93,9.92,9.925,9.925,545948,0.0,1.0
2025-06-02,SZZL,9.91,9.95,9.91,9.95,9.95,206867,0.0,1.0
2025-06-03,SZZL,9.95,9.96,9.94,9.95,9.95,49366,0.0,1.0
2025-06-04,SZZL,9.96,9.99,9.95,9.99,9.99,50748,0.0,1.0
2025-06-05,SZZL,10.0,10.0,9.95,9.96,9.96,8737,0.0,1.0
2025-06-06,SZZL,9.97,9.98,9.95,9.97,9.97,44757,0.0,1.0
2025-06-09,SZZL,9.98,9.98,9.97,9.97,9.97,10060,0.0,1.0
2025-06-10,SZZL,9.97,9.98,9.96,9.98,9.98,1928,0.0,1.0
2025-06-11,SZZL,9.98,9.99,9.9735,9.9884,9.9884,15979,0.0,1.0
2025-06-12,SZZL,9.98,9.99,9.98,9.99,9.99,1098,0.0,1.0
2025-06-13,SZZL,9.97,9.99,9.97,9.98,9.98,129828,0.0,1.0
2025-06-16,SZZL,9.98,9.98,9.975,9.98,9.98,240011,0.0,1.0
2025-06-17,SZZL,9.99,10.01,9.99,10.01,10.01,13723,0.0,1.0
2025-06-18,SZZL,9.99,10.04,9.99,10.0092,10.0092,180039,0.0,1.0
2025-06-20,SZZL,10.04,10.04,9.99,9.99,9.99,74686,0.0,1.0
2025-06-23,SZZL,9.995,10.0,9.995,10.0,10.0,176031,0.0,1.0
2025-06-24,SZZL,10.04,10.04,10.04,10.04,10.04,61011,0.0,1.0
2025-06-25,SZZL,10.04,10.04,10.04,10.04,10.04,18433,0.0,1.0
2025-06-26,SZZL,10.04,10.04,10.04,10.04,10.04,24048,0.0,1.0
2025-06-27,SZZL,9.99,10.05,9.99,10.05,10.05,47980,0.0,1.0
2025-06-30,SZZL,10.05,10.05,10.03,10.05,10.05,65236,0.0,1.0
2025-07-01,SZZL,10.04,10.06,10.04,10.06,10.06,20574,0.0,1.0
2025-07-02,SZZL,10.06,10.06,10.06,10.06,10.06,16119,0.0,1.0
2025-07-03,SZZL,10.07,10.07,10.05,10.05,10.05,23902,0.0,1.0
2025-07-07,SZZL,10.04,10.06,10.04,10.06,10.06,371423,0.0,1.0
2025-07-08,SZZL,10.06,10.06,10.06,10.06,10.06,18999,0.0,1.0
2025-07-09,SZZL,10.06,10.06,10.04,10.04,10.04,41805,0.0,1.0
2025-07-10,SZZL,10.03,10.05,10.03,10.04,10.04,38205,0.0,1.0
2025-07-11,SZZL,10.05,10.05,10.04,10.04,10.04,46378,0.0,1.0
2025-07-14,SZZL,10.04,10.07,10.04,10.07,10.07,19437,0.0,1.0
2025-07-15,SZZL,10.07,10.07,10.04,10.04,10.04,15265,0.0,1.0
2025-07-16,SZZL,10.07,10.08,10.03,10.05,10.05,20334,0.0,1.0
2025-07-17,SZZL,10.08,10.08,10.08,10.08,10.08,16071,0.0,1.0
2025-07-18,SZZL,10.08,10.08,10.08,10.08,10.08,12245,0.0,1.0
2025-07-21,SZZL,10.07,10.27,10.07,10.27,10.27,422366,0.0,1.0
2025-07-22,SZZL,10.15,10.15,10.06,10.09,10.09,14317,0.0,1.0
2025-07-23,SZZL,10.09,10.09,10.085,10.085,10.085,19177,0.0,1.0
2025-07-24,SZZL,10.09,10.09,10.08,10.08,10.08,13708,0.0,1.0
2025-07-25,SZZL,10.085,10.0888,10.08,10.08,10.08,16565,0.0,1.0
2025-07-28,SZZL,10.09,10.09,10.08,10.085,10.085,65407,0.0,1.0
2025-07-29,SZZL,10.085,10.085,10.085,10.085,10.085,3049,0.0,1.0
2025-07-30,SZZL,10.085,10.085,10.085,10.085,10.085,3061,0.0,1.0
2025-07-31,SZZL,10.085,10.085,10.085,10.085,10.085,3863,0.0,1.0
2025-08-01,SZZL,10.085,10.085,10.085,10.085,10.085,248,0.0,1.0
2025-08-04,SZZL,10.08,10.085,10.08,10.085,10.085,5341,0.0,1.0
2025-08-05,SZZL,10.085,10.085,10.085,10.085,10.085,38,0.0,1.0
2025-08-06,SZZL,10.0796,10.0796,10.0796,10.0796,10.0796,1100,0.0,1.0
2025-08-07,SZZL,10.1582,10.1582,10.085,10.09,10.09,257866,0.0,1.0
2025-08-08,SZZL,10.0855,10.09,10.0855,10.09,10.09,80810,0.0,1.0
2025-08-11,SZZL,10.08,10.0823,10.08,10.0823,10.0823,566,0.0,1.0
2025-08-12,SZZL,10.09,10.09,10.07,10.07,10.07,65170,0.0,1.0
2025-08-13,SZZL,10.08,10.08,10.07,10.08,10.08,120373,0.0,1.0
2025-08-14,SZZL,10.08,10.08,10.08,10.08,10.08,19,0.0,1.0
2025-08-15,SZZL,10.0612,10.0612,10.0612,10.0612,10.0612,1342,0.0,1.0
