date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-02-13,TDAC,10.0,10.01,10.0,10.01,10.01,510382,0.0,1.0
2025-02-14,TDAC,10.01,10.01,10.0,10.0,10.0,879878,0.0,1.0
2025-02-18,TDAC,10.01,10.01,10.0,10.0,10.0,366877,0.0,1.0
2025-02-19,TDAC,10.0,10.01,10.0,10.0,10.0,390832,0.0,1.0
2025-02-20,TDAC,10.0,10.01,10.0,10.01,10.01,217704,0.0,1.0
2025-02-21,TDAC,10.01,10.02,10.01,10.01,10.01,381875,0.0,1.0
2025-02-24,TDAC,10.02,10.025,10.01,10.02,10.02,193809,0.0,1.0
2025-02-25,TDAC,10.02,10.03,10.02,10.02,10.02,330194,0.0,1.0
2025-02-26,TDAC,10.03,10.03,10.02,10.02,10.02,80580,0.0,1.0
2025-02-27,TDAC,10.02,10.03,10.02,10.03,10.03,31220,0.0,1.0
2025-02-28,TDAC,10.02,10.03,10.02,10.03,10.03,96316,0.0,1.0
2025-03-03,TDAC,10.03,10.04,10.03,10.04,10.04,130811,0.0,1.0
2025-03-04,TDAC,10.04,10.04,10.04,10.04,10.04,44847,0.0,1.0
2025-03-05,TDAC,10.04,10.04,10.03,10.04,10.04,205519,0.0,1.0
2025-03-06,TDAC,10.04,10.06,10.04,10.06,10.06,906906,0.0,1.0
2025-03-07,TDAC,10.04,10.06,10.04,10.06,10.06,74639,0.0,1.0
2025-03-10,TDAC,10.07,10.08,10.03,10.04,10.04,221255,0.0,1.0
2025-03-11,TDAC,10.06,10.08,10.04,10.04,10.04,51776,0.0,1.0
2025-03-12,TDAC,10.07,10.07,10.04,10.04,10.04,62511,0.0,1.0
2025-03-13,TDAC,10.07,10.18,10.06,10.07,10.07,34537,0.0,1.0
2025-03-14,TDAC,10.05,10.05,10.05,10.05,10.05,10378,0.0,1.0
2025-03-17,TDAC,10.05,10.05,10.05,10.05,10.05,57,0.0,1.0
2025-03-18,TDAC,10.08,10.1,10.05,10.05,10.05,5194,0.0,1.0
2025-03-19,TDAC,10.12,10.2,10.06,10.06,10.06,16416,0.0,1.0
2025-03-20,TDAC,10.06,10.08,10.06,10.06,10.06,8571,0.0,1.0
2025-03-21,TDAC,10.06,10.13,10.06,10.12,10.12,13741,0.0,1.0
2025-03-24,TDAC,10.12,10.12,10.06,10.08,10.08,9143,0.0,1.0
2025-03-25,TDAC,10.06,10.1,10.06,10.1,10.1,573,0.0,1.0
2025-03-26,TDAC,10.07,10.07,10.07,10.07,10.07,469,0.0,1.0
2025-03-27,TDAC,10.07,10.08,10.07,10.08,10.08,501417,0.0,1.0
2025-03-28,TDAC,10.08,10.09,10.07,10.08,10.08,7178,0.0,1.0
2025-03-31,TDAC,10.08,10.08,10.08,10.08,10.08,531,0.0,1.0
2025-04-01,TDAC,10.09,10.09,10.08,10.08,10.08,216,0.0,1.0
2025-04-02,TDAC,10.08,10.1,10.08,10.0804,10.0804,983,0.0,1.0
2025-04-03,TDAC,10.08,10.09,10.07,10.07,10.07,9961,0.0,1.0
2025-04-04,TDAC,10.09,10.1,10.08,10.1,10.1,3808,0.0,1.0
2025-04-07,TDAC,10.09,10.1,10.08,10.1,10.1,6021,0.0,1.0
2025-04-08,TDAC,10.08,10.08,10.08,10.08,10.08,2103,0.0,1.0
2025-04-09,TDAC,10.08,10.08,10.08,10.08,10.08,361,0.0,1.0
2025-04-10,TDAC,10.09,10.095,10.09,10.095,10.095,100214,0.0,1.0
2025-04-11,TDAC,10.095,10.1,10.09,10.1,10.1,149221,0.0,1.0
2025-04-14,TDAC,10.1,10.1,10.09,10.09,10.09,650014,0.0,1.0
2025-04-15,TDAC,10.09,10.09,10.09,10.09,10.09,0,0.0,1.0
2025-04-16,TDAC,10.09,10.09,10.09,10.09,10.09,0,0.0,1.0
2025-04-17,TDAC,10.09,10.09,10.09,10.09,10.09,4,0.0,1.0
2025-04-21,TDAC,10.0998,10.1,10.0998,10.1,10.1,618,0.0,1.0
2025-04-22,TDAC,10.1,10.1,10.1,10.1,10.1,4,0.0,1.0
2025-04-23,TDAC,10.11,10.11,10.11,10.11,10.11,130,0.0,1.0
2025-04-24,TDAC,10.11,10.11,10.1,10.11,10.11,334,0.0,1.0
2025-04-25,TDAC,10.11,10.12,10.11,10.12,10.12,986,0.0,1.0
2025-04-28,TDAC,10.15,10.15,10.13,10.15,10.15,103798,0.0,1.0
2025-04-29,TDAC,10.15,10.15,10.15,10.15,10.15,100000,0.0,1.0
2025-04-30,TDAC,10.16,10.19,10.16,10.19,10.19,485330,0.0,1.0
2025-05-01,TDAC,10.19,10.19,10.19,10.19,10.19,0,0.0,1.0
2025-05-02,TDAC,10.19,10.19,10.19,10.19,10.19,0,0.0,1.0
2025-05-05,TDAC,10.19,10.19,10.19,10.19,10.19,0,0.0,1.0
2025-05-06,TDAC,10.19,10.19,10.17,10.17,10.17,3421,0.0,1.0
2025-05-07,TDAC,10.17,10.17,10.17,10.17,10.17,126,0.0,1.0
2025-05-08,TDAC,10.19,10.19,10.17,10.17,10.17,422,0.0,1.0
2025-05-09,TDAC,10.17,10.17,10.17,10.17,10.17,129,0.0,1.0
