date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-09-18,U,75.0,76.79,67.0,68.35,68.35,20620981,0.0,1.0
2020-09-21,U,67.11,73.98,65.11,72.96,72.96,5055201,0.0,1.0
2020-09-22,U,76.64,84.98,75.11,84.82,84.82,6893682,0.0,1.0
2020-09-23,U,88.67,88.88,79.9,81.85,81.85,4343874,0.0,1.0
2020-09-24,U,77.75,83.89,75.7,83.2,83.2,2487241,0.0,1.0
2020-09-25,U,84.79,93.36,84.2501,89.85,89.85,3681670,0.0,1.0
2020-09-28,U,94.46,100.0,94.1001,95.8,95.8,3999879,0.0,1.0
2020-09-29,U,98.16,102.63,93.5,94.92,94.92,2818379,0.0,1.0
2020-09-30,U,94.9,96.36,85.0301,87.28,87.28,3670659,0.0,1.0
2020-10-01,U,89.33,90.97,83.5,84.56,84.56,4530848,0.0,1.0
2020-10-02,U,81.55,87.619,81.55,83.53,83.53,2771333,0.0,1.0
2020-10-05,U,85.83,85.849,82.3,84.0,84.0,1260519,0.0,1.0
2020-10-06,U,84.61,84.76,82.71,82.79,82.79,1014436,0.0,1.0
2020-10-07,U,84.04,89.5,83.758,88.65,88.65,1767750,0.0,1.0
2020-10-08,U,91.19,93.5,88.8,91.4,91.4,1892944,0.0,1.0
2020-10-09,U,92.85,100.42,92.7,99.11,99.11,2587670,0.0,1.0
2020-10-12,U,100.13,101.0,89.8,90.0,90.0,3867995,0.0,1.0
2020-10-13,U,92.35,94.78,91.0,92.11,92.11,2000670,0.0,1.0
2020-10-14,U,93.52,96.1,89.2,90.02,90.02,2199777,0.0,1.0
2020-10-15,U,88.2,93.39,87.0,91.43,91.43,1365848,0.0,1.0
2020-10-16,U,92.19,93.6,90.878,92.56,92.56,960312,0.0,1.0
2020-10-19,U,94.0,95.4,88.21,89.3,89.3,1669136,0.0,1.0
2020-10-20,U,89.83,90.62,86.1,87.15,87.15,1224848,0.0,1.0
2020-10-21,U,87.27,91.27,87.27,91.0,91.0,1270210,0.0,1.0
2020-10-22,U,90.82,101.0,88.28,100.96,100.96,4738063,0.0,1.0
2020-10-23,U,101.0,103.97,93.0,97.28,97.28,3246221,0.0,1.0
2020-10-26,U,98.0,103.4899,91.63,99.96,99.96,2933307,0.0,1.0
2020-10-27,U,100.0,108.35,95.5,104.0,104.0,5984257,0.0,1.0
2020-10-28,U,100.0,102.0,96.2,99.76,99.76,2391453,0.0,1.0
2020-10-29,U,101.79,109.28,98.5,108.84,108.84,2805257,0.0,1.0
2020-10-30,U,105.81,107.3,92.22,94.88,94.88,5104520,0.0,1.0
2020-11-02,U,96.67,98.69,93.3706,94.13,94.13,2514458,0.0,1.0
2020-11-03,U,96.0,99.5,94.6,98.07,98.07,2161629,0.0,1.0
2020-11-04,U,101.81,106.88,100.5,106.45,106.45,2788945,0.0,1.0
