date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-10-28,VCIC,9.96,9.97,9.96,9.96,9.96,438625,0.0,1.0
2024-10-29,VCIC,9.96,9.96,9.96,9.96,9.96,585091,0.0,1.0
2024-10-30,VCIC,9.9718,9.9718,9.9718,9.9718,9.9718,116,0.0,1.0
2024-10-31,VCIC,9.9718,9.9718,9.9718,9.9718,9.9718,24,0.0,1.0
2024-11-01,VCIC,9.9718,9.9718,9.9718,9.9718,9.9718,6,0.0,1.0
2024-11-04,VCIC,9.98,9.99,9.98,9.99,9.99,25100,0.0,1.0
2024-11-05,VCIC,9.99,9.99,9.99,9.99,9.99,21,0.0,1.0
2024-11-06,VCIC,9.99,10.0,9.98,9.98,9.98,196732,0.0,1.0
2024-11-07,VCIC,9.99,9.99,9.975,9.98,9.98,278927,0.0,1.0
2024-11-08,VCIC,9.99,9.99,9.98,9.99,9.99,56229,0.0,1.0
2024-11-11,VCIC,9.99,9.99,9.99,9.99,9.99,601214,0.0,1.0
2024-11-12,VCIC,9.99,10.0,9.99,10.0,10.0,1601,0.0,1.0
2024-11-13,VCIC,9.99,10.0,9.985,10.0,10.0,114081,0.0,1.0
2024-11-14,VCIC,9.99,9.99,9.988,9.99,9.99,28315,0.0,1.0
2024-11-15,VCIC,9.99,9.99,9.99,9.99,9.99,10456,0.0,1.0
2024-11-18,VCIC,9.99,10.0,9.98,9.98,9.98,15455,0.0,1.0
2024-11-19,VCIC,9.99,9.99,9.98,9.98,9.98,315389,0.0,1.0
2024-11-20,VCIC,9.99,9.99,9.98,9.98,9.98,37340,0.0,1.0
2024-11-21,VCIC,9.99,9.99,9.99,9.99,9.99,200,0.0,1.0
2024-11-22,VCIC,9.99,9.99,9.99,9.99,9.99,11,0.0,1.0
2024-11-25,VCIC,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2024-11-26,VCIC,10.0,10.0152,10.0,10.0,10.0,402073,0.0,1.0
2024-11-27,VCIC,10.0,10.0,10.0,10.0,10.0,150620,0.0,1.0
2024-11-29,VCIC,10.01,10.01,9.99,10.0,10.0,32594,0.0,1.0
2024-12-02,VCIC,9.9958,9.9958,9.9958,9.9958,9.9958,17774,0.0,1.0
2024-12-03,VCIC,10.0,10.0,10.0,10.0,10.0,375727,0.0,1.0
2024-12-04,VCIC,10.0,10.0,10.0,10.0,10.0,86340,0.0,1.0
2024-12-05,VCIC,10.0012,10.0012,10.0012,10.0012,10.0012,513,0.0,1.0
2024-12-06,VCIC,10.0102,10.0102,10.0102,10.0102,10.0102,100,0.0,1.0
2024-12-09,VCIC,10.009,10.01,10.009,10.01,10.01,31292,0.0,1.0
2024-12-10,VCIC,10.0,10.0,10.0,10.0,10.0,195,0.0,1.0
2024-12-11,VCIC,10.01,10.03,10.01,10.03,10.03,66700,0.0,1.0
2024-12-12,VCIC,10.02,10.03,10.02,10.03,10.03,12249,0.0,1.0
2024-12-13,VCIC,10.03,10.03,10.03,10.03,10.03,0,0.0,1.0
2024-12-16,VCIC,10.03,10.03,10.01,10.01,10.01,270,0.0,1.0
2024-12-17,VCIC,10.03,10.03,10.01,10.01,10.01,315277,0.0,1.0
2024-12-18,VCIC,10.02,10.03,10.01,10.01,10.01,288782,0.0,1.0
2024-12-19,VCIC,10.02,10.02,10.02,10.02,10.02,30310,0.0,1.0
2024-12-20,VCIC,10.02,10.02,10.02,10.02,10.02,88220,0.0,1.0
2024-12-23,VCIC,10.01,10.01,10.01,10.01,10.01,170086,0.0,1.0
2024-12-24,VCIC,10.03,10.03,10.03,10.03,10.03,223,0.0,1.0
2024-12-26,VCIC,10.03,10.03,10.03,10.03,10.03,0,0.0,1.0
2024-12-27,VCIC,10.03,10.03,10.03,10.03,10.03,233,0.0,1.0
2024-12-30,VCIC,10.03,10.03,10.03,10.03,10.03,148,0.0,1.0
