date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-07-07,WENN,10.2,10.29,10.19,10.29,10.29,126342,0.0,1.0
2025-07-08,WENN,10.25,10.325,10.23,10.29,10.29,155317,0.0,1.0
2025-07-09,WENN,10.3,10.4,10.24,10.34,10.34,112619,0.0,1.0
2025-07-10,WENN,10.29,10.345,10.27,10.33,10.33,151087,0.0,1.0
2025-07-11,WENN,10.31,10.37,10.27,10.32,10.32,62910,0.0,1.0
2025-07-14,WENN,10.31,10.31,10.27,10.285,10.285,384297,0.0,1.0
2025-07-15,WENN,10.28,10.33,10.27,10.3,10.3,81053,0.0,1.0
2025-07-16,WENN,10.35,10.35,10.28,10.32,10.32,12608,0.0,1.0
2025-07-17,WENN,10.28,10.38,10.28,10.3,10.3,347191,0.0,1.0
2025-07-18,WENN,10.27,10.34,10.23,10.34,10.34,191574,0.0,1.0
2025-07-21,WENN,10.28,10.3,10.27,10.28,10.28,193087,0.0,1.0
2025-07-22,WENN,10.28,10.34,10.28,10.29,10.29,16298,0.0,1.0
2025-07-23,WENN,10.2908,10.33,10.25,10.3,10.3,409262,0.0,1.0
2025-07-24,WENN,10.3018,10.35,10.3,10.3,10.3,25957,0.0,1.0
2025-07-25,WENN,10.3,10.3,10.29,10.3,10.3,38364,0.0,1.0
2025-07-28,WENN,10.29,10.33,10.29,10.305,10.305,32309,0.0,1.0
2025-07-29,WENN,10.28,10.29,10.28,10.29,10.29,7066,0.0,1.0
2025-07-30,WENN,10.3,10.3,10.25,10.25,10.25,181761,0.0,1.0
2025-07-31,WENN,10.26,10.26,10.23,10.25,10.25,14682,0.0,1.0
2025-08-01,WENN,10.23,10.26,10.23,10.26,10.26,30143,0.0,1.0
2025-08-04,WENN,10.24,10.25,10.24,10.25,10.25,8657,0.0,1.0
2025-08-05,WENN,10.24,10.26,10.23,10.25,10.25,31108,0.0,1.0
2025-08-06,WENN,10.2821,10.29,10.2,10.235,10.235,185100,0.0,1.0
2025-08-07,WENN,10.23,10.3,9.67,10.22,10.22,107558,0.0,1.0
2025-08-08,WENN,10.1876,10.22,10.1876,10.19,10.19,34284,0.0,1.0
2025-08-11,WENN,10.1501,10.215,10.15,10.21,10.21,117038,0.0,1.0
2025-08-12,WENN,10.16,10.17,10.15,10.15,10.15,44422,0.0,1.0
2025-08-13,WENN,10.1575,10.21,10.06,10.083,10.083,366727,0.0,1.0
2025-08-14,WENN,10.11,10.25,10.11,10.17,10.17,50462,0.0,1.0
2025-08-15,WENN,10.1101,10.17,10.1101,10.13,10.13,28057,0.0,1.0
2025-08-18,WENN,10.18,10.18,10.09,10.105,10.105,196173,0.0,1.0
2025-08-19,WENN,10.1,10.11,10.09,10.11,10.11,437334,0.0,1.0
2025-08-20,WENN,10.105,10.14,10.1,10.14,10.14,105529,0.0,1.0
2025-08-21,WENN,10.1359,10.1499,10.11,10.135,10.135,495058,0.0,1.0
2025-08-22,WENN,10.111,10.14,10.1,10.13,10.13,46762,0.0,1.0
2025-08-25,WENN,10.12,10.14,10.12,10.14,10.14,1718,0.0,1.0
2025-08-26,WENN,10.12,10.14,10.12,10.13,10.13,257069,0.0,1.0
