date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-06-27,YOTA,9.8,9.83,9.8,9.83,9.83,251618,0.0,1.0
2022-06-28,YOTA,9.81,9.83,9.805,9.8294,9.8294,14161,0.0,1.0
2022-06-29,YOTA,9.81,9.83,9.81,9.8294,9.8294,18304,0.0,1.0
2022-06-30,YOTA,9.8,9.82,9.8,9.8194,9.8194,30901,0.0,1.0
2022-07-01,YOTA,9.81,9.81,9.8,9.81,9.81,198948,0.0,1.0
2022-07-05,YOTA,9.81,9.83,9.81,9.82,9.82,1407006,0.0,1.0
2022-07-06,YOTA,9.82,9.82,9.82,9.82,9.82,0,0.0,1.0
2022-07-07,YOTA,9.83,9.83,9.83,9.83,9.83,6853,0.0,1.0
2022-07-08,YOTA,9.83,9.83,9.83,9.83,9.83,1,0.0,1.0
2022-07-11,YOTA,9.82,9.85,9.82,9.85,9.85,7051,0.0,1.0
2022-07-12,YOTA,9.85,9.85,9.84,9.84,9.84,74275,0.0,1.0
2022-07-13,YOTA,9.84,9.84,9.84,9.84,9.84,4251,0.0,1.0
2022-07-14,YOTA,9.85,9.85,9.83,9.83,9.83,8581,0.0,1.0
2022-07-15,YOTA,9.84,9.84,9.84,9.84,9.84,200,0.0,1.0
2022-07-18,YOTA,9.84,9.85,9.84,9.84,9.84,120984,0.0,1.0
2022-07-19,YOTA,9.84,9.84,9.84,9.84,9.84,6201,0.0,1.0
2022-07-20,YOTA,9.85,9.85,9.85,9.85,9.85,143750,0.0,1.0
2022-07-21,YOTA,9.85,9.85,9.85,9.85,9.85,7,0.0,1.0
2022-07-22,YOTA,9.85,9.85,9.85,9.85,9.85,2000,0.0,1.0
2022-07-25,YOTA,9.87,9.88,9.87,9.88,9.88,614,0.0,1.0
2022-07-26,YOTA,9.85,9.85,9.85,9.85,9.85,225,0.0,1.0
2022-07-27,YOTA,9.87,9.87,9.85,9.85,9.85,421,0.0,1.0
2022-07-28,YOTA,9.86,9.88,9.85,9.85,9.85,6392,0.0,1.0
2022-07-29,YOTA,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2022-08-01,YOTA,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2022-08-02,YOTA,9.85,9.85,9.85,9.85,9.85,450050,0.0,1.0
2022-08-03,YOTA,9.88,9.88,9.88,9.88,9.88,2219,0.0,1.0
2022-08-04,YOTA,9.88,9.89,9.88,9.89,9.89,153200,0.0,1.0
2022-08-05,YOTA,9.89,9.89,9.89,9.89,9.89,1,0.0,1.0
2022-08-08,YOTA,9.89,9.89,9.88,9.88,9.88,390,0.0,1.0
2022-08-09,YOTA,9.88,9.88,9.88,9.88,9.88,7,0.0,1.0
2022-08-10,YOTA,9.8899,9.8899,9.88,9.88,9.88,11215,0.0,1.0
2022-08-11,YOTA,9.89,9.89,9.87,9.87,9.87,39016,0.0,1.0
2022-08-12,YOTA,9.87,9.87,9.87,9.87,9.87,60,0.0,1.0
2022-08-15,YOTA,9.87,9.87,9.87,9.87,9.87,1,0.0,1.0
2022-08-16,YOTA,9.8899,9.8899,9.8899,9.8899,9.8899,111,0.0,1.0
2022-08-17,YOTA,9.8899,9.8899,9.8899,9.8899,9.8899,51,0.0,1.0
2022-08-18,YOTA,9.8899,9.8899,9.8899,9.8899,9.8899,0,0.0,1.0
2022-08-19,YOTA,9.8899,9.8899,9.8899,9.8899,9.8899,8,0.0,1.0
2022-08-22,YOTA,9.8899,9.8899,9.8899,9.8899,9.8899,20,0.0,1.0
2022-08-23,YOTA,9.89,9.89,9.89,9.89,9.89,2168,0.0,1.0
2022-08-24,YOTA,9.89,9.89,9.89,9.89,9.89,0,0.0,1.0
2022-08-25,YOTA,9.89,9.89,9.89,9.89,9.89,35,0.0,1.0
2022-08-26,YOTA,9.8601,9.8601,9.8601,9.8601,9.8601,121,0.0,1.0
2022-08-29,YOTA,9.8601,9.8601,9.8601,9.8601,9.8601,0,0.0,1.0
2022-08-30,YOTA,9.8501,9.8501,9.8501,9.8501,9.8501,111,0.0,1.0
2022-08-31,YOTA,9.8501,9.8501,9.8501,9.8501,9.8501,0,0.0,1.0
