date,ticker,action
2022-08-01,ACAC,Est. Split
2022-08-01,APGN,Listed De-SPAC
2022-08-02,ASPC,Merger Vote
2022-08-02,FOUN,Merger Vote
2022-08-02,LNFA,Merger Vote
2022-08-02,XPOA,Merger Vote
2022-08-03,STIXF,Listed De-SPAC
2022-08-04,MOBV,Priced SPAC IPO
2022-08-04,ZFOX,Listed De-SPAC
2022-08-05,CNTQ,Extension Vote
2022-08-05,PTWO,Priced SPAC IPO
2022-08-05,QBTS,Listed De-SPAC
2022-08-08,FLFV,Est. Split
2022-08-09,PETXQ,Listed De-SPAC
2022-08-10,EMCGF,Priced SPAC IPO
2022-08-11,HMAC,Priced SPAC IPO
2022-08-12,RAM,Extension Vote
2022-08-15,RBTC,Listed De-SPAC
2022-08-15,SKGR,Est. Split
2022-08-18,DNAA,Merger Vote
2022-08-18,SLCR,Merger Vote
2022-08-19,AKLI,Listed De-SPAC
2022-08-19,GIW,Extension Vote
2022-08-22,SWAG,Merger Vote
2022-08-25,RVAC,Merger Vote
2022-08-26,WEST,Listed De-SPAC
2022-08-29,NOGNQ,Listed De-SPAC
