date,ticker,open,high,low,close,volume
2024-11-12,ABP,11.115,11.19,5.75,5.77,162500
2024-11-13,ABP,5.77,5.77,5.77,5.77,0
2024-11-14,ABP,5.2,8.8,4.24,4.99,153957
2024-11-15,ABP,4.22,4.645,3.23,3.71,65186
2024-11-18,ABP,3.3,3.6,3.18,3.3979,16107
2024-11-19,ABP,3.3618,4.01,3.2,3.63,13043
2024-11-20,ABP,3.99,3.99,3.38,3.41,10656
2024-11-21,ABP,3.34,3.67,3.09,3.18,35734
2024-11-22,ABP,3.2396,3.41,2.9046,3.105,20247
2024-11-25,ABP,2.97,3.0565,2.89,2.95,6519
2024-11-26,ABP,2.93,3.35,2.87,2.9,77256
2024-11-27,ABP,2.88,2.88,2.5,2.68,40576
2024-11-29,ABP,2.61,3.27,2.61,2.7,9625
2024-12-02,ABP,2.74,3.0999,2.6,2.63,13479
2024-12-03,ABP,2.63,2.6399,2.3,2.41,18198
2024-12-04,ABP,2.5,2.695,2.05,2.13,81312
2024-12-05,ABP,2.0101,2.1,1.42,1.55,298485
2024-12-06,ABP,1.52,1.64,1.41,1.53,106058
2024-12-09,ABP,1.57,1.88,1.43,1.83,57306
2024-12-10,ABP,1.77,1.78,1.55,1.78,34491
2024-12-11,ABP,1.6601,1.74,1.58,1.58,18195
2024-12-12,ABP,1.7911,1.7948,1.55,1.6,21090
2024-12-13,ABP,1.67,1.75,1.52,1.53,16493
2024-12-16,ABP,1.72,1.72,1.19,1.28,60748
2024-12-17,ABP,1.3,1.3987,1.22,1.23,8131
2024-12-18,ABP,1.3,1.3,1.09,1.1,21078
2024-12-19,ABP,1.49,2.22,0.95,1.49,17037213
2024-12-20,ABP,1.41,3.99,1.38,2.07,17830191
2024-12-23,ABP,2.29,2.45,1.7001,2.29,1090914
2024-12-24,ABP,2.18,2.8,2.16,2.42,413839
2024-12-26,ABP,2.44,3.14,2.27,3.01,519463
2024-12-27,ABP,3.39,5.13,3.2404,4.49,2048079
2024-12-30,ABP,4.08,4.15,1.9,2.13,2169306
2024-12-31,ABP,2.0,2.005,1.69,1.79,440765
2025-01-02,ABP,1.78,1.8,1.565,1.57,229642
2025-01-03,ABP,1.6,1.6999,1.57,1.61,139205
2025-01-06,ABP,1.65,1.65,1.43,1.47,283997
2025-01-07,ABP,1.47,1.57,1.41,1.47,129467
2025-01-08,ABP,1.51,1.51,1.28,1.29,347983
2025-01-10,ABP,1.42,1.42,1.32,1.365,53669
2025-01-13,ABP,1.4,1.43,1.3,1.3,44570
2025-01-14,ABP,1.33,1.3395,1.25,1.28,74838
2025-01-15,ABP,1.34,1.37,1.3,1.34,36031
2025-01-16,ABP,1.3659,1.43,1.35,1.35,15132
2025-01-17,ABP,1.36,1.39,1.26,1.3,29353
2025-01-21,ABP,1.31,1.4196,1.3,1.32,57450
2025-01-22,ABP,1.37,1.39,1.3,1.35,40080
2025-01-23,ABP,1.31,1.3593,1.25,1.28,66762
2025-01-24,ABP,1.3,1.35,1.2605,1.29,13334
2025-01-27,ABP,1.31,1.35,1.19,1.25,44083
2025-01-28,ABP,1.22,1.32,1.09,1.15,26287
2025-01-29,ABP,1.1,1.2,1.02,1.12,42963
2025-01-30,ABP,1.1,1.15,1.03,1.03,65861
2025-01-31,ABP,1.04,1.1478,0.9513,0.9513,70847
2025-02-03,ABP,0.978,1.02,0.9005,0.96,42546
2025-02-04,ABP,0.98,0.9988,0.921,0.96,67545
2025-02-05,ABP,0.95,1.1045,0.95,0.99,11286
2025-02-06,ABP,1.05,1.09,0.97,1.07,28353
2025-02-07,ABP,1.01,1.1299,1.01,1.07,24657
2025-02-10,ABP,1.03,1.09,0.97,0.98,25512
2025-02-11,ABP,1.02,1.0342,0.96,0.99,56579
2025-02-12,ABP,0.9603,1.05,0.9603,0.992,10574
2025-02-13,ABP,0.99,1.03,0.98,1.01,15662
2025-02-14,ABP,1.11,1.11,1.0001,1.04,13797
2025-02-18,ABP,1.04,1.155,1.01,1.01,58933
2025-02-19,ABP,1.0,1.08,0.97,0.9834,27782
2025-02-20,ABP,0.965,0.9871,0.92,0.94,29773
2025-02-21,ABP,0.975,0.999,0.7501,0.837,104760
2025-02-24,ABP,0.923,0.93,0.76,0.7605,106682
2025-02-25,ABP,0.76,0.77,0.6801,0.6855,64552
2025-02-26,ABP,0.714,0.717,0.65,0.6649,145892
2025-02-27,ABP,0.6711,0.7299,0.566,0.58,101285
2025-02-28,ABP,0.58,0.619,0.572,0.6127,13353
2025-03-03,ABP,0.6011,0.6011,0.5011,0.51,62890
2025-03-04,ABP,0.5,0.545,0.477,0.527,52939
2025-03-05,ABP,0.514,0.559,0.489,0.55,37434
2025-03-06,ABP,0.559,0.56,0.4984,0.5313,29166
2025-03-07,ABP,0.5175,0.55,0.495,0.51,48748
2025-03-10,ABP,0.518,0.565,0.482,0.484,80233
2025-03-11,ABP,0.484,0.5005,0.45,0.4885,55713
2025-03-12,ABP,0.491,0.517,0.45,0.487,53581
2025-03-13,ABP,0.479,0.52,0.457,0.4704,42357
2025-03-14,ABP,0.4703,0.49,0.44,0.479,71640
2025-03-17,ABP,0.47,0.5,0.44,0.4959,34825
2025-03-18,ABP,0.4959,0.52,0.4538,0.52,67259
2025-03-19,ABP,0.54,0.54,0.475,0.4836,65530
2025-03-20,ABP,0.51,0.51,0.45,0.4583,85527
2025-03-21,ABP,0.4613,0.5065,0.424,0.4564,137622
2025-03-24,ABP,0.453,0.4849,0.4429,0.4771,58723
2025-03-25,ABP,0.431,0.4902,0.43,0.432,33064
2025-03-26,ABP,0.456,0.4774,0.41,0.412,65039
2025-03-27,ABP,0.4121,0.4349,0.41,0.4116,49521
2025-03-28,ABP,0.4116,0.45,0.4116,0.42,6922
2025-03-31,ABP,0.426,0.4378,0.414,0.414,20397
2025-04-01,ABP,0.429,0.445,0.414,0.4305,14435
2025-04-02,ABP,0.49,0.49,0.4,0.4101,134011
2025-04-03,ABP,0.4,0.421,0.3585,0.361,125146
2025-04-04,ABP,0.4,0.4221,0.3274,0.34,90535
2025-04-07,ABP,0.35,0.35,0.28,0.3052,259798
2025-04-08,ABP,0.296,0.3343,0.23,0.2744,972948
2025-04-09,ABP,0.27,0.2849,0.2482,0.26,227985
2025-04-10,ABP,0.27,0.28,0.2568,0.2618,127106
2025-04-11,ABP,0.27,0.28,0.251,0.276,169061
2025-04-14,ABP,0.299,0.299,0.2689,0.295,142931
2025-04-15,ABP,0.29,0.29,0.2535,0.263,156922
2025-04-16,ABP,0.293,0.293,0.2302,0.246,184415
2025-04-17,ABP,0.26,0.273,0.233,0.258,277597
2025-04-21,ABP,0.26,0.27,0.231,0.231,234976
2025-04-22,ABP,0.2539,0.2697,0.2467,0.267,195208
2025-04-23,ABP,0.2847,0.327,0.275,0.3242,267061
2025-04-24,ABP,0.35,0.36,0.2918,0.331,496485
2025-04-25,ABP,0.34,0.3498,0.2911,0.318,361090
2025-04-28,ABP,0.29,0.29,0.233,0.2607,6369519
2025-04-29,ABP,0.251,0.26,0.2452,0.26,705704
2025-04-30,ABP,0.25,0.2598,0.2212,0.2388,584246
2025-05-01,ABP,0.246,0.26,0.211,0.219,433793
2025-05-02,ABP,0.241,0.241,0.2202,0.23,412496
2025-05-05,ABP,0.23,0.2389,0.22,0.229,211081
2025-05-06,ABP,0.2264,0.2265,0.2111,0.2177,335576
2025-05-07,ABP,0.218,0.2239,0.2105,0.221,93583
2025-05-08,ABP,0.2281,0.2498,0.1846,0.194,2258370
2025-05-09,ABP,0.194,0.2,0.175,0.2,434069
2025-05-12,ABP,0.1984,0.2189,0.186,0.2098,816447
2025-05-13,ABP,0.209,0.2179,0.193,0.205,13023932
2025-05-14,ABP,0.1733,0.1926,0.1516,0.165,5500651
2025-05-15,ABP,0.2234,0.3801,0.175,0.2651,362297464
2025-05-16,ABP,0.2543,0.27,0.2207,0.23,16551125
2025-05-19,ABP,0.28,0.3299,0.2566,0.272,125322595
2025-05-20,ABP,0.27,0.291,0.245,0.2549,5855672
2025-05-21,ABP,0.23,0.2693,0.23,0.2546,4279986
2025-05-22,ABP,0.2452,0.2542,0.225,0.23,3218642
2025-05-23,ABP,0.224,0.2285,0.2002,0.212,2597697
2025-05-27,ABP,0.2129,0.2197,0.21,0.2147,1132279
2025-05-28,ABP,0.211,0.28,0.2061,0.2565,17885838
2025-05-29,ABP,0.2496,0.2496,0.2283,0.233,1580999
2025-05-30,ABP,0.2295,0.2333,0.21,0.2137,1167857
2025-06-02,ABP,0.2011,0.2254,0.201,0.2199,1006978
2025-06-03,ABP,0.2145,0.2199,0.2008,0.214,558390
2025-06-04,ABP,0.2172,0.2237,0.205,0.2112,592410
2025-06-05,ABP,0.21,0.2145,0.2022,0.2123,628465
2025-06-06,ABP,0.203,0.22,0.203,0.2103,692498
2025-06-09,ABP,0.2103,0.2576,0.2,0.2478,16726247
2025-06-10,ABP,0.25,0.3079,0.2341,0.273,41533501
2025-06-11,ABP,0.245,0.2777,0.2438,0.2541,3988744
2025-06-12,ABP,0.2303,0.25,0.2295,0.2313,2519324
2025-06-13,ABP,0.215,0.2199,0.2,0.215,2051407
2025-06-16,ABP,0.215,0.23,0.2065,0.223,1347957
2025-06-17,ABP,0.2107,0.2328,0.2066,0.22,1327651
2025-06-18,ABP,0.2225,0.23,0.203,0.209,1477647
2025-06-20,ABP,0.2125,0.218,0.2,0.2087,4166861
2025-06-23,ABP,0.204,0.245,0.2,0.236,17254557
2025-06-24,ABP,0.2224,0.2261,0.21,0.213,4072171
2025-06-25,ABP,0.217,0.225,0.2137,0.217,2969914
2025-06-26,ABP,0.2139,0.2275,0.207,0.223,6280200
2025-06-27,ABP,0.2228,0.224,0.211,0.211,2695823
2025-06-30,ABP,0.211,0.2184,0.2016,0.2128,1771694
2025-07-01,ABP,0.21,0.2128,0.1903,0.1927,2366178
2025-07-02,ABP,0.1905,0.1999,0.1905,0.1928,859231
2025-07-03,ABP,0.195,0.1985,0.1775,0.188,1591588
2025-07-07,ABP,0.185,0.1942,0.1811,0.1869,1066681
2025-07-08,ABP,0.1869,0.199,0.185,0.196,1403660
2025-07-09,ABP,0.1985,0.2169,0.1902,0.203,4590833
2025-07-10,ABP,0.196,0.1985,0.1863,0.1947,3375385
2025-07-11,ABP,0.191,0.21,0.19,0.2066,3926866
2025-07-14,ABP,0.2015,0.208,0.1949,0.1979,1594930
2025-07-15,ABP,0.1928,0.2139,0.1915,0.1948,9327056
2025-07-16,ABP,0.1961,0.2226,0.1961,0.2182,17162616
2025-07-17,ABP,0.2192,0.2192,0.1962,0.1962,83882331
2025-07-18,ABP,0.1964,0.2148,0.191,0.2039,16725781
2025-07-21,ABP,0.205,0.2389,0.1951,0.2272,27418629
2025-07-22,ABP,0.224,0.2265,0.2094,0.222,9548488
2025-07-23,ABP,0.22,0.2944,0.2158,0.2923,40506481
2025-07-24,ABP,0.2652,0.29,0.2421,0.2661,20210081
2025-07-25,ABP,0.3182,0.3401,0.2851,0.3154,61618953
2025-07-28,ABP,0.3503,0.455,0.303,0.3195,62798387
2025-07-29,ABP,0.3051,0.3624,0.263,0.3234,19749556
2025-07-30,ABP,0.304,0.34,0.2849,0.2979,8920527
2025-07-31,ABP,0.2842,0.29,0.2552,0.2584,7076028
2025-08-01,ABP,0.2409,0.2549,0.2266,0.2381,4131967
