date,ticker,open,high,low,close,volume
2021-04-12,AEON,9.61,9.66,9.61,9.65,15124
2021-04-13,AEON,9.65,9.65,9.65,9.65,161
2021-04-14,AEON,9.75,10.05,9.74,9.8,100239
2021-04-15,AEON,9.8024,9.81,9.8024,9.81,8900
2021-04-16,AEON,9.81,9.81,9.81,9.81,123
2021-04-19,AEON,9.81,9.81,9.81,9.81,2
2021-04-20,AEON,9.81,9.81,9.81,9.81,3
2021-04-21,AEON,9.81,9.81,9.81,9.81,1
2021-04-22,AEON,9.81,9.81,9.81,9.81,18
2021-04-23,AEON,9.81,9.81,9.81,9.81,1
2021-04-26,AEON,9.81,9.81,9.81,9.81,23
2021-04-27,AEON,9.81,9.81,9.81,9.81,26
2021-04-28,AEON,9.81,9.81,9.81,9.81,1
2021-04-29,AEON,9.9,9.9,9.78,9.78,9985
2021-04-30,AEON,9.78,9.78,9.78,9.78,6
2021-05-03,AEON,9.71,9.8,9.71,9.8,802
2021-05-04,AEON,9.8,9.8,9.8,9.8,0
2021-05-05,AEON,9.8,9.8,9.8,9.8,1801
2021-05-06,AEON,9.71,9.71,9.67,9.67,538
2021-05-07,AEON,9.835,9.835,9.835,9.835,244
2021-05-10,AEON,9.835,9.835,9.835,9.835,5
2021-05-11,AEON,9.8,9.8,9.8,9.8,559
2021-05-12,AEON,9.8,9.8,9.8,9.8,43
2021-05-13,AEON,9.8,9.8,9.8,9.8,35
2021-05-14,AEON,9.8,9.8,9.8,9.8,25
2021-05-17,AEON,9.67,9.67,9.67,9.67,4674
2021-05-18,AEON,9.65,9.65,9.65,9.65,3432
2021-05-19,AEON,9.65,9.65,9.65,9.65,9
2021-05-20,AEON,9.65,9.65,9.65,9.65,5
2021-05-21,AEON,9.65,9.65,9.65,9.65,12
2021-05-24,AEON,9.65,9.65,9.65,9.65,5
2021-05-25,AEON,9.65,9.65,9.65,9.65,10
2021-05-26,AEON,9.7625,9.7625,9.72,9.72,1600
2021-05-27,AEON,9.72,9.72,9.72,9.72,1
2021-05-28,AEON,9.72,9.72,9.72,9.72,7
2021-06-01,AEON,9.72,9.72,9.72,9.72,0
2021-06-02,AEON,9.72,9.72,9.72,9.72,2
2021-06-03,AEON,9.72,9.72,9.72,9.72,2
2021-06-04,AEON,9.72,9.72,9.72,9.72,1
2021-06-07,AEON,9.72,9.72,9.72,9.72,2
2021-06-08,AEON,9.72,9.72,9.72,9.72,120
2021-06-09,AEON,9.75,9.75,9.7,9.71,50800
2021-06-10,AEON,9.71,9.71,9.71,9.71,0
2021-06-11,AEON,9.71,9.71,9.71,9.71,0
2021-06-14,AEON,9.66,9.76,9.21,9.7,48851
2021-06-15,AEON,9.7,9.7,9.7,9.7,23513
2021-06-16,AEON,9.7,9.7,9.65,9.65,85158
2021-06-17,AEON,9.65,9.65,9.65,9.65,0
2021-06-18,AEON,9.65,9.65,9.65,9.65,10
2021-06-21,AEON,9.65,9.65,9.65,9.65,1409
2021-06-22,AEON,9.73,9.73,9.7,9.73,1561
2021-06-23,AEON,9.66,9.695,9.66,9.695,1588
2021-06-24,AEON,9.66,9.66,9.66,9.66,610
2021-06-25,AEON,9.66,9.66,9.65,9.66,24508
2021-06-28,AEON,9.65,9.66,9.6,9.64,89511
2021-06-29,AEON,9.64,9.64,9.64,9.64,126
2021-06-30,AEON,9.64,9.64,9.63,9.64,862
2021-07-01,AEON,9.64,9.64,9.64,9.64,276
2021-07-02,AEON,9.65,9.655,9.63,9.65,21311
2021-07-06,AEON,9.65,9.65,9.65,9.65,25
2021-07-07,AEON,9.65,9.65,9.65,9.65,1913
2021-07-08,AEON,9.63,9.66,9.63,9.655,162166
2021-07-09,AEON,9.65,9.66,9.65,9.65,6600
2021-07-12,AEON,9.65,9.65,9.65,9.65,2561
2021-07-13,AEON,9.65,9.66,9.65,9.655,36022
2021-07-14,AEON,9.66,9.66,9.65,9.655,9850
2021-07-15,AEON,9.655,9.655,9.655,9.655,43
2021-07-16,AEON,9.64,9.68,9.64,9.655,5540
2021-07-19,AEON,9.64,9.655,9.64,9.65,5588
2021-07-20,AEON,9.63,9.63,9.63,9.63,1114
2021-07-21,AEON,9.63,9.63,9.63,9.63,0
2021-07-22,AEON,9.63,9.63,9.63,9.63,2
2021-07-23,AEON,9.66,9.67,9.66,9.67,2090
2021-07-26,AEON,9.67,9.67,9.67,9.67,200
2021-07-27,AEON,9.72,9.8,9.685,9.8,15742
2021-07-28,AEON,9.8,9.8,9.8,9.8,0
2021-07-29,AEON,9.8,9.8,9.8,9.8,0
2021-07-30,AEON,9.8,9.8,9.8,9.8,40
2021-08-02,AEON,9.8,9.8,9.8,9.8,0
2021-08-03,AEON,9.8,9.8,9.8,9.8,0
2021-08-04,AEON,9.65,9.65,9.64,9.64,16439
2021-08-05,AEON,9.64,9.64,9.64,9.64,195
2021-08-06,AEON,9.65,9.66,9.65,9.66,4230
2021-08-09,AEON,9.66,9.66,9.66,9.66,0
2021-08-10,AEON,9.66,9.79,9.66,9.67,3501
2021-08-11,AEON,9.71,9.72,9.69,9.69,1802
2021-08-12,AEON,9.6983,9.725,9.69,9.69,150600
2021-08-13,AEON,9.69,9.725,9.69,9.69,822
2021-08-16,AEON,9.73,9.73,9.7,9.7,6851
2021-08-17,AEON,9.7,9.73,9.7,9.73,326
2021-08-18,AEON,9.73,9.73,9.73,9.73,40
2021-08-19,AEON,9.68,9.76,9.68,9.76,150966
2021-08-20,AEON,9.76,9.76,9.76,9.76,0
2021-08-23,AEON,9.75,9.75,9.75,9.75,259
2021-08-24,AEON,9.75,9.75,9.75,9.75,103
2021-08-25,AEON,9.75,9.75,9.75,9.75,100
2021-08-26,AEON,9.75,9.75,9.75,9.75,0
2021-08-27,AEON,9.75,9.75,9.75,9.75,0
2021-08-30,AEON,9.75,9.75,9.75,9.75,100
2021-08-31,AEON,9.75,9.75,9.75,9.75,65
2021-09-01,AEON,9.75,9.75,9.75,9.75,135
