date,ticker,open,high,low,close,volume
2024-05-15,AIEV,11.03,11.03,11.03,11.03,3186
2024-06-24,AIEV,2.11,2.23,1.55,2.05,368516
2024-06-25,AIEV,1.72,1.8,1.51,1.72,255205
2024-06-26,AIEV,2.66,3.98,1.92,2.1,30361526
2024-06-27,AIEV,1.93,1.9546,1.59,1.68,776219
2024-06-28,AIEV,1.67,1.75,1.552,1.65,332596
2024-07-01,AIEV,1.61,1.67,1.45,1.58,275314
2024-07-02,AIEV,1.55,1.69,1.361,1.42,382752
2024-07-03,AIEV,1.42,1.42,1.21,1.22,185559
2024-07-05,AIEV,1.26,1.3099,1.16,1.25,176778
2024-07-08,AIEV,1.25,1.3,1.13,1.14,356505
2024-07-09,AIEV,1.11,1.14,1.02,1.06,798472
2024-07-10,AIEV,1.04,1.04,0.93,0.9618,359242
2024-07-11,AIEV,0.99,1.02,0.955,0.9605,224824
2024-07-12,AIEV,0.95,1.18,0.9389,1.14,2756919
2024-07-15,AIEV,1.15,1.15,1.04,1.06,581961
2024-07-16,AIEV,1.06,1.06,0.96,1.0,322059
2024-07-17,AIEV,0.99,1.11,0.98,1.05,309870
2024-07-18,AIEV,1.04,1.07,1.0,1.02,214906
2024-07-19,AIEV,0.98,1.02,0.9063,0.9121,214048
2024-07-22,AIEV,0.96,0.988,0.8531,0.9028,230403
2024-07-23,AIEV,0.94,0.94,0.8601,0.88,71567
2024-07-24,AIEV,0.8711,0.878,0.8,0.81,141265
2024-07-25,AIEV,0.847,0.847,0.77,0.781,228122
2024-07-26,AIEV,0.7983,0.8299,0.725,0.7454,192375
2024-07-29,AIEV,0.7686,0.7686,0.618,0.6777,255949
2024-07-30,AIEV,0.67,0.746,0.656,0.715,287633
2024-07-31,AIEV,0.715,0.739,0.659,0.6629,145536
2024-08-01,AIEV,0.664,0.664,0.601,0.6168,106655
2024-08-02,AIEV,0.62,0.6758,0.5511,0.586,106261
2024-08-05,AIEV,0.5456,0.597,0.53,0.58,64296
2024-08-06,AIEV,0.541,0.568,0.4299,0.5301,157660
2024-08-07,AIEV,0.5499,0.5499,0.5083,0.534,48254
2024-08-08,AIEV,0.5208,0.549,0.4611,0.5025,63167
2024-08-09,AIEV,0.5265,0.53,0.48,0.5,12961
2024-08-12,AIEV,0.5,0.6495,0.4839,0.581,269356
2024-08-13,AIEV,0.62,0.63,0.492,0.5856,270680
2024-08-14,AIEV,0.568,0.7284,0.568,0.68,165125
2024-08-15,AIEV,0.693,0.7079,0.66,0.69,70654
2024-08-16,AIEV,0.6999,0.6999,0.65,0.6788,69372
2024-08-19,AIEV,0.7,0.7,0.6424,0.685,67431
2024-08-20,AIEV,0.68,0.69,0.6238,0.67,124175
2024-08-21,AIEV,0.7,0.7369,0.68,0.725,2860192
2024-08-22,AIEV,0.65,0.6789,0.5502,0.5909,451250
2024-08-23,AIEV,0.5604,0.76,0.5604,0.62,278623
2024-08-26,AIEV,0.6795,0.7,0.6342,0.6472,146206
2024-08-27,AIEV,0.699,0.699,0.61,0.623,84607
2024-08-28,AIEV,0.63,0.68,0.61,0.635,41897
2024-08-29,AIEV,0.635,0.67,0.617,0.664,120214
2024-08-30,AIEV,0.6378,0.668,0.6201,0.644,44330
2024-09-03,AIEV,0.633,0.6949,0.6319,0.679,115416
2024-09-04,AIEV,0.6627,0.8,0.642,0.72,719552
2024-09-05,AIEV,0.745,0.8,0.4611,0.5301,2752951
2024-09-06,AIEV,0.525,0.5299,0.452,0.4541,307834
2024-09-09,AIEV,0.455,0.5385,0.4515,0.4802,106260
2024-09-10,AIEV,0.5002,0.5002,0.45,0.47,39190
2024-09-11,AIEV,0.458,0.4809,0.453,0.4649,29703
2024-09-12,AIEV,0.4662,0.5,0.455,0.4847,75331
2024-09-13,AIEV,0.475,0.475,0.46,0.462,31635
2024-09-16,AIEV,0.489,0.4999,0.455,0.475,40237
2024-09-17,AIEV,0.4807,0.5447,0.4633,0.5175,96107
2024-09-18,AIEV,0.506,0.55,0.503,0.51,45287
2024-09-19,AIEV,0.56,0.5917,0.5166,0.56,81747
2024-09-20,AIEV,0.557,0.5594,0.52,0.531,27477
2024-09-23,AIEV,0.58,0.58,0.5364,0.57,17919
2024-09-24,AIEV,0.5216,0.57,0.52,0.54,54863
2024-09-25,AIEV,0.5374,0.5704,0.4925,0.523,91382
2024-09-26,AIEV,0.5525,0.5616,0.48,0.481,35968
2024-09-27,AIEV,0.48,0.584,0.45,0.4568,50768
