date,ticker,open,high,low,close,volume
2022-04-20,ALCE,9.84,9.84,9.84,9.84,172
2022-04-21,ALCE,9.89,9.89,9.89,9.89,167
2022-04-22,ALCE,9.88,9.89,9.88,9.89,1010
2022-04-25,ALCE,9.94,9.94,9.87,9.87,24103
2022-04-26,ALCE,9.87,9.87,9.87,9.87,286
2022-04-27,ALCE,9.87,9.87,9.87,9.87,0
2022-04-28,ALCE,9.87,9.87,9.87,9.87,53
2022-04-29,ALCE,9.855,9.855,9.855,9.855,655793
2022-05-02,ALCE,9.88,9.88,9.84,9.84,301
2022-05-03,ALCE,9.84,9.84,9.84,9.84,1
2022-05-04,ALCE,9.88,9.88,9.85,9.86,150201
2022-05-05,ALCE,9.88,9.88,9.88,9.88,332
2022-05-06,ALCE,9.84,9.84,9.83,9.83,312
2022-05-09,ALCE,9.83,9.83,9.83,9.83,232
2022-05-10,ALCE,9.83,9.83,9.83,9.83,0
2022-05-11,ALCE,9.82,9.82,9.81,9.81,5612
2022-05-12,ALCE,9.8,9.8,9.8,9.8,139317
2022-05-13,ALCE,9.8,9.8,9.8,9.8,0
2022-05-16,ALCE,9.8,9.8,9.8,9.8,0
2022-05-17,ALCE,9.8,9.8,9.8,9.8,0
2022-05-18,ALCE,9.8,9.83,9.8,9.83,157410
2022-05-19,ALCE,9.83,9.83,9.83,9.83,0
2022-05-20,ALCE,9.83,9.83,9.83,9.83,0
2022-05-23,ALCE,9.83,9.83,9.83,9.83,0
2022-05-24,ALCE,9.83,9.83,9.83,9.83,0
2022-05-25,ALCE,9.83,9.83,9.83,9.83,0
2022-05-26,ALCE,9.83,9.83,9.83,9.83,0
2022-05-27,ALCE,9.83,9.83,9.83,9.83,1
2022-05-31,ALCE,9.79,9.79,9.79,9.79,30008
2022-06-01,ALCE,9.79,9.79,9.79,9.79,16000
2022-06-02,ALCE,9.79,9.79,9.79,9.79,0
2022-06-03,ALCE,9.79,9.79,9.79,9.79,763
2022-06-06,ALCE,9.79,9.79,9.79,9.79,19
2022-06-07,ALCE,9.84,9.84,9.84,9.84,500
2022-06-08,ALCE,9.84,9.84,9.84,9.84,2
2022-06-09,ALCE,9.84,9.84,9.84,9.84,200011
2022-06-10,ALCE,9.84,9.84,9.84,9.84,3297
2022-06-13,ALCE,9.84,9.84,9.84,9.84,101313
2022-06-14,ALCE,9.84,9.84,9.84,9.84,99803
2022-06-15,ALCE,9.84,9.84,9.84,9.84,2620
2022-06-16,ALCE,9.84,9.84,9.8,9.8,7313
2022-06-17,ALCE,9.85,9.87,9.85,9.87,22919
2022-06-21,ALCE,9.87,9.87,9.87,9.87,6
2022-06-22,ALCE,9.87,9.87,9.87,9.87,3
2022-06-23,ALCE,9.94,9.94,9.84,9.88,4509
2022-06-24,ALCE,9.88,9.88,9.88,9.88,0
2022-06-27,ALCE,9.86,9.88,9.86,9.88,1104
2022-06-28,ALCE,9.88,9.88,9.88,9.88,0
2022-06-29,ALCE,9.88,9.88,9.88,9.88,1
2022-06-30,ALCE,9.88,9.88,9.88,9.88,0
2022-07-01,ALCE,9.8684,9.8684,9.8684,9.8684,101
2022-07-05,ALCE,9.82,9.82,9.82,9.82,150407
2022-07-06,ALCE,9.8001,9.8001,9.8001,9.8001,100
2022-07-07,ALCE,9.8001,9.8001,9.8001,9.8001,0
2022-07-08,ALCE,9.8001,9.8001,9.8001,9.8001,0
2022-07-11,ALCE,9.8001,9.8001,9.8001,9.8001,0
