date,ticker,open,high,low,close,volume
2019-04-25,ALTG,9.7,9.72,9.7,9.7,202000
2019-04-26,ALTG,9.7,9.7,9.7,9.7,0
2019-04-29,ALTG,9.7,9.7,9.7,9.7,0
2019-04-30,ALTG,9.7,9.7,9.7,9.7,0
2019-05-01,ALTG,9.7,9.75,9.7,9.7,100000
2019-05-02,ALTG,9.7,9.7,9.7,9.7,0
2019-05-03,ALTG,9.7,9.7,9.7,9.7,0
2019-05-06,ALTG,9.7,9.7,9.7,9.7,0
2019-05-07,ALTG,9.7,9.7,9.7,9.7,0
2019-05-08,ALTG,9.7,9.7,9.7,9.7,0
2019-05-09,ALTG,9.7,9.7,9.7,9.7,0
2019-05-10,ALTG,9.7,9.7,9.7,9.7,0
2019-05-13,ALTG,9.7,9.7,9.7,9.7,0
2019-05-14,ALTG,9.7,9.7,9.7,9.7,0
2019-05-15,ALTG,9.7,9.7,9.7,9.7,0
2019-05-16,ALTG,9.7,9.7,9.7,9.7,0
2019-05-17,ALTG,9.6737,9.6737,9.6737,9.6737,150
2019-05-20,ALTG,9.674,9.674,9.674,9.674,0
2019-05-21,ALTG,9.674,9.674,9.674,9.674,1
2019-05-22,ALTG,9.674,9.674,9.674,9.674,0
2019-05-23,ALTG,9.796,9.796,9.796,9.796,151
2019-05-24,ALTG,9.796,9.796,9.796,9.796,0
2019-05-28,ALTG,9.796,9.796,9.796,9.796,0
2019-05-29,ALTG,9.796,9.796,9.796,9.796,0
2019-05-30,ALTG,9.796,9.796,9.796,9.796,151
2019-05-31,ALTG,9.796,9.796,9.796,9.796,0
2019-06-03,ALTG,9.796,9.796,9.796,9.796,153
2019-06-04,ALTG,9.85,9.8993,9.79,9.79,16244
2019-06-05,ALTG,9.79,9.79,9.79,9.79,1
2019-06-06,ALTG,9.85,9.85,9.79,9.796,300
2019-06-07,ALTG,9.7502,9.7502,9.7502,9.7502,801
2019-06-10,ALTG,9.75,9.75,9.75,9.75,0
2019-06-11,ALTG,9.75,9.75,9.75,9.75,0
2019-06-12,ALTG,9.75,9.75,9.75,9.75,0
2019-06-13,ALTG,9.75,9.75,9.75,9.75,0
2019-06-14,ALTG,9.75,9.75,9.75,9.75,0
2019-06-17,ALTG,9.75,9.75,9.75,9.75,0
2019-06-18,ALTG,9.85,9.85,9.85,9.85,100
2019-06-19,ALTG,9.85,9.85,9.8126,9.8126,200
2019-06-20,ALTG,9.72,9.77,9.72,9.77,202
2019-06-21,ALTG,9.77,9.77,9.77,9.77,0
2019-06-24,ALTG,9.79,9.79,9.79,9.79,25002
2019-06-25,ALTG,9.75,9.75,9.75,9.75,5501
2019-06-26,ALTG,9.75,9.75,9.75,9.75,1000
2019-06-27,ALTG,9.73,9.73,9.73,9.73,50000
2019-06-28,ALTG,9.75,9.75,9.75,9.75,45100
2019-07-01,ALTG,9.77,9.77,9.74,9.74,200
2019-07-02,ALTG,9.76,9.76,9.75,9.75,4100
2019-07-03,ALTG,9.75,9.75,9.75,9.75,1001
2019-07-05,ALTG,9.75,9.75,9.75,9.75,1
2019-07-08,ALTG,9.75,9.75,9.75,9.75,466252
2019-07-09,ALTG,9.75,9.75,9.75,9.75,0
2019-07-10,ALTG,9.76,9.76,9.76,9.76,74500
2019-07-11,ALTG,9.77,9.77,9.77,9.77,2400
2019-07-12,ALTG,9.77,9.77,9.77,9.77,0
2019-07-15,ALTG,9.78,9.96,9.78,9.79,20324
2019-07-16,ALTG,9.79,9.79,9.79,9.79,0
2019-07-17,ALTG,9.79,9.79,9.79,9.79,0
2019-07-18,ALTG,9.79,9.79,9.79,9.79,0
2019-07-19,ALTG,9.79,9.79,9.79,9.79,0
2019-07-22,ALTG,9.77,9.77,9.76,9.77,6901
2019-07-23,ALTG,9.75,9.77,9.75,9.77,7056
2019-07-24,ALTG,9.77,9.77,9.77,9.77,0
2019-07-25,ALTG,9.77,9.77,9.77,9.77,0
2019-07-26,ALTG,9.77,9.77,9.77,9.77,0
2019-07-29,ALTG,9.77,9.77,9.77,9.77,2418
2019-07-30,ALTG,9.77,9.77,9.77,9.77,2400
2019-07-31,ALTG,9.77,9.77,9.77,9.77,2400
2019-08-01,ALTG,9.79,9.79,9.79,9.79,100
2019-08-02,ALTG,9.79,9.79,9.79,9.79,100
2019-08-05,ALTG,9.79,9.79,9.79,9.79,100
2019-08-06,ALTG,9.79,9.79,9.788,9.788,1200
2019-08-07,ALTG,9.79,9.79,9.788,9.788,1200
2019-08-08,ALTG,9.789,9.789,9.788,9.788,1200
2019-08-09,ALTG,9.82,9.82,9.82,9.82,100
2019-08-12,ALTG,9.8,9.82,9.8,9.82,302560
2019-08-13,ALTG,9.8,9.82,9.8,9.82,302600
2019-08-14,ALTG,9.81,9.86,9.78,9.8,455546
2019-08-15,ALTG,9.8,9.8,9.77,9.77,112431
2019-08-16,ALTG,9.77,9.77,9.77,9.77,500
2019-08-19,ALTG,9.77,9.77,9.77,9.77,0
2019-08-20,ALTG,9.79,9.8,9.79,9.79,163001
2019-08-21,ALTG,9.79,9.79,9.79,9.79,0
2019-08-22,ALTG,9.79,9.79,9.79,9.79,0
2019-08-23,ALTG,9.77,9.77,9.77,9.77,219
2019-08-26,ALTG,9.78,9.78,9.77,9.77,50000
2019-08-27,ALTG,9.78,9.78,9.78,9.78,7000
2019-08-28,ALTG,9.77,9.8,9.77,9.8,204596
2019-08-29,ALTG,9.8,9.8,9.8,9.8,80000
2019-08-30,ALTG,9.81,9.83,9.81,9.83,25000
2019-09-03,ALTG,9.82,9.82,9.82,9.82,1000
2019-09-04,ALTG,9.82,9.82,9.82,9.82,0
2019-09-05,ALTG,9.81,9.85,9.81,9.85,70100
2019-09-06,ALTG,9.85,9.85,9.85,9.85,0
2019-09-09,ALTG,9.83,9.83,9.83,9.83,10000
2019-09-10,ALTG,9.83,9.98,9.81,9.98,223182
2019-09-11,ALTG,9.85,9.89,9.85,9.89,9769
2019-09-12,ALTG,9.92,9.92,9.92,9.92,400
2019-09-13,ALTG,9.87,9.89,9.87,9.88,9715
2019-09-16,ALTG,9.83,9.9,9.83,9.89,4183
2019-09-17,ALTG,9.9,9.94,9.875,9.94,3628
2019-09-18,ALTG,9.83,9.92,9.83,9.9,10255
2019-09-19,ALTG,9.92,9.92,9.92,9.92,147
2019-09-20,ALTG,9.92,9.92,9.92,9.92,133
2019-09-23,ALTG,9.92,9.92,9.92,9.92,0
2019-09-24,ALTG,9.92,9.92,9.92,9.92,0
2019-09-25,ALTG,9.91,9.92,9.91,9.92,214867
2019-09-26,ALTG,9.92,9.92,9.92,9.92,0
2019-09-27,ALTG,9.92,9.92,9.92,9.92,1
2019-09-30,ALTG,9.92,9.92,9.92,9.92,0
2019-10-01,ALTG,9.92,9.92,9.92,9.92,0
2019-10-02,ALTG,9.92,9.92,9.92,9.92,99
2019-10-03,ALTG,9.93,9.95,9.92,9.92,376
2019-10-04,ALTG,9.92,9.92,9.92,9.92,10000
2019-10-07,ALTG,9.92,9.92,9.92,9.92,0
2019-10-08,ALTG,9.92,9.92,9.92,9.92,0
2019-10-09,ALTG,9.82,9.9,9.82,9.9,300
2019-10-10,ALTG,9.86,9.86,9.85,9.85,4762
2019-10-11,ALTG,9.87,9.87,9.87,9.87,111
2019-10-14,ALTG,9.87,9.87,9.87,9.87,0
