date,ticker,open,high,low,close,volume
2021-02-01,AMPS,10.25,10.49,10.1,10.49,2131
2021-02-02,AMPS,10.49,10.8699,10.22,10.37,25540
2021-02-03,AMPS,10.35,10.53,10.35,10.41,20665
2021-02-04,AMPS,10.56,10.675,10.33,10.34,31010
2021-02-05,AMPS,10.49,10.49,10.21,10.46,34601
2021-02-08,AMPS,10.48,10.79,10.44,10.67,118373
2021-02-09,AMPS,10.59,10.96,10.59,10.7,34067
2021-02-10,AMPS,10.85,10.85,10.6,10.7,26759
2021-02-11,AMPS,10.81,10.9175,10.56,10.56,6750
2021-02-12,AMPS,10.66,11.0,10.51,10.57,83873
2021-02-16,AMPS,10.6,10.65,10.51,10.6,18463
2021-02-17,AMPS,10.64,10.64,10.52,10.64,6994
2021-02-18,AMPS,10.64,10.79,10.57,10.67,22162
2021-02-19,AMPS,10.75,10.8,10.63,10.64,59238
2021-02-22,AMPS,10.7,10.72,10.43,10.55,71143
2021-02-23,AMPS,10.49,10.68,10.19,10.4,68562
2021-02-24,AMPS,10.53,10.63,10.45,10.62,64120
2021-02-25,AMPS,10.58,10.65,10.46,10.51,55869
2021-02-26,AMPS,10.45,10.462,10.05,10.05,49617
2021-03-01,AMPS,10.21,10.4,10.13,10.13,85075
2021-03-02,AMPS,10.1,10.2,9.74,9.995,52254
2021-03-03,AMPS,9.97,10.22,9.96,10.0,83393
2021-03-04,AMPS,9.96,9.98,9.84,9.91,139115
2021-03-05,AMPS,9.92,10.01,9.72,9.93,1468176
2021-03-08,AMPS,9.95,10.01,9.93,10.0,236486
2021-03-09,AMPS,9.99,10.06,9.9728,10.015,39349
2021-03-10,AMPS,10.0,10.065,10.0,10.02,5696
2021-03-11,AMPS,10.11,10.18,10.0,10.18,57769
2021-03-12,AMPS,10.2107,10.225,9.95,9.99,24093
2021-03-15,AMPS,9.9913,10.0,9.99,9.99,1260
2021-03-16,AMPS,10.0199,10.0199,9.96,10.0,10640
2021-03-17,AMPS,9.97,9.99,9.905,9.95,7853
2021-03-18,AMPS,10.01,10.01,9.9,9.9,166130
2021-03-19,AMPS,9.93,10.0,9.9,9.99,6575
2021-03-22,AMPS,10.1,10.1,9.9,9.98,28595
2021-03-23,AMPS,9.99,9.99,9.71,9.71,74991
2021-03-24,AMPS,9.85,9.85,9.65,9.65,63494
2021-03-25,AMPS,9.38,9.82,9.32,9.8,184213
2021-03-26,AMPS,9.81,10.06,9.73,9.99,240335
2021-03-29,AMPS,9.9587,9.9587,9.66,9.68,46916
2021-03-30,AMPS,9.74,9.88,9.7,9.7,477094
2021-03-31,AMPS,9.77,9.83,9.71,9.75,60424
2021-04-01,AMPS,9.77,9.97,9.77,9.9,24083
2021-04-05,AMPS,9.9599,10.0,9.855,10.0,156664
2021-04-06,AMPS,9.9,9.99,9.89,9.91,120806
2021-04-07,AMPS,9.99,10.01,9.91,10.0,29525
2021-04-08,AMPS,10.0,10.02,9.95,9.99,510006
2021-04-09,AMPS,9.973,10.13,9.97,10.0408,10304
2021-04-12,AMPS,10.04,10.1,9.95,10.1,97434
2021-04-13,AMPS,10.04,10.04,9.95,9.97,171194
2021-04-14,AMPS,10.01,10.05,10.0,10.006,28774
2021-04-15,AMPS,10.0,10.0,9.98,9.98,1505
