date,ticker,open,high,low,close,volume
2022-01-31,ANGX,9.85,9.85,9.85,9.85,100
2022-02-01,ANGX,9.85,9.85,9.85,9.85,2
2022-02-02,ANGX,9.99,9.99,9.91,9.91,305
2022-02-03,ANGX,9.91,9.91,9.91,9.91,2
2022-02-04,ANGX,9.91,9.91,9.91,9.91,0
2022-02-07,ANGX,9.82,9.82,9.82,9.82,5002
2022-02-08,ANGX,9.92,9.92,9.92,9.92,103
2022-02-09,ANGX,9.92,9.92,9.92,9.92,0
2022-02-10,ANGX,9.92,9.92,9.92,9.92,0
2022-02-11,ANGX,9.8,9.8,9.8,9.8,100
2022-02-14,ANGX,9.8,9.8,9.8,9.8,5003
2022-02-15,ANGX,9.83,9.9,9.83,9.9,505999
2022-02-16,ANGX,9.9,9.9,9.9,9.9,0
2022-02-17,ANGX,9.9,9.9,9.9,9.9,0
2022-02-18,ANGX,9.82,9.82,9.82,9.82,50053
2022-02-22,ANGX,9.8201,9.87,9.8201,9.87,5522
2022-02-23,ANGX,9.76,9.82,9.76,9.82,52350
2022-02-24,ANGX,9.86,9.86,9.86,9.86,205
2022-02-25,ANGX,9.86,9.86,9.86,9.86,0
2022-02-28,ANGX,9.86,9.86,9.86,9.86,0
2022-03-01,ANGX,9.845,9.87,9.845,9.87,10275
2022-03-02,ANGX,9.85,9.85,9.85,9.85,226
2022-03-03,ANGX,9.87,9.88,9.865,9.865,55313
2022-03-04,ANGX,9.89,9.89,9.865,9.865,259
2022-03-07,ANGX,9.84,9.88,9.84,9.86,39030
2022-03-08,ANGX,9.85,9.85,9.85,9.85,1476
2022-03-09,ANGX,9.85,9.85,9.85,9.85,0
2022-03-10,ANGX,9.85,9.85,9.85,9.85,42
2022-03-11,ANGX,9.89,9.91,9.85,9.91,196135
2022-03-14,ANGX,9.91,9.91,9.91,9.91,40313
2022-03-15,ANGX,9.91,9.91,9.91,9.91,0
2022-03-16,ANGX,9.9,9.9,9.87,9.87,27073
