date,ticker,open,high,low,close,volume
2022-02-22,ANNA,9.6701,9.85,9.6701,9.85,11670
2022-02-23,ANNA,10.83,11.37,9.85,9.87,1612
2022-02-24,ANNA,9.71,9.75,9.7,9.7,201439
2022-02-25,ANNA,9.7,9.7,9.7,9.7,57
2022-02-28,ANNA,9.8,9.84,9.7327,9.84,603
2022-03-01,ANNA,9.87,9.87,9.76,9.87,12718
2022-03-02,ANNA,9.87,9.87,9.86,9.86,845
2022-03-03,ANNA,9.73,9.85,9.73,9.84,1567
2022-03-04,ANNA,9.805,9.87,9.805,9.87,207
2022-03-07,ANNA,9.74,9.85,9.74,9.85,799
2022-03-08,ANNA,9.76,9.84,9.76,9.84,2077
2022-03-09,ANNA,9.84,9.84,9.84,9.84,20
2022-03-10,ANNA,9.84,9.84,9.84,9.84,12
2022-03-11,ANNA,9.77,9.85,9.76,9.85,4368
2022-03-14,ANNA,9.85,9.85,9.85,9.85,8
2022-03-15,ANNA,9.85,9.85,9.85,9.85,35
2022-03-16,ANNA,9.7604,9.82,9.76,9.82,3601
2022-03-17,ANNA,9.82,9.82,9.82,9.82,3
2022-03-18,ANNA,9.82,9.82,9.82,9.82,14
2022-03-21,ANNA,9.77,9.77,9.76,9.7637,2462
2022-03-22,ANNA,9.76,9.76,9.75,9.76,2654
2022-03-23,ANNA,9.79,9.79,9.79,9.79,4011
2022-03-24,ANNA,9.79,9.79,9.79,9.79,2872
2022-03-25,ANNA,9.79,9.79,9.79,9.79,4105
2022-03-28,ANNA,9.79,9.79,9.79,9.79,30
2022-03-29,ANNA,9.79,9.79,9.79,9.79,5294
2022-03-30,ANNA,9.78,9.78,9.78,9.78,2185
2022-03-31,ANNA,9.82,9.8201,9.82,9.82,1877
2022-04-01,ANNA,9.82,9.82,9.82,9.82,1
2022-04-04,ANNA,9.81,9.82,9.81,9.82,22886
2022-04-05,ANNA,9.82,9.82,9.82,9.82,1
2022-04-06,ANNA,9.81,9.81,9.81,9.81,125035
2022-04-07,ANNA,9.81,9.82,9.81,9.82,1960016
2022-04-08,ANNA,9.82,9.82,9.82,9.82,6303
2022-04-11,ANNA,9.84,9.84,9.81,9.81,314
2022-04-12,ANNA,9.81,9.81,9.81,9.81,0
2022-04-13,ANNA,9.83,9.83,9.825,9.83,335150
2022-04-14,ANNA,9.83,9.83,9.83,9.83,30109
2022-04-18,ANNA,9.83,9.83,9.82,9.82,508
2022-04-19,ANNA,9.82,9.82,9.82,9.82,5
2022-04-20,ANNA,9.82,9.87,9.82,9.83,22070
2022-04-21,ANNA,9.83,9.83,9.82,9.82,2010
2022-04-22,ANNA,9.83,9.83,9.83,9.83,17927
2022-04-25,ANNA,9.83,9.83,9.83,9.83,2
2022-04-26,ANNA,9.83,9.83,9.83,9.83,701
2022-04-27,ANNA,9.83,9.84,9.83,9.83,1881100
2022-04-28,ANNA,9.84,9.84,9.835,9.84,290800
2022-04-29,ANNA,9.84,9.84,9.84,9.84,47
2022-05-02,ANNA,9.84,9.84,9.84,9.84,55
2022-05-03,ANNA,9.84,9.84,9.84,9.84,0
2022-05-04,ANNA,9.84,9.84,9.84,9.84,51
2022-05-05,ANNA,9.84,9.84,9.84,9.84,1090
2022-05-06,ANNA,9.85,9.85,9.85,9.85,455
2022-05-09,ANNA,9.85,9.85,9.85,9.85,12
2022-05-10,ANNA,9.85,9.85,9.85,9.85,7
2022-05-11,ANNA,9.85,9.85,9.85,9.85,5
2022-05-12,ANNA,9.8,9.85,9.8,9.8,10287
2022-05-13,ANNA,9.8,9.8,9.8,9.8,15
2022-05-16,ANNA,9.8,9.8,9.8,9.8,37
2022-05-17,ANNA,9.8,9.8,9.8,9.8,6
2022-05-18,ANNA,9.79,9.79,9.79,9.79,1756
2022-05-19,ANNA,9.78,9.78,9.78,9.78,601
2022-05-20,ANNA,9.78,9.78,9.78,9.78,6301
2022-05-23,ANNA,9.78,9.78,9.78,9.78,3
2022-05-24,ANNA,9.79,9.79,9.79,9.79,847
2022-05-25,ANNA,9.79,9.79,9.79,9.79,34
2022-05-26,ANNA,9.79,9.79,9.77,9.77,3619
2022-05-27,ANNA,9.77,9.77,9.77,9.77,12
2022-05-31,ANNA,9.86,9.86,9.815,9.815,32419
2022-06-01,ANNA,9.815,9.815,9.815,9.815,9
2022-06-02,ANNA,9.815,9.815,9.815,9.815,9
2022-06-03,ANNA,9.815,9.815,9.815,9.815,0
2022-06-06,ANNA,9.815,9.815,9.815,9.815,21
2022-06-07,ANNA,9.8,9.8,9.8,9.8,620
2022-06-08,ANNA,9.8,9.8,9.8,9.8,129
2022-06-09,ANNA,9.8,9.8,9.8,9.8,26
2022-06-10,ANNA,9.82,9.82,9.82,9.82,128
2022-06-13,ANNA,9.87,9.87,9.87,9.87,253
2022-06-14,ANNA,9.87,9.87,9.87,9.87,0
2022-06-15,ANNA,9.87,9.87,9.87,9.87,53
2022-06-16,ANNA,9.87,9.87,9.87,9.87,16
2022-06-17,ANNA,9.84,9.84,9.82,9.84,284673
2022-06-21,ANNA,9.84,9.85,9.84,9.85,400128
2022-06-22,ANNA,9.84,9.84,9.84,9.84,200124
2022-06-23,ANNA,9.84,9.84,9.84,9.84,100
2022-06-24,ANNA,9.84,9.84,9.84,9.84,0
2022-06-27,ANNA,9.84,9.84,9.84,9.84,2
2022-06-28,ANNA,9.84,9.84,9.84,9.84,199
2022-06-29,ANNA,9.85,9.85,9.85,9.85,135
2022-06-30,ANNA,9.82,9.82,9.82,9.82,8964
2022-07-01,ANNA,9.82,9.82,9.82,9.82,430
2022-07-05,ANNA,9.825,9.825,9.82,9.82,81832
2022-07-06,ANNA,9.84,9.84,9.82,9.82,135864
2022-07-07,ANNA,9.82,9.82,9.82,9.82,34
2022-07-08,ANNA,9.82,9.82,9.82,9.82,192
2022-07-11,ANNA,9.82,9.82,9.82,9.82,40
2022-07-12,ANNA,9.82,9.82,9.82,9.82,0
2022-07-13,ANNA,9.81,9.81,9.81,9.81,199
2022-07-14,ANNA,9.81,9.81,9.81,9.81,7
2022-07-15,ANNA,9.81,9.81,9.81,9.81,109
2022-07-18,ANNA,9.81,9.81,9.81,9.81,22
2022-07-19,ANNA,9.81,9.81,9.81,9.81,0
2022-07-20,ANNA,9.81,9.81,9.81,9.81,0
2022-07-21,ANNA,9.81,9.81,9.81,9.81,117
2022-07-22,ANNA,9.84,9.85,9.84,9.85,506
2022-07-25,ANNA,9.87,9.9,9.87,9.9,17020
2022-07-26,ANNA,9.87,9.89,9.87,9.88,200352
2022-07-27,ANNA,9.87,9.87,9.86,9.87,255917
2022-07-28,ANNA,9.89,9.89,9.87,9.87,408
2022-07-29,ANNA,9.87,9.87,9.87,9.87,0
2022-08-01,ANNA,9.885,9.885,9.87,9.87,1153
2022-08-02,ANNA,9.9,9.91,9.9,9.91,6879
2022-08-03,ANNA,9.91,9.91,9.91,9.91,4
2022-08-04,ANNA,9.9,9.9,9.9,9.9,159
2022-08-05,ANNA,9.9,9.9,9.9,9.9,41
2022-08-08,ANNA,9.91,9.91,9.9,9.9,10205
2022-08-09,ANNA,9.9,9.9,9.89,9.89,31203
2022-08-10,ANNA,9.865,9.89,9.865,9.89,45533
2022-08-11,ANNA,9.89,9.89,9.89,9.89,107
2022-08-12,ANNA,9.89,9.89,9.89,9.89,1
2022-08-15,ANNA,9.89,9.89,9.89,9.89,6
2022-08-16,ANNA,9.89,9.89,9.89,9.89,4
2022-08-17,ANNA,9.89,9.89,9.88,9.88,1194
2022-08-18,ANNA,9.88,9.88,9.88,9.88,271732
2022-08-19,ANNA,9.9,9.9,9.9,9.9,13497
2022-08-22,ANNA,9.9,9.9,9.9,9.9,10
2022-08-23,ANNA,9.91,9.91,9.9,9.91,2673
2022-08-24,ANNA,9.91,9.92,9.91,9.91,167043
2022-08-25,ANNA,9.91,9.91,9.91,9.91,9
2022-08-26,ANNA,9.91,9.91,9.91,9.91,2
2022-08-29,ANNA,9.91,9.91,9.91,9.91,10
2022-08-30,ANNA,9.91,9.91,9.91,9.91,839
2022-08-31,ANNA,9.91,9.91,9.91,9.91,746
2022-09-01,ANNA,9.91,9.91,9.91,9.91,429
2022-09-02,ANNA,9.91,9.91,9.91,9.91,100
2022-09-06,ANNA,9.91,9.91,9.91,9.91,0
2022-09-07,ANNA,9.93,9.955,9.92,9.93,84244
2022-09-08,ANNA,9.9385,9.9385,9.93,9.93,3675
2022-09-09,ANNA,9.945,9.945,9.93,9.93,14177
2022-09-12,ANNA,9.93,9.93,9.93,9.93,475051
2022-09-13,ANNA,9.88,9.88,9.88,9.88,158
2022-09-14,ANNA,9.91,9.915,9.9,9.9,6555
2022-09-15,ANNA,9.92,9.95,9.92,9.93,6550
2022-09-16,ANNA,9.89,9.89,9.89,9.89,158
2022-09-19,ANNA,9.89,9.91,9.89,9.9,1412
2022-09-20,ANNA,9.89,9.89,9.89,9.89,155
2022-09-21,ANNA,9.89,9.89,9.89,9.89,0
2022-09-22,ANNA,9.89,9.89,9.89,9.89,1
2022-09-23,ANNA,9.89,9.89,9.89,9.89,0
2022-09-26,ANNA,9.91,9.9101,9.91,9.91,17513
2022-09-27,ANNA,9.91,9.91,9.91,9.91,2
2022-09-28,ANNA,9.94,9.94,9.915,9.92,4127
2022-09-29,ANNA,9.92,9.92,9.92,9.92,3
2022-09-30,ANNA,9.92,9.92,9.92,9.92,1159
2022-10-03,ANNA,9.93,9.93,9.93,9.93,104092
2022-10-04,ANNA,9.93,9.93,9.93,9.93,81
2022-10-05,ANNA,9.93,9.93,9.93,9.93,27
2022-10-06,ANNA,9.93,9.93,9.93,9.93,2
2022-10-07,ANNA,9.93,9.93,9.93,9.93,0
2022-10-10,ANNA,9.93,9.93,9.93,9.93,0
2022-10-11,ANNA,9.94,9.94,9.94,9.94,600
2022-10-12,ANNA,9.94,9.94,9.94,9.94,105
2022-10-13,ANNA,9.94,9.94,9.94,9.94,0
2022-10-14,ANNA,9.95,9.95,9.95,9.95,101
2022-10-17,ANNA,9.95,9.96,9.95,9.96,43191
2022-10-18,ANNA,9.96,9.96,9.96,9.96,10
2022-10-19,ANNA,9.96,9.96,9.96,9.96,1
