date,ticker,open,high,low,close,volume
2021-11-26,APLM,9.85,9.9,9.85,9.9,312058
2021-11-29,APLM,9.9,9.9856,9.9,9.9,843425
2021-11-30,APLM,9.9,9.92,9.9,9.92,614093
2021-12-01,APLM,9.9,9.91,9.9,9.91,125005
2021-12-02,APLM,9.9,9.91,9.87,9.9,77553
2021-12-03,APLM,9.91,9.91,9.9,9.9,97753
2021-12-06,APLM,9.89,9.9,9.89,9.9,4202
2021-12-07,APLM,9.9014,9.9091,9.8997,9.9,335920
2021-12-08,APLM,9.91,9.91,9.91,9.91,6973
2021-12-09,APLM,9.89,9.91,9.89,9.91,158944
2021-12-10,APLM,9.91,9.91,9.9,9.91,45243
2021-12-13,APLM,9.8955,9.91,9.88,9.88,16902
2021-12-14,APLM,9.89,9.89,9.89,9.89,77429
2021-12-15,APLM,9.89,9.92,9.89,9.91,90766
2021-12-16,APLM,9.91,9.91,9.91,9.91,39332
2021-12-17,APLM,9.91,9.92,9.91,9.92,40935
2021-12-20,APLM,9.92,9.92,9.92,9.92,131
2021-12-21,APLM,9.92,9.92,9.92,9.92,0
2021-12-22,APLM,9.91,9.93,9.9,9.9,71082
2021-12-23,APLM,9.89,9.93,9.89,9.93,40981
2021-12-27,APLM,9.93,9.93,9.93,9.93,87
2021-12-28,APLM,9.92,9.93,9.91,9.93,52421
2021-12-29,APLM,9.93,9.93,9.93,9.93,1
2021-12-30,APLM,9.93,9.93,9.93,9.93,100
2021-12-31,APLM,9.93,9.93,9.93,9.93,0
2022-01-03,APLM,9.92,9.9307,9.92,9.93,247134
2022-01-04,APLM,9.92,9.93,9.89,9.89,18299
2022-01-05,APLM,9.94,9.94,9.94,9.94,19684
2022-01-06,APLM,9.94,9.94,9.94,9.94,10773
2022-01-07,APLM,9.94,9.94,9.94,9.94,0
2022-01-10,APLM,9.94,9.94,9.94,9.94,5
2022-01-11,APLM,9.93,9.94,9.9299,9.94,21476
2022-01-12,APLM,9.9316,9.94,9.9316,9.94,64711
2022-01-13,APLM,9.93,9.94,9.93,9.94,10278
2022-01-14,APLM,9.94,9.94,9.94,9.94,20711
2022-01-18,APLM,9.93,9.94,9.93,9.94,25665
2022-01-19,APLM,9.94,9.94,9.94,9.94,6688
2022-01-20,APLM,9.94,9.94,9.94,9.94,14684
2022-01-21,APLM,9.94,9.94,9.94,9.94,26970
2022-01-24,APLM,9.94,9.94,9.94,9.94,3713
2022-01-25,APLM,9.94,9.94,9.94,9.94,4291
2022-01-26,APLM,9.94,9.94,9.93,9.93,11089
2022-01-27,APLM,9.94,9.95,9.92,9.95,39161
2022-01-28,APLM,9.95,9.95,9.95,9.95,30
2022-01-31,APLM,9.94,9.94,9.935,9.935,4322
2022-02-01,APLM,9.94,9.95,9.93,9.95,9514
