date,ticker,open,high,low,close,volume
2017-11-17,ARKO,9.85,9.85,9.69,9.69,300
2017-11-20,ARKO,9.69,9.69,9.69,9.69,0
2017-11-21,ARKO,9.69,9.69,9.69,9.69,0
2017-11-22,ARKO,9.69,9.69,9.69,9.69,2
2017-11-24,ARKO,9.69,9.69,9.69,9.69,0
2017-11-27,ARKO,9.5001,9.5137,9.5001,9.5137,200
2017-11-28,ARKO,9.514,9.514,9.514,9.514,0
2017-11-29,ARKO,9.514,9.514,9.514,9.514,0
2017-11-30,ARKO,9.5,9.5,9.5,9.5,18474
2017-12-01,ARKO,9.59,9.6,9.59,9.6,9776
2017-12-04,ARKO,9.6,9.6,9.6,9.6,0
2017-12-05,ARKO,9.52,9.53,9.52,9.52,15000
2017-12-06,ARKO,9.52,9.52,9.52,9.52,0
2017-12-07,ARKO,9.53,9.543,9.53,9.543,2000
2017-12-08,ARKO,9.543,9.543,9.543,9.543,0
2017-12-11,ARKO,9.53,9.53,9.51,9.51,400400
2017-12-12,ARKO,9.51,9.51,9.51,9.51,0
2017-12-13,ARKO,9.51,9.51,9.51,9.51,0
2017-12-14,ARKO,9.51,9.51,9.51,9.51,0
2017-12-15,ARKO,9.51,9.51,9.5,9.5,309998
2017-12-18,ARKO,9.5,9.5,9.5,9.5,0
2017-12-19,ARKO,9.5,9.5,9.5,9.5,0
2017-12-20,ARKO,9.5,9.5,9.5,9.5,12
2017-12-21,ARKO,9.5,9.5,9.5,9.5,0
2017-12-22,ARKO,9.521,9.529,9.521,9.529,6806
2017-12-26,ARKO,9.529,9.529,9.529,9.529,0
2017-12-27,ARKO,9.56,9.56,9.56,9.56,1000
2017-12-28,ARKO,9.56,9.56,9.56,9.56,0
2017-12-29,ARKO,9.56,9.56,9.56,9.56,0
2018-01-02,ARKO,9.56,9.56,9.56,9.56,0
2018-01-03,ARKO,9.56,9.56,9.56,9.56,0
2018-01-04,ARKO,9.56,9.56,9.56,9.56,0
2018-01-05,ARKO,9.56,9.56,9.56,9.56,0
2018-01-08,ARKO,9.56,9.56,9.56,9.56,0
2018-01-09,ARKO,9.56,9.56,9.56,9.56,0
2018-01-10,ARKO,9.56,9.56,9.56,9.56,0
