date,ticker,open,high,low,close,volume
2022-04-11,ASBP,9.97,9.99,9.96,9.99,49156
2022-04-12,ASBP,9.99,9.99,9.99,9.99,1112
2022-04-13,ASBP,9.97,10.0,9.97,10.0,5180
2022-04-14,ASBP,10.0,10.02,10.0,10.0001,32343
2022-04-18,ASBP,10.0,10.02,10.0,10.02,100383
2022-04-19,ASBP,10.0,10.0177,10.0,10.0177,24197
2022-04-20,ASBP,10.05,10.05,10.0,10.0088,499372
2022-04-21,ASBP,10.05,10.05,10.0018,10.0018,150497
2022-04-22,ASBP,10.01,10.5,10.0,10.02,4290
2022-04-25,ASBP,10.02,10.0225,9.98,10.0,10187
2022-04-26,ASBP,10.0205,10.0205,9.98,9.9801,2054
2022-04-27,ASBP,9.98,9.9868,9.98,9.9805,2012
2022-04-28,ASBP,9.98,9.99,9.98,9.985,4803
2022-04-29,ASBP,9.98,9.98,9.98,9.98,2602
2022-05-02,ASBP,9.98,10.015,9.98,10.015,3041
2022-05-03,ASBP,9.98,9.98,9.98,9.98,322
2022-05-04,ASBP,9.98,9.98,9.98,9.98,276
2022-05-05,ASBP,10.015,10.03,10.015,10.03,713
2022-05-06,ASBP,9.98,10.0034,9.98,9.98,1550
2022-05-09,ASBP,10.015,10.015,9.98,9.98,2768
2022-05-10,ASBP,9.97,9.9701,9.96,9.9701,149007
2022-05-11,ASBP,9.95,9.97,9.95,9.96,3102
2022-05-12,ASBP,9.95,9.967,9.95,9.967,538
2022-05-13,ASBP,9.9501,9.9501,9.9501,9.9501,250
2022-05-16,ASBP,9.96,9.96,9.96,9.96,463
2022-05-17,ASBP,9.95,9.96,9.95,9.96,500098
2022-05-18,ASBP,9.95,9.95,9.95,9.95,1050
2022-05-19,ASBP,9.95,9.95,9.95,9.95,278
2022-05-20,ASBP,9.9746,9.9746,9.95,9.9501,700
2022-05-23,ASBP,9.95,9.9712,9.95,9.95,848
2022-05-24,ASBP,9.95,9.9516,9.94,9.95,64246
2022-05-25,ASBP,9.94,9.9619,9.94,9.9415,1309
2022-05-26,ASBP,9.95,9.9501,9.95,9.9501,545
2022-05-27,ASBP,9.95,9.95,9.95,9.95,400
2022-05-31,ASBP,9.95,9.95,9.95,9.95,301
2022-06-01,ASBP,9.95,9.98,9.95,9.98,14541
2022-06-02,ASBP,9.99,10.0,9.98,10.0,6444
2022-06-03,ASBP,9.99,10.01,9.99,10.01,4452
2022-06-06,ASBP,10.0104,10.0104,10.0104,10.0104,174
2022-06-07,ASBP,9.995,9.995,9.995,9.995,245
2022-06-08,ASBP,9.97,9.97,9.97,9.97,107
2022-06-09,ASBP,9.97,9.97,9.97,9.97,135
2022-06-10,ASBP,9.99,9.99,9.9899,9.9899,10114
2022-06-13,ASBP,9.98,9.99,9.98,9.9801,2645
2022-06-14,ASBP,10.04,10.04,9.98,9.98,21785
2022-06-15,ASBP,9.98,9.9801,9.97,9.97,5503
2022-06-16,ASBP,9.97,9.995,9.97,9.97,50691
2022-06-17,ASBP,9.97,9.97,9.97,9.97,6
2022-06-21,ASBP,9.97,9.97,9.97,9.97,9
2022-06-22,ASBP,10.0,10.0,9.9601,9.9601,8632
2022-06-23,ASBP,10.03,10.03,9.965,9.965,2388
2022-06-24,ASBP,10.0,10.0,9.96,9.9785,704
2022-06-27,ASBP,10.0,10.0,9.9701,9.9701,544
2022-06-28,ASBP,10.02,10.02,9.97,9.97,1150510
2022-06-29,ASBP,9.9801,10.0,9.98,9.99,189159
2022-06-30,ASBP,9.98,10.0202,9.98,9.98,3100
2022-07-01,ASBP,9.9966,9.9966,9.9966,9.9966,241
2022-07-05,ASBP,9.9966,9.9966,9.9966,9.9966,2
2022-07-06,ASBP,9.9966,9.9966,9.9966,9.9966,5
2022-07-07,ASBP,10.005,10.005,10.005,10.005,133087
2022-07-08,ASBP,9.98,9.98,9.98,9.98,135
2022-07-11,ASBP,9.98,9.98,9.98,9.98,204
2022-07-12,ASBP,9.98,9.98,9.98,9.98,56
2022-07-13,ASBP,10.0,10.0,10.0,10.0,111
2022-07-14,ASBP,9.98,9.99,9.98,9.99,370
2022-07-15,ASBP,9.99,9.99,9.99,9.99,509
2022-07-18,ASBP,9.99,9.99,9.99,9.99,18
2022-07-19,ASBP,10.01,10.01,9.98,9.98,750
2022-07-20,ASBP,9.9999,10.0,9.9901,9.9901,621
2022-07-21,ASBP,10.015,10.02,9.99,9.99,1637
2022-07-22,ASBP,10.03,10.05,10.02,10.05,28888
2022-07-25,ASBP,10.0,10.0,10.0,10.0,1061
2022-07-26,ASBP,10.0001,10.02,10.0001,10.01,1193
2022-07-27,ASBP,10.01,10.025,10.01,10.0144,444924
2022-07-28,ASBP,10.025,10.025,10.025,10.025,453249
2022-07-29,ASBP,10.025,10.025,10.025,10.025,0
2022-08-01,ASBP,10.01,10.04,10.01,10.02,23141
2022-08-02,ASBP,10.0201,10.0201,10.02,10.02,674
2022-08-03,ASBP,10.02,10.05,10.02,10.05,2844
2022-08-04,ASBP,10.05,10.0501,10.035,10.05,99996
2022-08-05,ASBP,10.05,10.05,10.05,10.05,50
2022-08-08,ASBP,10.04,10.0502,10.04,10.0502,35827
2022-08-09,ASBP,10.0533,10.0533,10.05,10.05,10815
2022-08-10,ASBP,10.055,10.055,10.04,10.05,23690
2022-08-11,ASBP,10.05,10.05,10.05,10.05,98777
2022-08-12,ASBP,10.05,10.06,10.05,10.06,42409
2022-08-15,ASBP,10.05,10.055,10.05,10.05,3953
2022-08-16,ASBP,10.05,10.06,10.05,10.06,310208
2022-08-17,ASBP,10.04,10.04,10.04,10.04,73306
2022-08-18,ASBP,10.04,10.04,10.04,10.04,894
2022-08-19,ASBP,10.03,10.05,10.03,10.05,27641
2022-08-22,ASBP,10.0401,10.06,10.04,10.06,23331
2022-08-23,ASBP,10.06,10.07,10.0527,10.07,96851
2022-08-24,ASBP,10.07,10.08,10.06,10.07,666400
2022-08-25,ASBP,10.09,10.09,10.08,10.08,126270
2022-08-26,ASBP,10.05,10.07,10.05,10.07,226
2022-08-29,ASBP,10.08,10.1,10.0601,10.0601,26137
2022-08-30,ASBP,10.085,10.085,10.085,10.085,210
2022-08-31,ASBP,10.085,10.085,10.085,10.085,0
2022-09-01,ASBP,10.085,10.085,10.085,10.085,11
2022-09-02,ASBP,10.08,10.085,10.075,10.08,1700
2022-09-06,ASBP,10.09,10.09,10.09,10.09,577
2022-09-07,ASBP,10.09,10.09,10.086,10.086,1146
2022-09-08,ASBP,10.1,10.1,10.09,10.09,2056
2022-09-09,ASBP,10.08,10.09,10.0754,10.085,3655
2022-09-12,ASBP,10.08,10.09,10.076,10.09,4154
2022-09-13,ASBP,10.09,10.09,10.09,10.09,212
2022-09-14,ASBP,10.09,10.09,10.09,10.09,23
2022-09-15,ASBP,10.09,10.09,10.09,10.09,174
2022-09-16,ASBP,10.08,10.1,10.08,10.1,68704
2022-09-19,ASBP,10.1,10.1,10.1,10.1,2138
2022-09-20,ASBP,10.1,10.11,10.09,10.11,501501
2022-09-21,ASBP,10.6,10.6,10.1,10.1,66345
2022-09-22,ASBP,10.14,10.14,10.1,10.1,1242
2022-09-23,ASBP,10.115,10.115,10.11,10.11,757
2022-09-26,ASBP,10.11,10.11,10.11,10.11,5467
2022-09-27,ASBP,10.1,10.115,10.1,10.115,1700
2022-09-28,ASBP,10.12,10.13,10.11,10.125,182055
2022-09-29,ASBP,10.11,10.135,10.11,10.13,55631
2022-09-30,ASBP,10.14,10.14,10.14,10.14,1450
2022-10-03,ASBP,10.12,10.12,10.115,10.115,2656
2022-10-04,ASBP,10.13,10.13,10.13,10.13,5051
2022-10-05,ASBP,10.1,10.1,10.09,10.09,21648
2022-10-06,ASBP,10.09,10.09,10.09,10.09,0
2022-10-07,ASBP,10.55,10.55,10.09,10.1,10705
2022-10-10,ASBP,10.095,10.105,10.095,10.105,3245
2022-10-11,ASBP,10.11,10.11,10.11,10.11,166
2022-10-12,ASBP,10.11,10.11,10.1,10.1,1501
2022-10-13,ASBP,10.1,10.1,10.1,10.1,445
2022-10-14,ASBP,10.1,10.1,10.1,10.1,77
2022-10-17,ASBP,10.11,10.11,10.1,10.105,3246
2022-10-18,ASBP,10.1,10.12,10.1,10.11,37057
2022-10-19,ASBP,10.12,10.12,10.12,10.12,108
2022-10-20,ASBP,10.145,10.155,10.145,10.155,452
2022-10-21,ASBP,10.16,10.16,10.155,10.16,3672
2022-10-24,ASBP,10.15,10.15,10.15,10.15,403
2022-10-25,ASBP,10.15,10.15,10.15,10.15,5218
2022-10-26,ASBP,10.16,10.16,10.15,10.15,68241
2022-10-27,ASBP,10.16,10.17,10.16,10.17,200005
2022-10-28,ASBP,10.175,10.175,10.175,10.175,200
2022-10-31,ASBP,10.17,10.172,10.17,10.17,93062
2022-11-01,ASBP,10.18,10.18,10.17,10.178,14758
2022-11-02,ASBP,10.18,10.1822,10.175,10.18,58010
2022-11-03,ASBP,10.18,10.18,10.18,10.18,1
2022-11-04,ASBP,10.182,10.185,10.18,10.185,1648
2022-11-07,ASBP,10.19,10.195,10.19,10.19,27483
2022-11-08,ASBP,10.1999,10.2,10.1999,10.2,362
2022-11-09,ASBP,10.2,10.2,10.2,10.2,5
2022-11-10,ASBP,10.1901,10.2,10.1901,10.2,3650
2022-11-11,ASBP,10.205,10.205,10.205,10.205,200
2022-11-14,ASBP,10.205,10.2102,10.205,10.2102,3782
2022-11-15,ASBP,10.2484,10.2484,10.21,10.2101,2322
2022-11-16,ASBP,10.22,10.23,10.2192,10.225,104065
2022-11-17,ASBP,10.225,10.225,10.225,10.225,100
2022-11-18,ASBP,10.225,10.225,10.225,10.225,665
2022-11-21,ASBP,10.225,10.225,10.225,10.225,231
2022-11-22,ASBP,10.23,10.235,10.23,10.2301,2655
2022-11-23,ASBP,10.235,10.235,10.235,10.235,100
2022-11-25,ASBP,10.235,10.235,10.235,10.235,100
