date,ticker,open,high,low,close,volume
2021-10-20,ASTL,12.0,12.0,11.61,11.73,404501
2021-10-21,ASTL,11.59,12.09,11.17,11.35,605625
2021-10-22,ASTL,11.55,11.55,11.24,11.54,321616
2021-10-25,ASTL,11.65,11.93,11.39,11.86,820771
2021-10-26,ASTL,11.95,12.25,11.55,11.7,487008
2021-10-27,ASTL,11.62,11.69,11.23,11.28,347825
2021-10-28,ASTL,11.3,11.3,10.72,10.75,677406
2021-10-29,ASTL,11.03,11.45,11.03,11.34,600991
2021-11-01,ASTL,11.3,11.59,10.99,11.2,458049
2021-11-02,ASTL,11.09,11.2274,10.83,10.88,393180
2021-11-03,ASTL,10.89,10.99,10.82,10.9,185949
2021-11-04,ASTL,11.07,11.31,10.97,11.31,494067
2021-11-05,ASTL,11.39,11.4,11.21,11.36,536663
2021-11-08,ASTL,11.51,12.07,11.5,11.7,560977
2021-11-09,ASTL,11.82,11.99,11.37,11.75,404897
2021-11-10,ASTL,11.86,12.04,11.44,11.62,880838
2021-11-11,ASTL,11.69,13.0,11.69,13.0,2565231
2021-11-12,ASTL,13.4689,13.65,12.13,12.135,1891872
2021-11-15,ASTL,12.21,12.41,11.74,11.79,586484
2021-11-16,ASTL,11.73,11.87,11.22,11.3,646409
2021-11-17,ASTL,11.26,11.52,10.84,10.9,562463
2021-11-18,ASTL,10.85,11.0,10.55,10.75,550083
2021-11-19,ASTL,10.62,10.8,10.49,10.75,314547
2021-11-22,ASTL,10.71,11.22,10.69,11.0,531111
2021-11-23,ASTL,10.99,11.16,10.66,10.95,492882
2021-11-24,ASTL,10.9,11.28,10.9,11.18,138483
2021-11-26,ASTL,10.9,11.0,10.43,10.66,321787
2021-11-29,ASTL,11.05,11.38,10.85,11.1,894525
2021-11-30,ASTL,11.04,11.13,10.62,10.86,646390
2021-12-01,ASTL,11.0,11.17,10.42,10.48,313993
2021-12-02,ASTL,10.44,10.54,10.17,10.23,550568
2021-12-03,ASTL,10.18,10.37,9.78,9.97,798490
2021-12-06,ASTL,10.07,10.1085,9.77,9.78,410310
2021-12-07,ASTL,10.19,10.59,10.0601,10.37,596273
2021-12-08,ASTL,10.35,10.55,10.29,10.42,238407
2021-12-09,ASTL,10.4,10.4,9.91,9.93,222598
2021-12-10,ASTL,10.01,10.08,9.63,9.75,334602
2021-12-13,ASTL,9.73,9.87,9.19,9.23,736383
2021-12-14,ASTL,9.15,9.38,8.89,9.18,748625
