date,ticker,open,high,low,close,volume
2020-11-19,BKKT,11.0,11.0,11.0,11.0,508
2020-11-20,BKKT,9.6,9.6,9.6,9.6,501
2020-11-23,BKKT,10.5,10.5,9.65,9.65,251464
2020-11-24,BKKT,9.7,9.75,9.7,9.7,401039
2020-11-25,BKKT,9.9,9.95,9.8525,9.9,668
2020-11-27,BKKT,9.9,9.9,9.9,9.9,53
2020-11-30,BKKT,9.8,9.81,9.7167,9.75,352485
2020-12-01,BKKT,9.95,10.1,9.7,9.7,5007
2020-12-02,BKKT,9.8053,10.0,9.7001,9.71,1326
2020-12-03,BKKT,9.71,9.8,9.71,9.75,52787
2020-12-04,BKKT,9.75,9.75,9.75,9.75,30952
2020-12-07,BKKT,9.85,10.015,9.85,10.015,60112
2020-12-08,BKKT,9.9,9.9,9.89,9.9,28380
2020-12-09,BKKT,10.024,10.1217,10.0,10.0,170747
2020-12-10,BKKT,9.87,10.0,9.87,9.96,123212
2020-12-11,BKKT,10.0,10.1,10.0,10.0,7117
2020-12-14,BKKT,10.18,10.21,9.94,10.0,202442
2020-12-15,BKKT,10.0,10.01,10.0,10.01,106640
2020-12-16,BKKT,10.2237,10.23,10.0,10.01,53206
2020-12-17,BKKT,10.12,10.12,10.01,10.02,48823
2020-12-18,BKKT,10.14,10.15,10.05,10.05,9182
2020-12-21,BKKT,10.03,10.05,10.03,10.05,3591
2020-12-22,BKKT,10.1001,10.1001,10.1001,10.1001,190
2020-12-23,BKKT,10.14,10.2111,10.14,10.2111,23298
2020-12-24,BKKT,10.2111,10.2111,10.2111,10.2111,140
2020-12-28,BKKT,10.1,10.12,9.95,9.95,24161
2020-12-29,BKKT,10.025,10.05,9.95,10.0,14345
2020-12-30,BKKT,10.1,10.1,10.01,10.01,4024
2020-12-31,BKKT,10.02,10.175,10.02,10.08,4307
2021-01-04,BKKT,10.24,10.29,10.24,10.25,5399
2021-01-05,BKKT,10.3,10.3,10.15,10.28,10616
2021-01-06,BKKT,10.27,10.3,10.17,10.17,22323
2021-01-07,BKKT,10.2648,10.45,10.2648,10.41,39445
2021-01-08,BKKT,16.27,17.0,14.59,16.48,4922625
2021-01-11,BKKT,15.515,15.61,14.5834,15.0,6571066
2021-01-12,BKKT,15.77,18.35,15.64,17.3,5743771
2021-01-13,BKKT,17.35,17.55,15.5,15.76,3103172
2021-01-14,BKKT,16.47,16.75,15.05,15.4,2591976
2021-01-15,BKKT,15.6,15.83,14.08,14.42,2287828
2021-01-19,BKKT,14.845,15.1,14.2001,14.61,2781865
2021-01-20,BKKT,14.73,15.05,13.97,14.57,1943288
2021-01-21,BKKT,14.5,15.25,14.3806,14.89,2184966
2021-01-22,BKKT,14.57,15.48,14.57,15.02,1412392
2021-01-25,BKKT,15.76,15.82,14.6,15.1,2322189
2021-01-26,BKKT,15.01,15.325,14.8,14.91,1344832
2021-01-27,BKKT,14.84,14.91,13.3535,13.46,3067040
2021-01-28,BKKT,14.0,14.2999,13.8,13.97,989678
2021-01-29,BKKT,14.65,15.25,14.07,14.93,1624871
2021-02-01,BKKT,14.8,15.5,14.77,15.0,1063388
2021-02-02,BKKT,15.0,15.23,14.55,14.89,640227
2021-02-03,BKKT,15.0,17.2499,15.0,16.76,1599975
2021-02-04,BKKT,16.79,17.0,15.75,16.59,1152281
2021-02-05,BKKT,17.0,17.6,16.55,16.92,539276
2021-02-08,BKKT,18.99,20.26,18.4,19.01,1706752
2021-02-09,BKKT,19.77,19.77,17.95,19.59,825067
2021-02-10,BKKT,19.82,19.905,17.66,17.9,1304631
2021-02-11,BKKT,18.86,18.99,17.59,18.08,680158
2021-02-12,BKKT,17.52,18.5,17.25,18.25,523751
2021-02-16,BKKT,18.94,19.92,18.52,18.87,747966
2021-02-17,BKKT,19.5,19.615,17.19,18.43,1243763
2021-02-18,BKKT,17.68,22.56,17.56,19.0,2389562
2021-02-19,BKKT,19.58,19.8,18.54,18.73,951302
2021-02-22,BKKT,16.86,18.5,16.4,17.7,1264310
2021-02-23,BKKT,15.63,15.97,14.84,15.41,2105845
2021-02-24,BKKT,14.85,15.91,14.8,15.1,639546
2021-02-25,BKKT,15.28,16.8,14.5601,14.91,1239613
2021-02-26,BKKT,14.6,15.25,14.41,14.97,555246
2021-03-01,BKKT,15.56,15.75,15.15,15.45,330955
2021-03-02,BKKT,15.87,16.29,14.8,15.02,688776
2021-03-03,BKKT,15.12,15.59,13.69,13.81,945485
2021-03-04,BKKT,13.45,14.18,12.35,12.64,1456189
2021-03-05,BKKT,13.65,13.95,11.82,13.39,1090367
2021-03-08,BKKT,13.4,13.8,12.16,12.54,1123420
2021-03-09,BKKT,13.28,14.29,12.85,13.9,681948
2021-03-10,BKKT,14.54,15.23,14.0,14.61,1110115
2021-03-11,BKKT,15.0,15.75,14.89,15.3,1095446
2021-03-12,BKKT,14.46,14.89,14.0,14.67,363073
2021-03-15,BKKT,14.49,14.75,14.06,14.52,533410
2021-03-16,BKKT,14.7,15.2,14.24,14.66,411663
2021-03-17,BKKT,14.5,15.07,13.92,15.07,295423
2021-03-18,BKKT,14.76,14.89,13.86,14.03,269743
2021-03-19,BKKT,14.3344,14.68,13.31,13.65,366346
2021-03-22,BKKT,13.89,14.09,13.415,13.54,161624
2021-03-23,BKKT,13.6,14.45,12.63,14.05,1017458
2021-03-24,BKKT,14.05,14.42,12.64,12.85,776037
2021-03-25,BKKT,12.59,13.16,12.16,12.96,556932
2021-03-26,BKKT,12.84,13.635,12.7,12.75,1254863
2021-03-29,BKKT,12.81,12.9999,11.723,11.92,632308
2021-03-30,BKKT,11.65,12.7,11.5,12.48,616727
2021-03-31,BKKT,12.5,13.1,12.5,12.99,289456
2021-04-01,BKKT,13.5,14.28,13.5,14.06,593607
2021-04-05,BKKT,14.87,14.87,13.9401,14.04,477381
2021-04-06,BKKT,14.09,14.39,13.64,13.82,475669
2021-04-07,BKKT,13.89,14.23,13.65,13.95,441862
2021-04-08,BKKT,14.17,14.81,14.11,14.81,533109
2021-04-09,BKKT,14.65,14.74,14.06,14.25,297042
2021-04-12,BKKT,14.68,15.43,14.4803,14.99,995187
2021-04-13,BKKT,15.03,15.45,14.49,15.11,805065
2021-04-14,BKKT,15.9,15.98,13.14,13.28,2282540
2021-04-15,BKKT,13.35,13.4,11.8,12.37,1690643
2021-04-16,BKKT,12.14,12.3199,11.4,11.69,829077
2021-04-19,BKKT,11.28,11.35,10.51,10.52,1427376
2021-04-20,BKKT,10.55,11.13,10.35,10.57,523840
2021-04-21,BKKT,10.42,11.09,10.38,10.89,539610
2021-04-22,BKKT,10.89,11.21,10.49,10.81,382794
2021-04-23,BKKT,10.71,10.98,10.68,10.92,240441
2021-04-26,BKKT,10.97,11.21,10.8,10.86,291240
2021-04-27,BKKT,10.9,11.23,10.85,10.91,197291
2021-04-28,BKKT,10.9052,11.12,10.87,11.05,226731
2021-04-29,BKKT,11.34,11.5,10.7,10.76,318540
2021-04-30,BKKT,10.7,10.94,10.7,10.94,160463
2021-05-03,BKKT,10.91,10.91,10.61,10.72,379001
2021-05-04,BKKT,10.59,10.815,10.33,10.73,353157
2021-05-05,BKKT,10.71,11.37,10.65,10.85,250312
2021-05-06,BKKT,10.8,10.916,10.41,10.67,297406
2021-05-07,BKKT,10.54,11.2,10.54,10.99,327327
2021-05-10,BKKT,11.0,11.1199,10.5499,10.61,135003
2021-05-11,BKKT,10.25,10.56,10.11,10.51,428080
2021-05-12,BKKT,10.35,10.6199,10.19,10.2,281993
2021-05-13,BKKT,10.29,10.38,10.15,10.24,382865
2021-05-14,BKKT,10.21,10.43,10.2,10.26,138720
2021-05-17,BKKT,10.15,10.31,10.14,10.31,190390
2021-05-18,BKKT,10.32,10.32,10.165,10.18,165945
2021-05-19,BKKT,10.02,10.3,9.96,10.1,471973
2021-05-20,BKKT,10.12,10.68,10.12,10.4,275752
2021-05-21,BKKT,10.42,10.49,10.15,10.19,204433
2021-05-24,BKKT,10.21,10.3,10.11,10.22,217128
2021-05-25,BKKT,10.25,10.28,10.16,10.2,257125
2021-05-26,BKKT,10.2,10.36,10.2,10.31,142097
2021-05-27,BKKT,10.21,10.45,10.21,10.29,184880
2021-05-28,BKKT,10.25,10.3,10.17,10.2,186258
2021-06-01,BKKT,10.27,10.29,10.07,10.14,474106
2021-06-02,BKKT,10.1,10.26,10.1,10.21,239710
2021-06-03,BKKT,10.19,10.29,10.14,10.2,457468
2021-06-04,BKKT,10.2,10.38,10.17,10.25,409833
2021-06-07,BKKT,10.26,10.4898,10.26,10.48,165570
2021-06-08,BKKT,10.51,10.69,10.17,10.38,546346
2021-06-09,BKKT,10.45,10.6,10.33,10.38,873085
2021-06-10,BKKT,10.36,10.39,10.2425,10.32,329500
2021-06-11,BKKT,10.29,10.42,10.29,10.34,315280
2021-06-14,BKKT,10.34,10.5,10.26,10.34,330674
2021-06-15,BKKT,10.34,10.39,10.29,10.31,317136
2021-06-16,BKKT,10.35,10.3784,10.29,10.3,217602
2021-06-17,BKKT,10.35,10.375,10.25,10.27,459410
2021-06-18,BKKT,10.28,10.34,10.1,10.13,441287
2021-06-21,BKKT,10.13,10.22,10.02,10.22,1026318
2021-06-22,BKKT,10.09,10.14,10.0,10.1,351913
2021-06-23,BKKT,10.11,10.11,10.02,10.03,455796
2021-06-24,BKKT,10.05,10.07,9.93,9.95,708288
2021-06-25,BKKT,9.96,10.06,9.94,10.0,701657
2021-06-28,BKKT,10.01,10.06,9.96,9.98,493994
2021-06-29,BKKT,10.0,10.1,9.99,9.99,533948
2021-06-30,BKKT,10.02,10.04,9.98,10.01,569862
2021-07-01,BKKT,10.01,10.05,10.0,10.04,442325
2021-07-02,BKKT,10.03,10.09,10.0,10.09,222248
2021-07-06,BKKT,10.1,10.11,9.9982,10.0,216682
2021-07-07,BKKT,10.0376,10.05,9.97,9.97,2530495
2021-07-08,BKKT,9.95,9.97,9.88,9.9,927509
2021-07-09,BKKT,9.91,9.96,9.91,9.93,306840
2021-07-12,BKKT,9.93,9.94,9.86,9.87,497090
2021-07-13,BKKT,9.87,9.92,9.8601,9.91,645993
2021-07-14,BKKT,9.9,9.93,9.89,9.91,471303
2021-07-15,BKKT,9.9,9.93,9.9,9.92,224542
2021-07-16,BKKT,9.93,9.935,9.9,9.91,540431
2021-07-19,BKKT,9.9,9.91,9.86,9.9,1562365
2021-07-20,BKKT,9.89,9.9,9.885,9.9,228538
2021-07-21,BKKT,9.91,9.91,9.89,9.91,201526
2021-07-22,BKKT,9.91,9.91,9.895,9.91,408751
2021-07-23,BKKT,9.91,9.915,9.855,9.89,535503
2021-07-26,BKKT,9.87,9.92,9.87,9.91,445644
2021-07-27,BKKT,9.9,9.9,9.82,9.86,1113908
2021-07-28,BKKT,9.87,9.87,9.82,9.83,434614
2021-07-29,BKKT,9.82,9.92,9.82,9.87,1477095
