date,ticker,open,high,low,close,volume
2024-03-04,BODI,7.65,8.27,7.65,8.16,11981
2024-03-05,BODI,7.74,8.16,6.93,8.06,18127
2024-03-06,BODI,8.11,9.0,8.11,8.74,22011
2024-03-07,BODI,8.72,10.41,8.38,9.48,35547
2024-03-08,BODI,9.47,9.5299,9.3,9.34,9305
2024-03-11,BODI,9.47,9.5,8.17,9.09,15707
2024-03-12,BODI,10.92,11.31,10.21,10.37,98286
2024-03-13,BODI,10.04,10.3858,9.51,9.77,17840
2024-03-14,BODI,9.53,9.91,8.84,8.97,63483
2024-03-15,BODI,8.62,9.5,8.0,8.54,40532
2024-03-18,BODI,8.54,8.695,8.27,8.32,10244
2024-03-19,BODI,8.11,8.64,8.1,8.27,14161
2024-03-20,BODI,8.37,9.1,8.37,9.0,20619
2024-03-21,BODI,9.03,9.75,9.03,9.6,33813
2024-03-22,BODI,9.28,9.29,8.86,9.18,10030
2024-03-25,BODI,8.9,9.28,8.64,9.14,13882
2024-03-26,BODI,9.08,9.39,9.07,9.28,6590
2024-03-27,BODI,9.25,9.81,9.01,9.7,15051
2024-03-28,BODI,9.48,9.76,9.43,9.6,9368
2024-04-01,BODI,9.76,9.98,9.2,9.56,9442
2024-04-02,BODI,9.35,9.58,9.25,9.52,6897
2024-04-03,BODI,9.42,9.61,9.37,9.6,4873
2024-04-04,BODI,9.67,9.895,9.54,9.7,9425
2024-04-05,BODI,9.55,9.86,9.33,9.57,3516
2024-04-08,BODI,9.6,9.7775,9.33,9.76,7193
2024-04-09,BODI,9.5508,9.98,9.5,9.75,4540
2024-04-10,BODI,9.46,10.8,9.26,10.8,26584
2024-04-11,BODI,10.56,10.8,9.7,10.2,8658
2024-04-12,BODI,9.96,9.96,9.41,9.5,14785
2024-04-15,BODI,9.5,9.5,8.65,9.05,15494
2024-04-16,BODI,9.05,9.1142,8.78,9.06,9525
2024-04-17,BODI,9.15,9.5,8.85,8.99,7759
2024-04-18,BODI,8.92,9.16,8.8,9.16,6576
2024-04-19,BODI,8.94,9.27,8.78,9.03,6060
2024-04-22,BODI,9.035,9.23,8.73,8.75,3612
2024-04-23,BODI,9.13,9.15,8.91,9.0,2394
2024-04-24,BODI,8.9,9.33,8.65,9.23,8929
2024-04-25,BODI,8.8,9.5,8.65,9.5,12236
2024-04-26,BODI,9.28,9.3756,9.01,9.22,3242
2024-04-29,BODI,9.15,9.24,8.9741,9.24,5959
2024-04-30,BODI,9.26,9.5,9.26,9.5,3488
2024-05-01,BODI,9.31,9.5,9.3,9.3,12082
2024-05-02,BODI,9.5,9.88,9.47,9.75,27742
2024-05-03,BODI,9.69,9.77,9.55,9.77,6213
2024-05-06,BODI,9.56,10.12,9.44,9.44,43254
2024-05-07,BODI,9.16,9.87,8.51,8.8,92004
2024-05-08,BODI,8.66,8.9367,7.66,8.36,44816
2024-05-09,BODI,8.4099,9.42,8.4099,9.42,20951
