date,ticker,open,high,low,close,volume
2019-11-15,BRMK,11.08,11.2,10.8,10.95,755186
2019-11-18,BRMK,10.98,11.09,10.77,10.93,809051
2019-11-19,BRMK,10.95,10.98,10.852,10.91,531911
2019-11-20,BRMK,10.92,10.99,10.85,10.91,671955
2019-11-21,BRMK,10.92,10.96,10.86,10.91,1046452
2019-11-22,BRMK,10.96,11.01,10.93,10.99,1267879
2019-11-25,BRMK,11.35,11.35,11.05,11.14,695466
2019-11-26,BRMK,11.2,11.2,11.02,11.1,1039191
2019-11-27,BRMK,11.12,11.16,11.05,11.13,555903
2019-11-29,BRMK,11.18,11.18,11.08,11.16,194908
2019-12-02,BRMK,11.3,11.36,11.21,11.35,2357062
2019-12-03,BRMK,11.31,11.39,11.28,11.39,920344
2019-12-04,BRMK,11.4,11.55,11.38,11.46,1266330
2019-12-05,BRMK,11.53,11.75,11.53,11.75,1718460
2019-12-06,BRMK,11.85,12.05,11.83,12.05,2369666
2019-12-09,BRMK,12.18,12.45,12.13,12.45,2271234
2019-12-10,BRMK,12.6,12.75,12.08,12.09,2739926
2019-12-11,BRMK,12.1,12.325,11.82,11.87,2300175
2019-12-12,BRMK,11.95,12.15,11.85,11.87,1439910
2019-12-13,BRMK,11.84,12.05,11.84,11.96,1066821
2019-12-16,BRMK,12.05,12.077,11.58,11.66,3997158
2019-12-17,BRMK,11.66,12.05,11.66,12.05,3004877
2019-12-18,BRMK,12.06,12.11,11.97,12.11,2677941
2019-12-19,BRMK,12.1,12.38,12.07,12.35,2606987
2019-12-20,BRMK,12.38,12.45,12.22,12.44,2576955
2019-12-23,BRMK,12.45,12.5,12.4,12.47,930064
2019-12-24,BRMK,12.48,12.56,12.47,12.52,440388
2019-12-26,BRMK,12.49,12.65,12.49,12.65,643367
2019-12-27,BRMK,12.64,12.74,12.62,12.69,443368
2019-12-30,BRMK,12.65,12.74,12.53,12.7,693348
2019-12-31,BRMK,12.73,12.75,12.58,12.75,679945
2020-01-02,BRMK,12.74,12.75,12.57,12.63,517155
2020-01-03,BRMK,12.57,12.64,12.45,12.6,1209915
2020-01-06,BRMK,12.61,12.67,12.54,12.66,907597
2020-01-07,BRMK,12.7,12.74,12.62,12.69,990101
2020-01-08,BRMK,12.65,12.7,12.625,12.65,668832
2020-01-09,BRMK,12.69,12.75,12.6,12.66,621500
2020-01-10,BRMK,12.49,12.5,11.9,12.36,1546338
2020-01-13,BRMK,12.34,12.34,12.09,12.2,1211234
2020-01-14,BRMK,12.16,12.31,12.1,12.18,822276
2020-01-15,BRMK,12.25,12.31,12.08,12.12,582904
2020-01-16,BRMK,12.15,12.25,12.1,12.14,503038
2020-01-17,BRMK,12.15,12.25,12.15,12.24,680423
2020-01-21,BRMK,12.25,12.505,12.249,12.47,810534
2020-01-22,BRMK,12.51,12.65,12.51,12.59,553434
2020-01-23,BRMK,12.65,12.7,12.54,12.68,720630
2020-01-24,BRMK,12.68,12.74,12.65,12.71,683346
2020-01-27,BRMK,12.7,12.71,12.45,12.7,767056
2020-01-28,BRMK,12.7,12.75,12.64,12.73,865260
2020-01-29,BRMK,12.75,12.81,12.7,12.74,646317
2020-01-30,BRMK,12.64,12.71,12.58,12.71,513349
2020-01-31,BRMK,12.65,12.65,12.51,12.56,657612
2020-02-03,BRMK,12.59,12.68,12.47,12.5,831133
2020-02-04,BRMK,12.5,12.55,12.47,12.5,1428682
2020-02-05,BRMK,12.5,12.62,12.44,12.56,773709
2020-02-06,BRMK,12.58,12.58,12.46,12.46,1033813
2020-02-07,BRMK,12.46,12.59,12.44,12.53,549350
2020-02-10,BRMK,12.55,12.66,12.515,12.55,560151
2020-02-11,BRMK,12.62,12.65,12.55,12.58,424357
2020-02-12,BRMK,12.58,12.68,12.57,12.63,630088
2020-02-13,BRMK,12.63,12.71,12.55,12.71,724127
2020-02-14,BRMK,12.71,12.73,12.64,12.69,316721
2020-02-18,BRMK,12.69,12.75,12.69,12.69,485574
2020-02-19,BRMK,12.69,12.75,12.59,12.65,606328
2020-02-20,BRMK,12.61,12.75,12.59,12.7,521796
2020-02-21,BRMK,12.71,12.74,12.65,12.73,402430
2020-02-24,BRMK,12.7,12.72,12.56,12.59,676598
2020-02-25,BRMK,12.61,12.63,12.18,12.3,847123
2020-02-26,BRMK,12.32,12.49,12.19,12.23,636090
2020-02-27,BRMK,12.1,12.1,11.22,11.72,1824729
2020-02-28,BRMK,11.29,11.49,10.96,11.3,1309957
2020-03-02,BRMK,11.37,11.46,10.954,11.21,1552797
2020-03-03,BRMK,11.32,11.66,11.01,11.11,1125967
2020-03-04,BRMK,11.24,11.3,10.82,11.2,1024949
