date,ticker,open,high,low,close,volume
2023-07-03,BTM,3.95,3.95,3.3,3.61,2508042
2023-07-05,BTM,3.51,3.65,3.21,3.29,795022
2023-07-06,BTM,2.92,2.96,2.57,2.81,710742
2023-07-07,BTM,2.72,2.85,2.65,2.8,409099
2023-07-10,BTM,2.74,3.55,2.74,3.39,1344544
2023-07-11,BTM,3.25,3.53,3.0,3.23,550206
2023-07-12,BTM,3.16,3.27,3.13,3.18,200440
2023-07-13,BTM,3.15,3.67,3.12,3.53,757381
2023-07-14,BTM,3.6,3.62,3.25,3.41,325805
2023-07-17,BTM,3.42,3.45,3.21,3.38,148070
2023-07-18,BTM,3.11,3.26,3.1,3.12,253361
2023-07-19,BTM,3.22,3.22,3.1,3.15,198830
2023-07-20,BTM,3.13,3.145,3.0,3.06,121874
2023-07-21,BTM,3.39,3.85,3.2,3.62,3698502
2023-07-24,BTM,3.59,3.85,3.56,3.78,920679
2023-07-25,BTM,3.77,3.85,3.67,3.82,318675
2023-07-26,BTM,3.72,4.4,3.72,4.34,1220121
2023-07-27,BTM,4.45,4.49,3.68,3.89,1076361
2023-07-28,BTM,3.91,4.04,3.8,3.99,186994
2023-07-31,BTM,3.99,4.0,3.69,3.77,199982
2023-08-01,BTM,3.68,3.99,3.6,3.75,214252
2023-08-02,BTM,3.69,3.76,3.6,3.65,84501
2023-08-03,BTM,3.63,3.75,3.56,3.74,101082
2023-08-04,BTM,3.68,3.82,3.65,3.8,116812
2023-08-07,BTM,3.83,3.85,3.52,3.63,117739
2023-08-08,BTM,3.63,3.73,3.58,3.64,93028
2023-08-09,BTM,3.77,3.77,3.6,3.62,29958
2023-08-10,BTM,3.6,3.752,3.4,3.51,217317
2023-08-11,BTM,3.7,3.7,3.5228,3.58,55240
2023-08-14,BTM,3.51,3.75,3.41,3.69,135608
2023-08-15,BTM,3.38,3.5599,3.38,3.46,124577
2023-08-16,BTM,3.45,3.5,3.31,3.35,56556
2023-08-17,BTM,3.32,3.5,3.275,3.36,168485
2023-08-18,BTM,3.15,3.37,3.1461,3.21,73384
2023-08-21,BTM,3.23,3.32,2.921,2.94,152455
2023-08-22,BTM,3.0,3.05,2.85,2.89,68683
2023-08-23,BTM,2.87,3.06,2.87,2.92,74092
2023-08-24,BTM,3.0,3.03,2.815,2.85,29482
2023-08-25,BTM,2.93,2.9399,2.81,2.86,32700
2023-08-28,BTM,2.89,2.95,2.71,2.71,164311
2023-08-29,BTM,2.72,3.1298,2.72,2.96,191639
2023-08-30,BTM,3.04,3.04,2.7,2.79,103645
2023-08-31,BTM,2.9,2.9,2.75,2.78,82526
2023-09-01,BTM,2.9,2.94,2.78,2.79,72818
2023-09-05,BTM,2.89,2.94,2.75,2.86,61596
2023-09-06,BTM,2.8,2.93,2.75,2.76,42201
2023-09-07,BTM,2.77,3.17,2.74,3.0,126631
2023-09-08,BTM,3.0,3.08,2.96,2.98,81984
2023-09-11,BTM,3.03,3.2,3.0,3.03,100112
2023-09-12,BTM,3.08,3.08,2.92,3.0,80952
2023-09-13,BTM,2.98,3.1,2.95,3.01,85420
2023-09-14,BTM,3.05,3.08,2.85,3.04,186579
2023-09-15,BTM,3.0,3.3,2.82,3.09,416377
2023-09-18,BTM,3.09,3.09,2.7,2.71,257485
2023-09-19,BTM,2.93,2.93,2.62,2.67,198384
2023-09-20,BTM,2.75,2.84,2.56,2.63,215716
2023-09-21,BTM,2.69,2.7,2.3,2.34,201946
2023-09-22,BTM,2.57,2.68,2.3517,2.44,861251
2023-09-25,BTM,2.43,2.44,2.18,2.24,259991
2023-09-26,BTM,2.28,2.4098,2.17,2.26,199568
2023-09-27,BTM,2.33,2.35,2.16,2.25,171292
2023-09-28,BTM,2.27,2.585,2.27,2.53,80174
2023-09-29,BTM,2.55,2.7,2.4392,2.63,77793
2023-10-02,BTM,2.69,2.77,2.5,2.75,121377
2023-10-03,BTM,2.66,2.68,2.46,2.55,47969
2023-10-04,BTM,2.62,2.74,2.5301,2.7,52406
2023-10-05,BTM,2.59,2.77,2.59,2.66,52801
2023-10-06,BTM,2.61,2.8,2.61,2.74,64439
2023-10-09,BTM,2.75,2.75,2.65,2.71,51303
2023-10-10,BTM,2.74,2.74,2.65,2.72,39986
2023-10-11,BTM,2.68,2.73,2.65,2.66,32031
2023-10-12,BTM,2.66,2.66,2.5513,2.6,15982
2023-10-13,BTM,2.5,2.67,2.5,2.59,35130
2023-10-16,BTM,2.59,2.71,2.5038,2.71,92901
2023-10-17,BTM,2.66,2.75,2.55,2.72,32682
2023-10-18,BTM,2.67,2.75,2.67,2.7,27193
2023-10-19,BTM,2.73,2.7399,2.69,2.71,9478
2023-10-20,BTM,2.77,2.77,2.65,2.69,22980
2023-10-23,BTM,2.68,2.75,2.55,2.55,173778
2023-10-24,BTM,2.7,2.8,2.62,2.74,114894
2023-10-25,BTM,2.73,2.75,2.57,2.64,43677
2023-10-26,BTM,2.66,2.66,2.45,2.55,48011
2023-10-27,BTM,2.42,2.67,2.42,2.52,32309
2023-10-30,BTM,2.57,2.6,2.5082,2.56,24402
2023-10-31,BTM,2.57,2.59,2.54,2.59,8540
2023-11-01,BTM,2.59,2.59,2.42,2.48,11011
2023-11-02,BTM,2.55,2.66,2.5,2.54,28518
2023-11-03,BTM,2.53,2.7,2.53,2.66,95240
2023-11-06,BTM,2.75,2.75,2.45,2.47,104035
