date,ticker,open,high,low,close,volume
2023-11-03,CAUD,12.39,12.4,4.5,6.3,837626
2023-11-06,CAUD,6.75,7.4,5.31,5.6,1334548
2023-11-07,CAUD,5.29,5.4,3.5705,3.8,356340
2023-11-08,CAUD,3.57,3.7397,2.23,2.65,359993
2023-11-09,CAUD,2.59,2.7578,2.26,2.26,158680
2023-11-10,CAUD,2.36,3.73,1.86,2.97,4589226
2023-11-13,CAUD,3.67,4.3,2.24,2.4,7843420
2023-11-14,CAUD,2.28,2.35,1.94,2.14,1688804
2023-11-15,CAUD,2.08,2.17,1.95,2.06,512570
2023-11-16,CAUD,1.73,2.0,1.63,1.76,566281
2023-11-17,CAUD,1.97,1.98,1.45,1.47,5452605
2023-11-20,CAUD,1.4,1.58,1.33,1.5,1225863
2023-11-21,CAUD,1.45,1.49,1.3601,1.4,433824
2023-11-22,CAUD,1.4,1.4804,1.32,1.4394,376357
2023-11-24,CAUD,1.4,1.54,1.39,1.45,276436
2023-11-27,CAUD,1.42,1.5,1.31,1.38,346691
2023-11-28,CAUD,1.39,1.49,1.33,1.47,360067
2023-11-29,CAUD,1.44,1.812,1.42,1.65,2102527
2023-11-30,CAUD,1.89,2.12,1.51,1.75,4607968
2023-12-01,CAUD,1.68,1.76,1.53,1.67,1163200
2023-12-04,CAUD,1.82,1.91,1.67,1.74,1616890
2023-12-05,CAUD,1.73,1.8999,1.56,1.79,958595
2023-12-06,CAUD,1.8,2.1,1.8,1.93,1993126
2023-12-07,CAUD,2.03,2.22,1.82,1.94,2620432
2023-12-08,CAUD,1.92,1.96,1.72,1.86,1162184
2023-12-11,CAUD,1.73,1.77,1.54,1.59,811726
2023-12-12,CAUD,1.57,1.64,1.41,1.47,692772
2023-12-13,CAUD,1.51,1.53,1.15,1.26,848148
2023-12-14,CAUD,1.28,1.5394,1.28,1.49,565930
2023-12-15,CAUD,1.52,1.61,1.46,1.49,571025
2023-12-18,CAUD,1.52,1.56,1.38,1.4,506780
2023-12-19,CAUD,1.4,1.45,1.26,1.31,385961
2023-12-20,CAUD,1.31,1.34,1.23,1.25,188955
2023-12-21,CAUD,1.27,1.2936,1.15,1.2,316531
2023-12-22,CAUD,1.23,1.35,1.22,1.24,389365
2023-12-26,CAUD,1.27,1.29,1.2,1.28,358645
2023-12-27,CAUD,1.32,1.338,1.23,1.32,499927
2023-12-28,CAUD,1.33,1.54,1.2797,1.4,597151
2023-12-29,CAUD,1.45,1.45,1.3101,1.35,266975
2024-01-02,CAUD,1.46,1.5199,1.4,1.49,214933
2024-01-03,CAUD,1.48,1.49,1.4,1.46,153586
2024-01-04,CAUD,1.49,1.49,1.31,1.37,198378
2024-01-05,CAUD,1.41,1.415,1.33,1.36,114244
2024-01-08,CAUD,1.38,1.39,1.31,1.34,100391
2024-01-09,CAUD,1.325,1.34,1.26,1.32,122889
2024-01-10,CAUD,1.33,1.33,1.22,1.25,190106
2024-01-11,CAUD,1.35,1.35,1.12,1.17,230271
2024-01-12,CAUD,1.17,1.18,1.1,1.15,170075
2024-01-16,CAUD,1.18,1.18,0.8401,0.94,599902
2024-01-17,CAUD,0.95,0.95,0.87,0.9387,175017
2024-01-18,CAUD,0.92,0.94,0.88,0.9186,163223
2024-01-19,CAUD,0.915,1.03,0.9,0.9996,225738
2024-01-22,CAUD,1.01,1.0165,0.901,0.9216,94700
2024-01-23,CAUD,0.9304,0.966,0.871,0.885,130509
2024-01-24,CAUD,0.885,0.9381,0.842,0.851,81717
2024-01-25,CAUD,0.851,0.9167,0.7825,0.8026,134744
2024-01-26,CAUD,0.7983,0.8229,0.74,0.755,139871
2024-01-29,CAUD,0.799,0.8,0.765,0.785,59768
2024-01-30,CAUD,0.81,0.84,0.78,0.78,66469
2024-01-31,CAUD,0.7906,0.849,0.742,0.7434,81516
2024-02-01,CAUD,0.7793,0.8199,0.7065,0.768,61620
2024-02-02,CAUD,0.7459,0.77,0.712,0.745,120056
2024-02-05,CAUD,0.75,0.82,0.7453,0.7672,104764
2024-02-06,CAUD,0.8053,0.89,0.804,0.869,143543
2024-02-07,CAUD,0.8745,0.8745,0.8,0.84,54297
2024-02-08,CAUD,0.85,0.85,0.82,0.847,63530
2024-02-09,CAUD,0.85,1.09,0.85,1.08,272128
2024-02-12,CAUD,1.24,1.39,0.9569,1.01,1527627
2024-02-13,CAUD,0.9936,1.1499,0.94,1.13,262069
