date,ticker,open,high,low,close,volume
2023-09-25,CDT,12.89,12.89,9.8,10.38,208423
2023-09-26,CDT,7.99,8.01,6.1,6.56,120717
2023-09-27,CDT,5.89,7.8999,5.07,6.3,144968
2023-09-28,CDT,5.83,7.0,5.83,6.52,40307
2023-09-29,CDT,6.22,6.99,5.86,5.97,60612
2023-10-02,CDT,6.01,6.17,6.0,6.03,1699
2023-10-03,CDT,5.34,5.34,4.4432,4.83,21757
2023-10-04,CDT,8.04,8.7499,3.6,3.94,3745511
2023-10-05,CDT,3.72,3.75,2.9801,3.11,239238
2023-10-06,CDT,3.19,3.24,2.65,2.68,156739
2023-10-09,CDT,2.7001,2.85,2.1632,2.18,64394
2023-10-10,CDT,2.06,2.35,2.01,2.25,67554
2023-10-11,CDT,2.04,2.27,1.9,1.98,102179
2023-10-12,CDT,1.93,2.04,1.7,1.77,67170
2023-10-13,CDT,1.71,1.7925,1.67,1.76,16032
2023-10-16,CDT,1.7,2.18,1.7,1.89,79553
2023-10-17,CDT,1.8,1.8999,1.62,1.74,21198
2023-10-18,CDT,1.74,1.96,1.54,1.76,88020
2023-10-19,CDT,1.71,1.8,1.6201,1.74,14324
2023-10-20,CDT,1.62,1.625,1.46,1.46,11490
2023-10-23,CDT,1.46,1.69,1.43,1.63,153339
2023-10-24,CDT,1.6,1.67,1.51,1.565,44490
2023-10-25,CDT,1.6,1.66,1.2704,1.34,31128
2023-10-26,CDT,1.35,1.36,1.15,1.17,83214
2023-10-27,CDT,1.2,1.25,0.95,1.05,67595
2023-10-30,CDT,1.51,1.57,1.27,1.57,15132213
2023-10-31,CDT,1.33,1.89,1.3,1.81,2108905
2023-11-01,CDT,1.73,1.8726,1.41,1.53,243007
2023-11-02,CDT,1.48,1.6,1.4,1.52,184357
2023-11-03,CDT,1.46,1.51,1.13,1.26,96981
2023-11-06,CDT,1.26,1.49,1.09,1.37,159912
2023-11-07,CDT,1.44,1.44,1.17,1.31,43559
2023-11-08,CDT,1.31,1.44,1.31,1.38,36632
2023-11-09,CDT,1.43,1.43,1.21,1.21,62763
2023-11-10,CDT,1.235,1.29,1.18,1.24,24058
2023-11-13,CDT,1.195,1.265,1.16,1.17,11191
2023-11-14,CDT,1.1187,1.22,1.1187,1.16,10485
2023-11-15,CDT,1.06,1.18,1.06,1.06,21961
2023-11-16,CDT,1.08,1.18,1.0675,1.1708,22280
2023-11-17,CDT,1.13,1.2987,1.13,1.2501,8218
2023-11-20,CDT,1.23,1.3,1.14,1.28,6714
2023-11-21,CDT,1.31,1.31,1.22,1.3,11692
2023-11-22,CDT,1.31,1.84,1.3,1.8,390144
2023-11-24,CDT,1.8,2.07,1.711,1.84,107711
2023-11-27,CDT,2.0,2.3,1.71,2.28,195101
2023-11-28,CDT,2.35,2.95,2.1,2.95,203765
2023-11-29,CDT,3.0,6.5,2.95,5.1,1863140
2023-11-30,CDT,4.5,5.3639,3.93,4.68,360222
2023-12-01,CDT,4.53,5.753,4.4,5.51,127683
2023-12-04,CDT,5.55,5.89,3.5,3.655,177093
2023-12-05,CDT,3.5,3.73,2.64,2.68,134721
2023-12-06,CDT,2.71,3.4824,2.7,3.02,74919
2023-12-07,CDT,3.03,3.6,3.03,3.54,64406
2023-12-08,CDT,3.65,6.0,3.42,5.15,1558963
2023-12-11,CDT,5.79,6.26,5.2,5.9,547143
2023-12-12,CDT,5.5,6.58,5.44,6.07,198812
2023-12-13,CDT,5.87,7.83,5.8501,6.82,340668
2023-12-14,CDT,7.29,7.6,6.85,7.14,111920
2023-12-15,CDT,7.15,7.56,5.0,7.06,619950
2023-12-18,CDT,6.53,6.685,5.4,6.14,196470
2023-12-19,CDT,6.37,6.7284,4.18,4.18,106169
2023-12-20,CDT,4.55,6.1,4.4918,5.05,269391
2023-12-21,CDT,5.4,5.505,4.84,5.0,56020
2023-12-22,CDT,4.73,5.105,4.31,4.84,59063
2023-12-26,CDT,4.77,5.16,4.37,5.04,58651
2023-12-27,CDT,5.19,5.4399,4.84,5.22,96596
2023-12-28,CDT,5.25,5.25,4.64,4.9,82789
2023-12-29,CDT,4.76,4.885,4.48,4.55,12266
2024-01-02,CDT,4.54,4.98,4.33,4.69,13437
2024-01-03,CDT,4.7,4.96,4.515,4.67,28910
2024-01-04,CDT,4.67,5.1533,4.51,4.89,22937
2024-01-05,CDT,4.72,5.29,4.62,5.19,33067
2024-01-08,CDT,5.0,5.094,4.672,4.99,29664
2024-01-09,CDT,4.92,5.16,4.79,4.91,10040
2024-01-10,CDT,5.06,5.06,3.715,4.1,164327
2024-01-11,CDT,3.87,4.5,3.87,4.48,46190
2024-01-12,CDT,4.3,4.45,3.81,4.09,122855
2024-01-16,CDT,3.91,4.09,3.31,3.55,73714
2024-01-17,CDT,3.55,3.55,3.1,3.1,22454
2024-01-18,CDT,3.16,3.7,2.76,2.82,76002
2024-01-19,CDT,3.04,3.09,2.85,2.86,17596
2024-01-22,CDT,3.43,3.43,2.78,2.94,26438
2024-01-23,CDT,2.94,3.03,2.68,3.03,37305
2024-01-24,CDT,2.9,3.02,2.7,2.94,49096
2024-01-25,CDT,2.9307,3.04,2.705,2.88,29394
2024-01-26,CDT,2.79,2.88,2.58,2.78,25741
2024-01-29,CDT,2.66,3.2,2.25,3.15,15840
2024-01-30,CDT,3.15,3.15,2.75,2.83,26801
2024-01-31,CDT,2.8923,2.8923,2.5,2.62,31938
2024-02-01,CDT,2.595,2.69,2.5,2.64,45559
2024-02-02,CDT,2.655,2.78,2.61,2.78,29087
2024-02-05,CDT,2.715,2.8728,2.41,2.43,58864
2024-02-06,CDT,2.695,2.88,2.62,2.88,36065
2024-02-07,CDT,2.63,2.87,2.44,2.74,65096
2024-02-08,CDT,2.66,3.235,2.61,3.235,28516
2024-02-09,CDT,3.27,3.315,2.75,2.75,47918
2024-02-12,CDT,2.68,2.86,2.68,2.77,18056
2024-02-13,CDT,2.815,3.29,2.67,3.24,77613
2024-02-14,CDT,3.35,3.35,2.89,3.18,17812
2024-02-15,CDT,3.26,3.26,2.94,3.05,19157
2024-02-16,CDT,2.9,3.1,2.76,2.99,25516
2024-02-20,CDT,3.08,3.08,2.8,2.92,27819
2024-02-21,CDT,3.045,3.045,2.61,2.65,42287
2024-02-22,CDT,2.78,2.84,2.66,2.83,24504
2024-02-23,CDT,2.85,3.1099,2.77,2.81,49067
2024-02-26,CDT,2.8,3.14,2.8,3.14,39803
2024-02-27,CDT,3.15,3.34,2.9,2.97,43423
2024-02-28,CDT,3.014,3.014,2.65,2.85,25993
2024-02-29,CDT,2.9048,3.0,2.56,2.57,14051
2024-03-01,CDT,2.88,3.0,2.59,2.59,21960
2024-03-04,CDT,2.775,2.775,2.51,2.69,18893
2024-03-05,CDT,2.65,2.78,2.51,2.77,47433
2024-03-06,CDT,2.74,2.8,2.65,2.75,32436
2024-03-07,CDT,2.715,2.715,2.65,2.65,25578
2024-03-08,CDT,2.7,2.85,2.66,2.78,40223
2024-03-11,CDT,2.78,3.685,2.78,3.68,134635
2024-03-12,CDT,3.6,3.712,3.4,3.42,83261
2024-03-13,CDT,3.29,3.29,2.9318,3.09,33388
2024-03-14,CDT,3.09,3.18,3.05,3.18,17919
2024-03-15,CDT,3.19,3.53,3.14,3.53,70871
2024-03-18,CDT,3.38,3.51,3.07,3.16,21910
2024-03-19,CDT,3.255,3.37,3.05,3.18,65745
2024-03-20,CDT,3.14,3.49,3.14,3.465,20686
2024-03-21,CDT,3.585,3.67,3.123,3.45,44492
2024-03-22,CDT,3.43,3.7,3.11,3.3,38119
2024-03-25,CDT,3.48,3.48,3.12,3.35,47046
2024-03-26,CDT,3.25,3.41,3.15,3.41,34824
2024-03-27,CDT,3.42,3.64,3.23,3.57,32846
2024-03-28,CDT,3.59,3.92,3.35,3.67,33077
2024-04-01,CDT,3.79,3.79,3.44,3.51,13936
2024-04-02,CDT,3.6,3.6,3.11,3.43,27880
2024-04-03,CDT,3.35,3.35,3.22,3.34,22491
2024-04-04,CDT,3.168,3.33,3.168,3.27,17791
2024-04-05,CDT,3.1727,3.3,3.11,3.26,18457
2024-04-08,CDT,3.21,3.29,2.97,3.25,16382
2024-04-09,CDT,3.04,3.27,3.03,3.17,16691
2024-04-10,CDT,3.02,3.23,2.76,3.1,30604
2024-04-11,CDT,3.1,3.24,3.1,3.19,17196
2024-04-12,CDT,3.15,3.18,2.935,3.18,2646
2024-04-15,CDT,3.1,3.24,3.075,3.22,18552
2024-04-16,CDT,3.1,3.23,2.995,3.09,22147
2024-04-17,CDT,3.12,3.22,2.93,2.97,15024
2024-04-18,CDT,3.06,3.23,2.95,2.99,31335
2024-04-19,CDT,2.92,3.17,2.92,3.12,13045
2024-04-22,CDT,3.145,3.145,3.08,3.08,5092
2024-04-23,CDT,3.1,3.21,3.06,3.15,14243
2024-04-24,CDT,3.17,3.2,3.1,3.18,21389
2024-04-25,CDT,3.15,3.2,3.08,3.1,14691
2024-04-26,CDT,3.05,3.17,3.05,3.17,5588
2024-04-29,CDT,3.13,3.34,3.1,3.34,18340
2024-04-30,CDT,3.215,3.49,3.01,3.01,50639
2024-05-01,CDT,3.04,3.22,2.82,2.82,7947
2024-05-02,CDT,2.92,3.13,2.92,2.99,10392
2024-05-03,CDT,3.0,3.225,2.99,3.0,14194
2024-05-06,CDT,3.11,3.215,3.08,3.08,12989
2024-05-07,CDT,3.105,3.5,3.105,3.21,17799
2024-05-08,CDT,3.2,3.215,2.85,2.95,33554
2024-05-09,CDT,3.11,3.19,3.04,3.04,19184
2024-05-10,CDT,3.08,3.25,2.96,2.97,34234
2024-05-13,CDT,3.1,3.1299,2.95,3.09,20492
2024-05-14,CDT,3.1,3.145,2.8,2.84,48118
2024-05-15,CDT,2.93,3.065,2.8,2.97,12511
2024-05-16,CDT,2.9546,3.09,2.83,2.94,26228
2024-05-17,CDT,2.8172,3.05,2.66,2.97,26863
2024-05-20,CDT,2.895,2.97,2.895,2.91,3180
2024-05-21,CDT,3.035,3.28,2.93,3.0,70589
2024-05-22,CDT,2.9,3.1,2.83,2.96,82982
2024-05-23,CDT,3.005,3.02,2.85,2.96,67205
2024-05-24,CDT,2.92,3.0,2.79,2.84,67378
2024-05-28,CDT,2.84,3.27,2.8291,3.03,126366
2024-05-29,CDT,2.95,3.06,2.89,3.03,55891
2024-05-30,CDT,3.12,3.14,2.935,3.0,48238
2024-05-31,CDT,2.92,3.05,2.89,3.04,26203
2024-06-03,CDT,2.97,3.09,2.86,3.0,28914
2024-06-04,CDT,2.93,3.05,2.9,2.96,14861
2024-06-05,CDT,2.89,2.99,2.76,2.86,46078
2024-06-06,CDT,2.79,2.9,2.65,2.81,27905
2024-06-07,CDT,2.75,2.8914,2.72,2.84,22299
2024-06-10,CDT,2.83,2.9,2.69,2.74,23512
