date,ticker,open,high,low,close,volume
2020-12-31,CLNN,10.0,10.0,8.37,9.01,249770
2021-01-04,CLNN,9.0501,9.25,7.2,7.57,143869
2021-01-05,CLNN,7.5,7.96,7.2,7.35,71964
2021-01-06,CLNN,7.5,7.6,6.4,6.71,95454
2021-01-07,CLNN,6.72,7.5,6.4,7.07,76286
2021-01-08,CLNN,7.47,7.47,6.6,6.9344,55393
2021-01-11,CLNN,7.14,7.45,6.93,7.35,50012
2021-01-12,CLNN,7.35,7.82,7.16,7.5,32885
2021-01-13,CLNN,7.5,7.82,6.78,7.1,87260
2021-01-14,CLNN,7.09,7.46,6.5,6.93,80428
2021-01-15,CLNN,6.85,7.04,6.48,6.65,91672
2021-01-19,CLNN,6.95,6.95,6.55,6.8,82411
2021-01-20,CLNN,6.7,7.05,6.6001,7.04,72337
2021-01-21,CLNN,6.9,6.9,6.585,6.62,86990
2021-01-22,CLNN,6.53,6.9,6.3,6.89,55607
2021-01-25,CLNN,6.89,7.0,6.8,7.0,58654
2021-01-26,CLNN,7.0,7.0,6.6,6.76,86868
2021-01-27,CLNN,6.6,6.76,6.4,6.55,113601
2021-01-28,CLNN,6.4,6.69,6.355,6.49,43512
2021-01-29,CLNN,6.65,6.65,6.3,6.39,93434
2021-02-01,CLNN,6.5,6.65,6.23,6.55,67262
2021-02-02,CLNN,6.59,6.6,6.38,6.54,74673
2021-02-03,CLNN,7.75,13.68,7.75,13.21,6007278
2021-02-04,CLNN,13.05,13.1,10.32,10.94,950232
2021-02-05,CLNN,11.0,11.29,10.38,10.73,211825
2021-02-08,CLNN,10.75,11.45,10.5,11.37,182670
2021-02-09,CLNN,11.13,11.2749,10.6,10.9,209379
2021-02-10,CLNN,10.1,10.95,9.95,10.79,175709
2021-02-11,CLNN,10.86,11.05,10.73,10.79,150158
2021-02-12,CLNN,10.86,12.49,10.3968,12.49,236195
2021-02-16,CLNN,12.56,16.5,12.56,16.3,462182
2021-02-17,CLNN,15.66,15.85,13.4,14.44,329731
2021-02-18,CLNN,14.4,14.43,13.35,13.9,116539
2021-02-19,CLNN,13.95,14.39,13.3,13.61,91685
2021-02-22,CLNN,14.0,14.6,13.6001,13.79,104148
2021-02-23,CLNN,13.61,13.61,12.5601,13.12,80592
2021-02-24,CLNN,13.54,14.69,13.1832,14.54,268359
2021-02-25,CLNN,14.59,14.69,12.6296,13.03,204213
2021-02-26,CLNN,12.7,13.46,12.61,12.84,59675
2021-03-01,CLNN,13.15,13.975,12.94,13.58,102508
2021-03-02,CLNN,13.66,14.58,13.5949,13.76,143887
2021-03-03,CLNN,13.64,14.075,13.21,13.51,54569
2021-03-04,CLNN,13.38,13.38,10.83,11.11,115547
2021-03-05,CLNN,11.2,11.49,10.0,10.81,133907
2021-03-08,CLNN,10.96,12.44,10.75,11.67,100143
2021-03-09,CLNN,11.84,13.59,11.8,13.11,124611
2021-03-10,CLNN,12.99,14.03,12.74,13.76,161284
2021-03-11,CLNN,13.92,14.5,13.81,14.35,148563
2021-03-12,CLNN,14.23,14.35,14.0,14.25,85092
