date,ticker,open,high,low,close,volume
2020-12-18,CLVR,12.8,14.0,12.5006,13.0,505838
2020-12-21,CLVR,12.33,12.48,10.19,11.41,1098595
2020-12-22,CLVR,11.0,11.7,10.58,10.9,1195454
2020-12-23,CLVR,10.999,12.4,10.63,11.2,1865150
2020-12-24,CLVR,11.99,11.99,11.21,11.49,428110
2020-12-28,CLVR,11.06,11.31,10.87,10.95,501170
2020-12-29,CLVR,10.82,10.95,10.1305,10.41,619479
2020-12-30,CLVR,10.5,10.8,9.83,9.86,584409
2020-12-31,CLVR,10.05,10.21,8.76,8.9,2292695
2021-01-04,CLVR,8.85,8.93,8.02,8.89,898614
2021-01-05,CLVR,8.89,9.26,8.55,8.97,429065
2021-01-06,CLVR,9.7,10.1,9.3,9.6,1570428
2021-01-07,CLVR,10.09,10.4,9.74,9.8,633511
2021-01-08,CLVR,9.85,9.86,8.72,8.83,1047741
2021-01-11,CLVR,8.84,9.2,8.58,8.74,608004
2021-01-12,CLVR,9.73,9.74,8.86,9.24,853164
2021-01-13,CLVR,9.11,10.85,9.03,10.72,1562242
2021-01-14,CLVR,10.83,11.07,10.04,10.31,1579561
2021-01-15,CLVR,11.11,11.44,10.0,10.04,1989333
2021-01-19,CLVR,10.25,10.7,9.92,10.2,824134
2021-01-20,CLVR,10.22,10.2998,9.6,9.98,804928
2021-01-21,CLVR,9.82,10.29,9.24,10.21,1269039
2021-01-22,CLVR,10.13,10.62,9.35,9.82,1594464
2021-01-25,CLVR,10.0,10.0,9.25,9.33,1089576
2021-01-26,CLVR,9.5,9.9275,9.1,9.29,1141050
2021-01-27,CLVR,9.0,9.3,8.55,8.8,1076540
2021-01-28,CLVR,8.92,9.3799,8.6,9.11,640580
2021-01-29,CLVR,8.95,9.5999,8.6587,8.9,969620
2021-02-01,CLVR,8.98,9.1,8.63,9.03,492712
2021-02-02,CLVR,8.96,10.97,8.96,10.48,3074214
2021-02-03,CLVR,11.2535,12.15,10.75,11.04,2248679
2021-02-04,CLVR,11.22,11.4,10.24,10.55,1034827
2021-02-05,CLVR,10.85,11.49,10.34,11.01,1317077
2021-02-08,CLVR,11.73,11.75,11.22,11.75,1060368
2021-02-09,CLVR,12.6986,13.7,11.7142,12.93,2520993
2021-02-10,CLVR,15.1385,19.3,14.9,18.17,8917084
2021-02-11,CLVR,17.26,17.48,14.9,15.82,4565725
2021-02-12,CLVR,15.4497,19.4602,15.08,17.96,5249165
2021-02-16,CLVR,18.98,19.4,17.7,19.2,2394681
2021-02-17,CLVR,18.19,18.87,17.06,17.22,1328262
2021-02-18,CLVR,16.99,17.4539,15.56,16.15,968484
2021-02-19,CLVR,16.35,17.49,16.02,16.06,841765
2021-02-22,CLVR,15.5,15.66,14.41,14.75,1204161
2021-02-23,CLVR,13.5,14.34,12.85,14.3,1216101
2021-02-24,CLVR,14.33,15.25,14.0775,14.2,782079
2021-02-25,CLVR,14.4,14.8899,13.2558,13.83,678526
2021-02-26,CLVR,13.5,13.97,12.245,13.2,2361290
2021-03-01,CLVR,13.6709,14.25,13.1,13.82,1033504
2021-03-02,CLVR,13.89,14.87,13.8,14.4,938983
2021-03-03,CLVR,14.58,14.75,13.05,13.27,1159555
2021-03-04,CLVR,13.14,13.21,11.25,12.0,1878814
2021-03-05,CLVR,12.32,12.32,10.35,12.16,976362
2021-03-08,CLVR,12.15,12.69,11.23,11.66,949490
2021-03-09,CLVR,12.16,12.79,11.85,12.45,708519
2021-03-10,CLVR,12.6,12.85,11.83,12.36,801448
2021-03-11,CLVR,12.56,13.615,12.14,13.33,1005929
2021-03-12,CLVR,12.88,13.18,12.51,12.63,863601
2021-03-15,CLVR,12.86,13.5,12.61,13.47,859139
2021-03-16,CLVR,13.54,13.82,12.6,12.92,559649
2021-03-17,CLVR,12.98,14.0,12.68,13.98,1180798
2021-03-18,CLVR,13.42,14.17,13.2568,13.42,501731
2021-03-19,CLVR,13.28,14.03,13.11,13.8,1281812
2021-03-22,CLVR,13.84,13.99,13.5201,13.87,245949
2021-03-23,CLVR,13.54,13.54,12.54,12.72,554738
2021-03-24,CLVR,12.75,12.75,11.87,12.31,559762
2021-03-25,CLVR,11.98,12.63,11.69,12.3,403228
2021-03-26,CLVR,12.43,12.62,11.86,12.33,224484
2021-03-29,CLVR,12.33,12.61,11.84,12.27,427626
2021-03-30,CLVR,12.18,12.2,11.538,11.77,523286
2021-03-31,CLVR,11.3441,11.5999,10.12,10.29,1460392
2021-04-01,CLVR,10.6,10.96,10.34,10.82,432381
2021-04-05,CLVR,10.94,11.03,10.551,10.9,274477
2021-04-06,CLVR,10.75,10.876,10.31,10.35,254540
2021-04-07,CLVR,10.4,10.5,9.85,9.99,403786
2021-04-08,CLVR,10.01,10.35,9.74,10.27,290781
2021-04-09,CLVR,10.8932,12.4173,10.88,12.15,1904464
2021-04-12,CLVR,12.0,12.09,10.93,10.97,637304
2021-04-13,CLVR,11.0,11.92,11.0,11.89,264836
2021-04-14,CLVR,11.7931,12.17,11.59,11.68,349057
2021-04-15,CLVR,11.86,11.8999,11.39,11.42,158524
2021-04-16,CLVR,11.45,11.52,10.49,10.56,470131
2021-04-19,CLVR,10.56,10.83,9.9,10.63,472139
2021-04-20,CLVR,10.57,10.58,9.91,10.1,357051
2021-04-21,CLVR,9.95,10.57,9.94,10.35,181755
2021-04-22,CLVR,10.38,10.4499,9.855,9.97,279348
2021-04-23,CLVR,10.05,10.84,10.0,10.84,148667
2021-04-26,CLVR,10.72,10.92,10.41,10.45,178316
2021-04-27,CLVR,10.45,10.594,10.07,10.1,218642
2021-04-28,CLVR,10.15,10.88,10.12,10.88,456295
2021-04-29,CLVR,10.86,10.86,10.15,10.59,149840
2021-04-30,CLVR,10.39,10.64,9.92,10.02,435047
2021-05-03,CLVR,10.24,10.28,9.5527,9.67,339825
2021-05-04,CLVR,9.56,9.71,9.072,9.65,269603
2021-05-05,CLVR,9.77,9.79,9.39,9.44,117229
2021-05-06,CLVR,9.32,9.35,8.82,9.08,286310
2021-05-07,CLVR,9.05,9.6,9.05,9.49,173995
2021-05-10,CLVR,9.47,9.47,8.6874,8.8,331964
2021-05-11,CLVR,8.39,8.81,8.21,8.69,203732
2021-05-12,CLVR,8.66,8.99,8.32,8.89,260614
2021-05-13,CLVR,8.95,9.02,8.34,8.45,171434
2021-05-14,CLVR,8.55,8.82,8.46,8.63,129670
2021-05-17,CLVR,8.49,8.75,8.3401,8.55,170812
2021-05-18,CLVR,8.58,8.78,8.36,8.37,259852
2021-05-19,CLVR,8.1,8.36,7.95,8.17,323820
2021-05-20,CLVR,8.13,8.58,8.13,8.57,207493
2021-05-21,CLVR,8.67,9.0463,8.5303,8.97,176278
2021-05-24,CLVR,8.92,9.1,8.8,9.06,275090
2021-05-25,CLVR,9.07,9.63,9.0,9.6,273911
2021-05-26,CLVR,9.52,10.13,9.5,10.12,316601
2021-05-27,CLVR,10.17,11.19,9.945,10.99,573851
2021-05-28,CLVR,10.98,12.23,10.379,12.23,2686397
2021-06-01,CLVR,12.17,12.21,10.9707,11.27,355319
2021-06-02,CLVR,11.4,11.55,11.012,11.07,224167
2021-06-03,CLVR,11.25,11.37,11.01,11.135,202154
2021-06-04,CLVR,11.26,11.4,10.7,10.8,131738
2021-06-07,CLVR,10.85,11.28,10.6112,11.02,126480
2021-06-08,CLVR,11.12,11.15,10.7002,10.99,110460
2021-06-09,CLVR,11.11,11.69,10.85,11.25,240395
2021-06-10,CLVR,11.3,11.35,10.7,10.81,182988
2021-06-11,CLVR,10.81,11.49,10.7501,11.47,134297
2021-06-14,CLVR,11.53,11.7,10.94,11.0,132563
2021-06-15,CLVR,10.92,11.0,10.5019,10.68,81513
2021-06-16,CLVR,10.99,11.11,10.65,10.75,110899
2021-06-17,CLVR,10.7,10.9141,10.6101,10.77,49895
2021-06-18,CLVR,10.63,10.89,10.44,10.85,164444
2021-06-21,CLVR,10.96,10.96,10.38,10.4,100777
2021-06-22,CLVR,10.3,10.38,9.89,10.04,136914
2021-06-23,CLVR,10.12,10.43,10.12,10.4,68219
2021-06-24,CLVR,10.46,10.678,10.32,10.43,85760
2021-06-25,CLVR,10.36,10.89,10.36,10.88,150862
2021-06-28,CLVR,10.75,10.88,10.06,10.17,170739
2021-06-29,CLVR,10.28,10.3061,10.0,10.14,68909
2021-06-30,CLVR,10.12,10.1854,9.91,10.15,70015
2021-07-01,CLVR,10.17,10.31,10.0801,10.21,68987
2021-07-02,CLVR,10.15,10.15,9.9,9.97,69533
2021-07-06,CLVR,9.85,9.98,9.62,9.87,59815
2021-07-07,CLVR,9.85,9.8693,9.14,9.27,94913
2021-07-08,CLVR,9.0,9.5,8.92,8.98,123353
2021-07-09,CLVR,9.32,9.449,9.0637,9.42,74720
2021-07-12,CLVR,9.41,9.511,9.03,9.1,84036
2021-07-13,CLVR,9.1,9.3462,8.91,8.99,121139
2021-07-14,CLVR,9.03,9.25,8.8475,9.145,91922
2021-07-15,CLVR,9.41,9.47,8.91,9.26,78847
2021-07-16,CLVR,9.21,9.4,8.85,8.87,69315
2021-07-19,CLVR,8.75,9.0,8.511,8.8,111575
2021-07-20,CLVR,8.87,9.38,8.8,9.07,96597
2021-07-21,CLVR,9.13,9.43,9.13,9.19,65955
2021-07-22,CLVR,9.18,9.25,8.91,9.07,50708
2021-07-23,CLVR,9.2,9.2,9.0,9.02,92089
2021-07-26,CLVR,9.3,9.8,9.17,9.58,104787
2021-07-27,CLVR,9.65,9.65,9.17,9.21,95229
2021-07-28,CLVR,9.2,10.39,9.2,9.98,253703
2021-07-29,CLVR,10.01,10.3,9.75,10.28,99349
2021-07-30,CLVR,10.23,10.6,10.0319,10.13,134021
2021-08-02,CLVR,10.15,10.265,9.76,9.84,49196
2021-08-03,CLVR,9.87,10.24,9.7303,10.16,56404
2021-08-04,CLVR,10.04,10.33,9.88,9.99,42903
2021-08-05,CLVR,10.05,10.29,9.9813,10.16,47571
2021-08-06,CLVR,10.3,10.74,10.17,10.65,134809
2021-08-09,CLVR,10.7,10.97,10.37,10.97,89844
2021-08-10,CLVR,10.92,11.0,10.62,11.0,162662
2021-08-11,CLVR,11.0,11.19,10.8501,11.1,161357
2021-08-12,CLVR,11.15,11.15,10.82,11.11,128731
2021-08-13,CLVR,11.11,12.4,10.575,12.38,945289
2021-08-16,CLVR,11.37,11.66,10.18,10.49,337254
2021-08-17,CLVR,10.33,10.421,9.66,9.84,249087
2021-08-18,CLVR,9.82,10.07,9.671,9.79,88136
2021-08-19,CLVR,9.74,10.2,9.74,10.04,96294
2021-08-20,CLVR,10.08,10.3097,9.8612,10.05,76211
2021-08-23,CLVR,10.06,10.34,10.045,10.26,80205
2021-08-24,CLVR,10.28,10.48,10.21,10.37,99222
2021-08-25,CLVR,10.27,10.27,9.86,9.88,106948
2021-08-26,CLVR,9.88,10.21,9.71,9.72,73698
2021-08-27,CLVR,9.67,10.01,9.67,9.85,95309
2021-08-30,CLVR,9.86,9.92,9.43,9.45,90823
2021-08-31,CLVR,9.43,9.7202,9.24,9.26,149811
2021-09-01,CLVR,9.35,9.46,9.2,9.27,146620
2021-09-02,CLVR,9.37,9.625,9.2,9.32,120100
2021-09-03,CLVR,9.22,9.4999,9.195,9.24,135190
2021-09-07,CLVR,9.3,9.3,8.62,8.63,246334
2021-09-08,CLVR,8.81,9.66,8.7,9.4,168695
2021-09-09,CLVR,9.31,9.31,8.8,8.84,151879
2021-09-10,CLVR,8.88,9.08,8.72,8.8,162606
2021-09-13,CLVR,8.82,8.9236,8.5029,8.59,103172
2021-09-14,CLVR,8.65,8.6924,8.29,8.33,87212
2021-09-15,CLVR,8.35,8.719,8.26,8.4,103210
2021-09-16,CLVR,8.4,8.695,8.29,8.64,51173
2021-09-17,CLVR,8.59,8.78,8.49,8.61,64015
2021-09-20,CLVR,8.25,8.3798,7.8124,7.9,271661
2021-09-21,CLVR,8.0,8.2499,7.68,8.1,116188
2021-09-22,CLVR,8.18,8.65,8.07,8.64,84024
2021-09-23,CLVR,8.62,8.9423,8.55,8.72,78905
2021-09-24,CLVR,8.61,8.925,8.4509,8.71,91882
2021-09-27,CLVR,8.83,8.97,8.3801,8.42,84817
2021-09-28,CLVR,8.42,8.42,7.76,7.84,239332
2021-09-29,CLVR,7.92,8.105,7.6577,7.87,111777
2021-09-30,CLVR,7.88,8.01,7.6,7.76,136782
2021-10-01,CLVR,7.77,7.88,7.48,7.5,167368
2021-10-04,CLVR,7.42,7.65,7.1105,7.19,171198
2021-10-05,CLVR,7.17,7.5,7.1,7.13,87064
2021-10-06,CLVR,7.1,7.235,6.77,7.16,151779
2021-10-07,CLVR,7.26,7.65,7.09,7.26,392546
2021-10-08,CLVR,7.31,7.36,7.1101,7.16,51039
2021-10-11,CLVR,7.16,7.2869,6.9,6.92,97029
2021-10-12,CLVR,6.97,7.27,6.9302,7.06,72771
2021-10-13,CLVR,7.12,7.1543,6.92,6.93,75429
2021-10-14,CLVR,6.97,7.2,6.91,6.94,81977
2021-10-15,CLVR,7.01,7.01,6.71,6.79,86255
2021-10-18,CLVR,6.75,6.825,6.6093,6.73,82818
2021-10-19,CLVR,6.75,7.4099,6.67,7.31,150855
2021-10-20,CLVR,7.24,7.4399,7.03,7.33,60100
2021-10-21,CLVR,7.33,7.6,7.32,7.36,49109
2021-10-22,CLVR,7.36,7.36,6.81,6.84,90541
2021-10-25,CLVR,6.9,7.13,6.76,7.1,66345
2021-10-26,CLVR,7.12,7.12,6.83,6.86,54433
2021-10-27,CLVR,6.79,6.87,6.63,6.66,61089
2021-10-28,CLVR,6.66,6.8587,6.62,6.76,72933
2021-10-29,CLVR,6.77,6.7766,6.6,6.68,56428
2021-11-01,CLVR,6.7,7.1,6.66,6.83,72372
2021-11-02,CLVR,6.82,6.88,6.5856,6.67,99614
2021-11-03,CLVR,6.67,6.8706,6.5,6.51,91986
2021-11-04,CLVR,6.5,6.56,6.25,6.37,167617
2021-11-05,CLVR,6.29,6.4628,6.19,6.37,125904
2021-11-08,CLVR,6.5,6.78,6.43,6.68,187990
2021-11-09,CLVR,6.65,6.72,6.3,6.32,204717
2021-11-10,CLVR,6.25,6.35,5.87,5.98,382095
2021-11-11,CLVR,5.8,5.8,5.5,5.57,549745
2021-11-12,CLVR,5.73,6.05,5.28,5.75,1193680
2021-11-15,CLVR,5.87,6.24,5.64,5.94,489500
2021-11-16,CLVR,5.94,6.21,5.71,6.13,266375
2021-11-17,CLVR,6.03,6.1361,5.65,5.75,214372
2021-11-18,CLVR,5.85,5.86,5.11,5.24,259115
2021-11-19,CLVR,5.34,5.3693,5.08,5.21,184616
2021-11-22,CLVR,5.2,5.33,4.91,5.26,170851
2021-11-23,CLVR,5.26,5.3899,4.96,5.23,130175
2021-11-24,CLVR,5.08,5.38,5.0,5.34,69215
2021-11-26,CLVR,5.25,5.27,5.021,5.22,86613
2021-11-29,CLVR,5.26,5.2781,4.7882,4.88,152968
2021-11-30,CLVR,4.8,4.97,4.5412,4.96,222879
2021-12-01,CLVR,5.0,5.06,4.22,4.33,360074
2021-12-02,CLVR,4.36,4.85,4.3051,4.83,229978
2021-12-03,CLVR,4.81,4.81,4.49,4.59,171975
2021-12-06,CLVR,4.59,4.74,4.35,4.62,158149
2021-12-07,CLVR,4.7,4.996,4.58,4.63,207728
2021-12-08,CLVR,4.73,4.76,4.51,4.66,133197
2021-12-09,CLVR,4.675,4.7238,4.27,4.34,116807
2021-12-10,CLVR,4.44,4.56,4.01,4.13,207449
2021-12-13,CLVR,4.07,4.2,3.85,4.05,164907
2021-12-14,CLVR,3.95,4.0999,3.71,3.88,308987
2021-12-15,CLVR,3.84,3.98,3.69,3.91,398473
2021-12-16,CLVR,4.04,4.08,3.87,3.9,172503
2021-12-17,CLVR,3.86,4.09,3.7,3.86,236398
2021-12-20,CLVR,3.73,3.83,3.49,3.49,296385
2021-12-21,CLVR,3.58,3.7,3.45,3.64,202787
2021-12-22,CLVR,3.67,3.69,3.33,3.49,454292
2021-12-23,CLVR,3.53,3.59,3.32,3.49,327937
2021-12-27,CLVR,3.5344,3.5344,3.12,3.13,644141
2021-12-28,CLVR,3.14,3.19,3.0,3.07,426503
2021-12-29,CLVR,3.08,3.32,3.025,3.08,375413
2021-12-30,CLVR,3.06,3.39,3.06,3.22,487825
2021-12-31,CLVR,3.2,3.3,2.9823,3.1,508806
2022-01-03,CLVR,3.19,3.37,3.1,3.25,269291
2022-01-04,CLVR,3.25,3.33,3.1114,3.21,204436
2022-01-05,CLVR,3.21,3.34,2.91,2.93,177481
2022-01-06,CLVR,2.98,3.06,2.75,2.76,384176
2022-01-07,CLVR,2.79,2.9,2.64,2.67,171969
2022-01-10,CLVR,2.7,2.74,2.56,2.67,250624
2022-01-11,CLVR,2.63,2.83,2.59,2.72,272361
2022-01-12,CLVR,2.76,2.9,2.62,2.64,217372
2022-01-13,CLVR,2.7,2.73,2.45,2.46,211700
2022-01-14,CLVR,2.485,2.79,2.33,2.76,540846
2022-01-18,CLVR,2.75,2.75,2.26,2.29,286072
2022-01-19,CLVR,2.27,2.29,2.07,2.1,377680
2022-01-20,CLVR,2.1,2.26,2.09,2.1,252901
2022-01-21,CLVR,2.04,2.06,1.89,1.97,292376
2022-01-24,CLVR,1.94,1.97,1.66,1.84,338371
2022-01-25,CLVR,1.75,2.0,1.75,1.92,126397
2022-01-26,CLVR,2.0,2.2327,2.0,2.02,295490
2022-01-27,CLVR,2.11,2.175,1.85,1.85,188067
2022-01-28,CLVR,1.83,1.9062,1.77,1.9,152765
2022-01-31,CLVR,1.9,2.16,1.9,2.03,239237
2022-02-01,CLVR,2.1,2.23,2.0146,2.21,220588
2022-02-02,CLVR,2.22,2.22,1.97,2.02,116239
2022-02-03,CLVR,2.03,2.05,1.89,1.91,91626
2022-02-04,CLVR,1.94,2.0,1.86,2.0,84442
2022-02-07,CLVR,2.03,2.1,1.9531,2.04,123106
2022-02-08,CLVR,2.07,2.13,2.05,2.11,152619
2022-02-09,CLVR,2.07,2.18,1.98,2.11,304921
2022-02-10,CLVR,2.1,2.15,1.92,1.98,269483
2022-02-11,CLVR,1.99,2.015,1.56,1.6,1755253
2022-02-14,CLVR,1.58,1.77,1.58,1.61,556106
2022-02-15,CLVR,1.61,1.66,1.48,1.5,728745
2022-02-16,CLVR,1.53,1.55,1.43,1.46,415194
2022-02-17,CLVR,1.44,1.5,1.39,1.41,420519
2022-02-18,CLVR,1.42,1.45,1.29,1.31,386915
2022-02-22,CLVR,1.31,1.3182,1.23,1.25,371411
2022-02-23,CLVR,1.23,1.3,1.11,1.14,378303
2022-02-24,CLVR,0.95,1.27,0.95,1.1,906327
2022-02-25,CLVR,1.1,1.24,1.1,1.19,321666
2022-02-28,CLVR,1.2,1.26,1.16,1.17,281258
2022-03-01,CLVR,1.18,1.1901,1.039,1.08,294297
2022-03-02,CLVR,1.2,1.2299,0.9901,1.0,422504
2022-03-03,CLVR,1.02,1.06,0.98,1.04,371814
2022-03-04,CLVR,1.05,1.06,1.0,1.04,166030
2022-03-07,CLVR,1.0,1.05,0.9079,0.9079,324698
2022-03-08,CLVR,0.95,1.0599,0.95,1.03,207189
2022-03-09,CLVR,1.07,1.07,0.9841,0.9953,308380
2022-03-10,CLVR,1.0,1.0399,0.9672,1.02,129058
2022-03-11,CLVR,1.03,1.0642,0.99,1.01,956431
2022-03-14,CLVR,1.0,1.06,0.92,0.9577,242036
2022-03-15,CLVR,0.9304,0.97,0.93,0.955,135628
2022-03-16,CLVR,0.97,1.07,0.96,1.03,463013
2022-03-17,CLVR,1.08,1.15,1.04,1.09,262888
2022-03-18,CLVR,1.13,1.19,1.09,1.15,259616
2022-03-21,CLVR,1.27,1.27,1.11,1.14,239745
2022-03-22,CLVR,1.14,1.3,1.1202,1.3,427723
2022-03-23,CLVR,1.29,1.4494,1.22,1.24,503725
2022-03-24,CLVR,1.24,1.73,1.22,1.58,2302332
2022-03-25,CLVR,2.005,3.98,1.88,3.84,125443746
2022-03-28,CLVR,2.95,3.08,1.9,1.91,57961138
2022-03-29,CLVR,2.17,3.28,1.97,2.68,127538077
2022-03-30,CLVR,2.62,3.24,2.5,2.6,66992904
2022-03-31,CLVR,2.6,2.74,2.33,2.49,9844017
2022-04-01,CLVR,2.59,3.14,2.4,2.47,62153160
2022-04-04,CLVR,2.42,2.42,2.22,2.26,7020866
2022-04-05,CLVR,2.13,2.29,1.95,2.12,7898249
2022-04-06,CLVR,2.17,2.39,1.99,2.05,11045541
2022-04-07,CLVR,2.0,2.035,1.79,1.89,3324789
2022-04-08,CLVR,1.89,1.9,1.7,1.73,2528603
2022-04-11,CLVR,1.72,1.881,1.64,1.78,2614786
2022-04-12,CLVR,1.78,1.93,1.68,1.71,2052516
2022-04-13,CLVR,1.68,1.79,1.64,1.76,1424036
2022-04-14,CLVR,1.76,1.76,1.6,1.64,1121931
2022-04-18,CLVR,1.63,1.6482,1.44,1.53,1564384
2022-04-19,CLVR,1.49,1.72,1.45,1.72,2155507
2022-04-20,CLVR,1.7,1.73,1.58,1.59,2250163
2022-04-21,CLVR,1.56,1.6463,1.47,1.49,854082
2022-04-22,CLVR,1.48,1.62,1.48,1.59,941527
2022-04-25,CLVR,1.56,1.63,1.48,1.58,892444
2022-04-26,CLVR,1.54,1.54,1.41,1.44,770740
2022-04-27,CLVR,1.5,1.63,1.46,1.46,1174443
2022-04-28,CLVR,1.46,1.51,1.39,1.43,919005
2022-04-29,CLVR,1.4,1.51,1.35,1.37,904938
2022-05-02,CLVR,1.35,1.47,1.33,1.46,572385
2022-05-03,CLVR,1.42,1.5,1.41,1.46,495067
2022-05-04,CLVR,1.42,1.46,1.36,1.45,519948
2022-05-05,CLVR,1.4,1.44,1.36,1.4,691621
2022-05-06,CLVR,1.38,1.44,1.32,1.4,416299
2022-05-09,CLVR,1.31,1.3469,1.17,1.17,802631
2022-05-10,CLVR,1.18,1.19,1.1,1.15,469837
2022-05-11,CLVR,1.11,1.15,1.0,1.0,512207
2022-05-12,CLVR,1.0,1.09,1.0,1.05,1133525
2022-05-13,CLVR,1.06,1.1399,1.01,1.06,1662212
2022-05-16,CLVR,1.06,1.33,1.06,1.3,2477565
2022-05-17,CLVR,1.3,1.36,1.19,1.31,780691
2022-05-18,CLVR,1.23,1.34,1.23,1.29,517454
2022-05-19,CLVR,1.27,1.31,1.2,1.23,557505
2022-05-20,CLVR,1.28,1.28,1.12,1.18,415760
2022-05-23,CLVR,1.21,1.21,1.07,1.08,448291
2022-05-24,CLVR,1.05,1.0599,1.01,1.04,335584
2022-05-25,CLVR,1.04,1.12,1.04,1.09,170165
2022-05-26,CLVR,1.1,1.16,1.07,1.12,504421
2022-05-27,CLVR,1.12,1.15,1.08,1.14,440692
2022-05-31,CLVR,1.11,1.19,1.1001,1.15,335344
2022-06-01,CLVR,1.15,1.15,1.0828,1.12,280663
2022-06-02,CLVR,1.09,1.18,1.09,1.16,249380
2022-06-03,CLVR,1.15,1.19,1.13,1.15,225024
2022-06-06,CLVR,1.15,1.15,1.07,1.07,423804
2022-06-07,CLVR,1.06,1.27,1.06,1.27,689042
2022-06-08,CLVR,1.24,1.3,1.16,1.19,614331
2022-06-09,CLVR,1.22,1.22,1.1201,1.14,247469
2022-06-10,CLVR,1.13,1.135,1.07,1.11,245784
2022-06-13,CLVR,1.05,1.0701,0.92,0.9836,648734
2022-06-14,CLVR,1.02,1.02,0.95,1.0,324677
2022-06-15,CLVR,1.03,1.05,0.99,1.04,212061
2022-06-16,CLVR,1.02,1.03,0.96,0.9602,422798
2022-06-17,CLVR,0.97,1.05,0.97,0.9791,261912
2022-06-21,CLVR,1.01,1.05,0.98,1.03,240891
2022-06-22,CLVR,0.9879,1.03,0.9879,0.9901,214813
2022-06-23,CLVR,1.0,1.1,1.0,1.1,563789
2022-06-24,CLVR,1.1,1.13,1.06,1.08,284511
2022-06-27,CLVR,1.05,1.0701,1.03,1.03,160778
2022-06-28,CLVR,1.04,1.07,1.0,1.0,203979
2022-06-29,CLVR,1.01,1.01,0.97,0.99,199884
2022-06-30,CLVR,0.96,0.99,0.95,0.9759,228676
2022-07-01,CLVR,0.9512,0.9918,0.95,0.97,108318
2022-07-05,CLVR,0.94,1.0352,0.94,1.03,151551
2022-07-06,CLVR,0.9848,1.04,0.98,0.985,394394
2022-07-07,CLVR,0.98,1.03,0.9725,1.03,183572
2022-07-08,CLVR,1.03,1.08,1.0,1.08,386456
2022-07-11,CLVR,1.07,1.07,1.01,1.01,139092
2022-07-12,CLVR,1.03,1.04,1.01,1.02,82026
2022-07-13,CLVR,1.01,1.03,1.0,1.0,69847
2022-07-14,CLVR,0.99,1.46,0.98,1.36,13959374
2022-07-15,CLVR,1.28,1.304,1.13,1.23,3293319
2022-07-18,CLVR,1.25,1.26,1.11,1.12,5011240
2022-07-19,CLVR,1.11,1.17,1.07,1.09,2333870
2022-07-20,CLVR,1.07,1.18,1.06,1.1,6092089
2022-07-21,CLVR,1.1,1.1,1.01,1.03,2778245
2022-07-22,CLVR,1.03,1.0499,0.951,0.9608,1539908
2022-07-25,CLVR,0.9719,1.01,0.95,0.9699,1174257
2022-07-26,CLVR,0.9944,0.9944,0.91,0.92,1373190
2022-07-27,CLVR,0.93,0.9771,0.902,0.9397,887830
2022-07-28,CLVR,0.94,0.9666,0.915,0.9399,675538
2022-07-29,CLVR,0.94,0.95,0.91,0.92,725815
2022-08-01,CLVR,0.98,1.01,0.9215,0.9415,957107
2022-08-02,CLVR,0.9375,1.0,0.9375,0.979,1235330
