date,ticker,open,high,low,close,volume
2022-05-19,CMRA,10.89,11.1,8.53,9.91,838200
2022-05-20,CMRA,9.75,11.44,8.8,8.85,250619
2022-05-23,CMRA,9.12,9.81,7.71,8.0,899389
2022-05-24,CMRA,7.87,7.9823,6.56,7.23,268006
2022-05-25,CMRA,6.9,7.1809,5.26,5.35,352123
2022-05-26,CMRA,5.3,5.79,3.32,3.39,711231
2022-05-27,CMRA,2.5,3.08,2.5,2.5,838280
2022-05-31,CMRA,2.49,2.87,2.19,2.19,387724
2022-06-01,CMRA,2.3,2.4267,2.2,2.31,111660
2022-06-02,CMRA,2.3,2.4636,2.2538,2.35,110744
2022-06-03,CMRA,2.4062,2.4062,1.96,2.0,137496
2022-06-06,CMRA,1.9,1.99,1.52,1.56,193127
2022-06-07,CMRA,1.54,1.84,1.51,1.59,123310
2022-06-08,CMRA,1.49,1.59,1.3101,1.41,217005
2022-06-09,CMRA,1.41,1.52,1.362,1.4,84946
2022-06-10,CMRA,1.4,1.425,1.3,1.32,119957
2022-06-13,CMRA,1.35,1.6199,1.11,1.17,85043
2022-06-14,CMRA,1.182,4.37,1.18,2.65,68863919
2022-06-15,CMRA,2.31,4.05,2.22,3.72,37301131
2022-06-16,CMRA,4.07,4.67,2.85,3.5,13906994
2022-06-17,CMRA,3.3,4.93,3.22,4.44,22398923
2022-06-21,CMRA,4.25,5.7,3.67,4.11,11089331
2022-06-22,CMRA,4.29,4.57,3.73,3.91,1745525
2022-06-23,CMRA,3.8,4.16,3.36,3.52,782591
2022-06-24,CMRA,3.5,3.72,3.3,3.3,430797
2022-06-27,CMRA,3.31,3.55,2.8501,2.97,509666
2022-06-28,CMRA,2.92,3.14,2.72,2.72,352492
2022-06-29,CMRA,2.66,3.33,2.45,2.66,1833346
2022-06-30,CMRA,2.77,2.8,2.3573,2.64,437242
2022-07-01,CMRA,2.63,2.84,2.58,2.69,292475
2022-07-05,CMRA,2.61,2.73,2.35,2.37,210535
2022-07-06,CMRA,2.29,2.5,2.27,2.29,288176
2022-07-07,CMRA,2.29,2.66,2.18,2.58,358912
2022-07-08,CMRA,2.78,2.8599,2.57,2.62,324268
2022-07-11,CMRA,2.58,2.76,2.36,2.36,211131
2022-07-12,CMRA,2.29,2.54,2.26,2.38,176762
2022-07-13,CMRA,2.34,2.4,2.06,2.13,209597
2022-07-14,CMRA,2.07,2.17,1.9401,1.98,92650
2022-07-15,CMRA,1.98,2.07,1.9601,2.06,97653
2022-07-18,CMRA,2.13,2.1504,1.96,2.0,168494
2022-07-19,CMRA,2.04,2.16,1.94,1.96,68353
