date,ticker,open,high,low,close,volume
2020-12-17,COEP,9.9,10.01,9.89,9.9,10457
2020-12-18,COEP,9.86,9.9,9.85,9.9,5135
2020-12-21,COEP,9.85,10.15,9.8,9.9,105510
2020-12-22,COEP,9.9,9.9,9.9,9.9,256
2020-12-23,COEP,9.9,9.9184,9.9,9.9184,3924
2020-12-24,COEP,9.94,10.0,9.93,9.975,6678
2020-12-28,COEP,10.02,10.18,10.02,10.08,29687
2020-12-29,COEP,11.0,11.1,10.46,10.74,1442825
2020-12-30,COEP,10.64,11.1899,10.31,10.44,1186485
2020-12-31,COEP,10.34,10.34,10.06,10.19,193756
2021-01-04,COEP,10.15,10.1619,9.96,10.06,181617
2021-01-05,COEP,10.06,10.2,9.98,10.11,91232
2021-01-06,COEP,10.06,10.2,10.05,10.15,104173
2021-01-07,COEP,10.0878,10.21,10.0701,10.18,76942
2021-01-08,COEP,10.19,10.33,10.18,10.23,243630
2021-01-11,COEP,10.2001,10.29,10.13,10.29,34039
2021-01-12,COEP,10.27,10.29,10.1501,10.21,173442
2021-01-13,COEP,10.18,10.33,10.15,10.22,41951
2021-01-14,COEP,10.21,10.27,10.16,10.27,130445
2021-01-15,COEP,10.24,10.27,10.15,10.21,45640
2021-01-19,COEP,10.22,10.27,10.16,10.22,67704
2021-01-20,COEP,10.2,10.23,10.16,10.2,55571
2021-01-21,COEP,10.175,10.2,10.1,10.13,115650
2021-01-22,COEP,10.14,10.2,10.14,10.19,75874
2021-01-25,COEP,10.21,10.2408,10.14,10.16,55125
2021-01-26,COEP,10.16,10.205,10.1,10.13,170304
2021-01-27,COEP,10.09,10.1,10.0,10.02,173209
2021-01-28,COEP,10.1,10.1899,10.03,10.11,66680
2021-01-29,COEP,10.14,10.14,10.06,10.08,52048
2021-02-01,COEP,10.09,10.18,10.0401,10.17,46385
2021-02-02,COEP,10.07,10.25,10.07,10.22,28167
2021-02-03,COEP,10.17,10.25,10.13,10.19,31806
2021-02-04,COEP,10.21,10.28,10.16,10.24,38879
2021-02-05,COEP,10.2499,10.25,10.11,10.14,54224
2021-02-08,COEP,10.14,10.2,10.09,10.16,83980
2021-02-09,COEP,10.17,10.17,10.13,10.16,22889
2021-02-10,COEP,10.145,10.15,10.08,10.15,30819
2021-02-11,COEP,10.15,10.17,10.1101,10.16,12203
2021-02-12,COEP,10.16,10.2,10.13,10.1897,33593
2021-02-16,COEP,10.19,10.22,10.12,10.19,55541
2021-02-17,COEP,10.15,10.33,10.12,10.27,73138
2021-02-18,COEP,10.25,10.26,10.2,10.23,27960
2021-02-19,COEP,10.28,10.3405,10.2,10.27,24885
2021-02-22,COEP,10.28,10.38,10.21,10.32,50498
2021-02-23,COEP,10.16,10.28,10.11,10.27,181838
2021-02-24,COEP,10.2363,10.35,10.1501,10.22,34229
2021-02-25,COEP,10.245,10.245,10.12,10.22,88340
2021-02-26,COEP,10.18,10.2199,10.17,10.2,55652
2021-03-01,COEP,10.26,10.26,10.06,10.17,77073
2021-03-02,COEP,10.19,10.19,9.81,9.96,69990
2021-03-03,COEP,10.06,10.07,9.91,10.0,34942
2021-03-04,COEP,10.01,10.01,9.63,9.9,25534
2021-03-05,COEP,9.89,9.96,9.85,9.92,32516
2021-03-08,COEP,9.9051,9.99,9.89,9.93,8672
2021-03-09,COEP,9.9201,9.98,9.89,9.9,26335
2021-03-10,COEP,9.9498,9.955,9.89,9.89,14723
2021-03-11,COEP,9.94,9.94,9.86,9.87,117889
2021-03-12,COEP,9.91,9.91,9.87,9.9,26462
2021-03-15,COEP,9.9,9.9439,9.89,9.9,9047
2021-03-16,COEP,9.87,9.9102,9.87,9.9,3618
2021-03-17,COEP,9.895,9.99,9.8501,9.99,10105
2021-03-18,COEP,9.99,9.99,9.95,9.95,1444
2021-03-19,COEP,9.98,9.9999,9.86,9.94,32423
2021-03-22,COEP,9.9014,9.925,9.86,9.86,6707
2021-03-23,COEP,9.8532,9.874,9.84,9.84,17791
2021-03-24,COEP,9.877,9.877,9.75,9.76,58766
