date,ticker,open,high,low,close,volume
2024-03-20,CTOS,5.47,5.58,5.39,5.56,557604
2024-03-21,CTOS,5.59,5.61,5.5,5.53,509147
2024-03-22,CTOS,5.54,5.56,5.47,5.48,425104
2024-03-25,CTOS,5.46,5.61,5.46,5.53,499931
2024-03-26,CTOS,5.57,5.59,5.465,5.55,562766
2024-03-27,CTOS,5.59,5.75,5.54,5.75,612947
2024-03-28,CTOS,5.75,5.94,5.725,5.82,773054
2024-04-01,CTOS,5.84,6.03,5.79,5.88,821833
2024-04-02,CTOS,5.84,5.97,5.775,5.82,640800
2024-04-03,CTOS,5.85,6.04,5.83,5.97,854548
2024-04-04,CTOS,6.05,6.27,5.705,5.8,782882
2024-04-05,CTOS,5.76,5.845,5.75,5.79,1010566
2024-04-08,CTOS,5.84,5.9,5.83,5.86,505398
2024-04-09,CTOS,5.88,5.93,5.825,5.83,486583
2024-04-10,CTOS,5.7,5.765,5.62,5.74,561387
2024-04-11,CTOS,5.74,5.82,5.684,5.74,467165
2024-04-12,CTOS,5.71,5.78,5.61,5.65,617244
2024-04-15,CTOS,5.67,5.71,5.51,5.52,537514
2024-04-16,CTOS,5.47,5.55,5.32,5.33,567425
2024-04-17,CTOS,5.35,5.4,5.19,5.23,533540
2024-04-18,CTOS,5.24,5.34,5.19,5.22,499470
2024-04-19,CTOS,5.21,5.31,5.14,5.18,558561
2024-04-22,CTOS,5.19,5.26,5.155,5.25,745063
2024-04-23,CTOS,5.29,5.43,5.26,5.37,647464
2024-04-24,CTOS,5.3,5.34,5.15,5.17,636375
2024-04-25,CTOS,5.08,5.17,5.08,5.13,609898
2024-04-26,CTOS,5.16,5.16,5.11,5.12,315608
2024-04-29,CTOS,5.16,5.19,5.12,5.13,581422
2024-04-30,CTOS,5.07,5.09,4.97,4.99,733268
2024-05-01,CTOS,5.0,5.0,4.77,4.84,711598
2024-05-02,CTOS,4.91,4.94,4.75,4.9,688244
2024-05-03,CTOS,4.18,4.34,3.605,4.17,2392718
2024-05-06,CTOS,4.2,4.2,3.84,3.88,1722566
2024-05-07,CTOS,3.88,4.14,3.865,4.05,1169810
2024-05-08,CTOS,4.02,4.18,4.02,4.17,772662
2024-05-09,CTOS,4.42,4.66,4.358,4.52,1231350
2024-05-10,CTOS,4.52,4.665,4.49,4.53,968879
2024-05-13,CTOS,4.54,4.59,4.52,4.56,677807
2024-05-14,CTOS,4.6,4.71,4.58,4.6,657369
2024-05-15,CTOS,4.64,4.655,4.525,4.55,528135
2024-05-16,CTOS,4.54,4.72,4.495,4.7,758081
2024-05-17,CTOS,4.71,4.83,4.695,4.83,983689
2024-05-20,CTOS,4.83,4.92,4.73,4.74,980856
2024-05-21,CTOS,4.72,4.8,4.63,4.65,484975
2024-05-22,CTOS,4.62,4.775,4.6,4.68,449863
2024-05-23,CTOS,4.66,4.66,4.46,4.46,682864
2024-05-24,CTOS,4.48,4.6,4.48,4.59,464992
2024-05-28,CTOS,4.57,4.665,4.57,4.6,496215
2024-05-29,CTOS,4.55,4.63,4.51,4.54,658328
2024-05-30,CTOS,4.58,4.75,4.58,4.73,547080
2024-05-31,CTOS,4.75,4.865,4.69,4.77,427864
2024-06-03,CTOS,4.8,4.85,4.69,4.7,477556
2024-06-04,CTOS,4.65,4.69,4.57,4.59,560143
2024-06-05,CTOS,4.64,4.77,4.64,4.74,451830
2024-06-06,CTOS,4.72,4.84,4.715,4.77,727779
2024-06-07,CTOS,4.72,4.85,4.67,4.68,592252
2024-06-10,CTOS,4.66,4.81,4.65,4.69,559712
2024-06-11,CTOS,4.64,4.7,4.6,4.63,351767
2024-06-12,CTOS,4.76,4.835,4.685,4.7,540021
2024-06-13,CTOS,4.67,4.74,4.55,4.58,365112
2024-06-14,CTOS,4.4,4.4,4.23,4.27,983644
2024-06-17,CTOS,4.33,4.42,4.28,4.39,513988
2024-06-18,CTOS,4.37,4.5,4.37,4.45,516555
2024-06-20,CTOS,4.4,4.49,4.4,4.45,571907
2024-06-21,CTOS,4.45,4.45,4.35,4.42,622697
2024-06-24,CTOS,4.46,4.505,4.38,4.44,430308
2024-06-25,CTOS,4.4,4.44,4.34,4.39,441061
2024-06-26,CTOS,4.37,4.45,4.35,4.39,423988
2024-06-27,CTOS,4.4,4.43,4.33,4.35,545050
2024-06-28,CTOS,4.35,4.4,4.28,4.35,1535449
2024-07-01,CTOS,4.35,4.35,4.18,4.22,528567
2024-07-02,CTOS,4.23,4.335,4.155,4.2,928813
2024-07-03,CTOS,4.23,4.315,4.19,4.22,613209
