date,ticker,open,high,low,close,volume
2022-01-14,DCFCQ,11.0,11.0,9.2047,9.22,172266
2022-01-18,DCFCQ,9.2,9.65,8.96,9.0,268464
2022-01-19,DCFCQ,8.9,9.0,7.68,8.01,271933
2022-01-20,DCFCQ,8.0,8.055,6.7808,7.05,454368
2022-01-21,DCFCQ,6.9,7.7,6.8201,7.25,314723
2022-01-24,DCFCQ,7.25,7.64,7.01,7.49,182318
2022-01-25,DCFCQ,7.8,8.49,7.415,7.99,172587
2022-01-26,DCFCQ,8.16,8.2998,7.61,7.74,288816
2022-01-27,DCFCQ,8.12,8.12,7.75,8.09,161406
2022-01-28,DCFCQ,8.2,8.2,7.01,7.32,184241
2022-01-31,DCFCQ,7.53,8.23,7.3667,7.84,258701
2022-02-01,DCFCQ,7.86,8.05,7.21,7.22,256320
2022-02-02,DCFCQ,7.25,7.35,6.42,6.5,214658
2022-02-03,DCFCQ,6.5,6.8562,6.5,6.61,140826
2022-02-04,DCFCQ,6.65,6.93,6.56,6.71,148768
2022-02-07,DCFCQ,6.78,7.0,6.71,6.84,70127
2022-02-08,DCFCQ,7.89,11.9,6.85,9.54,30503214
2022-02-09,DCFCQ,13.59,19.75,12.21,15.7,105443103
2022-02-10,DCFCQ,13.69,14.9464,12.73,13.33,12594698
2022-02-11,DCFCQ,14.58,14.6,10.1,10.24,11961731
2022-02-14,DCFCQ,9.81,10.15,8.88,9.4,5656226
2022-02-15,DCFCQ,10.0748,10.27,9.22,9.38,5880522
2022-02-16,DCFCQ,9.41,9.59,9.13,9.18,1713236
2022-02-17,DCFCQ,9.18,9.2,8.24,8.35,1952696
2022-02-18,DCFCQ,8.44,8.7,7.85,8.13,1275216
2022-02-22,DCFCQ,8.03,8.2,7.12,7.25,1218785
2022-02-23,DCFCQ,7.3,7.559,7.21,7.28,818190
2022-02-24,DCFCQ,6.9,7.6136,6.8,7.54,1176790
2022-02-25,DCFCQ,7.82,7.88,7.32,7.62,755433
2022-02-28,DCFCQ,7.61,7.72,7.19,7.36,739506
2022-03-01,DCFCQ,7.55,8.48,7.2,7.92,1597525
2022-03-02,DCFCQ,8.12,9.16,7.65,7.75,1663077
2022-03-03,DCFCQ,8.05,8.08,7.4,7.53,666301
2022-03-04,DCFCQ,7.38,8.07,7.352,7.61,759156
2022-03-07,DCFCQ,7.24,7.54,7.18,7.24,653498
2022-03-08,DCFCQ,7.2,7.3,6.8,7.11,863390
2022-03-09,DCFCQ,7.42,7.65,7.31,7.43,313334
2022-03-10,DCFCQ,7.5,7.8,7.1592,7.65,434033
2022-03-11,DCFCQ,7.635,7.9,7.1,7.2,320550
2022-03-14,DCFCQ,7.28,7.47,6.78,6.91,348365
2022-03-15,DCFCQ,6.85,7.2886,6.85,7.13,261979
2022-03-16,DCFCQ,7.14,7.39,7.05,7.33,368045
2022-03-17,DCFCQ,7.42,7.7699,7.13,7.55,382167
2022-03-18,DCFCQ,7.55,7.83,7.54,7.81,238561
2022-03-21,DCFCQ,7.96,8.3797,7.95,8.19,305953
2022-03-22,DCFCQ,8.31,8.54,8.25,8.34,249921
2022-03-23,DCFCQ,8.38,9.2197,8.31,9.15,990321
2022-03-24,DCFCQ,9.45,10.3,9.2,9.85,2053542
2022-03-25,DCFCQ,9.85,10.07,9.7,9.88,729412
2022-03-28,DCFCQ,10.06,10.45,9.27,9.5,905875
2022-03-29,DCFCQ,9.66,9.94,9.36,9.55,1191292
2022-03-30,DCFCQ,9.41,9.9499,9.38,9.73,3671937
2022-03-31,DCFCQ,9.64,10.3,9.61,10.04,813836
2022-04-01,DCFCQ,10.0,10.0,9.65,9.76,358799
2022-04-04,DCFCQ,9.75,10.3,9.46,10.25,656556
2022-04-05,DCFCQ,10.22,10.29,9.831,9.84,307507
2022-04-06,DCFCQ,9.65,9.73,9.32,9.65,281848
2022-04-07,DCFCQ,9.5,9.8153,9.36,9.44,291906
2022-04-08,DCFCQ,9.43,9.64,8.96,8.97,241159
2022-04-11,DCFCQ,8.68,8.88,8.5,8.71,183456
2022-04-12,DCFCQ,8.74,9.09,8.56,8.62,142051
2022-04-13,DCFCQ,8.58,9.1,8.58,8.9,144706
2022-04-14,DCFCQ,9.01,9.0793,8.17,8.52,172321
2022-04-18,DCFCQ,8.72,10.35,8.61,9.56,1298136
2022-04-19,DCFCQ,9.55,9.77,9.03,9.62,390875
2022-04-20,DCFCQ,9.78,9.9,9.21,9.79,439595
2022-04-21,DCFCQ,9.6,9.75,9.34,9.55,331328
2022-04-22,DCFCQ,9.43,9.5,9.0057,9.36,198363
2022-04-25,DCFCQ,9.1,10.55,9.05,10.35,710358
2022-04-26,DCFCQ,10.5,10.5,9.51,9.95,532683
2022-04-27,DCFCQ,9.83,10.11,9.61,9.81,247446
2022-04-28,DCFCQ,9.83,9.83,8.8,9.11,306460
2022-04-29,DCFCQ,8.93,9.47,8.9015,9.09,120383
2022-05-02,DCFCQ,9.09,9.1408,8.57,8.74,278484
2022-05-03,DCFCQ,8.67,9.0,8.57,8.78,266867
2022-05-04,DCFCQ,8.72,9.0,8.42,8.95,193239
2022-05-05,DCFCQ,8.86,8.93,8.32,8.39,206225
2022-05-06,DCFCQ,8.36,8.44,7.81,8.0,225470
2022-05-09,DCFCQ,7.81,7.99,7.22,7.28,288346
2022-05-10,DCFCQ,7.39,7.83,7.23,7.74,293499
2022-05-11,DCFCQ,7.71,8.12,6.99,7.21,222357
2022-05-12,DCFCQ,7.04,7.7,7.01,7.65,183591
2022-05-13,DCFCQ,7.88,8.25,7.73,7.99,185727
2022-05-16,DCFCQ,7.87,8.21,7.71,8.04,115686
2022-05-17,DCFCQ,8.19,8.2096,7.95,8.01,104260
2022-05-18,DCFCQ,7.95,8.33,7.7515,8.33,114929
2022-05-19,DCFCQ,8.25,8.3,7.9,8.11,137164
2022-05-20,DCFCQ,8.48,8.48,7.3087,7.62,200929
2022-05-23,DCFCQ,7.61,8.18,7.54,8.01,175406
2022-05-24,DCFCQ,8.01,8.34,7.7815,8.05,121912
2022-05-25,DCFCQ,7.9,8.11,7.77,8.07,74583
2022-05-26,DCFCQ,8.25,8.55,8.07,8.53,137351
2022-05-27,DCFCQ,8.41,9.92,8.36,9.5,460834
2022-05-31,DCFCQ,9.66,10.35,9.32,9.38,403790
2022-06-01,DCFCQ,9.69,9.69,8.83,8.88,227950
2022-06-02,DCFCQ,9.02,9.3,8.55,8.83,163403
2022-06-03,DCFCQ,8.48,8.78,8.13,8.24,206408
2022-06-06,DCFCQ,8.25,8.4,7.85,7.92,194986
2022-06-07,DCFCQ,7.97,8.1,7.66,7.76,179077
2022-06-08,DCFCQ,7.65,7.97,7.65,7.71,149030
2022-06-09,DCFCQ,7.75,8.07,7.5,7.55,176281
2022-06-10,DCFCQ,7.5,7.66,7.05,7.11,569410
2022-06-13,DCFCQ,6.85,6.96,6.23,6.79,502202
2022-06-14,DCFCQ,6.97,7.0,6.14,6.17,385936
2022-06-15,DCFCQ,6.39,6.45,6.05,6.37,339949
2022-06-16,DCFCQ,6.18,6.38,5.72,5.77,386012
2022-06-17,DCFCQ,5.91,6.33,5.8,6.24,437663
2022-06-21,DCFCQ,6.45,6.55,6.0195,6.34,303073
2022-06-22,DCFCQ,6.23,6.91,6.1,6.78,330480
2022-06-23,DCFCQ,6.96,7.34,6.7,7.22,543793
2022-06-24,DCFCQ,7.22,7.34,6.85,6.87,270784
2022-06-27,DCFCQ,6.85,7.24,6.62,7.03,242747
2022-06-28,DCFCQ,7.02,7.6,7.02,7.11,295958
2022-06-29,DCFCQ,7.05,7.055,6.18,6.18,287099
2022-06-30,DCFCQ,6.1,6.56,6.01,6.09,227050
2022-07-01,DCFCQ,6.05,6.18,5.81,6.13,154518
2022-07-05,DCFCQ,6.05,6.11,5.7,5.84,300812
2022-07-06,DCFCQ,5.79,5.93,5.56,5.67,198757
2022-07-07,DCFCQ,5.7,6.1501,5.7,5.98,186101
2022-07-08,DCFCQ,6.0,6.87,5.9559,6.49,375320
2022-07-11,DCFCQ,6.41,6.49,5.76,5.78,251295
2022-07-12,DCFCQ,6.04,6.04,5.66,5.71,355100
2022-07-13,DCFCQ,5.57,5.955,5.46,5.48,516940
2022-07-14,DCFCQ,5.45,5.9,5.43,5.61,304680
2022-07-15,DCFCQ,5.65,6.09,5.52,6.03,343128
2022-07-18,DCFCQ,6.01,6.1,5.82,5.89,226725
2022-07-19,DCFCQ,5.9,6.03,5.89,5.94,262503
2022-07-20,DCFCQ,5.9,6.15,5.9,6.07,232204
2022-07-21,DCFCQ,6.05,6.17,5.95,6.16,212458
2022-07-22,DCFCQ,6.22,6.3518,5.87,5.9,163894
2022-07-25,DCFCQ,5.94,5.94,5.835,5.88,131955
2022-07-26,DCFCQ,5.88,6.01,5.85,5.87,114905
2022-07-27,DCFCQ,5.96,6.19,5.89,6.18,207548
2022-07-28,DCFCQ,6.33,6.38,6.15,6.28,241797
2022-07-29,DCFCQ,6.49,6.7837,6.21,6.6,329297
2022-08-01,DCFCQ,6.5,6.5,6.155,6.18,157740
2022-08-02,DCFCQ,6.15,6.345,6.12,6.28,191905
2022-08-03,DCFCQ,6.34,6.49,6.32,6.46,283164
2022-08-04,DCFCQ,6.45,7.0442,6.435,6.9,406838
2022-08-05,DCFCQ,6.91,6.91,6.5,6.75,180046
2022-08-08,DCFCQ,6.9,6.94,6.62,6.89,349023
2022-08-09,DCFCQ,6.85,6.93,6.74,6.88,227345
2022-08-10,DCFCQ,6.93,7.28,6.8132,7.28,597675
2022-08-11,DCFCQ,7.28,7.3488,7.08,7.12,245250
2022-08-12,DCFCQ,7.19,8.3,7.04,8.3,662901
2022-08-15,DCFCQ,8.39,9.23,8.3302,9.14,487863
2022-08-16,DCFCQ,9.02,9.02,8.19,8.6,503006
2022-08-17,DCFCQ,8.4,8.6,7.81,8.49,371017
2022-08-18,DCFCQ,8.26,8.49,7.62,8.36,427378
2022-08-19,DCFCQ,8.08,8.24,7.08,7.08,520871
2022-08-22,DCFCQ,6.9,6.93,6.09,6.42,582626
2022-08-23,DCFCQ,6.31,7.4,6.31,7.31,426278
2022-08-24,DCFCQ,7.373,7.99,7.26,7.34,278801
2022-08-25,DCFCQ,7.4,7.55,7.15,7.26,209931
2022-08-26,DCFCQ,7.5,7.5,6.88,6.97,236210
2022-08-29,DCFCQ,6.98,7.0,6.42,6.46,319069
2022-08-30,DCFCQ,6.55,6.91,6.53,6.62,225944
2022-08-31,DCFCQ,6.55,7.0,6.335,6.94,523911
2022-09-01,DCFCQ,6.8,6.94,6.45,6.9,220006
2022-09-02,DCFCQ,6.95,6.95,6.51,6.6,223801
2022-09-06,DCFCQ,6.81,6.885,6.52,6.84,225181
2022-09-07,DCFCQ,6.95,7.0,6.84,6.9,323680
2022-09-08,DCFCQ,7.13,7.15,6.7753,6.82,279065
2022-09-09,DCFCQ,6.77,6.95,6.77,6.83,257424
2022-09-12,DCFCQ,6.9,7.1,6.85,6.89,533755
2022-09-13,DCFCQ,6.59,6.84,6.5388,6.7,444390
2022-09-14,DCFCQ,6.65,7.05,6.62,6.88,457314
2022-09-15,DCFCQ,6.62,6.78,5.81,6.23,1575533
2022-09-16,DCFCQ,6.0,6.0884,5.75,5.87,1742480
2022-09-19,DCFCQ,5.95,5.95,5.51,5.54,638707
2022-09-20,DCFCQ,5.55,5.69,5.0,5.08,1016956
2022-09-21,DCFCQ,5.01,5.1107,4.51,4.95,955110
2022-09-22,DCFCQ,4.98,5.0,4.33,4.38,786243
2022-09-23,DCFCQ,4.17,4.273,3.55,3.79,1775242
2022-09-26,DCFCQ,3.7,4.11,3.7,3.89,996459
2022-09-27,DCFCQ,3.99,4.0,3.68,3.69,893611
2022-09-28,DCFCQ,3.69,3.9847,3.69,3.9,818256
2022-09-29,DCFCQ,4.01,4.01,3.55,3.55,2435645
2022-09-30,DCFCQ,3.58,3.72,3.16,3.19,1030669
2022-10-03,DCFCQ,3.22,3.26,3.06,3.07,492082
2022-10-04,DCFCQ,3.195,3.64,3.18,3.31,916223
2022-10-05,DCFCQ,3.32,3.35,2.8101,2.88,1214751
2022-10-06,DCFCQ,2.91,2.992,2.8,2.8,986964
2022-10-07,DCFCQ,2.85,2.85,2.5899,2.655,734092
2022-10-10,DCFCQ,2.74,2.77,2.31,2.33,905267
2022-10-11,DCFCQ,2.32,2.4,2.255,2.34,942713
2022-10-12,DCFCQ,2.36,2.45,2.33,2.39,420889
2022-10-13,DCFCQ,2.34,2.6485,2.32,2.56,708553
