date,ticker,open,high,low,close,volume
2022-10-07,DFLI,14.98,15.12,13.5,14.0,94400
2022-10-10,DFLI,12.0,13.5668,8.98,13.16,235253
2022-10-11,DFLI,13.2,17.68,11.22,14.23,404934
2022-10-12,DFLI,14.23,14.23,9.51,10.02,347962
2022-10-13,DFLI,8.6,9.26,7.2501,8.69,250248
2022-10-14,DFLI,8.19,8.9361,7.5,7.5,122180
2022-10-17,DFLI,8.14,9.58,7.61,9.58,408011
2022-10-18,DFLI,8.71,9.3,7.47,7.64,583224
2022-10-19,DFLI,7.7,7.8,6.75,7.4,263003
2022-10-20,DFLI,7.46,7.69,7.1101,7.62,62531
2022-10-21,DFLI,7.77,8.74,7.5,8.19,192980
2022-10-24,DFLI,7.81,8.2,7.51,7.92,103573
2022-10-25,DFLI,8.17,8.5,7.5401,8.2,126903
2022-10-26,DFLI,8.16,8.4,8.0,8.1,23450
2022-10-27,DFLI,8.37,9.29,8.0111,8.725,83714
2022-10-28,DFLI,9.21,9.21,7.71,8.0001,158346
2022-10-31,DFLI,8.06,8.74,7.5295,7.98,60027
2022-11-01,DFLI,7.97,7.97,7.35,7.5,34738
2022-11-02,DFLI,7.3262,7.57,7.26,7.5,24942
2022-11-03,DFLI,7.5,8.75,7.27,8.22,87281
2022-11-04,DFLI,8.67,8.75,7.85,8.61,36311
2022-11-07,DFLI,8.23,8.6099,7.6501,8.5,39320
2022-11-08,DFLI,8.82,8.94,8.2637,8.47,64287
2022-11-09,DFLI,8.73,8.89,7.62,7.81,45327
2022-11-10,DFLI,8.22,8.5,7.6,8.5,39419
2022-11-11,DFLI,8.45,8.88,8.18,8.79,27573
2022-11-14,DFLI,8.42,8.59,8.04,8.22,21788
2022-11-15,DFLI,8.31,8.3899,8.07,8.08,29489
2022-11-16,DFLI,8.09,8.47,7.94,7.97,32890
2022-11-17,DFLI,8.05,8.68,8.05,8.38,16291
2022-11-18,DFLI,8.5,8.8079,8.5,8.52,34241
2022-11-21,DFLI,9.09,9.09,8.1,8.49,18173
2022-11-22,DFLI,8.44,8.86,8.09,8.15,54162
2022-11-23,DFLI,8.28,8.765,8.1355,8.28,13847
2022-11-25,DFLI,8.44,8.6735,8.1,8.23,7135
2022-11-28,DFLI,8.7,8.7,8.26,8.26,10542
2022-11-29,DFLI,8.56,8.7,8.28,8.32,13802
2022-11-30,DFLI,8.6,8.7,8.4,8.42,10855
2022-12-01,DFLI,8.5,8.7,8.3,8.52,9439
2022-12-02,DFLI,8.37,8.7,8.3346,8.7,7475
2022-12-05,DFLI,8.69,10.0,8.4901,9.4,63317
2022-12-06,DFLI,9.0,9.842,8.4,9.68,44047
2022-12-07,DFLI,9.26,10.8,9.12,10.18,42341
2022-12-08,DFLI,10.28,10.91,9.81,9.81,23708
2022-12-09,DFLI,10.99,11.5,10.4,11.0,56062
2022-12-12,DFLI,12.56,15.0,12.56,14.45,104008
2022-12-13,DFLI,15.71,15.91,13.2,13.85,77735
2022-12-14,DFLI,12.48,14.86,12.0,14.28,54394
2022-12-15,DFLI,15.0,15.0,12.76,13.13,36874
2022-12-16,DFLI,13.43,16.31,12.6701,16.31,368529
2022-12-19,DFLI,16.8,23.7226,15.33,20.0,172210
2022-12-20,DFLI,20.8,28.7497,20.8,24.47,172367
2022-12-21,DFLI,25.33,26.1758,22.21,25.08,108996
2022-12-22,DFLI,25.41,25.41,13.71,14.86,152270
2022-12-23,DFLI,12.0,12.15,10.5,10.85,259444
2022-12-27,DFLI,11.25,11.49,9.3501,10.01,119386
2022-12-28,DFLI,10.18,11.43,10.08,10.8,87001
2022-12-29,DFLI,10.8,11.55,10.5901,10.75,45505
2022-12-30,DFLI,10.8,11.96,10.51,11.9,58357
2023-01-03,DFLI,11.9,12.28,11.25,12.03,54217
2023-01-04,DFLI,12.43,12.43,10.93,11.75,54758
2023-01-05,DFLI,11.31,11.89,10.5,11.2,37368
2023-01-06,DFLI,10.8,11.44,10.25,10.33,37520
2023-01-09,DFLI,10.08,10.6682,9.19,9.58,77476
2023-01-10,DFLI,9.29,9.65,9.09,9.29,80702
2023-01-11,DFLI,9.6,9.6,9.01,9.01,55399
2023-01-12,DFLI,9.05,9.52,8.89,8.89,68409
2023-01-13,DFLI,8.82,9.33,8.29,8.46,113896
2023-01-17,DFLI,8.9,8.9,8.19,8.3,86783
2023-01-18,DFLI,8.25,8.6,8.01,8.2,44043
2023-01-19,DFLI,8.27,8.27,7.61,7.78,114805
2023-01-20,DFLI,7.88,8.05,7.66,7.86,53135
2023-01-23,DFLI,7.85,8.0499,7.5,7.67,44755
2023-01-24,DFLI,7.65,7.8499,7.5,7.5,29396
2023-01-25,DFLI,7.7,7.8953,7.4579,7.64,64450
2023-01-26,DFLI,7.7,8.0193,7.1,7.1,62892
2023-01-27,DFLI,7.0,7.4,7.0,7.05,82475
2023-01-30,DFLI,7.05,7.2564,6.908,7.07,49403
2023-01-31,DFLI,7.3,7.3,6.71,6.85,49662
2023-02-01,DFLI,7.05,7.1725,6.7666,7.0,50052
2023-02-02,DFLI,7.0,7.14,6.85,6.95,33453
2023-02-03,DFLI,6.95,7.1,6.74,6.9,31043
2023-02-06,DFLI,6.81,7.0,6.72,6.86,40928
2023-02-07,DFLI,6.91,6.91,6.75,6.9,21725
2023-02-08,DFLI,7.17,7.17,6.8,6.93,48169
2023-02-09,DFLI,7.92,8.9799,7.35,7.5,1147190
2023-02-10,DFLI,8.14,8.43,7.45,7.91,577292
2023-02-13,DFLI,8.2,8.28,6.95,7.0,258364
2023-02-14,DFLI,7.0,7.18,6.73,6.81,223684
2023-02-15,DFLI,6.85,7.02,6.33,6.42,363702
2023-02-16,DFLI,6.5,6.5,5.75,6.16,350765
2023-02-17,DFLI,6.01,6.1639,5.8401,5.85,119337
2023-02-21,DFLI,5.85,5.86,4.81,4.94,252744
2023-02-22,DFLI,4.94,5.1099,4.75,4.76,170650
2023-02-23,DFLI,4.75,4.786,4.1,4.14,267201
2023-02-24,DFLI,4.19,4.19,3.95,3.975,129393
2023-02-27,DFLI,4.12,4.3398,3.971,4.25,146670
