date,ticker,open,high,low,close,volume
2021-07-29,DOMA,8.2,8.8,6.81,6.99,923063
2021-07-30,DOMA,6.98,7.22,6.4216,6.84,612134
2021-08-02,DOMA,6.81,7.68,6.8,7.34,523479
2021-08-03,DOMA,7.4,7.4,7.1,7.21,322885
2021-08-04,DOMA,7.37,7.37,6.7,7.0,367257
2021-08-05,DOMA,7.14,7.82,7.09,7.82,508731
2021-08-06,DOMA,7.91,7.94,7.2,7.51,546498
2021-08-09,DOMA,7.51,7.6,7.0,7.46,360786
2021-08-10,DOMA,7.38,7.96,7.31,7.85,533215
2021-08-11,DOMA,7.86,8.44,7.68,7.89,519387
2021-08-12,DOMA,7.9,8.31,7.8,8.31,396833
2021-08-13,DOMA,8.31,9.29,8.31,8.46,623804
2021-08-16,DOMA,8.47,8.6,7.6,7.79,453824
2021-08-17,DOMA,7.72,7.77,7.51,7.7,449535
2021-08-18,DOMA,7.73,7.9,7.64,7.83,285066
2021-08-19,DOMA,7.78,7.99,7.52,7.56,312632
2021-08-20,DOMA,7.6,7.78,6.77,7.26,667628
2021-08-23,DOMA,7.47,8.11,7.29,7.74,556752
2021-08-24,DOMA,7.59,8.25,7.59,8.1,540698
2021-08-25,DOMA,7.87,8.32,7.87,8.03,576837
2021-08-26,DOMA,7.96,8.29,7.8,8.12,433592
2021-08-27,DOMA,7.94,8.31,7.91,8.24,622076
2021-08-30,DOMA,8.07,8.7,7.94,8.58,623403
2021-08-31,DOMA,8.74,8.86,8.35,8.52,1182677
2021-09-01,DOMA,8.37,8.72,8.16,8.5,416616
2021-09-02,DOMA,8.55,8.99,8.44,8.67,622332
2021-09-03,DOMA,8.74,9.04,8.5,8.96,929941
2021-09-07,DOMA,9.0,9.1,7.75,7.91,2091507
2021-09-08,DOMA,7.86,8.3,7.15,7.47,1314993
2021-09-09,DOMA,7.15,8.09,6.95,7.49,6002575
2021-09-10,DOMA,7.61,7.94,7.0,7.05,2393461
2021-09-13,DOMA,7.13,7.5426,6.85,7.19,2006657
2021-09-14,DOMA,7.17,7.75,7.11,7.59,1024078
2021-09-15,DOMA,7.64,7.96,7.41,7.52,1327960
2021-09-16,DOMA,7.61,8.3,7.15,7.84,2101896
2021-09-17,DOMA,8.18,9.1,7.62,8.64,12991035
2021-09-20,DOMA,8.12,8.12,7.45,7.81,1869361
2021-09-21,DOMA,7.89,8.28,7.36,8.08,1157519
2021-09-22,DOMA,8.0,8.46,7.83,8.02,749851
2021-09-23,DOMA,8.05,8.3,7.94,7.98,504007
2021-09-24,DOMA,7.92,8.11,7.64,7.99,281125
2021-09-27,DOMA,8.02,8.0674,7.49,7.5,319954
2021-09-28,DOMA,7.45,7.5881,7.14,7.43,468872
2021-09-29,DOMA,7.44,7.69,7.37,7.39,174619
2021-09-30,DOMA,7.45,7.63,7.27,7.4,149044
2021-10-01,DOMA,7.43,7.44,7.17,7.19,413840
2021-10-04,DOMA,7.15,7.4074,7.11,7.13,154399
2021-10-05,DOMA,7.08,7.16,6.58,6.86,526151
2021-10-06,DOMA,6.86,6.9,6.61,6.75,213932
2021-10-07,DOMA,6.82,6.925,6.6,6.63,244561
2021-10-08,DOMA,6.57,6.7,6.56,6.57,177113
2021-10-11,DOMA,6.62,6.79,6.49,6.51,148921
2021-10-12,DOMA,6.51,6.67,6.34,6.62,204293
2021-10-13,DOMA,6.66,6.99,6.62,6.86,472711
2021-10-14,DOMA,6.93,6.985,6.7,6.77,274196
2021-10-15,DOMA,6.73,6.77,6.14,6.2,576993
2021-10-18,DOMA,6.26,6.28,5.9,6.07,409009
2021-10-19,DOMA,6.0,6.13,5.8,5.93,764298
2021-10-20,DOMA,5.98,6.21,5.82,6.0,1160384
2021-10-21,DOMA,5.99,6.115,5.8,5.93,512135
2021-10-22,DOMA,5.95,6.08,5.78,5.94,312656
2021-10-25,DOMA,6.85,7.32,6.46,6.55,2263694
2021-10-26,DOMA,6.68,6.715,6.35,6.4,929603
2021-10-27,DOMA,6.43,6.5,6.14,6.25,703252
2021-10-28,DOMA,6.24,6.52,6.2,6.35,614622
2021-10-29,DOMA,6.43,6.62,6.32,6.53,409215
2021-11-01,DOMA,6.7,6.95,6.58,6.71,583691
2021-11-02,DOMA,6.75,6.8,6.41,6.53,479337
2021-11-03,DOMA,6.59,6.875,6.43,6.69,568400
2021-11-04,DOMA,6.71,6.79,6.36,6.54,622245
2021-11-05,DOMA,6.54,6.705,6.42,6.59,384132
2021-11-08,DOMA,6.61,6.84,6.6,6.72,359975
2021-11-09,DOMA,6.77,6.77,6.42,6.46,512390
2021-11-10,DOMA,6.46,6.76,6.27,6.52,723472
2021-11-11,DOMA,6.54,7.87,6.52,7.53,1928232
2021-11-12,DOMA,7.4,7.88,7.4,7.79,1215005
2021-11-15,DOMA,8.04,8.04,7.48,7.55,1037820
2021-11-16,DOMA,7.7,7.9758,7.49,7.51,1252250
2021-11-17,DOMA,7.43,7.7,7.26,7.46,566821
2021-11-18,DOMA,7.43,7.5,7.15,7.25,521879
2021-11-19,DOMA,7.18,7.3,6.83,6.85,609932
2021-11-22,DOMA,6.86,7.0899,6.66,6.72,1070312
2021-11-23,DOMA,6.72,6.85,6.09,6.16,1054325
2021-11-24,DOMA,6.18,6.26,5.9791,6.18,563071
2021-11-26,DOMA,6.0,6.2,5.93,6.18,271935
2021-11-29,DOMA,6.31,6.35,6.0932,6.18,498185
2021-11-30,DOMA,6.1,6.34,5.85,6.31,2716049
2021-12-01,DOMA,6.3,6.62,5.72,5.81,1305221
2021-12-02,DOMA,5.88,5.97,5.48,5.58,724316
2021-12-03,DOMA,6.0,6.0,5.27,5.57,924142
2021-12-06,DOMA,5.58,5.6,5.34,5.49,770398
2021-12-07,DOMA,5.61,6.07,5.6,5.75,1547019
2021-12-08,DOMA,5.79,5.92,5.66,5.71,940967
2021-12-09,DOMA,5.72,5.77,5.49,5.54,475622
2021-12-10,DOMA,5.52,5.62,5.32,5.35,884615
2021-12-13,DOMA,5.3,5.4,5.03,5.09,735596
2021-12-14,DOMA,4.93,5.1,4.86,5.07,589740
2021-12-15,DOMA,5.09,5.09,4.81,4.93,1180936
2021-12-16,DOMA,5.43,5.69,5.31,5.43,1512674
2021-12-17,DOMA,5.48,5.64,5.23,5.5,1006854
2021-12-20,DOMA,5.38,5.45,5.155,5.24,739939
2021-12-21,DOMA,5.28,5.36,5.07,5.12,775470
2021-12-22,DOMA,5.12,5.23,4.95,5.21,824070
2021-12-23,DOMA,5.23,5.39,5.09,5.25,666733
2021-12-27,DOMA,5.29,5.495,5.22,5.27,604858
2021-12-28,DOMA,5.21,5.31,5.15,5.2,336521
2021-12-29,DOMA,5.12,5.1781,5.03,5.04,486225
2021-12-30,DOMA,5.02,5.295,5.02,5.2,704230
2021-12-31,DOMA,5.2,5.31,5.08,5.08,700363
2022-01-03,DOMA,5.13,5.4,5.1,5.15,1425219
2022-01-04,DOMA,5.14,5.2,4.815,4.85,1013748
2022-01-05,DOMA,4.88,4.96,4.6,4.64,835615
2022-01-06,DOMA,4.72,4.72,4.31,4.33,1884672
2022-01-07,DOMA,4.31,4.48,4.25,4.31,3304665
2022-01-10,DOMA,4.25,4.48,4.24,4.3,1254515
2022-01-11,DOMA,4.29,4.595,4.22,4.54,790900
2022-01-12,DOMA,4.58,4.68,4.365,4.39,402987
2022-01-13,DOMA,4.48,4.48,4.17,4.19,1380889
2022-01-14,DOMA,4.28,4.28,3.97,4.15,901294
2022-01-18,DOMA,4.14,4.14,3.83,3.95,1678273
2022-01-19,DOMA,4.0,4.195,3.96,3.98,1224826
2022-01-20,DOMA,4.04,4.082,3.83,3.86,847256
2022-01-21,DOMA,3.86,3.87,3.61,3.62,913853
2022-01-24,DOMA,3.53,3.62,3.31,3.58,1506077
2022-01-25,DOMA,3.58,3.66,3.42,3.54,1106281
2022-01-26,DOMA,3.83,3.98,3.67,3.78,2180273
2022-01-27,DOMA,3.76,3.955,3.66,3.68,1272560
2022-01-28,DOMA,3.65,3.81,3.51,3.78,997968
2022-01-31,DOMA,3.8,4.12,3.79,4.0,1636806
2022-02-01,DOMA,4.05,4.13,3.845,4.0,998166
2022-02-02,DOMA,4.06,4.06,3.73,3.77,1070139
2022-02-03,DOMA,3.7,3.89,3.69,3.76,906147
2022-02-04,DOMA,3.75,3.81,3.53,3.6,879556
2022-02-07,DOMA,3.57,3.73,3.57,3.6,587873
2022-02-08,DOMA,3.59,3.6,3.41,3.56,752447
2022-02-09,DOMA,3.58,3.82,3.57,3.75,1037582
2022-02-10,DOMA,3.65,3.8,3.48,3.51,1472358
2022-02-11,DOMA,3.54,3.555,3.285,3.38,1205664
2022-02-14,DOMA,3.35,3.43,3.295,3.32,681678
2022-02-15,DOMA,3.39,3.495,3.32,3.47,939208
2022-02-16,DOMA,3.47,3.5,3.37,3.38,657233
2022-02-17,DOMA,3.32,3.43,3.31,3.37,1100672
2022-02-18,DOMA,2.64,2.65,2.2,2.36,8662439
2022-02-22,DOMA,2.3,2.53,2.21,2.4,3905705
2022-02-23,DOMA,2.39,2.4684,2.26,2.32,1754851
2022-02-24,DOMA,2.24,2.5,2.12,2.5,2543819
2022-02-25,DOMA,2.64,2.6999,2.46,2.47,1282585
2022-02-28,DOMA,2.45,2.67,2.44,2.66,1824733
2022-03-01,DOMA,2.66,2.75,2.56,2.57,1214379
2022-03-02,DOMA,2.56,2.68,2.545,2.58,578050
2022-03-03,DOMA,2.64,2.74,2.6,2.61,715861
2022-03-04,DOMA,2.63,2.66,2.42,2.43,972656
2022-03-07,DOMA,2.48,2.675,2.47,2.52,1972374
2022-03-08,DOMA,2.51,2.63,2.43,2.58,1319922
2022-03-09,DOMA,2.63,2.665,2.55,2.59,1500110
2022-03-10,DOMA,2.54,2.62,2.47,2.61,692400
2022-03-11,DOMA,2.6,2.6607,2.395,2.46,2475049
2022-03-14,DOMA,2.46,2.5,2.22,2.28,2081721
2022-03-15,DOMA,2.15,2.16,2.025,2.04,3508046
2022-03-16,DOMA,2.07,2.13,1.91,2.06,3905393
