date,ticker,open,high,low,close,volume
2021-12-15,EVTL,8.98,11.45,8.936,10.68,660600
2021-12-27,EVTL,9.47,10.16,9.04,9.17,390407
2021-12-28,EVTL,9.36,9.36,8.5,8.61,181251
2021-12-29,EVTL,8.9,8.9,7.16,7.34,394531
2021-12-30,EVTL,7.26,7.39,6.76,7.04,317417
2021-12-31,EVTL,7.08,7.18,6.73,6.73,257055
2022-01-03,EVTL,6.98,7.3899,6.81,6.88,136601
2022-01-04,EVTL,6.99,7.25,6.8,7.01,124093
2022-01-05,EVTL,7.28,12.64,7.05,9.05,8554367
2022-01-06,EVTL,8.42,9.75,8.24,8.7,1086348
2022-01-07,EVTL,8.53,9.31,8.53,8.87,365912
2022-01-10,EVTL,9.04,9.85,8.75,9.66,500447
2022-01-11,EVTL,10.0,10.69,9.3745,10.3,483560
2022-01-12,EVTL,10.08,10.48,9.0,9.06,150589
2022-01-13,EVTL,8.95,9.46,8.95,9.05,453448
2022-01-14,EVTL,9.32,9.4397,8.5,8.69,179834
2022-01-18,EVTL,8.4,8.9,7.1,7.63,417254
2022-01-19,EVTL,7.51,7.87,7.19,7.36,170078
2022-01-20,EVTL,7.4,10.7199,7.4,8.22,9554076
2022-01-21,EVTL,7.79,8.44,7.68,8.21,600075
2022-01-24,EVTL,7.95,8.5038,7.15,7.52,407039
2022-01-25,EVTL,7.49,8.38,7.4,8.01,236040
2022-01-26,EVTL,8.15,8.7,8.01,8.45,318787
2022-01-27,EVTL,8.68,8.68,8.0,8.02,130528
2022-01-28,EVTL,7.75,7.9,7.0748,7.55,528560
2022-01-31,EVTL,7.43,7.6275,7.25,7.5,182518
2022-02-01,EVTL,7.6,7.79,7.39,7.67,178662
2022-02-02,EVTL,7.5,7.6,7.05,7.1,182749
2022-02-03,EVTL,7.12,7.33,7.0154,7.06,79846
2022-02-04,EVTL,7.01,7.61,7.0,7.54,101866
2022-02-07,EVTL,7.49,7.79,7.17,7.52,127062
2022-02-08,EVTL,7.46,7.69,7.37,7.51,132282
2022-02-09,EVTL,7.35,7.6,7.1303,7.31,107365
2022-02-10,EVTL,7.14,7.4899,7.04,7.14,97336
2022-02-11,EVTL,7.15,7.4,7.06,7.25,66755
2022-02-14,EVTL,7.29,7.43,6.88,7.01,141310
2022-02-15,EVTL,6.9,7.24,6.9,7.08,83617
2022-02-16,EVTL,7.5,7.55,7.12,7.41,173182
2022-02-17,EVTL,7.05,7.61,7.05,7.61,126477
2022-02-18,EVTL,7.48,7.64,7.3,7.46,111160
2022-02-22,EVTL,7.3,7.4,7.03,7.26,113250
2022-02-23,EVTL,7.08,7.37,6.8,6.82,68770
2022-02-24,EVTL,6.74,7.23,6.66,7.06,102023
2022-02-25,EVTL,6.86,7.4,6.86,7.1,159704
2022-02-28,EVTL,7.09,7.45,7.01,7.41,96885
2022-03-01,EVTL,7.23,7.57,7.2,7.44,328961
2022-03-02,EVTL,7.48,7.5,7.21,7.48,60421
2022-03-03,EVTL,7.48,7.49,7.0,7.44,106981
2022-03-04,EVTL,7.4,7.48,6.78,6.78,111484
2022-03-07,EVTL,6.75,7.06,6.45,6.49,41365
2022-03-08,EVTL,6.4,6.84,6.29,6.74,30037
2022-03-09,EVTL,6.81,6.98,6.63,6.87,120356
2022-03-10,EVTL,6.8,7.0,6.68,6.97,37148
2022-03-11,EVTL,6.89,7.215,6.69,7.1,35594
2022-03-14,EVTL,7.18,7.19,6.7,6.91,37547
2022-03-15,EVTL,7.08,7.08,6.9,7.03,17385
2022-03-16,EVTL,7.1,7.45,7.08,7.44,51908
2022-03-17,EVTL,7.44,7.5,7.064,7.41,65253
2022-03-18,EVTL,7.4,7.52,7.26,7.38,105864
2022-03-21,EVTL,7.27,7.5,7.2,7.46,59435
2022-03-22,EVTL,7.49,7.5,7.3,7.49,19677
2022-03-23,EVTL,7.49,7.58,7.3665,7.48,86827
2022-03-24,EVTL,7.5,7.62,7.3116,7.39,42302
2022-03-25,EVTL,7.42,7.5,7.21,7.27,28079
2022-03-28,EVTL,7.48,7.48,6.93,6.93,27843
2022-03-29,EVTL,7.735,7.735,7.17,7.21,223557
2022-03-30,EVTL,7.4,7.4865,7.15,7.21,72128
2022-03-31,EVTL,7.43,7.43,6.95,6.97,31245
2022-04-01,EVTL,7.04,7.267,6.95,6.99,36431
2022-04-04,EVTL,7.1,7.33,7.015,7.11,34707
2022-04-05,EVTL,7.36,7.36,6.9,7.17,29033
2022-04-06,EVTL,7.11,7.19,6.9,7.05,22444
2022-04-07,EVTL,6.93,7.29,6.93,7.29,27744
2022-04-08,EVTL,7.27,7.33,7.07,7.29,21551
2022-04-11,EVTL,7.29,7.5,7.2576,7.5,39038
2022-04-12,EVTL,7.41,11.95,7.2553,9.82,18479380
2022-04-13,EVTL,8.7,9.75,8.0,8.63,2386169
2022-04-14,EVTL,8.6,9.13,8.07,8.21,750613
2022-04-18,EVTL,8.02,8.41,7.07,8.09,477730
2022-04-19,EVTL,8.04,8.19,7.86,7.88,260985
2022-04-20,EVTL,7.9,8.05,7.41,7.64,207463
2022-04-21,EVTL,8.4,8.4,7.2701,7.29,169219
2022-04-22,EVTL,7.25,7.6,6.81,6.82,186662
2022-04-25,EVTL,6.99,7.45,6.9038,7.4,134196
2022-04-26,EVTL,7.66,7.66,7.2112,7.23,41380
2022-04-27,EVTL,7.32,7.5323,7.2,7.35,53711
2022-04-28,EVTL,7.38,7.55,7.2,7.5,57497
2022-04-29,EVTL,7.43,7.55,7.2677,7.27,48049
2022-05-02,EVTL,7.52,7.52,7.17,7.33,47695
2022-05-03,EVTL,7.46,7.48,7.32,7.41,17136
2022-05-04,EVTL,7.41,8.0,7.25,7.75,57698
2022-05-05,EVTL,7.56,7.77,7.5134,7.6,58715
2022-05-06,EVTL,7.53,7.715,7.12,7.14,19122
2022-05-09,EVTL,7.15,7.1947,6.72,6.76,74947
2022-05-10,EVTL,6.86,6.86,5.92,6.09,110560
2022-05-11,EVTL,6.03,6.3616,5.8,6.03,93815
2022-05-12,EVTL,6.12,6.4,5.8678,6.0,84028
2022-05-13,EVTL,6.0,6.3,6.0,6.19,21678
2022-05-16,EVTL,6.25,6.44,6.02,6.15,30430
2022-05-17,EVTL,6.16,6.32,6.01,6.07,19395
2022-05-18,EVTL,6.14,6.34,6.1,6.34,56552
2022-05-19,EVTL,6.38,6.6,6.34,6.47,40082
2022-05-20,EVTL,6.52,6.52,5.84,5.92,29760
2022-05-23,EVTL,5.98,6.05,5.35,5.42,112915
2022-05-24,EVTL,5.4,5.42,4.9107,4.98,43115
2022-05-25,EVTL,5.04,5.15,4.7101,4.86,41905
2022-05-26,EVTL,4.95,5.21,4.88,5.07,43369
2022-05-27,EVTL,5.13,5.38,5.07,5.33,40322
2022-05-31,EVTL,5.33,5.4599,5.0,5.18,38423
2022-06-01,EVTL,5.16,5.3,4.9,5.04,30616
2022-06-02,EVTL,5.04,5.25,5.04,5.14,30995
2022-06-03,EVTL,5.26,5.37,4.73,4.79,79083
2022-06-06,EVTL,5.05,5.15,4.7,4.82,64318
2022-06-07,EVTL,4.74,5.05,4.7,4.79,101425
2022-06-08,EVTL,4.72,4.9,4.6,4.77,63064
2022-06-09,EVTL,4.78,4.99,4.5336,4.82,55006
2022-06-10,EVTL,4.95,4.95,4.43,4.86,76953
2022-06-13,EVTL,4.7,5.3,4.46,4.69,332852
2022-06-14,EVTL,4.6,5.0,4.43,4.58,411991
2022-06-15,EVTL,4.77,4.77,4.23,4.4,152320
2022-06-16,EVTL,4.25,4.65,4.25,4.52,39335
2022-06-17,EVTL,4.53,4.565,4.3,4.35,31135
2022-06-21,EVTL,4.4,4.4771,3.95,4.13,79052
2022-06-22,EVTL,4.13,4.18,3.95,4.13,180707
2022-06-23,EVTL,4.08,4.08,3.66,3.9,58912
