date,ticker,open,high,low,close,volume
2025-02-19,FLD,10.35,14.0,10.25,10.9,795560
2025-02-20,FLD,11.0,11.1,9.0001,9.24,292089
2025-02-21,FLD,8.41,8.7044,6.91,6.96,488539
2025-02-24,FLD,6.82,7.0,5.6,6.01,386517
2025-02-25,FLD,5.99,6.175,5.36,5.66,321223
2025-02-26,FLD,5.7,5.95,5.5,5.51,161605
2025-02-27,FLD,5.99,6.0,5.25,5.36,148542
2025-02-28,FLD,5.34,5.58,5.26,5.26,192360
2025-03-03,FLD,5.69,5.9357,5.0837,5.15,253415
2025-03-04,FLD,5.15,5.5999,5.0561,5.2,233673
2025-03-05,FLD,5.5,6.3,5.06,6.05,271393
2025-03-06,FLD,6.05,8.0182,6.0037,7.71,430212
2025-03-07,FLD,7.74,8.53,7.1758,7.58,276155
2025-03-10,FLD,7.25,7.55,6.5,7.01,99078
2025-03-11,FLD,7.23,7.45,6.65,6.75,82317
2025-03-12,FLD,7.01,7.09,6.51,6.52,59620
2025-03-13,FLD,6.51,7.0,5.96,6.87,73893
2025-03-14,FLD,7.03,7.89,6.5,7.39,75900
2025-03-17,FLD,7.0,7.42,6.7059,6.92,73328
2025-03-18,FLD,6.8,7.15,6.51,6.6,43146
2025-03-19,FLD,6.64,7.3,6.59,6.9,101869
2025-03-20,FLD,6.86,6.86,6.26,6.42,80483
2025-03-21,FLD,6.62,8.5,6.28,8.42,191863
2025-03-24,FLD,8.42,8.48,7.6,8.1,156344
2025-03-25,FLD,8.24,8.24,7.5,7.75,102482
2025-03-26,FLD,7.85,7.9639,7.2,7.35,43705
2025-03-27,FLD,7.23,7.36,6.765,6.88,63944
2025-03-28,FLD,6.9201,7.0117,6.17,6.33,43597
2025-03-31,FLD,6.3,6.94,6.0,6.2,63593
2025-04-01,FLD,6.69,6.69,5.25,5.41,179433
2025-04-02,FLD,5.64,6.2,5.45,5.72,208138
2025-04-03,FLD,5.3,5.65,5.0,5.04,221670
2025-04-04,FLD,5.01,5.3839,4.4553,4.71,140170
2025-04-07,FLD,4.6,4.7,4.1,4.54,123380
2025-04-08,FLD,4.75,5.0,4.04,4.04,84822
2025-04-09,FLD,4.04,4.5,3.65,4.28,148333
2025-04-10,FLD,4.55,4.815,3.87,4.0,108190
2025-04-11,FLD,3.66,4.0,2.51,2.69,1735544
2025-04-14,FLD,3.0,3.25,2.7,3.24,893290
2025-04-15,FLD,3.43,3.48,2.84,2.9,568650
2025-04-16,FLD,2.83,3.2799,2.83,3.25,180401
2025-04-17,FLD,3.37,3.92,3.25,3.84,308415
2025-04-21,FLD,3.85,3.99,3.35,3.93,285111
2025-04-22,FLD,3.9,4.04,3.75,4.0,387641
2025-04-23,FLD,4.0,4.3559,4.0,4.16,217112
2025-04-24,FLD,4.19,4.3,3.95,3.96,247917
2025-04-25,FLD,4.08,4.08,3.65,3.83,314574
2025-04-28,FLD,3.68,3.9199,3.375,3.5,275360
2025-04-29,FLD,3.52,3.555,3.3301,3.39,165503
2025-04-30,FLD,3.3,3.94,3.16,3.87,370417
2025-05-01,FLD,3.8,4.12,3.5633,3.97,508247
2025-05-02,FLD,4.02,5.0,4.0023,4.69,803298
2025-05-05,FLD,4.725,4.74,4.0,4.18,271559
2025-05-06,FLD,4.22,4.3192,4.0,4.02,164844
2025-05-07,FLD,4.25,4.2852,4.01,4.09,158804
2025-05-08,FLD,4.13,4.3,4.05,4.14,373251
2025-05-09,FLD,4.26,4.26,3.8,3.99,181683
2025-05-12,FLD,4.26,4.34,4.06,4.115,204178
2025-05-13,FLD,4.16,4.2899,4.05,4.2,113932
2025-05-14,FLD,4.24,4.2604,3.96,4.13,253444
2025-05-15,FLD,4.14,4.14,3.8,4.01,185368
2025-05-16,FLD,3.91,4.0292,3.65,3.96,257829
2025-05-19,FLD,3.83,4.27,3.82,4.14,386052
2025-05-20,FLD,4.05,4.6819,4.05,4.28,566065
2025-05-21,FLD,4.3,4.55,4.12,4.2,625473
2025-05-22,FLD,4.21,4.7,4.21,4.5,514983
2025-05-23,FLD,4.55,5.3,4.3,4.83,855744
2025-05-27,FLD,5.535,5.535,4.53,4.69,711230
2025-05-28,FLD,4.61,4.77,4.1,4.29,543660
2025-05-29,FLD,4.17,4.4,3.65,4.11,493825
2025-05-30,FLD,4.29,4.53,4.0101,4.2,322659
2025-06-02,FLD,4.2,4.55,4.0,4.39,279793
2025-06-03,FLD,4.5,4.8,4.3,4.64,337319
2025-06-04,FLD,4.67,4.85,4.615,4.75,185851
2025-06-05,FLD,4.79,4.9,4.44,4.51,157465
2025-06-06,FLD,4.74,4.8,4.33,4.39,214973
2025-06-09,FLD,4.55,5.3,4.41,5.05,426476
2025-06-10,FLD,5.03,5.25,4.81,5.13,272545
2025-06-11,FLD,5.2,5.25,4.745,4.95,169766
2025-06-12,FLD,4.85,5.11,4.81,4.98,109780
2025-06-13,FLD,4.93,5.0,4.55,4.69,149450
2025-06-16,FLD,4.7,4.79,4.4,4.71,210886
2025-06-17,FLD,4.41,4.88,3.9,4.57,2801333
2025-06-18,FLD,4.38,4.65,4.27,4.59,209746
2025-06-20,FLD,4.55,4.7,4.41,4.5,958772
2025-06-23,FLD,4.42,4.7,4.42,4.47,290246
2025-06-24,FLD,4.57,4.69,4.445,4.69,213521
2025-06-25,FLD,4.69,4.73,4.45,4.59,233200
2025-06-26,FLD,4.73,4.73,4.51,4.67,124287
2025-06-27,FLD,4.64,4.6699,4.44,4.57,132434
2025-06-30,FLD,4.5,4.66,4.1,4.23,551606
2025-07-01,FLD,4.16,4.55,4.15,4.49,116500
2025-07-02,FLD,4.65,4.65,4.4,4.44,166639
2025-07-03,FLD,4.5,4.5,4.2402,4.28,99314
2025-07-07,FLD,4.47,4.471,4.11,4.25,206760
2025-07-08,FLD,4.28,4.5,4.15,4.47,214516
2025-07-09,FLD,4.47,4.56,4.25,4.51,155381
2025-07-10,FLD,4.49,4.6,4.3257,4.54,223545
2025-07-11,FLD,4.52,4.73,4.33,4.44,223474
2025-07-14,FLD,4.49,4.64,4.35,4.35,226915
2025-07-15,FLD,4.32,4.3407,4.15,4.23,218787
2025-07-16,FLD,4.27,4.46,4.2,4.4,326392
2025-07-17,FLD,4.49,4.49,4.2,4.36,183734
2025-07-18,FLD,4.32,4.52,4.21,4.36,314512
2025-07-21,FLD,4.38,4.6799,4.33,4.33,390417
2025-07-22,FLD,4.28,4.57,4.03,4.41,248664
2025-07-23,FLD,4.49,4.53,4.36,4.44,161924
2025-07-24,FLD,4.5,4.515,4.375,4.41,235713
2025-07-25,FLD,4.35,4.445,4.33,4.41,165021
2025-07-28,FLD,4.43,4.47,4.28,4.28,87993
2025-07-29,FLD,4.26,4.3,4.09,4.26,161634
2025-07-30,FLD,4.3,4.32,4.2,4.23,93731
2025-07-31,FLD,4.16,4.37,4.16,4.23,139459
2025-08-01,FLD,4.15,4.3,4.15,4.27,158469
2025-08-04,FLD,4.2,4.29,4.1601,4.24,71059
2025-08-05,FLD,4.3,4.3,4.06,4.09,99903
2025-08-06,FLD,4.08,4.1,3.98,4.0,105025
2025-08-07,FLD,4.26,4.26,3.97,4.02,70039
2025-08-08,FLD,4.01,4.05,3.98,4.01,76378
2025-08-11,FLD,4.07,4.17,3.975,4.02,141607
2025-08-12,FLD,4.15,4.17,4.04,4.11,115788
2025-08-13,FLD,4.17,4.5,4.12,4.28,273660
2025-08-14,FLD,4.27,4.28,4.11,4.12,74908
2025-08-15,FLD,4.15,4.15,3.91,3.97,271716
2025-08-18,FLD,4.05,4.05,3.64,3.68,316438
2025-08-19,FLD,3.67,4.01,3.63,3.87,363223
2025-08-20,FLD,3.9,4.0,3.6844,3.71,361968
2025-08-21,FLD,3.72,3.92,3.7,3.77,339609
2025-08-22,FLD,3.87,3.9,3.73,3.76,459374
2025-08-25,FLD,3.79,3.8,3.48,3.49,472515
2025-08-26,FLD,3.49,3.7019,3.36,3.59,492096
2025-08-27,FLD,3.66,3.95,3.58,3.735,375504
2025-08-28,FLD,3.73,3.83,3.6,3.64,467643
2025-08-29,FLD,3.61,3.77,3.54,3.58,370318
2025-09-02,FLD,3.55,3.67,3.46,3.49,467926
2025-09-03,FLD,3.52,3.57,3.39,3.41,378664
2025-09-04,FLD,3.4,3.62,3.4,3.59,337884
2025-09-05,FLD,3.59,3.64,3.12,3.26,607345
2025-09-08,FLD,3.3,3.5,3.15,3.33,465420
2025-09-09,FLD,3.32,3.49,3.32,3.42,284903
2025-09-10,FLD,3.41,3.55,3.36,3.44,313636
2025-09-11,FLD,3.42,3.47,3.33,3.39,321246
2025-09-12,FLD,3.37,3.39,3.285,3.29,147429
2025-09-15,FLD,3.29,3.3642,3.25,3.3,137800
2025-09-16,FLD,3.28,3.32,3.07,3.08,417008
2025-09-17,FLD,3.07,3.26,3.0518,3.21,796291
2025-09-18,FLD,3.23,3.44,3.175,3.4,670726
2025-09-19,FLD,3.42,4.59,3.32,4.53,4877328
2025-09-22,FLD,4.53,4.55,3.6,3.88,3847708
2025-09-23,FLD,4.69,4.695,3.22,3.26,19220914
2025-09-24,FLD,3.35,3.78,3.26,3.71,2036380
2025-09-25,FLD,3.56,3.85,3.52,3.58,852843
2025-09-26,FLD,3.49,3.78,3.49,3.68,504303
2025-09-29,FLD,3.73,4.06,3.64,3.65,937446
2025-09-30,FLD,3.62,3.939,3.56,3.86,359139
