date,ticker,open,high,low,close,volume
2021-07-19,FLYX,9.9,9.93,9.9,9.9,505
2021-07-20,FLYX,9.8,9.81,9.68,9.7,709
2021-07-21,FLYX,9.69,9.69,9.69,9.69,300
2021-07-22,FLYX,9.69,9.69,9.69,9.69,3
2021-07-23,FLYX,9.69,9.69,9.69,9.69,1
2021-07-26,FLYX,9.69,9.69,9.69,9.69,441
2021-07-27,FLYX,9.69,9.69,9.69,9.69,0
2021-07-28,FLYX,9.61,9.61,9.61,9.61,100
2021-07-29,FLYX,9.61,9.61,9.61,9.61,0
2021-07-30,FLYX,9.61,9.61,9.61,9.61,0
2021-08-02,FLYX,9.61,9.61,9.61,9.61,0
2021-08-03,FLYX,9.8,9.8,9.73,9.73,16097
2021-08-04,FLYX,9.73,9.73,9.73,9.73,1
2021-08-05,FLYX,9.73,9.73,9.73,9.73,0
2021-08-06,FLYX,9.73,9.73,9.73,9.73,0
2021-08-09,FLYX,9.73,9.73,9.73,9.73,15
2021-08-10,FLYX,9.73,9.73,9.73,9.73,0
2021-08-11,FLYX,9.73,9.73,9.73,9.73,0
2021-08-12,FLYX,9.73,9.73,9.73,9.73,0
2021-08-13,FLYX,9.73,9.73,9.73,9.73,0
2021-08-16,FLYX,9.73,9.73,9.73,9.73,466998
2021-08-17,FLYX,9.73,9.73,9.73,9.73,0
2021-08-18,FLYX,9.73,9.73,9.73,9.73,0
2021-08-19,FLYX,9.73,9.73,9.73,9.73,0
2021-08-20,FLYX,9.73,9.73,9.73,9.73,0
2021-08-23,FLYX,9.68,9.68,9.68,9.68,105
2021-08-24,FLYX,9.68,9.68,9.68,9.68,100
2021-08-25,FLYX,9.67,9.67,9.67,9.67,370
2021-08-26,FLYX,9.63,9.63,9.62,9.62,3202
2021-08-27,FLYX,9.61,9.62,9.6,9.61,4304
2021-08-30,FLYX,9.61,9.61,9.61,9.61,0
2021-08-31,FLYX,9.5999,9.62,9.5999,9.62,9356
2021-09-01,FLYX,9.62,9.62,9.585,9.6,127882
2021-09-02,FLYX,9.63,9.63,9.6,9.6,53285
2021-09-03,FLYX,9.6,9.63,9.59,9.63,68720
2021-09-07,FLYX,9.6,9.68,9.6,9.68,21870
2021-09-08,FLYX,9.67,9.68,9.5891,9.68,603626
2021-09-09,FLYX,9.626,9.68,9.626,9.68,619
2021-09-10,FLYX,9.62,9.68,9.62,9.68,600
2021-09-13,FLYX,9.66,9.69,9.64,9.69,4357
2021-09-14,FLYX,9.68,9.9,9.68,9.69,181263
2021-09-15,FLYX,9.63,9.72,9.63,9.7,11678
2021-09-16,FLYX,9.9478,9.9478,9.68,9.715,29423
2021-09-17,FLYX,9.67,9.705,9.67,9.68,836
2021-09-20,FLYX,9.72,9.72,9.6,9.65,111480
2021-09-21,FLYX,9.61,9.66,9.61,9.65,137057
2021-09-22,FLYX,9.64,9.69,9.64,9.67,9590
2021-09-23,FLYX,9.64,9.68,9.64,9.68,7594
2021-09-24,FLYX,9.64,9.7,9.64,9.7,1611
2021-09-27,FLYX,9.64,9.7,9.64,9.68,433
2021-09-28,FLYX,9.68,9.68,9.68,9.68,0
2021-09-29,FLYX,9.68,9.68,9.68,9.68,0
2021-09-30,FLYX,9.69,9.71,9.69,9.71,5466
2021-10-01,FLYX,9.71,9.71,9.71,9.71,4
2021-10-04,FLYX,9.84,9.84,9.71,9.71,1474
2021-10-05,FLYX,9.79,9.79,9.72,9.76,1184
2021-10-06,FLYX,9.76,9.76,9.76,9.76,0
2021-10-07,FLYX,9.79,9.79,9.7,9.73,19858
2021-10-08,FLYX,9.73,9.73,9.73,9.73,119
2021-10-11,FLYX,9.73,9.73,9.73,9.73,0
2021-10-12,FLYX,9.73,9.73,9.73,9.73,25
2021-10-13,FLYX,9.73,9.73,9.73,9.73,0
2021-10-14,FLYX,9.86,9.86,9.68,9.72,1670
2021-10-15,FLYX,9.6814,9.715,9.6814,9.715,486
2021-10-18,FLYX,9.715,9.715,9.715,9.715,4
2021-10-19,FLYX,9.715,9.715,9.715,9.715,10
2021-10-20,FLYX,9.715,9.715,9.715,9.715,12
2021-10-21,FLYX,9.715,9.715,9.715,9.715,0
2021-10-22,FLYX,9.68,9.72,9.68,9.7,5228
2021-10-25,FLYX,9.68,9.7,9.68,9.69,150663
2021-10-26,FLYX,9.7,9.72,9.69,9.695,249773
2021-10-27,FLYX,9.68,9.72,9.68,9.72,7167
2021-10-28,FLYX,9.72,9.72,9.68,9.7,5864
2021-10-29,FLYX,9.7,9.7,9.67,9.67,303
2021-11-01,FLYX,9.67,9.67,9.67,9.67,102
2021-11-02,FLYX,9.67,9.67,9.67,9.67,160
2021-11-03,FLYX,9.68,9.7,9.68,9.68,504748
2021-11-04,FLYX,9.7,9.7,9.7,9.7,141
2021-11-05,FLYX,9.7,9.7,9.69,9.7,538
2021-11-08,FLYX,9.69,9.72,9.68,9.72,550898
2021-11-09,FLYX,9.71,9.71,9.69,9.71,159459
2021-11-10,FLYX,9.69,9.77,9.68,9.77,307475
2021-11-11,FLYX,9.7,9.73,9.69,9.71,106379
2021-11-12,FLYX,9.7,9.715,9.69,9.69,45211
2021-11-15,FLYX,9.69,9.69,9.69,9.69,3
2021-11-16,FLYX,9.69,9.69,9.69,9.69,10
2021-11-17,FLYX,9.72,9.73,9.7,9.73,7681
2021-11-18,FLYX,9.71,9.73,9.7,9.73,109153
2021-11-19,FLYX,9.7,9.71,9.68,9.71,40365
2021-11-22,FLYX,9.7,9.71,9.7,9.71,1300
2021-11-23,FLYX,9.71,9.71,9.68,9.71,9269
2021-11-24,FLYX,9.7,9.71,9.7,9.7,6635
2021-11-26,FLYX,9.7,9.72,9.7,9.72,15904
2021-11-29,FLYX,9.72,9.72,9.72,9.72,163
2021-11-30,FLYX,9.7,9.8,9.7,9.8,17256
2021-12-01,FLYX,9.7,9.8,9.7,9.8,13701
2021-12-02,FLYX,9.8,9.82,9.76,9.79,2194
2021-12-03,FLYX,9.8,9.8,9.8,9.8,100
2021-12-06,FLYX,9.8,9.8,9.8,9.8,101
2021-12-07,FLYX,9.8,9.8,9.8,9.8,192
2021-12-08,FLYX,9.75,9.75,9.7,9.71,72504
2021-12-09,FLYX,9.71,9.71,9.71,9.71,44
2021-12-10,FLYX,9.71,9.71,9.71,9.71,32
2021-12-13,FLYX,9.7,9.76,9.69,9.7,268967
2021-12-14,FLYX,9.7,9.73,9.69,9.69,31258
2021-12-15,FLYX,9.7009,9.77,9.675,9.77,96584
2021-12-16,FLYX,9.7,9.74,9.67,9.68,44215
2021-12-17,FLYX,9.675,9.7,9.675,9.7,2173
2021-12-20,FLYX,9.74,9.74,9.68,9.7,22318
2021-12-21,FLYX,9.7,9.73,9.685,9.73,17459
2021-12-22,FLYX,9.7,9.77,9.7,9.77,59925
2021-12-23,FLYX,9.77,9.77,9.72,9.72,232
2021-12-27,FLYX,9.72,9.72,9.72,9.72,11
2021-12-28,FLYX,9.72,9.72,9.72,9.72,36
2021-12-29,FLYX,9.72,9.72,9.72,9.72,167
2021-12-30,FLYX,9.74,9.74,9.74,9.74,174
2021-12-31,FLYX,9.69,9.72,9.69,9.72,523
2022-01-03,FLYX,9.77,9.77,9.72,9.74,37618
2022-01-04,FLYX,9.7,9.74,9.7,9.74,200
2022-01-05,FLYX,9.74,9.74,9.74,9.74,5
2022-01-06,FLYX,9.72,9.72,9.72,9.72,164
2022-01-07,FLYX,9.71,9.71,9.71,9.71,103
2022-01-10,FLYX,9.72,9.72,9.72,9.72,241
2022-01-11,FLYX,9.72,9.72,9.72,9.72,0
2022-01-12,FLYX,9.72,9.72,9.71,9.72,1331
2022-01-13,FLYX,9.71,9.71,9.71,9.71,696
2022-01-14,FLYX,9.71,9.72,9.71,9.72,600
2022-01-18,FLYX,9.76,9.76,9.71,9.71,699
2022-01-19,FLYX,9.73,9.73,9.73,9.73,208
2022-01-20,FLYX,9.73,9.73,9.73,9.73,38
2022-01-21,FLYX,9.72,9.72,9.72,9.72,795
2022-01-24,FLYX,9.68,9.71,9.67,9.7,3398
2022-01-25,FLYX,9.7,9.7,9.7,9.7,1
2022-01-26,FLYX,9.67,9.68,9.67,9.68,2931
