date,ticker,open,high,low,close,volume
2021-01-29,FOXO,10.1,10.1,9.95,10.0,273792
2021-02-01,FOXO,10.04,10.1,10.0,10.03,433124
2021-02-02,FOXO,10.04,10.09,10.02,10.06,89401
2021-02-03,FOXO,10.08,10.11,10.03,10.05,168024
2021-02-04,FOXO,10.12,10.15,10.04,10.135,159155
2021-02-05,FOXO,10.17,10.17,10.08,10.1,103797
2021-02-08,FOXO,10.11,10.29,10.03,10.13,521121
2021-02-09,FOXO,10.13,10.14,10.09,10.13,45311
2021-02-10,FOXO,10.11,10.11,10.04,10.08,66060
2021-02-11,FOXO,10.11,10.12,10.05,10.1,45213
2021-02-12,FOXO,10.08,10.16,10.07,10.12,63193
2021-02-16,FOXO,10.185,10.185,10.06,10.15,64859
2021-02-17,FOXO,10.15,10.17,10.11,10.16,86336
2021-02-18,FOXO,10.16,10.2,10.11,10.18,52905
2021-02-19,FOXO,10.18,10.28,10.15,10.215,46279
2021-02-22,FOXO,10.16,10.21,10.15,10.19,259519
2021-02-23,FOXO,10.15,10.24,10.07,10.24,107477
2021-02-24,FOXO,10.27,10.27,10.18,10.23,193326
2021-02-25,FOXO,10.1301,10.17,10.02,10.08,188959
2021-02-26,FOXO,10.06,10.065,10.0,10.04,149089
2021-03-01,FOXO,10.06,10.1,10.01,10.02,75057
2021-03-02,FOXO,10.02,10.03,9.86,9.93,72263
2021-03-03,FOXO,9.91,9.94,9.83,9.88,30878
2021-03-04,FOXO,9.86,9.86,9.76,9.8,145084
2021-03-05,FOXO,9.78,9.89,9.78,9.86,34109
2021-03-08,FOXO,9.87,9.91,9.83,9.85,564285
2021-03-09,FOXO,9.86,9.87,9.8301,9.86,91456
2021-03-10,FOXO,9.89,9.89,9.8,9.84,232710
2021-03-11,FOXO,9.85,9.86,9.8,9.8,247202
2021-03-12,FOXO,9.8,9.85,9.8,9.82,75115
2021-03-15,FOXO,9.84,9.84,9.8,9.84,6258
2021-03-16,FOXO,9.85,9.85,9.82,9.83,1499
2021-03-17,FOXO,9.8,9.86,9.76,9.82,19033
2021-03-18,FOXO,9.81,9.84,9.75,9.77,30648
2021-03-19,FOXO,9.8113,9.8113,9.75,9.76,7522
2021-03-22,FOXO,9.75,9.79,9.75,9.76,38323
2021-03-23,FOXO,9.75,9.765,9.67,9.7,89675
2021-03-24,FOXO,9.71,9.75,9.7,9.73,12869
2021-03-25,FOXO,9.7,9.7,9.65,9.7,56482
2021-03-26,FOXO,9.7,9.78,9.68,9.71,79274
2021-03-29,FOXO,9.724,9.724,9.685,9.7,1974
2021-03-30,FOXO,9.74,9.74,9.7,9.71,35369
2021-03-31,FOXO,9.68,9.7132,9.68,9.7,17472
2021-04-01,FOXO,9.72,9.78,9.7,9.78,21379
2021-04-05,FOXO,9.79,9.82,9.78,9.82,44744
2021-04-06,FOXO,9.7522,9.83,9.7522,9.83,15184
2021-04-07,FOXO,9.82,9.84,9.73,9.74,85272
2021-04-08,FOXO,9.8,9.8,9.79,9.79,75855
2021-04-09,FOXO,9.75,9.89,9.75,9.84,52690
