date,ticker,open,high,low,close,volume
2020-06-24,FREE,11.03,11.08,10.17,10.79,3384300
2020-06-25,FREE,10.95,11.0,9.52,10.1,1606000
2020-06-26,FREE,10.35,10.5,9.25,9.55,2040897
2020-06-29,FREE,9.55,9.6,8.26,8.55,3945800
2020-06-30,FREE,8.15,8.65,7.65,8.07,3992700
2020-07-01,FREE,7.95,8.51,7.88,8.15,2116900
2020-07-02,FREE,8.2,8.39,7.85,7.9,1522100
2020-07-06,FREE,7.82,8.01,7.36,7.42,1749100
2020-07-07,FREE,7.47,7.63,7.06,7.06,1370100
2020-07-08,FREE,7.06,7.62,6.93,7.55,1729300
2020-07-09,FREE,7.59,7.78,7.34,7.51,1120300
2020-07-10,FREE,7.4,7.88,7.39,7.6,759500
2020-07-13,FREE,7.66,7.88,7.61,7.8,640900
2020-07-14,FREE,7.64,7.93,7.46,7.9,564000
2020-07-15,FREE,7.73,8.21,7.6,8.03,719400
2020-07-16,FREE,8.05,8.19,7.62,7.84,1122700
2020-07-17,FREE,7.86,8.32,7.85,8.07,1408400
2020-07-20,FREE,8.12,8.21,7.86,8.0,724390
2020-07-21,FREE,7.96,8.15,7.94,8.02,651806
2020-07-22,FREE,7.94,8.039,7.7,7.78,487205
2020-07-23,FREE,7.8,8.02,7.61,7.88,635618
2020-07-24,FREE,7.75,7.79,7.5,7.66,330507
2020-07-27,FREE,7.64,7.68,7.42,7.53,334468
2020-07-28,FREE,7.5,7.63,7.48,7.52,122984
2020-07-29,FREE,7.53,7.6,7.39,7.42,425890
2020-07-30,FREE,7.41,7.46,7.17,7.2,607873
2020-07-31,FREE,7.21,7.34,6.93,6.94,497281
2020-08-03,FREE,7.02,7.51,7.02,7.46,399335
2020-08-04,FREE,7.57,7.64,7.42,7.51,525813
2020-08-05,FREE,7.56,7.58,7.41,7.46,345735
2020-08-06,FREE,7.45,7.625,7.45,7.48,341979
2020-08-07,FREE,7.49,7.52,7.34,7.49,189199
2020-08-10,FREE,7.6,7.62,7.46,7.49,241991
2020-08-11,FREE,7.52,7.55,7.4,7.45,453646
2020-08-12,FREE,7.47,7.62,7.402,7.5,999939
2020-08-13,FREE,7.52,7.89,7.47,7.83,1714248
2020-08-14,FREE,6.92,7.8,6.92,7.68,992842
2020-08-17,FREE,7.75,7.83,7.53,7.56,653923
2020-08-18,FREE,7.52,7.52,7.04,7.3,923691
2020-08-19,FREE,7.27,7.39,7.23,7.29,652824
2020-08-20,FREE,7.22,7.39,7.18,7.22,476523
2020-08-21,FREE,7.18,7.21,6.9684,7.17,941531
2020-08-24,FREE,7.29,7.5,7.1573,7.39,768741
2020-08-25,FREE,7.41,7.52,7.33,7.39,1067134
2020-08-26,FREE,7.65,7.99,7.65,7.9,585062
2020-08-27,FREE,7.94,7.98,7.6,7.78,575155
2020-08-28,FREE,7.8,7.8,7.47,7.76,511043
2020-08-31,FREE,7.73,8.19,7.55,8.01,554391
2020-09-01,FREE,8.01,8.295,7.835,8.17,846406
2020-09-02,FREE,8.16,8.16,7.74,7.97,1415815
2020-09-03,FREE,7.95,8.2,7.83,8.11,613911
2020-09-04,FREE,8.16,8.44,7.94,8.38,712160
2020-09-08,FREE,8.66,8.68,8.39,8.39,1044424
2020-09-09,FREE,8.44,8.71,8.44,8.68,591558
2020-09-10,FREE,8.7,8.87,8.605,8.81,451007
2020-09-11,FREE,8.82,9.02,8.75,9.01,863546
2020-09-14,FREE,9.05,9.25,8.69,8.74,965364
2020-09-15,FREE,8.97,9.06,8.51,8.57,540085
2020-09-16,FREE,8.56,8.71,8.42,8.6,647509
2020-09-17,FREE,8.53,8.78,8.411,8.49,613932
2020-09-18,FREE,8.51,8.78,8.46,8.59,1419264
2020-09-21,FREE,8.49,8.7,8.44,8.5,427347
2020-09-22,FREE,8.49,8.524,8.11,8.21,811160
2020-09-23,FREE,8.19,8.26,7.99,7.99,378154
2020-09-24,FREE,7.96,7.96,7.71,7.81,312110
2020-09-25,FREE,7.77,8.055,7.71,8.03,432551
2020-09-28,FREE,8.03,8.5,7.88,8.45,265661
2020-09-29,FREE,8.41,8.59,8.4,8.48,233308
2020-09-30,FREE,8.5,8.55,8.25,8.34,449277
2020-10-01,FREE,8.39,8.495,8.29,8.42,335775
2020-10-02,FREE,8.36,8.51,8.2978,8.45,216447
2020-10-05,FREE,8.57,8.59,8.34,8.45,527249
2020-10-06,FREE,8.44,8.52,8.18,8.32,444523
2020-10-07,FREE,8.33,8.4,8.13,8.3,492087
2020-10-08,FREE,8.31,8.45,7.99,8.02,693490
2020-10-09,FREE,8.06,8.12,7.91,8.08,508843
2020-10-12,FREE,8.14,8.54,8.045,8.27,430684
2020-10-13,FREE,8.25,8.36,8.17,8.3,401301
2020-10-14,FREE,8.29,8.45,8.2075,8.33,327910
2020-10-15,FREE,8.29,8.32,8.17,8.27,163203
2020-10-16,FREE,8.3,8.33,7.98,8.06,226409
2020-10-19,FREE,8.08,8.5,8.08,8.25,425599
2020-10-20,FREE,8.35,8.49,8.18,8.41,440670
2020-10-21,FREE,8.42,8.815,8.18,8.31,725912
2020-10-22,FREE,8.29,8.58,8.26,8.53,251190
2020-10-23,FREE,8.65,9.03,8.57,8.79,456312
2020-10-26,FREE,8.83,8.88,8.39,8.41,385989
2020-10-27,FREE,8.45,8.77,8.39,8.53,177567
2020-10-28,FREE,8.52,8.81,8.34,8.71,696544
2020-10-29,FREE,8.73,9.03,8.43,8.54,929135
2020-10-30,FREE,8.55,8.55,8.18,8.19,373704
2020-11-02,FREE,8.22,8.565,8.22,8.36,438528
2020-11-03,FREE,8.42,8.53,8.26,8.38,293028
2020-11-04,FREE,8.38,8.55,8.31,8.32,127415
2020-11-05,FREE,8.37,8.61,8.33,8.45,337969
2020-11-06,FREE,8.5,8.73,8.43,8.59,157056
2020-11-09,FREE,8.68,8.91,8.52,8.87,343227
2020-11-10,FREE,8.87,9.2,8.75,8.88,591309
2020-11-11,FREE,9.05,9.35,8.95,9.12,715184
2020-11-12,FREE,9.22,9.34,8.96,8.98,525147
2020-11-13,FREE,9.0,9.1,8.83,8.92,302315
2020-11-16,FREE,8.8,9.0,8.25,8.34,567323
2020-11-17,FREE,8.22,8.45,7.86,7.87,775422
2020-11-18,FREE,7.9,8.09,7.78,7.85,490241
2020-11-19,FREE,7.96,8.31,7.85,8.29,434186
2020-11-20,FREE,8.3,8.3,8.0,8.0,331954
2020-11-23,FREE,8.01,8.08,7.8467,7.99,527961
2020-11-24,FREE,8.0,8.26,7.9,8.21,330012
2020-11-25,FREE,8.18,8.34,8.0,8.32,324220
2020-11-27,FREE,8.37,8.675,8.15,8.47,399990
2020-11-30,FREE,8.47,8.5,8.07,8.29,339943
2020-12-01,FREE,8.95,9.7,8.8,9.02,1425418
2020-12-02,FREE,9.03,9.62,8.74,9.53,829042
2020-12-03,FREE,9.58,9.75,9.33,9.69,338742
2020-12-04,FREE,9.5,9.87,9.13,9.79,399359
2020-12-07,FREE,9.8,9.93,9.63,9.73,278860
2020-12-08,FREE,9.99,10.22,9.76,9.89,809364
2020-12-09,FREE,10.0,10.08,9.77,9.92,416689
2020-12-10,FREE,9.82,10.09,9.76,10.06,363931
2020-12-11,FREE,10.1,10.44,10.0,10.39,410635
2020-12-14,FREE,10.6,10.6,10.33,10.47,398403
2020-12-15,FREE,10.76,10.95,10.6,10.8,671540
2020-12-16,FREE,10.81,11.07,10.51,10.68,416944
2020-12-17,FREE,11.09,11.42,10.88,11.38,747987
2020-12-18,FREE,11.4,11.76,11.38,11.47,858273
2020-12-21,FREE,11.16,11.6,10.86,11.0,488524
2020-12-22,FREE,11.11,11.53,11.04,11.33,532286
2020-12-23,FREE,11.36,11.72,11.26,11.58,481777
2020-12-24,FREE,11.55,11.55,11.25,11.51,117506
2020-12-28,FREE,11.57,11.8,11.3491,11.44,191642
2020-12-29,FREE,11.45,11.52,10.99,11.19,311769
2020-12-30,FREE,11.19,11.19,10.79,10.99,335671
2020-12-31,FREE,10.98,10.99,10.46,10.9,366435
2021-01-04,FREE,11.0,11.07,10.65,10.8,266879
2021-01-05,FREE,10.86,10.95,10.26,10.6,775137
2021-01-06,FREE,10.6,11.18,10.56,10.95,310068
