date,ticker,open,high,low,close,volume
2021-02-01,FRGE,10.15,10.31,10.1,10.31,92063
2021-02-02,FRGE,10.25,10.49,10.12,10.43,231660
2021-02-03,FRGE,10.45,10.65,10.43,10.65,391548
2021-02-04,FRGE,10.65,10.77,10.37,10.4,117532
2021-02-05,FRGE,10.55,10.65,10.45,10.6,213549
2021-02-08,FRGE,10.7,10.87,10.55,10.79,254079
2021-02-09,FRGE,10.8,10.84,10.635,10.78,231241
2021-02-10,FRGE,10.75,10.75,10.67,10.71,97240
2021-02-11,FRGE,10.73,10.82,10.57,10.79,112251
2021-02-12,FRGE,10.8,10.81,10.68,10.68,170354
2021-02-16,FRGE,10.78,10.78,10.6,10.72,158622
2021-02-17,FRGE,10.75,10.75,10.64,10.73,148377
2021-02-18,FRGE,10.67,10.78,10.67,10.71,70031
2021-02-19,FRGE,10.75,10.8,10.6965,10.79,249286
2021-02-22,FRGE,10.79,10.87,10.7,10.74,151269
2021-02-23,FRGE,10.68,10.68,10.48,10.6,255848
2021-02-24,FRGE,10.61,10.7,10.52,10.55,92334
2021-02-25,FRGE,10.58,10.62,10.16,10.26,250787
2021-02-26,FRGE,10.39,10.4,10.15,10.27,166405
2021-03-01,FRGE,10.28,10.36,10.19,10.25,194960
2021-03-02,FRGE,10.23,10.23,10.0,10.09,168201
2021-03-03,FRGE,10.09,10.19,10.04,10.19,769380
2021-03-04,FRGE,10.11,10.1865,9.75,9.95,615840
2021-03-05,FRGE,9.96,10.09,9.9,10.09,1050909
2021-03-08,FRGE,10.1,10.1,9.91,10.0,198025
2021-03-09,FRGE,10.0,10.02,9.9,9.95,311391
2021-03-10,FRGE,9.95,10.08,9.9,10.01,140099
2021-03-11,FRGE,9.94,10.04,9.94,10.0,609678
2021-03-12,FRGE,9.96,10.09,9.96,10.04,27380
2021-03-15,FRGE,10.03,10.2,9.96,10.04,89238
2021-03-16,FRGE,9.98,10.04,9.97,10.01,105770
2021-03-17,FRGE,10.04,10.04,9.9,9.98,239578
2021-03-18,FRGE,9.96,9.97,9.86,9.9,135250
2021-03-19,FRGE,9.9,9.9,9.81,9.85,289462
2021-03-22,FRGE,9.9,9.925,9.85,9.9,54244
2021-03-23,FRGE,9.86,9.9062,9.8,9.89,115863
2021-03-24,FRGE,9.85,9.85,9.72,9.76,211578
2021-03-25,FRGE,9.75,9.87,9.61,9.84,233669
2021-03-26,FRGE,9.76,10.02,9.72,9.85,98840
2021-03-29,FRGE,9.86,9.89,9.83,9.85,16313
2021-03-30,FRGE,9.85,9.89,9.7,9.81,404127
2021-03-31,FRGE,9.8093,9.86,9.73,9.8,45732
2021-04-01,FRGE,9.8,9.83,9.76,9.83,51502
2021-04-05,FRGE,9.84,9.91,9.75,9.83,61963
2021-04-06,FRGE,9.81,9.8831,9.79,9.855,18447
2021-04-07,FRGE,9.8543,9.95,9.8543,9.95,51853
2021-04-08,FRGE,9.92,10.0,9.92,9.95,36157
2021-04-09,FRGE,9.99,10.05,9.955,10.04,90040
2021-04-12,FRGE,10.0,10.055,10.0,10.03,82693
2021-04-13,FRGE,10.0,10.08,9.9056,9.98,126854
2021-04-14,FRGE,9.95,9.975,9.9,9.92,36028
2021-04-15,FRGE,9.9101,9.94,9.85,9.85,35819
2021-04-16,FRGE,9.87,9.9,9.85,9.9,21944
2021-04-19,FRGE,9.86,9.92,9.86,9.92,133180
2021-04-20,FRGE,9.8401,9.92,9.75,9.8,49319
2021-04-21,FRGE,9.8,9.84,9.7701,9.83,17444
2021-04-22,FRGE,9.865,9.87,9.77,9.79,9729
2021-04-23,FRGE,9.83,9.83,9.76,9.79,64674
2021-04-26,FRGE,9.85,9.86,9.7201,9.74,644212
2021-04-27,FRGE,9.75,9.79,9.73,9.77,408379
2021-04-28,FRGE,9.8,9.86,9.74,9.86,458245
2021-04-29,FRGE,9.81,9.9,9.78,9.87,304535
2021-04-30,FRGE,9.8999,9.9,9.8,9.82,25534
2021-05-03,FRGE,9.8142,9.84,9.801,9.81,23864
2021-05-04,FRGE,9.78,9.85,9.78,9.85,25438
2021-05-05,FRGE,9.85,9.93,9.8,9.89,165173
2021-05-06,FRGE,9.89,9.98,9.84,9.95,111949
2021-05-07,FRGE,9.95,9.95,9.83,9.83,46543
2021-05-10,FRGE,9.862,9.89,9.78,9.8,27491
2021-05-11,FRGE,9.75,9.82,9.71,9.77,15729
2021-05-12,FRGE,9.77,9.81,9.73,9.79,31202
2021-05-13,FRGE,9.79,9.79,9.71,9.77,4894
2021-05-14,FRGE,9.79,9.8,9.75,9.79,87995
2021-05-17,FRGE,9.78,9.8,9.76,9.76,10421
2021-05-18,FRGE,9.82,9.84,9.77,9.82,37000
2021-05-19,FRGE,9.8,9.82,9.75,9.78,128036
2021-05-20,FRGE,9.7601,9.77,9.73,9.73,45562
2021-05-21,FRGE,9.77,9.79,9.73,9.75,60647
2021-05-24,FRGE,9.74,9.79,9.72,9.72,14394
2021-05-25,FRGE,9.75,9.79,9.7,9.7,25424
2021-05-26,FRGE,9.73,9.81,9.73,9.77,9479
2021-05-27,FRGE,9.77,9.77,9.7,9.735,32868
2021-05-28,FRGE,9.788,9.8,9.7,9.79,24516
2021-06-01,FRGE,9.78,9.81,9.71,9.78,21052
2021-06-02,FRGE,9.76,9.81,9.71,9.77,20813
2021-06-03,FRGE,9.75,9.75,9.72,9.75,8790
2021-06-04,FRGE,9.73,9.74,9.71,9.74,232464
2021-06-07,FRGE,9.73,9.74,9.72,9.73,17385
2021-06-08,FRGE,9.74,9.77,9.7,9.76,32096
2021-06-09,FRGE,9.77,9.77,9.72,9.73,48462
2021-06-10,FRGE,9.73,9.77,9.73,9.77,57011
2021-06-11,FRGE,9.77,9.8,9.77,9.8,14253
2021-06-14,FRGE,9.76,9.8,9.75,9.8,10734
2021-06-15,FRGE,9.79,9.79,9.76,9.77,8289
2021-06-16,FRGE,9.75,9.8,9.75,9.77,17561
2021-06-17,FRGE,9.76,9.8,9.74,9.78,6770
2021-06-18,FRGE,9.79,9.8,9.76,9.76,27990
2021-06-21,FRGE,9.76,9.77,9.73,9.76,19959
2021-06-22,FRGE,9.72,9.76,9.71,9.74,18092
2021-06-23,FRGE,9.7399,9.7399,9.72,9.73,3431
2021-06-24,FRGE,9.72,9.74,9.72,9.73,9685
2021-06-25,FRGE,9.72,9.73,9.72,9.73,2028
2021-06-28,FRGE,9.72,9.8,9.7,9.8,301017
2021-06-29,FRGE,9.75,9.79,9.71,9.75,170819
2021-06-30,FRGE,9.73,9.77,9.73,9.77,8363
2021-07-01,FRGE,9.7749,9.78,9.76,9.77,54416
2021-07-02,FRGE,9.8,9.8,9.7,9.76,57020
2021-07-06,FRGE,9.75,9.76,9.74,9.76,1887
2021-07-07,FRGE,9.75,9.76,9.75,9.75,107120
2021-07-08,FRGE,9.7,9.84,9.7,9.78,26655
2021-07-09,FRGE,9.75,9.77,9.74,9.75,24850
2021-07-12,FRGE,9.75,9.78,9.75,9.77,19220
