date,ticker,open,high,low,close,volume
2018-10-02,FSRNQ,9.6,9.63,9.6,9.6,62600
2018-10-03,FSRNQ,9.61,9.61,9.6,9.6,529201
2018-10-04,FSRNQ,9.6,9.6,9.6,9.6,0
2018-10-05,FSRNQ,9.63,9.63,9.63,9.63,2000
2018-10-08,FSRNQ,9.63,9.63,9.63,9.63,0
2018-10-09,FSRNQ,9.63,9.63,9.63,9.63,4
2018-10-10,FSRNQ,9.63,9.63,9.63,9.63,0
2018-10-11,FSRNQ,9.59,9.63,9.58,9.63,2104
2018-10-12,FSRNQ,9.5801,9.69,9.58,9.65,212401
2018-10-15,FSRNQ,9.64,9.65,9.63,9.65,2100
2018-10-16,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-17,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-18,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-19,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-22,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-23,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-24,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-25,FSRNQ,9.6256,9.65,9.6042,9.65,1602
2018-10-26,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-29,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-30,FSRNQ,9.65,9.65,9.65,9.65,0
2018-10-31,FSRNQ,9.65,9.65,9.65,9.65,0
2018-11-01,FSRNQ,9.65,9.65,9.65,9.65,0
2018-11-02,FSRNQ,9.65,9.65,9.65,9.65,0
2018-11-05,FSRNQ,9.65,9.65,9.65,9.65,0
2018-11-06,FSRNQ,9.65,9.65,9.65,9.65,100
2018-11-07,FSRNQ,9.65,9.65,9.65,9.65,2
2018-11-08,FSRNQ,9.65,9.65,9.65,9.65,0
2018-11-09,FSRNQ,9.65,9.65,9.65,9.65,0
2018-11-12,FSRNQ,9.64,9.64,9.64,9.64,74210
2018-11-13,FSRNQ,9.6,9.66,9.6,9.65,167505
2018-11-14,FSRNQ,9.65,9.65,9.65,9.65,0
2018-11-15,FSRNQ,10.0,10.0,9.65,9.67,83140
2018-11-16,FSRNQ,9.7,9.7,9.66,9.66,600
2018-11-19,FSRNQ,9.7,9.73,9.65,9.65,700
2018-11-20,FSRNQ,9.7,9.72,9.61,9.67,141157
2018-11-21,FSRNQ,9.67,9.67,9.67,9.67,2
2018-11-23,FSRNQ,9.65,9.67,9.625,9.63,507800
2018-11-26,FSRNQ,9.67,9.67,9.6,9.62,252700
2018-11-27,FSRNQ,9.63,9.63,9.59,9.63,187660
