date,ticker,open,high,low,close,volume
2025-10-23,FUSE,2.9,4.25,2.8,4.0,1080978
2025-10-24,FUSE,3.3,3.45,2.73,2.73,1223490
2025-10-27,FUSE,2.8,2.85,2.42,2.6,785933
2025-10-28,FUSE,2.52,3.18,2.35,3.14,1389813
2025-10-29,FUSE,3.08,3.25,2.82,3.03,523944
2025-10-30,FUSE,2.96,2.9997,2.55,2.56,472979
2025-10-31,FUSE,2.55,2.8,2.55,2.7,151322
2025-11-03,FUSE,2.65,2.775,2.55,2.74,248755
2025-11-04,FUSE,2.67,2.7,2.32,2.55,311806
2025-11-05,FUSE,2.54,2.7,2.402,2.57,191551
2025-11-06,FUSE,2.53,2.584,2.2,2.26,126968
2025-11-07,FUSE,2.22,2.25,1.75,1.8,346137
2025-11-10,FUSE,1.87,2.05,1.65,1.96,215359
2025-11-11,FUSE,1.96,1.96,1.7501,1.78,96568
2025-11-12,FUSE,1.77,1.86,1.73,1.84,66852
2025-11-13,FUSE,1.81,1.89,1.75,1.83,74088
2025-11-14,FUSE,1.81,1.92,1.728,1.83,56122
2025-11-17,FUSE,1.85,1.9449,1.6,1.74,101754
2025-11-18,FUSE,1.74,1.7472,1.6,1.68,68455
2025-11-19,FUSE,1.65,1.72,1.64,1.69,54542
2025-11-20,FUSE,1.7,1.785,1.62,1.64,34636
2025-11-21,FUSE,1.69,1.735,1.6452,1.67,29865
2025-11-24,FUSE,1.73,1.91,1.65,1.9,103463
2025-11-25,FUSE,1.88,2.0153,1.755,1.9,54571
2025-11-26,FUSE,1.97,1.97,1.8585,1.905,19690
2025-11-28,FUSE,1.845,1.91,1.81,1.83,12018
2025-12-01,FUSE,1.92,1.92,1.65,1.65,45477
2025-12-02,FUSE,1.65,1.79,1.65,1.73,29037
2025-12-03,FUSE,1.78,1.8,1.72,1.75,28777
2025-12-04,FUSE,1.77,1.8,1.7,1.8,41032
2025-12-05,FUSE,1.8,1.83,1.705,1.78,26849
2025-12-08,FUSE,1.82,1.97,1.7,1.81,85020
2025-12-09,FUSE,1.85,1.89,1.8,1.81,28009
2025-12-10,FUSE,1.7741,1.9999,1.75,1.87,67893
2025-12-11,FUSE,1.93,2.39,1.87,2.27,199676
2025-12-12,FUSE,2.2,2.38,2.0346,2.06,253355
2025-12-15,FUSE,2.03,2.1,1.8,1.89,237257
2025-12-16,FUSE,1.88,2.1,1.86,2.0,72344
2025-12-17,FUSE,1.96,2.09,1.88,1.93,127473
2025-12-18,FUSE,1.95,2.15,1.94,2.03,64816
2025-12-19,FUSE,2.09,2.22,1.95,2.07,391439
2025-12-22,FUSE,2.09,2.09,1.8372,1.89,81891
2025-12-23,FUSE,1.9,1.9,1.82,1.82,31063
2025-12-24,FUSE,1.8,2.0,1.8,1.94,37844
2025-12-26,FUSE,1.94,1.94,1.85,1.91,13960
2025-12-29,FUSE,1.93,2.0296,1.8701,1.89,32626
2025-12-30,FUSE,1.875,1.925,1.67,1.81,108449
2025-12-31,FUSE,1.71,1.79,1.45,1.65,309821
