date,ticker,open,high,low,close,volume
2020-08-31,GB,8.0,15.0,8.0,9.77,151668
2020-09-01,GB,9.5,9.5,8.33,8.55,162050
2020-09-02,GB,8.69,8.8,7.6,7.63,152251
2020-09-03,GB,8.01,8.01,7.16,7.21,87370
2020-09-04,GB,7.01,7.74,6.67,6.88,188937
2020-09-08,GB,7.29,7.32,6.74,7.09,246264
2020-09-09,GB,7.32,7.7,6.97,7.26,232250
2020-09-10,GB,7.0,7.73,6.97,7.07,197589
2020-09-11,GB,7.06,7.54,7.06,7.31,129922
2020-09-14,GB,7.17,7.62,7.17,7.62,19621
2020-09-15,GB,7.6681,7.6681,7.04,7.08,97071
2020-09-16,GB,7.01,8.19,7.01,7.97,136402
2020-09-17,GB,7.73,8.03,7.5001,7.83,22555
2020-09-18,GB,7.68,7.884,7.395,7.43,17328
2020-09-21,GB,7.45,7.61,7.1,7.18,39706
2020-09-22,GB,7.2,7.53,7.18,7.26,7460
2020-09-23,GB,7.39,7.8,6.95,7.07,53227
2020-09-24,GB,6.79,7.075,6.75,6.82,22106
2020-09-25,GB,7.0263,7.25,6.9,6.945,20784
2020-09-28,GB,7.15,7.19,6.98,7.01,2678
2020-09-29,GB,7.53,7.53,6.9,7.15,8294
2020-09-30,GB,7.27,7.27,6.685,6.95,17788
2020-10-01,GB,6.9,7.75,6.9,7.72,29439
2020-10-02,GB,7.57,7.9,7.12,7.33,19525
2020-10-05,GB,7.35,8.15,7.35,8.15,43928
2020-10-06,GB,8.4,8.89,7.82,8.26,27369
2020-10-07,GB,8.65,8.65,8.0,8.32,13839
2020-10-08,GB,8.5,9.1,8.5,8.77,55662
2020-10-09,GB,8.75,9.0499,8.2,8.9,29574
2020-10-12,GB,8.84,9.0,8.47,8.58,9812
2020-10-13,GB,8.68,8.68,8.11,8.11,5313
2020-10-14,GB,8.11,8.71,8.11,8.6,14773
2020-10-15,GB,8.35,8.73,8.061,8.41,3699
2020-10-16,GB,8.79,9.11,8.54,8.56,20203
2020-10-19,GB,8.58,9.1,8.53,8.77,21245
2020-10-20,GB,8.7,8.99,8.4,8.95,3636
2020-10-21,GB,9.23,9.23,8.41,8.41,17615
2020-10-22,GB,8.51,9.135,8.43,9.12,8453
2020-10-23,GB,9.18,9.18,8.54,8.64,25350
2020-10-26,GB,8.47,9.05,8.37,8.37,10315
2020-10-27,GB,8.53,8.685,8.4,8.58,1904
2020-10-28,GB,8.36,8.63,8.1,8.1,15904
2020-10-29,GB,8.14,8.61,8.0201,8.61,13179
2020-10-30,GB,8.43,8.46,7.76,7.92,48227
2020-11-02,GB,8.32,8.32,7.5,7.5,6946
2020-11-03,GB,7.95,8.47,7.36,7.36,3399
