date,ticker,open,high,low,close,volume
2020-09-21,GETY,10.0,10.2382,10.0,10.1,153427
2020-09-22,GETY,10.0,10.054,10.0,10.04,276160
2020-09-23,GETY,10.13,10.13,10.0,10.02,214318
2020-09-24,GETY,10.02,10.32,10.0,10.2,111728
2020-09-25,GETY,10.2,10.2,10.2,10.2,23
2020-09-28,GETY,10.1,10.28,10.0,10.0,87508
2020-09-29,GETY,10.05,10.13,10.01,10.13,109970
2020-09-30,GETY,10.06,10.06,10.03,10.05,2912
2020-10-01,GETY,10.01,10.1978,10.0,10.0,261185
2020-10-02,GETY,10.0,10.02,9.99,10.0,370037
2020-10-05,GETY,10.04,10.15,9.94,9.97,1069027
2020-10-06,GETY,10.0,10.0,9.97,9.98,100352
2020-10-07,GETY,10.015,10.015,10.0,10.005,13458
2020-10-08,GETY,10.14,10.14,9.97,9.98,73013
2020-10-09,GETY,10.13,10.13,9.98,10.0,148979
2020-10-12,GETY,10.17,10.17,9.99,9.99,176716
2020-10-13,GETY,9.99,10.0254,9.975,10.0,369257
2020-10-14,GETY,10.2,10.2,9.96,9.97,1078044
2020-10-15,GETY,9.97,9.98,9.95,9.97,1263013
2020-10-16,GETY,9.95,9.97,9.925,9.94,1002396
2020-10-19,GETY,9.93,9.95,9.92,9.94,61274
2020-10-20,GETY,9.96,10.0,9.9,9.92,1020117
2020-10-21,GETY,9.93,9.935,9.91,9.93,416841
2020-10-22,GETY,9.9,9.94,9.88,9.9,562846
2020-10-23,GETY,9.88,9.9,9.88,9.88,21149
2020-10-26,GETY,9.88,9.88,9.85,9.85,273860
2020-10-27,GETY,9.95,9.95,9.8,9.83,438456
2020-10-28,GETY,9.8,9.83,9.77,9.77,340297
2020-10-29,GETY,9.77,9.8222,9.75,9.805,54107
2020-10-30,GETY,9.75,9.83,9.73,9.83,104275
2020-11-02,GETY,9.84,9.84,9.75,9.76,30301
2020-11-03,GETY,9.78,9.84,9.78,9.79,82740
2020-11-04,GETY,9.76,9.82,9.72,9.78,7309
2020-11-05,GETY,9.75,9.86,9.75,9.86,34338
2020-11-06,GETY,9.88,9.88,9.8,9.82,2741
2020-11-09,GETY,9.9,9.9,9.8,9.8,19195
2020-11-10,GETY,9.83,9.9,9.7786,9.82,2301
2020-11-11,GETY,9.835,9.86,9.78,9.78,5271
2020-11-12,GETY,9.77,9.86,9.77,9.86,97726
2020-11-13,GETY,9.83,9.88,9.8,9.88,305748
2020-11-16,GETY,9.85,9.9,9.8001,9.9,6259
2020-11-17,GETY,9.9,9.9,9.81,9.89,177720
2020-11-18,GETY,9.86,9.93,9.82,9.85,155943
2020-11-19,GETY,9.81,9.94,9.75,9.8,107762
2020-11-20,GETY,9.76,9.95,9.75,9.88,271363
2020-11-23,GETY,9.87,9.95,9.85,9.9,7139
2020-11-24,GETY,9.9,9.96,9.86,9.96,1079495
2020-11-25,GETY,9.99,10.05,9.96,10.02,415765
2020-11-27,GETY,9.99,10.1,9.99,10.08,43851
2020-11-30,GETY,10.07,10.1,9.98,10.0,161494
2020-12-01,GETY,10.0,10.01,9.97,9.98,76243
2020-12-02,GETY,9.96,10.1,9.96,10.1,389556
2020-12-03,GETY,10.06,10.12,10.03,10.08,1092316
2020-12-04,GETY,10.1,10.1,10.06,10.08,27561
2020-12-07,GETY,10.15,10.53,10.08,10.1,265293
2020-12-08,GETY,10.05,10.15,9.86,9.99,133593
2020-12-09,GETY,10.19,10.19,9.99,10.05,234000
2020-12-10,GETY,10.06,10.19,10.0,10.04,76003
2020-12-11,GETY,10.05,10.3,10.05,10.15,370062
2020-12-14,GETY,10.3,10.39,10.02,10.05,1351755
2020-12-15,GETY,10.07,10.29,10.06,10.06,129327
2020-12-16,GETY,10.18,10.24,10.1,10.17,601168
2020-12-17,GETY,10.1551,10.3,10.1551,10.29,103160
2020-12-18,GETY,10.4,10.4,10.19,10.32,55512
2020-12-21,GETY,10.3,10.38,10.25,10.32,47027
2020-12-22,GETY,10.4,10.4,10.22,10.29,232585
2020-12-23,GETY,10.35,10.42,10.25,10.32,151171
2020-12-24,GETY,10.3,10.35,10.18,10.29,289666
2020-12-28,GETY,10.37,10.41,10.3,10.34,225804
2020-12-29,GETY,10.36,10.4161,10.22,10.28,204155
2020-12-30,GETY,10.25,10.37,10.22,10.36,101699
2020-12-31,GETY,10.36,10.4,10.245,10.4,342926
2021-01-04,GETY,10.4,10.49,10.2,10.23,452309
2021-01-05,GETY,10.25,10.35,10.12,10.25,484063
2021-01-06,GETY,10.26,10.305,10.25,10.28,556123
2021-01-07,GETY,10.3,10.47,10.23,10.42,593761
2021-01-08,GETY,10.41,10.42,10.34,10.38,45661
2021-01-11,GETY,10.39,10.39,10.33,10.35,320655
2021-01-12,GETY,10.39,10.45,10.35,10.45,561082
2021-01-13,GETY,10.47,10.75,10.45,10.54,503873
