date,ticker,open,high,low,close,volume
2022-02-03,GGAAF,9.9,9.96,9.9,9.95,89614
2022-02-04,GGAAF,9.95,9.95,9.9,9.945,2868
2022-02-07,GGAAF,9.95,9.95,9.86,9.93,89860
2022-02-08,GGAAF,9.95,9.95,9.95,9.95,104
2022-02-09,GGAAF,10.21,10.21,9.9104,9.9104,218710
2022-02-10,GGAAF,9.9104,9.9104,9.9104,9.9104,13
2022-02-11,GGAAF,9.95,9.95,9.95,9.95,123
2022-02-14,GGAAF,9.91,9.94,9.91,9.94,16002
2022-02-15,GGAAF,9.92,9.92,9.9,9.91,700414
2022-02-16,GGAAF,9.91,10.0176,9.9,10.01,154975
2022-02-17,GGAAF,9.92,9.92,9.9,9.9,2445
2022-02-18,GGAAF,9.9,9.9,9.9,9.9,516
2022-02-22,GGAAF,9.95,9.95,9.9,9.9,16253
2022-02-23,GGAAF,9.9,9.9,9.9,9.9,31
2022-02-24,GGAAF,9.92,9.94,9.92,9.92,458886
2022-02-25,GGAAF,9.92,9.93,9.92,9.93,451250
2022-02-28,GGAAF,9.93,9.93,9.91,9.91,65884
2022-03-01,GGAAF,9.91,9.91,9.91,9.91,6
2022-03-02,GGAAF,9.91,9.95,9.91,9.95,2328
2022-03-03,GGAAF,9.95,9.95,9.95,9.95,300
2022-03-04,GGAAF,9.95,9.95,9.95,9.95,0
2022-03-07,GGAAF,9.95,9.95,9.95,9.95,23
2022-03-08,GGAAF,9.94,9.94,9.93,9.94,1007
2022-03-09,GGAAF,9.93,9.93,9.93,9.93,1233
2022-03-10,GGAAF,9.93,9.93,9.93,9.93,2
2022-03-11,GGAAF,9.93,9.93,9.93,9.93,1
2022-03-14,GGAAF,9.99,9.99,9.95,9.95,1014
2022-03-15,GGAAF,9.95,9.95,9.95,9.95,0
2022-03-16,GGAAF,9.95,9.95,9.95,9.95,0
2022-03-17,GGAAF,9.95,9.95,9.95,9.95,5
2022-03-18,GGAAF,9.95,9.95,9.95,9.95,742
2022-03-21,GGAAF,9.965,9.965,9.965,9.965,221
2022-03-22,GGAAF,9.965,9.965,9.965,9.965,0
2022-03-23,GGAAF,9.97,9.97,9.95,9.95,812
2022-03-24,GGAAF,9.95,9.95,9.94,9.94,20180
2022-03-25,GGAAF,9.93,9.96,9.93,9.96,28501
2022-03-28,GGAAF,9.96,9.96,9.96,9.96,29
2022-03-29,GGAAF,9.96,9.96,9.96,9.96,3704
2022-03-30,GGAAF,9.96,9.96,9.96,9.96,40269
2022-03-31,GGAAF,9.98,9.99,9.96,9.96,108621
2022-04-01,GGAAF,9.97,9.97,9.97,9.97,800002
2022-04-04,GGAAF,9.99,9.99,9.99,9.99,49332
2022-04-05,GGAAF,10.0,10.0,10.0,10.0,199
2022-04-06,GGAAF,10.0,10.0,10.0,10.0,4
2022-04-07,GGAAF,10.0,10.0,10.0,10.0,1
2022-04-08,GGAAF,10.0,10.0,10.0,10.0,0
2022-04-11,GGAAF,9.98,9.9802,9.98,9.9802,903
2022-04-12,GGAAF,9.9802,9.9802,9.9802,9.9802,1
2022-04-13,GGAAF,9.9802,9.9802,9.9802,9.9802,1
2022-04-14,GGAAF,9.98,10.025,9.98,10.025,4211
2022-04-18,GGAAF,9.98,9.9968,9.98,9.9968,3710
2022-04-19,GGAAF,9.98,9.98,9.98,9.98,457
2022-04-20,GGAAF,10.015,10.015,10.0,10.01,36112
2022-04-21,GGAAF,10.01,10.02,10.01,10.02,4739
2022-04-22,GGAAF,10.01,10.01,9.98,9.98,5950
2022-04-25,GGAAF,10.01,10.01,9.99,10.0,194797
2022-04-26,GGAAF,10.0,10.01,10.0,10.01,2836
2022-04-27,GGAAF,10.01,10.02,10.01,10.02,157658
2022-04-28,GGAAF,10.0,10.03,9.99,10.01,212780
2022-04-29,GGAAF,10.0,10.0,10.0,10.0,1596
2022-05-02,GGAAF,10.01,10.03,10.0,10.01,21871
2022-05-03,GGAAF,10.01,10.03,10.01,10.01,8186
2022-05-04,GGAAF,10.02,10.02,10.02,10.02,1050
2022-05-05,GGAAF,10.02,10.02,10.02,10.02,1350
2022-05-06,GGAAF,10.01,10.01,10.01,10.01,1301
2022-05-09,GGAAF,10.01,10.01,10.01,10.01,16
2022-05-10,GGAAF,10.01,10.071,9.98,10.005,36200
2022-05-11,GGAAF,10.0,10.0,9.98,9.98,178060
2022-05-12,GGAAF,9.97,9.9705,9.97,9.9705,81316
2022-05-13,GGAAF,9.9705,9.9705,9.9705,9.9705,0
2022-05-16,GGAAF,9.98,9.98,9.97,9.97,12227
2022-05-17,GGAAF,9.98,9.98,9.98,9.98,4691
2022-05-18,GGAAF,9.9871,9.9871,9.97,9.97,29185
2022-05-19,GGAAF,9.97,9.97,9.97,9.97,9253
2022-05-20,GGAAF,9.97,9.97,9.97,9.97,1
2022-05-23,GGAAF,9.97,9.99,9.97,9.98,18355
2022-05-24,GGAAF,9.99,9.99,9.982,9.982,530
2022-05-25,GGAAF,9.98,9.98,9.98,9.98,350
2022-05-26,GGAAF,9.98,9.98,9.98,9.98,5
2022-05-27,GGAAF,9.98,9.995,9.98,9.99,41570
2022-05-31,GGAAF,9.99,10.02,9.98,10.02,31116
2022-06-01,GGAAF,10.02,10.02,10.02,10.02,83
2022-06-02,GGAAF,10.02,10.02,9.98,9.98,26967
2022-06-03,GGAAF,9.98,9.98,9.98,9.98,52
2022-06-06,GGAAF,10.01,10.01,9.99,9.99,17812
2022-06-07,GGAAF,9.99,10.01,9.99,9.99,99082
2022-06-08,GGAAF,10.0,10.0,10.0,10.0,4006
2022-06-09,GGAAF,10.01,10.01,10.0,10.01,65115
2022-06-10,GGAAF,10.01,10.01,10.01,10.01,1400
2022-06-13,GGAAF,9.97,10.02,9.97,10.02,2009
2022-06-14,GGAAF,10.5,10.5,9.99,9.9902,9383
