date,ticker,open,high,low,close,volume
2020-12-10,HTOO,48.5,48.5,21.41,21.8842,131785
2020-12-11,HTOO,26.89,26.89,18.5,19.7,601129
2020-12-14,HTOO,17.98,18.42,15.73,17.75,541317
2020-12-15,HTOO,17.58,17.703,16.16,17.05,405633
2020-12-16,HTOO,16.79,17.89,16.0,17.4,244735
2020-12-17,HTOO,17.89,17.89,16.03,16.44,170503
2020-12-18,HTOO,17.0,17.2698,16.05,16.16,109656
2020-12-21,HTOO,16.0,17.3899,15.27,16.23,193938
2020-12-22,HTOO,17.0,17.85,16.23,16.61,272808
2020-12-23,HTOO,17.53,22.25,17.33,19.91,1108354
2020-12-24,HTOO,23.5,23.89,19.12,20.05,799406
2020-12-28,HTOO,21.49,21.5,18.5,19.85,386007
2020-12-29,HTOO,19.24,19.53,18.3,19.0,296357
2020-12-30,HTOO,19.04,19.49,18.6,18.73,122184
2020-12-31,HTOO,18.32,18.55,17.45,18.43,112791
2021-01-04,HTOO,17.94,18.19,16.53,16.83,283250
2021-01-05,HTOO,16.8,17.42,15.685,16.2,339731
2021-01-06,HTOO,16.8,17.795,15.21,16.05,354471
2021-01-07,HTOO,17.25,18.49,16.95,18.09,481772
2021-01-08,HTOO,19.5,19.86,17.88,18.9,465004
2021-01-11,HTOO,18.5,18.6,17.25,18.03,293710
2021-01-12,HTOO,18.0,19.35,17.05,19.29,506241
2021-01-13,HTOO,20.2,22.4,18.9,21.5,1432840
2021-01-14,HTOO,21.75,25.87,21.75,24.68,2171206
2021-01-15,HTOO,24.85,25.0,22.05,23.86,760046
2021-01-19,HTOO,24.4503,25.85,23.5,24.34,809801
2021-01-20,HTOO,25.04,25.2,22.73,22.97,579340
2021-01-21,HTOO,22.61,24.0,20.61,22.59,1129161
2021-01-22,HTOO,21.83,22.49,20.9,21.17,477587
2021-01-25,HTOO,21.8,21.9,18.9224,20.57,761869
2021-01-26,HTOO,20.61,23.1576,20.61,21.8,914803
2021-01-27,HTOO,20.31,21.5,19.81,21.12,649215
2021-01-28,HTOO,21.18,24.45,21.1,22.77,922222
2021-01-29,HTOO,22.47,22.59,19.7501,20.7,634422
2021-02-01,HTOO,21.05,21.13,19.83,20.28,264154
2021-02-02,HTOO,20.37,20.583,19.33,20.3,313595
2021-02-03,HTOO,20.53,20.8,19.8,20.3,235643
2021-02-04,HTOO,20.12,20.3117,19.0,19.42,352414
2021-02-05,HTOO,19.4,20.5,19.4,20.2,417967
2021-02-08,HTOO,20.294,20.98,19.61,20.79,322764
2021-02-09,HTOO,20.68,21.18,19.67,21.15,376198
2021-02-10,HTOO,21.15,21.18,19.65,20.1,302087
2021-02-11,HTOO,19.92,20.09,18.81,19.06,233412
2021-02-12,HTOO,19.0,19.44,18.58,18.87,191008
2021-02-16,HTOO,19.07,19.81,19.07,19.31,288051
2021-02-17,HTOO,18.9,18.9,16.87,18.29,555100
2021-02-18,HTOO,18.22,18.284,16.76,18.11,447305
2021-02-19,HTOO,18.25,19.9238,18.2239,19.2,270412
2021-02-22,HTOO,18.91,19.42,18.39,18.56,297066
2021-02-23,HTOO,17.62,17.8,16.285,17.65,628209
2021-02-24,HTOO,17.57,17.74,16.79,16.98,246559
2021-02-25,HTOO,16.98,17.101,15.0583,15.38,450405
2021-02-26,HTOO,15.2,15.61,14.05,15.38,391893
2021-03-01,HTOO,15.98,16.6,15.85,16.21,240109
2021-03-02,HTOO,16.35,16.49,15.85,15.91,153631
2021-03-03,HTOO,15.79,16.46,14.67,14.91,233615
2021-03-04,HTOO,15.86,16.32,14.2,14.76,578655
2021-03-05,HTOO,15.1,15.22,13.26,13.69,818939
2021-03-08,HTOO,13.6,13.77,12.165,12.34,418923
2021-03-09,HTOO,12.9867,13.565,12.705,13.49,363132
2021-03-10,HTOO,14.26,14.9,13.1301,13.48,527322
2021-03-11,HTOO,13.89,14.73,13.26,14.64,566180
2021-03-12,HTOO,14.29,15.66,14.2,15.66,308595
2021-03-15,HTOO,16.11,17.15,16.04,16.8,294782
2021-03-16,HTOO,17.0,17.0,14.75,15.1,411757
2021-03-17,HTOO,14.44,14.8999,13.9101,14.47,294898
2021-03-18,HTOO,14.51,15.2583,14.22,14.49,229711
2021-03-19,HTOO,14.42,14.9,13.64,14.83,311383
2021-03-22,HTOO,14.86,15.28,14.62,15.21,131096
