date,ticker,open,high,low,close,volume
2023-02-28,HUBC,6.78,7.54,4.85,4.99,10675900
2023-03-01,HUBC,2.53,2.69,1.41,1.59,9956905
2023-03-02,HUBC,1.54,1.57,1.1,1.25,11274027
2023-03-03,HUBC,1.64,1.97,1.54,1.67,50603564
2023-03-06,HUBC,1.75,1.8,1.33,1.54,10702407
2023-03-07,HUBC,1.43,1.56,1.34,1.46,6572827
2023-03-08,HUBC,1.44,1.46,1.32,1.33,3376134
2023-03-09,HUBC,1.58,1.6,1.35,1.49,13958058
2023-03-10,HUBC,1.45,1.77,1.34,1.7,7317305
2023-03-13,HUBC,1.64,1.69,1.5,1.51,5039351
2023-03-14,HUBC,1.49,2.04,1.42,1.67,24580862
2023-03-15,HUBC,1.94,2.29,1.75,1.98,30067087
2023-03-16,HUBC,2.02,2.4,1.99,2.39,20506785
2023-03-17,HUBC,2.82,3.1,2.48,2.5,46103325
2023-03-20,HUBC,2.66,2.71,1.88,2.21,22675778
2023-03-21,HUBC,2.09,2.09,1.76,1.96,11884441
2023-03-22,HUBC,1.92,2.29,1.83,2.19,11023618
2023-03-23,HUBC,2.19,2.19,1.925,1.95,5968411
2023-03-24,HUBC,1.83,2.08,1.81,1.945,4629076
2023-03-27,HUBC,1.99,2.0399,1.81,1.87,3971503
2023-03-28,HUBC,1.9,1.9275,1.51,1.57,10102063
2023-03-29,HUBC,1.52,1.57,1.35,1.39,8186727
2023-03-30,HUBC,1.33,1.49,1.31,1.37,4619581
2023-03-31,HUBC,1.3,1.365,1.24,1.3,3721692
2023-04-03,HUBC,1.32,1.51,1.29,1.48,4766480
2023-04-04,HUBC,1.42,1.4708,1.3,1.33,2812476
2023-04-05,HUBC,1.33,1.33,1.24,1.31,1885806
2023-04-06,HUBC,1.27,1.34,1.24,1.32,1916510
2023-04-10,HUBC,1.32,1.33,1.21,1.21,2508961
2023-04-11,HUBC,1.23,1.23,1.12,1.13,3246707
2023-04-12,HUBC,1.14,1.15,1.05,1.12,3091263
2023-04-13,HUBC,1.13,1.27,1.08,1.21,3648922
2023-04-14,HUBC,1.23,1.44,1.18,1.34,5118591
2023-04-17,HUBC,1.3,1.32,1.2,1.2,2679124
2023-04-18,HUBC,1.18,1.23,1.15,1.19,1710960
2023-04-19,HUBC,1.18,1.19,1.13,1.16,1952976
2023-04-20,HUBC,1.1,1.15,1.08,1.13,2460929
2023-04-21,HUBC,1.1,1.1499,1.1,1.12,1130875
2023-04-24,HUBC,1.12,1.14,1.05,1.07,1449057
2023-04-25,HUBC,1.1,1.12,1.04,1.07,1791045
2023-04-26,HUBC,1.05,1.08,1.02,1.05,1204552
2023-04-27,HUBC,1.04,1.0499,0.855,0.925,6931631
2023-04-28,HUBC,0.8706,0.89,0.8021,0.8155,2948006
2023-05-01,HUBC,0.7924,0.8,0.711,0.7258,4289823
2023-05-02,HUBC,0.5701,0.63,0.5299,0.62,5040930
2023-05-03,HUBC,0.6,0.78,0.581,0.67,3417278
2023-05-04,HUBC,0.69,0.75,0.6251,0.639,2642021
2023-05-05,HUBC,0.638,0.6668,0.6,0.6102,1355803
2023-05-08,HUBC,0.63,0.6699,0.6005,0.64,1483872
2023-05-09,HUBC,0.7294,0.799,0.67,0.7,8503921
2023-05-10,HUBC,0.7,0.715,0.677,0.6935,1411292
2023-05-11,HUBC,0.7,0.71,0.6711,0.68,1184730
2023-05-12,HUBC,0.681,0.69,0.65,0.6701,822715
2023-05-15,HUBC,0.65,0.6735,0.61,0.6369,909359
2023-05-16,HUBC,0.6336,0.6792,0.6201,0.66,723443
2023-05-17,HUBC,0.651,0.678,0.651,0.668,598635
2023-05-18,HUBC,0.66,0.67,0.65,0.66,514467
2023-05-19,HUBC,0.67,0.67,0.623,0.65,561869
2023-05-22,HUBC,0.6479,0.65,0.586,0.61,2374688
2023-05-23,HUBC,0.588,0.61,0.57,0.591,993227
2023-05-24,HUBC,0.586,0.6,0.551,0.5899,867473
2023-05-25,HUBC,0.5699,0.58,0.55,0.5627,827846
2023-05-26,HUBC,0.58,0.5894,0.55,0.57,618210
2023-05-30,HUBC,0.5499,0.57,0.5401,0.559,925947
2023-05-31,HUBC,0.551,0.6667,0.542,0.593,2318616
2023-06-01,HUBC,0.6133,0.6199,0.5603,0.5603,890730
2023-06-02,HUBC,0.555,0.5908,0.555,0.5908,585585
2023-06-05,HUBC,0.5913,0.62,0.59,0.605,436214
2023-06-06,HUBC,0.5985,0.62,0.576,0.62,643965
2023-06-07,HUBC,0.6014,0.62,0.577,0.5801,535808
2023-06-08,HUBC,0.5802,0.6,0.5701,0.578,434708
2023-06-09,HUBC,0.581,0.6499,0.581,0.615,1015971
2023-06-12,HUBC,0.615,0.63,0.6,0.605,519791
2023-06-13,HUBC,0.6022,0.62,0.58,0.59,628392
2023-06-14,HUBC,0.5725,0.5899,0.521,0.55,1420041
2023-06-15,HUBC,0.57,0.5772,0.54,0.5651,820288
2023-06-16,HUBC,0.575,0.575,0.535,0.55,1303365
2023-06-20,HUBC,0.53,0.5479,0.4611,0.5145,1821145
2023-06-21,HUBC,0.503,0.5115,0.3474,0.45,2915825
2023-06-22,HUBC,0.44,0.4918,0.42,0.4662,932926
2023-06-23,HUBC,0.5,0.5199,0.46,0.5074,656843
2023-06-26,HUBC,0.54,0.555,0.5031,0.5525,700767
2023-06-27,HUBC,0.545,0.56,0.52,0.5417,387765
2023-06-28,HUBC,0.533,0.539,0.49,0.4961,854885
2023-06-29,HUBC,0.482,0.52,0.482,0.494,604504
2023-06-30,HUBC,0.49,0.51,0.47,0.4731,994528
2023-07-03,HUBC,0.47,0.49,0.39,0.41,2573214
2023-07-05,HUBC,0.41,0.43,0.3707,0.3918,1649474
2023-07-06,HUBC,0.375,0.398,0.3606,0.375,1053730
2023-07-07,HUBC,0.3663,0.405,0.36,0.392,955739
2023-07-10,HUBC,0.399,0.438,0.3826,0.401,1096948
2023-07-11,HUBC,0.4049,0.4448,0.393,0.393,938301
2023-07-12,HUBC,0.395,0.4185,0.382,0.3906,973017
2023-07-13,HUBC,0.411,0.43,0.391,0.429,849934
2023-07-14,HUBC,0.38,0.399,0.3509,0.363,3155306
2023-07-17,HUBC,0.349,0.4438,0.333,0.419,3139843
2023-07-18,HUBC,0.4,0.413,0.3811,0.396,1841039
2023-07-19,HUBC,0.395,0.41,0.3901,0.4079,598174
2023-07-20,HUBC,0.3957,0.41,0.37,0.3803,480598
2023-07-21,HUBC,0.3822,0.4325,0.38,0.42,870435
2023-07-24,HUBC,0.42,0.42,0.3913,0.4003,297424
2023-07-25,HUBC,0.4161,0.43,0.4,0.4,635212
2023-07-26,HUBC,0.401,0.47,0.4001,0.449,1352407
2023-07-27,HUBC,0.461,0.48,0.44,0.457,578652
2023-07-28,HUBC,0.467,0.488,0.44,0.484,375426
2023-07-31,HUBC,0.4695,0.631,0.4366,0.573,3068138
2023-08-01,HUBC,0.588,0.75,0.53,0.699,4086810
2023-08-02,HUBC,0.6816,0.83,0.65,0.653,4676020
2023-08-03,HUBC,0.643,0.74,0.5841,0.668,1133390
2023-08-04,HUBC,0.6801,0.6999,0.6,0.639,516298
2023-08-07,HUBC,0.6238,0.6299,0.55,0.599,693190
2023-08-08,HUBC,0.57,0.595,0.49,0.4995,708058
2023-08-09,HUBC,0.5,0.5595,0.4995,0.53,509095
2023-08-10,HUBC,0.521,0.5393,0.5001,0.52,414590
2023-08-11,HUBC,0.508,0.5201,0.47,0.4782,434366
2023-08-14,HUBC,0.4639,0.542,0.4415,0.539,1026130
2023-08-15,HUBC,0.6,0.64,0.53,0.59,1530272
2023-08-16,HUBC,0.556,0.6388,0.4631,0.4729,2139644
2023-08-17,HUBC,0.46,0.52,0.46,0.499,522929
2023-08-18,HUBC,0.447,0.4759,0.41,0.429,770559
2023-08-21,HUBC,0.44,0.45,0.412,0.4311,243325
2023-08-22,HUBC,0.43,0.441,0.38,0.398,464350
2023-08-23,HUBC,0.3802,0.4047,0.376,0.394,285840
2023-08-24,HUBC,0.396,0.4,0.365,0.37,362761
2023-08-25,HUBC,0.394,0.42,0.37,0.4,695411
2023-08-28,HUBC,0.39,0.404,0.3701,0.382,448010
2023-08-29,HUBC,0.388,0.4,0.3755,0.38,385197
2023-08-30,HUBC,0.3793,0.4,0.3793,0.3809,239354
2023-08-31,HUBC,0.38,0.39,0.37,0.37,308931
2023-09-01,HUBC,0.385,0.385,0.35,0.3507,416655
2023-09-05,HUBC,0.3608,0.3675,0.3401,0.36,304268
2023-09-06,HUBC,0.3594,0.3698,0.34,0.359,810713
2023-09-07,HUBC,0.3498,0.3659,0.3199,0.3312,997969
2023-09-08,HUBC,0.3056,0.3189,0.2905,0.3099,1000614
2023-09-11,HUBC,0.2915,0.3199,0.2442,0.2712,1522945
