date,ticker,open,high,low,close,volume
2020-12-14,HYZN,10.31,10.31,10.05,10.25,73938
2020-12-15,HYZN,10.5,10.5,10.11,10.125,27545
2020-12-16,HYZN,10.25,10.495,10.01,10.29,133460
2020-12-17,HYZN,10.15,10.35,10.15,10.28,110694
2020-12-18,HYZN,10.27,10.3999,10.2,10.3499,176242
2020-12-21,HYZN,10.44,10.62,10.2,10.41,409543
2020-12-22,HYZN,10.5,10.67,10.45,10.48,117698
2020-12-23,HYZN,10.6919,10.7,10.48,10.52,139582
2020-12-24,HYZN,10.89,10.9,10.48,10.6,343792
2020-12-28,HYZN,10.7,10.7,10.585,10.7,207476
2020-12-29,HYZN,10.69,10.98,10.54,10.6,82889
2020-12-30,HYZN,10.89,10.99,10.6,10.65,54514
2020-12-31,HYZN,10.75,10.75,10.57,10.6,58188
2021-01-04,HYZN,10.75,10.75,10.55,10.56,27907
2021-01-05,HYZN,10.75,10.75,10.47,10.49,94349
2021-01-06,HYZN,10.5501,10.65,10.43,10.51,15078
2021-01-07,HYZN,10.55,10.65,10.4,10.61,132399
2021-01-08,HYZN,10.74,10.74,10.51,10.7,188349
2021-01-11,HYZN,10.69,11.0,10.64,10.8,747892
2021-01-12,HYZN,10.85,11.65,10.8295,11.51,909938
2021-01-13,HYZN,11.95,12.34,11.77,12.07,1453250
2021-01-14,HYZN,12.25,12.47,12.075,12.29,578152
2021-01-15,HYZN,12.33,12.4421,11.86,12.0,196717
2021-01-19,HYZN,12.09,12.48,11.75,12.47,423320
2021-01-20,HYZN,12.5,12.5,12.1,12.26,288652
2021-01-21,HYZN,12.3,12.4999,12.15,12.35,560839
2021-01-22,HYZN,12.5,13.77,12.44,13.68,655333
2021-01-25,HYZN,13.8,14.54,13.45,13.88,463024
2021-01-26,HYZN,14.0,14.27,13.63,13.92,247055
2021-01-27,HYZN,13.38,13.8,12.51,12.83,800580
2021-01-28,HYZN,12.82,13.0299,12.3,12.59,440531
2021-01-29,HYZN,12.58,12.97,12.4,12.6,284738
2021-02-01,HYZN,12.75,13.27,12.68,13.1,602037
2021-02-02,HYZN,13.15,13.7,13.15,13.58,496129
2021-02-03,HYZN,13.58,15.0,13.58,14.0,648490
2021-02-04,HYZN,14.3,14.96,13.64,13.74,427489
2021-02-05,HYZN,16.35,17.3,16.02,16.5,5290414
2021-02-08,HYZN,18.04,19.95,17.18,17.76,3557668
2021-02-09,HYZN,16.99,17.25,16.04,16.04,9595761
2021-02-10,HYZN,16.28,16.6,15.13,15.72,4335567
2021-02-11,HYZN,16.14,16.5,14.85,15.09,2322529
2021-02-12,HYZN,15.2,15.77,15.08,15.58,2023474
2021-02-16,HYZN,15.65,15.99,15.5,15.75,1614093
2021-02-17,HYZN,15.88,16.3,14.62,15.1,1722628
2021-02-18,HYZN,14.99,15.2932,14.35,14.87,1282003
2021-02-19,HYZN,15.01,15.28,14.78,14.9,1325563
2021-02-22,HYZN,14.92,14.94,14.02,14.06,1049416
2021-02-23,HYZN,13.21,13.51,10.55,12.8,1815777
2021-02-24,HYZN,12.87,13.25,12.4,12.54,859334
2021-02-25,HYZN,12.55,12.8,11.62,11.79,1200572
2021-02-26,HYZN,11.95,12.35,11.2,11.77,1311032
2021-03-01,HYZN,12.39,13.09,12.26,12.89,1163999
2021-03-02,HYZN,13.39,13.4,12.22,12.34,911595
2021-03-03,HYZN,12.46,12.47,11.32,11.39,1078340
2021-03-04,HYZN,11.5,11.69,10.41,10.97,1175808
2021-03-05,HYZN,11.07,11.78,10.47,11.35,912966
2021-03-08,HYZN,11.37,11.45,10.75,10.8,2016590
2021-03-09,HYZN,11.27,11.5,11.02,11.39,431643
2021-03-10,HYZN,11.74,12.28,11.1966,11.79,628585
2021-03-11,HYZN,12.0,12.14,11.7,12.03,727194
2021-03-12,HYZN,11.8,12.38,11.5,12.38,347766
2021-03-15,HYZN,12.38,12.63,12.03,12.33,285734
2021-03-16,HYZN,12.3,12.3,11.52,11.6,375594
2021-03-17,HYZN,11.43,11.43,11.12,11.16,630160
2021-03-18,HYZN,11.28,11.89,10.85,10.98,945078
2021-03-19,HYZN,11.06,11.14,10.84,11.12,204976
2021-03-22,HYZN,11.24,11.36,10.95,11.15,173468
2021-03-23,HYZN,11.15,11.3,10.62,10.75,444920
2021-03-24,HYZN,10.8,10.85,10.19,10.3,806543
2021-03-25,HYZN,10.15,10.49,10.05,10.29,637313
2021-03-26,HYZN,10.43,10.73,10.2,10.65,605692
2021-03-29,HYZN,10.67,10.83,10.26,10.35,396651
2021-03-30,HYZN,10.21,10.38,10.18,10.31,1824490
