date,ticker,open,high,low,close,volume
2022-01-03,IRRX,9.8,9.8,9.8,9.8,2900
2022-01-04,IRRX,9.8,9.8,9.8,9.8,13
2022-01-05,IRRX,9.85,9.86,9.82,9.86,622505
2022-01-06,IRRX,9.86,9.86,9.86,9.86,105
2022-01-07,IRRX,9.89,9.89,9.85,9.85,32721
2022-01-10,IRRX,9.89,9.89,9.85,9.89,4907
2022-01-11,IRRX,9.85,9.89,9.85,9.85,1489
2022-01-12,IRRX,9.85,9.85,9.85,9.85,9900
2022-01-13,IRRX,9.85,9.85,9.85,9.85,45614
2022-01-14,IRRX,9.85,9.85,9.85,9.85,11
2022-01-18,IRRX,9.87,9.87,9.84,9.87,297941
2022-01-19,IRRX,9.856,9.856,9.85,9.85,382
2022-01-20,IRRX,9.86,9.88,9.86,9.87,325781
2022-01-21,IRRX,9.87,9.87,9.87,9.87,0
2022-01-24,IRRX,9.84,9.89,9.84,9.85,739
2022-01-25,IRRX,9.86,9.86,9.84,9.84,101005
2022-01-26,IRRX,9.86,9.87,9.85,9.86,150037
2022-01-27,IRRX,9.86,9.86,9.8,9.85,153242
2022-01-28,IRRX,9.87,9.87,9.86,9.86,472
2022-01-31,IRRX,9.87,9.87,9.86,9.86,22456
2022-02-01,IRRX,9.87,9.87,9.87,9.87,110
2022-02-02,IRRX,9.87,9.89,9.84,9.89,148722
2022-02-03,IRRX,9.89,9.89,9.89,9.89,1731
2022-02-04,IRRX,9.9,9.91,9.9,9.9,93665
2022-02-07,IRRX,9.91,9.91,9.9,9.9,3301
2022-02-08,IRRX,9.93,9.93,9.91,9.91,267
2022-02-09,IRRX,9.91,9.91,9.88,9.89,303255
2022-02-10,IRRX,9.9,9.91,9.9,9.9,57769
2022-02-11,IRRX,9.9,9.9,9.9,9.9,2
2022-02-14,IRRX,9.9,9.9,9.9,9.9,551
2022-02-15,IRRX,10.0,10.0,9.8999,9.9,13002
2022-02-16,IRRX,9.91,9.92,9.88,9.88,925856
2022-02-17,IRRX,9.89,9.89,9.8875,9.89,11317
2022-02-18,IRRX,9.89,9.89,9.89,9.89,40
2022-02-22,IRRX,9.88,9.93,9.88,9.88,109862
2022-02-23,IRRX,9.91,9.91,9.9,9.9,161547
2022-02-24,IRRX,9.91,9.91,9.91,9.91,100
2022-02-25,IRRX,9.91,9.91,9.91,9.91,4
2022-02-28,IRRX,9.94,9.94,9.9,9.92,2171
2022-03-01,IRRX,9.91,9.92,9.91,9.92,2198
2022-03-02,IRRX,9.92,9.92,9.92,9.92,0
2022-03-03,IRRX,9.9,9.9,9.9,9.9,267
2022-03-04,IRRX,9.91,9.92,9.91,9.92,10803
2022-03-07,IRRX,9.91,9.93,9.91,9.925,7249
2022-03-08,IRRX,9.89,9.9299,9.89,9.9299,2188
2022-03-09,IRRX,9.94,9.94,9.9,9.9,2970
2022-03-10,IRRX,9.9,9.9,9.9,9.9,3
2022-03-11,IRRX,9.92,9.93,9.92,9.92,114293
2022-03-14,IRRX,9.91,9.91,9.91,9.91,341026
2022-03-15,IRRX,9.92,9.92,9.91,9.91,406
2022-03-16,IRRX,9.91,9.92,9.9,9.92,8097
2022-03-17,IRRX,9.92,9.92,9.92,9.92,31
2022-03-18,IRRX,9.92,9.92,9.92,9.92,13
2022-03-21,IRRX,9.96,9.96,9.92,9.92,2680
2022-03-22,IRRX,9.9379,9.9379,9.9379,9.9379,200
2022-03-23,IRRX,9.9379,9.9379,9.9379,9.9379,0
2022-03-24,IRRX,9.92,9.92,9.92,9.92,8328
2022-03-25,IRRX,9.92,9.92,9.92,9.92,4
2022-03-28,IRRX,9.92,9.92,9.92,9.92,77
2022-03-29,IRRX,9.92,9.93,9.92,9.92,4444
2022-03-30,IRRX,9.95,9.95,9.95,9.95,299
2022-03-31,IRRX,9.95,9.95,9.95,9.95,15
2022-04-01,IRRX,9.93,9.93,9.92,9.92,3890
2022-04-04,IRRX,9.92,9.92,9.92,9.92,165
2022-04-05,IRRX,9.93,9.93,9.93,9.93,1443
2022-04-06,IRRX,9.94,9.94,9.93,9.93,217
2022-04-07,IRRX,9.94,9.94,9.94,9.94,622
2022-04-08,IRRX,9.94,9.94,9.94,9.94,4
2022-04-11,IRRX,9.95,9.95,9.95,9.95,100
2022-04-12,IRRX,9.97,9.97,9.94,9.95,10037
2022-04-13,IRRX,9.95,9.95,9.95,9.95,77
2022-04-14,IRRX,9.96,9.97,9.96,9.97,5772
2022-04-18,IRRX,9.98,9.98,9.94,9.95,1226
2022-04-19,IRRX,9.94,9.94,9.94,9.94,309
2022-04-20,IRRX,9.94,9.94,9.94,9.94,50182
2022-04-21,IRRX,9.94,9.94,9.94,9.94,0
2022-04-22,IRRX,9.95,9.95,9.95,9.95,221
2022-04-25,IRRX,9.94,9.9799,9.94,9.95,4331
2022-04-26,IRRX,9.95,9.95,9.95,9.95,17
2022-04-27,IRRX,9.95,9.95,9.95,9.95,27
2022-04-28,IRRX,9.95,9.96,9.95,9.96,4658
2022-04-29,IRRX,9.96,9.97,9.96,9.97,1103
2022-05-02,IRRX,9.97,9.97,9.97,9.97,5
2022-05-03,IRRX,9.97,9.97,9.97,9.97,28
2022-05-04,IRRX,9.97,9.97,9.97,9.97,2
2022-05-05,IRRX,9.97,9.97,9.96,9.96,200
2022-05-06,IRRX,9.97,9.97,9.97,9.97,203
2022-05-09,IRRX,9.96,9.96,9.94,9.9499,7256
2022-05-10,IRRX,9.96,9.96,9.945,9.95,1583249
2022-05-11,IRRX,9.95,9.95,9.945,9.95,4590
2022-05-12,IRRX,9.95,9.95,9.95,9.95,0
2022-05-13,IRRX,9.97,9.97,9.94,9.94,8270
2022-05-16,IRRX,9.94,9.94,9.94,9.94,333915
2022-05-17,IRRX,9.95,9.95,9.95,9.95,254733
2022-05-18,IRRX,9.94,9.94,9.94,9.94,660
2022-05-19,IRRX,9.94,9.94,9.94,9.94,100220
2022-05-20,IRRX,9.98,9.98,9.96,9.96,421
2022-05-23,IRRX,9.94,9.941,9.94,9.94,1430
2022-05-24,IRRX,9.94,9.95,9.94,9.94,4234
2022-05-25,IRRX,9.94,9.9401,9.94,9.94,3566
2022-05-26,IRRX,9.96,9.96,9.95,9.95,332
2022-05-27,IRRX,9.95,9.95,9.95,9.95,0
2022-05-31,IRRX,9.95,9.95,9.95,9.95,13
2022-06-01,IRRX,9.96,9.965,9.96,9.965,2811
2022-06-02,IRRX,9.96,9.96,9.96,9.96,1979
2022-06-03,IRRX,9.97,9.97,9.96,9.96,8262
2022-06-06,IRRX,9.97,9.99,9.95,9.99,124374
2022-06-07,IRRX,9.96,9.98,9.96,9.96,2439
2022-06-08,IRRX,9.96,9.96,9.96,9.96,11
2022-06-09,IRRX,9.96,9.96,9.96,9.96,10
2022-06-10,IRRX,9.96,9.96,9.96,9.96,20
2022-06-13,IRRX,9.96,9.96,9.96,9.96,6
2022-06-14,IRRX,9.96,9.96,9.96,9.96,1
2022-06-15,IRRX,10.0,10.0,9.95,9.95,4942
2022-06-16,IRRX,9.95,9.95,9.95,9.95,703
2022-06-17,IRRX,9.95,9.97,9.95,9.95,1654
2022-06-21,IRRX,9.97,9.97,9.97,9.97,11056
2022-06-22,IRRX,9.97,9.97,9.97,9.97,0
2022-06-23,IRRX,9.97,9.97,9.97,9.97,90
2022-06-24,IRRX,9.97,9.97,9.97,9.97,65
2022-06-27,IRRX,9.97,9.97,9.97,9.97,2271
2022-06-28,IRRX,9.97,9.97,9.97,9.97,12
2022-06-29,IRRX,9.97,9.97,9.97,9.97,9
2022-06-30,IRRX,9.97,9.97,9.97,9.97,15
2022-07-01,IRRX,9.97,9.97,9.97,9.97,1
2022-07-05,IRRX,9.96,9.97,9.96,9.97,4093
2022-07-06,IRRX,9.97,9.97,9.97,9.97,26415
