date,ticker,open,high,low,close,volume
2016-04-26,ISUNQ,9.75,9.75,9.75,9.75,5000
2016-04-27,ISUNQ,9.82,9.82,9.8,9.8,1500
2016-04-28,ISUNQ,9.9,9.9,9.85,9.85,12109
2016-04-29,ISUNQ,9.85,9.85,9.85,9.85,0
2016-05-02,ISUNQ,9.85,9.85,9.85,9.85,0
2016-05-03,ISUNQ,9.85,9.85,9.85,9.85,0
2016-05-04,ISUNQ,10.0,10.0,10.0,10.0,100
2016-05-05,ISUNQ,10.0,10.0,10.0,10.0,0
2016-05-06,ISUNQ,10.0,10.0,10.0,10.0,0
2016-05-09,ISUNQ,10.0,10.0,10.0,10.0,0
2016-05-10,ISUNQ,9.8,9.8,9.8,9.8,1000
2016-05-11,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-12,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-13,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-16,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-17,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-18,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-19,ISUNQ,9.85,9.85,9.85,9.85,3000
2016-05-20,ISUNQ,9.85,9.85,9.85,9.85,0
2016-05-23,ISUNQ,9.8,9.8,9.8,9.8,300
2016-05-24,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-25,ISUNQ,9.8,9.8,9.8,9.8,0
2016-05-26,ISUNQ,9.88,9.88,9.88,9.88,198
2016-05-27,ISUNQ,9.88,9.88,9.88,9.88,0
2016-05-31,ISUNQ,9.9,9.9,9.9,9.9,400
2016-06-01,ISUNQ,9.9,9.9,9.9,9.9,0
2016-06-02,ISUNQ,9.84,9.85,9.84,9.85,3900
2016-06-03,ISUNQ,9.85,9.85,9.85,9.85,0
2016-06-06,ISUNQ,9.85,9.85,9.85,9.85,0
2016-06-07,ISUNQ,9.94,9.94,9.94,9.94,300
2016-06-08,ISUNQ,9.88,9.88,9.86,9.87,2800
2016-06-09,ISUNQ,9.86,9.86,9.86,9.86,1000
2016-06-10,ISUNQ,9.86,9.86,9.86,9.86,95
2016-06-13,ISUNQ,9.86,9.86,9.86,9.86,0
2016-06-14,ISUNQ,9.86,9.86,9.86,9.86,0
2016-06-15,ISUNQ,12.0,12.0,9.84,9.95,11876
2016-06-16,ISUNQ,9.95,9.95,9.95,9.95,9
2016-06-17,ISUNQ,9.84,9.84,9.84,9.84,2306
2016-06-20,ISUNQ,9.8498,9.86,9.83,9.83,6504
2016-06-21,ISUNQ,9.83,9.83,9.83,9.83,0
2016-06-22,ISUNQ,9.83,9.83,9.83,9.83,0
2016-06-23,ISUNQ,9.83,9.83,9.83,9.83,0
2016-06-24,ISUNQ,9.85,9.85,9.85,9.85,8600
2016-06-27,ISUNQ,9.85,9.85,9.85,9.85,0
2016-06-28,ISUNQ,9.85,9.85,9.85,9.85,4300
2016-06-29,ISUNQ,9.87,9.87,9.87,9.87,3186
2016-06-30,ISUNQ,9.87,9.87,9.87,9.87,0
2016-07-01,ISUNQ,9.87,9.87,9.87,9.87,0
2016-07-05,ISUNQ,9.87,9.87,9.87,9.87,0
2016-07-06,ISUNQ,9.87,9.87,9.87,9.87,0
2016-07-07,ISUNQ,9.87,9.87,9.87,9.87,600
2016-07-08,ISUNQ,9.88,9.88,9.88,9.88,1000
2016-07-11,ISUNQ,9.88,9.9,9.88,9.89,2500
2016-07-12,ISUNQ,9.89,9.89,9.89,9.89,0
2016-07-13,ISUNQ,9.9099,9.91,9.89,9.89,2350
2016-07-14,ISUNQ,9.89,9.89,9.89,9.89,0
2016-07-15,ISUNQ,9.92,9.92,9.9,9.9,950
2016-07-18,ISUNQ,9.9101,9.9101,9.88,9.88,3300
2016-07-19,ISUNQ,9.9399,9.9399,9.8997,9.92,6617
2016-07-20,ISUNQ,9.9199,9.9199,9.9199,9.9199,350
2016-07-21,ISUNQ,9.99,9.99,9.9,9.9,900
2016-07-22,ISUNQ,9.96,9.97,9.94,9.97,900
2016-07-25,ISUNQ,9.9199,9.9601,9.9199,9.96,12625
2016-07-26,ISUNQ,9.96,9.96,9.96,9.96,0
2016-07-27,ISUNQ,9.97,9.97,9.97,9.97,1200
2016-07-28,ISUNQ,10.0,10.04,9.97,9.98,2900
2016-07-29,ISUNQ,9.95,9.95,9.95,9.95,100
2016-08-01,ISUNQ,9.98,9.9942,9.98,9.9912,18098
2016-08-02,ISUNQ,9.9899,10.0125,9.98,10.0015,23700
2016-08-03,ISUNQ,10.0,10.02,9.99,10.02,19425
2016-08-04,ISUNQ,10.0,10.0,9.9999,10.0,5850
2016-08-05,ISUNQ,10.0,10.0,10.0,10.0,2400
2016-08-08,ISUNQ,10.0,10.0,10.0,10.0,0
2016-08-09,ISUNQ,9.99,10.02,9.99,10.01,3100
2016-08-10,ISUNQ,9.9999,10.0,9.98,10.0,27171
2016-08-11,ISUNQ,10.0,10.02,9.9999,10.01,454571
2016-08-12,ISUNQ,10.01,10.01,10.01,10.01,0
2016-08-15,ISUNQ,10.01,10.01,10.0097,10.01,9000
2016-08-16,ISUNQ,10.01,10.02,10.01,10.015,10198
2016-08-17,ISUNQ,10.015,10.015,10.015,10.015,0
2016-08-18,ISUNQ,10.02,10.04,10.02,10.04,1800
2016-08-19,ISUNQ,10.0,10.04,10.0,10.04,6000
2016-08-22,ISUNQ,10.01,10.05,10.01,10.05,1400
2016-08-23,ISUNQ,10.01,10.04,10.01,10.03,2400
2016-08-24,ISUNQ,10.02,10.04,10.02,10.04,4500
2016-08-25,ISUNQ,10.04,10.04,10.04,10.04,0
2016-08-26,ISUNQ,10.04,10.04,10.04,10.04,0
2016-08-29,ISUNQ,10.03,10.04,10.01,10.04,1600
2016-08-30,ISUNQ,10.01,10.0299,10.01,10.02,2100
2016-08-31,ISUNQ,10.02,10.02,10.02,10.02,0
2016-09-01,ISUNQ,10.0,10.06,10.0,10.06,12300
2016-09-02,ISUNQ,10.06,10.06,10.06,10.06,0
2016-09-06,ISUNQ,10.0001,10.0042,10.0,10.0,800
2016-09-07,ISUNQ,10.0,10.0,10.0,10.0,0
2016-09-08,ISUNQ,10.0,10.01,10.0,10.01,1800
2016-09-09,ISUNQ,10.01,10.01,10.01,10.01,0
2016-09-12,ISUNQ,10.02,10.02,10.02,10.02,100
2016-09-13,ISUNQ,10.02,10.02,10.02,10.02,0
2016-09-14,ISUNQ,10.0199,10.0199,10.0199,10.0199,250
2016-09-15,ISUNQ,10.0599,10.0599,9.9874,10.01,11300
