date,ticker,open,high,low,close,volume
2019-12-20,JBI,9.75,9.846,9.75,9.77,203610
2019-12-23,JBI,9.77,9.77,9.77,9.77,10
2019-12-24,JBI,9.77,9.77,9.77,9.77,0
2019-12-26,JBI,9.77,9.77,9.77,9.77,0
2019-12-27,JBI,9.83,9.83,9.83,9.83,233
2019-12-30,JBI,9.792,9.8,9.792,9.8,230
2019-12-31,JBI,9.8,9.8,9.8,9.8,0
2020-01-02,JBI,9.79,9.805,9.79,9.8,556188
2020-01-03,JBI,9.8,9.8,9.8,9.8,226190
2020-01-06,JBI,9.8,9.8,9.78,9.78,324560
2020-01-07,JBI,9.8,9.82,9.8,9.82,481341
2020-01-08,JBI,9.87,9.87,9.79,9.85,606280
2020-01-09,JBI,9.76,9.88,9.76,9.88,30478
2020-01-10,JBI,9.95,9.95,9.82,9.83,550269
2020-01-13,JBI,9.87,9.87,9.84,9.85,125044
2020-01-14,JBI,9.87,9.89,9.83,9.83,664599
2020-01-15,JBI,9.83,9.92,9.83,9.92,125552
2020-01-16,JBI,10.11,10.11,9.89,9.92,2203
2020-01-17,JBI,9.9,9.9,9.9,9.9,1023
2020-01-21,JBI,9.91,9.91,9.89,9.895,1636
2020-01-22,JBI,9.92,9.92,9.83,9.83,1421
2020-01-23,JBI,9.86,9.9,9.86,9.9,401
2020-01-24,JBI,9.9,9.9,9.9,9.9,2237
2020-01-27,JBI,9.9,9.9,9.84,9.84,225100
2020-01-28,JBI,9.83,9.91,9.83,9.91,300007
2020-01-29,JBI,9.86,9.95,9.86,9.95,59563
2020-01-30,JBI,9.9498,9.9498,9.9498,9.9498,183
2020-01-31,JBI,9.8,9.95,9.8,9.95,1129
2020-02-03,JBI,9.8,9.94,9.8,9.94,1667
2020-02-04,JBI,9.94,9.94,9.94,9.94,24
2020-02-05,JBI,9.88,9.94,9.88,9.94,544
2020-02-06,JBI,10.23,10.23,9.915,9.95,26626
2020-02-07,JBI,9.92,10.0,9.92,9.98,281302
2020-02-10,JBI,10.14,10.14,9.98,9.98,463
2020-02-11,JBI,9.9,9.95,9.9,9.95,61345
2020-02-12,JBI,9.95,9.95,9.93,9.93,50202
2020-02-13,JBI,9.95,9.98,9.94,9.95,586182
2020-02-14,JBI,9.95,9.95,9.95,9.95,34593
2020-02-18,JBI,9.9,10.0,9.9,10.0,33160
2020-02-19,JBI,10.0,10.08,9.93,9.93,4197
2020-02-20,JBI,9.9,9.98,9.9,9.98,1330
2020-02-21,JBI,10.01,10.01,10.01,10.01,266
2020-02-24,JBI,10.11,10.11,10.0,10.0,231
2020-02-25,JBI,10.1,10.1,9.95,10.0,134093
2020-02-26,JBI,10.21,10.21,9.95,9.97,224556
2020-02-27,JBI,10.08,10.08,9.92,9.95,86820
2020-02-28,JBI,9.95,9.95,9.92,9.92,55768
2020-03-02,JBI,9.9,9.95,9.86,9.9,194439
2020-03-03,JBI,9.69,9.89,9.69,9.89,10278
2020-03-04,JBI,9.95,9.95,9.95,9.95,134
2020-03-05,JBI,9.86,9.92,9.86,9.92,8035
2020-03-06,JBI,9.86,9.93,9.86,9.87,202446
2020-03-09,JBI,9.7,9.92,9.7,9.92,922
2020-03-10,JBI,9.96,9.96,9.86,9.95,1440279
2020-03-11,JBI,9.95,9.95,9.81,9.81,196613
2020-03-12,JBI,9.75,9.8,9.74,9.75,50591
2020-03-13,JBI,9.7,9.71,9.52,9.6,56102
2020-03-16,JBI,9.8,9.8,9.45,9.45,384390
2020-03-17,JBI,9.49,9.5,9.45,9.5,5668
2020-03-18,JBI,9.6,9.6,9.49,9.49,265
2020-03-19,JBI,9.4,9.46,9.1,9.17,130187
2020-03-20,JBI,9.2,9.5,9.2,9.35,166643
2020-03-23,JBI,9.56,9.56,9.56,9.56,722
2020-03-24,JBI,9.4,9.4,9.4,9.4,411
2020-03-25,JBI,9.28,9.55,9.28,9.55,374984
2020-03-26,JBI,9.58,9.6,9.58,9.59,1998
2020-03-27,JBI,9.15,9.56,9.15,9.56,2028
2020-03-30,JBI,9.5,9.5,9.5,9.5,706
2020-03-31,JBI,9.5,9.75,9.5,9.62,518365
2020-04-01,JBI,9.5,9.63,9.5,9.6,165094
2020-04-02,JBI,9.6,9.6,9.6,9.6,52
2020-04-03,JBI,9.8,9.8,9.57,9.58,43428
2020-04-06,JBI,9.615,9.615,9.6,9.6,77836
2020-04-07,JBI,9.6,9.64,9.53,9.58,446443
2020-04-08,JBI,9.71,9.71,9.71,9.71,124
2020-04-09,JBI,9.67,9.67,9.62,9.65,654
2020-04-13,JBI,10.5,10.5,9.63,9.67,120418
2020-04-14,JBI,9.86,9.86,9.66,9.66,272632
2020-04-15,JBI,9.6,9.65,9.6,9.65,438
2020-04-16,JBI,10.48,10.48,9.65,9.67,2963
2020-04-17,JBI,9.89,9.89,9.62,9.62,1211
2020-04-20,JBI,9.82,9.82,9.82,9.82,335
2020-04-21,JBI,9.86,9.86,9.86,9.86,127
2020-04-22,JBI,9.9,9.9,9.73,9.75,1164
2020-04-23,JBI,9.64,9.64,9.64,9.64,214
2020-04-24,JBI,9.6,9.88,9.6,9.7,336170
2020-04-27,JBI,9.7,9.7,9.7,9.7,109142
2020-04-28,JBI,9.75,9.85,9.67,9.74,122875
2020-04-29,JBI,9.74,9.74,9.74,9.74,75037
2020-04-30,JBI,9.74,9.74,9.74,9.74,3
2020-05-01,JBI,9.63,9.79,9.63,9.75,1677
2020-05-04,JBI,9.88,9.88,9.72,9.72,1274
2020-05-05,JBI,9.79,10.02,9.78,9.78,614
2020-05-06,JBI,9.8,9.8,9.69,9.69,1113
2020-05-07,JBI,9.69,9.69,9.69,9.69,46
2020-05-08,JBI,9.85,9.85,9.64,9.64,1088
2020-05-11,JBI,9.6,9.75,9.6,9.75,372
2020-05-12,JBI,9.84,9.84,9.74,9.74,800
2020-05-13,JBI,9.74,9.74,9.74,9.74,32
2020-05-14,JBI,9.63,9.823,9.63,9.73,42039
2020-05-15,JBI,9.63,9.63,9.63,9.63,600
2020-05-18,JBI,9.75,9.8,9.7,9.7,111846
2020-05-19,JBI,10.07,10.07,9.7,9.78,15989
2020-05-20,JBI,9.78,9.78,9.78,9.78,664
2020-05-21,JBI,9.83,9.83,9.83,9.83,119
2020-05-22,JBI,9.92,9.92,9.75,9.75,1241
2020-05-26,JBI,9.85,10.02,9.75,9.75,310206
2020-05-27,JBI,9.89,9.89,9.89,9.89,332
2020-05-28,JBI,9.97,9.97,9.9,9.9,1116
2020-05-29,JBI,9.96,9.96,9.78,9.86,10582
2020-06-01,JBI,9.86,9.86,9.68,9.68,38511
2020-06-02,JBI,9.72,9.72,9.68,9.68,464
2020-06-03,JBI,9.87,9.87,9.72,9.75,586448
2020-06-04,JBI,9.82,9.82,9.76,9.76,103670
2020-06-05,JBI,9.87,9.87,9.78,9.78,624948
2020-06-08,JBI,9.89,9.89,9.77,9.8,2029
