date,ticker,open,high,low,close,volume
2023-08-10,JTAI,9.5,9.9,7.91,8.6,292900
2023-08-11,JTAI,9.4,9.732,5.31,6.63,592708
2023-08-14,JTAI,5.2,6.9999,3.54,5.0,793980
2023-08-15,JTAI,4.87,6.3689,4.1001,5.1899,301120
2023-08-16,JTAI,5.01,5.69,3.53,3.72,139562
2023-08-17,JTAI,3.64,4.64,3.63,4.0,162881
2023-08-18,JTAI,4.22,8.7,4.03,6.57,5332297
2023-08-21,JTAI,6.23,6.27,4.5,4.99,639481
2023-08-22,JTAI,4.87,5.0997,4.27,4.5,404827
2023-08-23,JTAI,4.45,4.8,4.2701,4.4,128993
2023-08-24,JTAI,4.38,4.67,4.2001,4.34,89169
2023-08-25,JTAI,4.14,4.35,3.8639,4.1,118220
2023-08-28,JTAI,4.08,4.27,3.67,3.89,86839
2023-08-29,JTAI,3.95,3.96,3.6,3.77,43946
2023-08-30,JTAI,3.62,3.8999,3.08,3.3,74761
2023-08-31,JTAI,3.4,3.85,3.25,3.7,207433
2023-09-01,JTAI,3.64,3.85,3.27,3.65,68616
2023-09-05,JTAI,3.68,4.1,3.68,3.9,131875
2023-09-06,JTAI,3.96,3.98,3.5025,3.94,78905
2023-09-07,JTAI,3.82,3.89,3.62,3.775,21461
2023-09-08,JTAI,3.66,3.78,3.4101,3.49,26921
2023-09-11,JTAI,3.4,3.7152,3.4,3.55,36152
2023-09-12,JTAI,3.55,3.65,3.36,3.53,18320
2023-09-13,JTAI,3.3,3.58,3.16,3.3096,64220
2023-09-14,JTAI,3.21,3.43,3.15,3.15,19649
2023-09-15,JTAI,3.15,3.27,2.86,3.04,70567
2023-09-18,JTAI,3.08,3.1364,2.65,2.71,21074
2023-09-19,JTAI,3.01,3.03,2.5,2.645,45051
2023-09-20,JTAI,2.55,2.8676,2.46,2.51,108223
2023-09-21,JTAI,2.73,2.99,2.46,2.5,70669
2023-09-22,JTAI,2.5,2.75,2.3839,2.625,64482
2023-09-25,JTAI,2.43,3.25,2.43,3.07,115890
2023-09-26,JTAI,2.95,3.4,2.95,3.39,43330
2023-09-27,JTAI,3.78,4.11,3.02,3.37,299961
2023-09-28,JTAI,3.22,3.7,3.01,3.01,80950
2023-09-29,JTAI,3.01,3.46,3.01,3.225,58309
2023-10-02,JTAI,3.5,3.5,3.0873,3.18,40549
2023-10-03,JTAI,3.1,3.35,3.02,3.08,15394
2023-10-04,JTAI,3.03,3.2741,2.76,3.0,23608
2023-10-05,JTAI,2.81,2.99,2.71,2.8,15385
2023-10-06,JTAI,2.7332,2.76,2.4201,2.47,23018
2023-10-09,JTAI,2.55,2.5649,2.3512,2.53,14466
2023-10-10,JTAI,2.5,2.99,2.37,2.37,44120
2023-10-11,JTAI,2.38,2.5121,2.33,2.35,28758
2023-10-12,JTAI,2.5,2.6,2.39,2.49,16013
2023-10-13,JTAI,2.45,2.6,2.3901,2.46,14218
2023-10-16,JTAI,2.64,2.65,2.4021,2.42,17783
2023-10-17,JTAI,2.4,2.6,2.4,2.45,5615
2023-10-18,JTAI,2.47,2.55,2.0961,2.18,23052
2023-10-19,JTAI,2.29,2.42,2.09,2.09,13110
2023-10-20,JTAI,2.2,2.29,2.11,2.21,6290
2023-10-23,JTAI,2.21,2.2564,2.12,2.12,4779
2023-10-24,JTAI,2.01,2.09,2.0,2.0,8400
2023-10-25,JTAI,2.0,2.01,1.77,1.8,15954
2023-10-26,JTAI,1.89,1.95,1.75,1.81,5397
2023-10-27,JTAI,1.75,1.75,1.3808,1.41,37640
2023-10-30,JTAI,1.41,1.52,1.41,1.52,9301
2023-10-31,JTAI,1.42,1.5,1.4101,1.49,4790
2023-11-01,JTAI,1.37,1.49,1.0201,1.1,48399
2023-11-02,JTAI,1.38,1.38,1.1101,1.18,20303
2023-11-03,JTAI,1.11,1.27,1.11,1.14,26466
