date,ticker,open,high,low,close,volume
2021-08-04,KITT,9.8,9.82,9.71,9.76,476799
2021-08-05,KITT,9.76,9.76,9.76,9.76,41043
2021-08-06,KITT,9.76,9.78,9.76,9.76,608284
2021-08-09,KITT,9.77,9.775,9.76,9.77,50201
2021-08-10,KITT,9.7605,9.81,9.7605,9.77,35729
2021-08-11,KITT,9.75,9.77,9.74,9.74,18956
2021-08-12,KITT,9.76,9.8,9.74,9.76,926568
2021-08-13,KITT,9.7647,9.77,9.74,9.77,162552
2021-08-16,KITT,9.76,9.76,9.75,9.75,89459
2021-08-17,KITT,9.76,9.81,9.75,9.81,163360
2021-08-18,KITT,9.8,9.8094,9.79,9.8094,5505
2021-08-19,KITT,9.79,9.8092,9.79,9.8092,17365
2021-08-20,KITT,9.8,9.81,9.8,9.81,19950
2021-08-23,KITT,9.86,9.86,9.7601,9.84,1535
2021-08-24,KITT,9.84,9.85,9.84,9.85,9628
2021-08-25,KITT,9.84,9.85,9.84,9.85,5272
2021-08-26,KITT,9.85,9.85,9.85,9.85,0
2021-08-27,KITT,9.85,9.85,9.85,9.85,0
2021-08-30,KITT,9.8405,9.85,9.795,9.795,83280
2021-08-31,KITT,9.84,9.8473,9.83,9.8389,6860
2021-09-01,KITT,9.83,9.84,9.83,9.84,1260
2021-09-02,KITT,9.86,9.86,9.86,9.86,1286
2021-09-03,KITT,9.86,9.86,9.86,9.86,1015
2021-09-07,KITT,9.86,9.86,9.83,9.86,13997
2021-09-08,KITT,9.86,9.88,9.86,9.88,9613
2021-09-09,KITT,9.88,9.88,9.88,9.88,0
2021-09-10,KITT,9.88,9.88,9.88,9.88,401017
2021-09-13,KITT,9.88,9.88,9.88,9.88,0
2021-09-14,KITT,9.89,9.91,9.89,9.9,6312
2021-09-15,KITT,9.91,9.92,9.91,9.92,1849
2021-09-16,KITT,9.91,9.93,9.91,9.9101,31496
2021-09-17,KITT,9.91,9.91,9.91,9.91,1213
2021-09-20,KITT,9.91,9.91,9.91,9.91,13
2021-09-21,KITT,10.1,10.1,9.92,9.93,2629
2021-09-22,KITT,9.93,9.93,9.93,9.93,0
2021-09-23,KITT,9.92,9.92,9.92,9.92,206
2021-09-24,KITT,9.92,9.92,9.92,9.92,72
2021-09-27,KITT,9.92,9.92,9.92,9.92,2
2021-09-28,KITT,9.92,9.92,9.92,9.92,32
2021-09-29,KITT,9.92,9.92,9.92,9.92,100
2021-09-30,KITT,9.9299,9.93,9.92,9.93,31176
2021-10-01,KITT,9.93,9.93,9.93,9.93,0
2021-10-04,KITT,9.93,9.93,9.93,9.93,611
2021-10-05,KITT,9.93,9.93,9.93,9.93,12
2021-10-06,KITT,9.93,9.93,9.93,9.93,0
2021-10-07,KITT,9.94,9.94,9.92,9.92,3510
2021-10-08,KITT,9.92,9.92,9.92,9.92,0
2021-10-11,KITT,9.93,9.93,9.93,9.93,1005
2021-10-12,KITT,9.93,9.93,9.93,9.93,0
2021-10-13,KITT,9.94,9.94,9.94,9.94,1016
2021-10-14,KITT,9.98,9.98,9.92,9.92,10241
2021-10-15,KITT,9.95,9.95,9.94,9.94,100202
2021-10-18,KITT,10.93,10.93,10.01,10.01,1005
2021-10-19,KITT,10.09,10.09,9.91,9.91,805
2021-10-20,KITT,9.9289,9.9289,9.9289,9.9289,176
2021-10-21,KITT,9.9289,9.9289,9.9289,9.9289,0
2021-10-22,KITT,9.94,9.94,9.92,9.932,684
2021-10-25,KITT,9.95,9.95,9.9499,9.9499,22841
2021-10-26,KITT,9.97,9.97,9.95,9.955,13218
2021-10-27,KITT,9.955,9.955,9.955,9.955,6
2021-10-28,KITT,9.96,9.96,9.96,9.96,100
2021-10-29,KITT,9.91,9.95,9.91,9.95,302250
2021-11-01,KITT,9.9677,9.9677,9.96,9.96,730
2021-11-02,KITT,9.96,9.96,9.96,9.96,3036
2021-11-03,KITT,9.93,9.9577,9.93,9.9577,311
2021-11-04,KITT,9.96,9.96,9.945,9.95,4801
2021-11-05,KITT,9.95,9.95,9.95,9.95,38
2021-11-08,KITT,9.95,9.95,9.95,9.95,200
2021-11-09,KITT,9.95,9.95,9.95,9.95,116000
2021-11-10,KITT,9.94,9.96,9.94,9.96,6120
2021-11-11,KITT,9.94,9.9401,9.94,9.9401,210
2021-11-12,KITT,9.9401,9.9401,9.9401,9.9401,82
2021-11-15,KITT,9.9561,9.9582,9.9561,9.9582,920
2021-11-16,KITT,9.9582,9.9582,9.9582,9.9582,37
2021-11-17,KITT,9.9582,9.9582,9.9582,9.9582,0
2021-11-18,KITT,9.945,9.945,9.94,9.94,658
2021-11-19,KITT,9.94,9.95,9.94,9.95,1937
2021-11-22,KITT,9.94,9.95,9.94,9.95,1143
2021-11-23,KITT,10.09,10.09,10.015,10.015,2597
2021-11-24,KITT,9.945,9.945,9.945,9.945,128
2021-11-26,KITT,9.94,9.94,9.91,9.935,108710
2021-11-29,KITT,9.935,9.935,9.935,9.935,0
2021-11-30,KITT,9.95,9.95,9.95,9.95,100
2021-12-01,KITT,9.95,9.95,9.95,9.95,0
2021-12-02,KITT,9.95,9.95,9.95,9.95,0
2021-12-03,KITT,9.95,9.95,9.95,9.95,0
2021-12-06,KITT,9.97,9.97,9.93,9.95,11400
2021-12-07,KITT,9.94,9.94,9.93,9.9301,6300
2021-12-08,KITT,9.94,10.0,9.93,10.0,106895
2021-12-09,KITT,9.99,10.0,9.99,10.0,1142
2021-12-10,KITT,10.0,10.0,10.0,10.0,134
2021-12-13,KITT,9.96,9.96,9.96,9.96,344085
2021-12-14,KITT,10.0,10.0,10.0,10.0,100
2021-12-15,KITT,10.0,10.0,9.97,9.97,3996
2021-12-16,KITT,9.85,9.96,9.85,9.92,155295
2021-12-17,KITT,9.94,10.05,9.93,10.05,1321457
2021-12-20,KITT,10.1,10.1,9.9301,9.935,129335
2021-12-21,KITT,9.94,9.96,9.93,9.93,776748
2021-12-22,KITT,9.945,9.945,9.91,9.91,1083881
2021-12-23,KITT,9.94,9.95,9.92,9.94,192982
2021-12-27,KITT,9.96,10.02,9.95,9.95,4750
2021-12-28,KITT,9.995,9.995,9.94,9.96,11270
2021-12-29,KITT,9.94,9.96,9.94,9.95,3991
2021-12-30,KITT,9.9499,9.9499,9.9499,9.9499,262
2021-12-31,KITT,9.94,9.96,9.94,9.96,1282
2022-01-03,KITT,9.95,9.97,9.94,9.95,7676
2022-01-04,KITT,9.94,9.96,9.94,9.9401,36893
2022-01-05,KITT,9.94,9.954,9.94,9.954,327
2022-01-06,KITT,9.93,9.96,9.93,9.96,1874
2022-01-07,KITT,9.96,9.96,9.94,9.95,2785
2022-01-10,KITT,9.9403,9.96,9.9403,9.95,914
2022-01-11,KITT,9.94,9.9403,9.94,9.94,6388
2022-01-12,KITT,9.92,9.94,9.92,9.92,1045
2022-01-13,KITT,9.94,9.96,9.94,9.94,2750
2022-01-14,KITT,9.9474,9.9493,9.94,9.94,501051
2022-01-18,KITT,9.92,9.935,9.92,9.935,429
2022-01-19,KITT,9.96,9.96,9.94,9.94,7983
2022-01-20,KITT,9.94,9.97,9.94,9.9527,1392
2022-01-21,KITT,9.92,9.97,9.92,9.94,12976
2022-01-24,KITT,9.96,9.96,9.93,9.9301,3077
2022-01-25,KITT,9.9,9.9,9.9,9.9,7989
2022-01-26,KITT,9.9586,9.9586,9.93,9.93,867
2022-01-27,KITT,9.94,9.945,9.94,9.945,1540
2022-01-28,KITT,9.9,9.94,9.9,9.94,13627
2022-01-31,KITT,10.04,10.04,9.94,9.94,2924
2022-02-01,KITT,9.93,9.95,9.93,9.95,18919
2022-02-02,KITT,9.95,9.95,9.95,9.95,124
2022-02-03,KITT,9.95,9.9627,9.95,9.9516,5814
2022-02-04,KITT,9.95,9.9601,9.95,9.9601,375
2022-02-07,KITT,9.97,9.97,9.97,9.97,310
2022-02-08,KITT,9.97,9.99,9.97,9.99,8315
2022-02-09,KITT,9.98,9.98,9.97,9.97,5001
2022-02-10,KITT,9.97,9.98,9.97,9.98,5100
2022-02-11,KITT,9.99,9.9999,9.99,9.9999,6543
2022-02-14,KITT,9.98,10.02,9.98,10.02,380566
2022-02-15,KITT,10.05,10.05,10.015,10.04,152827
2022-02-16,KITT,10.04,10.04,10.01,10.0101,1148
2022-02-17,KITT,10.0,10.0485,10.0,10.0485,202
2022-02-18,KITT,10.0485,10.0485,10.0485,10.0485,20
2022-02-22,KITT,9.99,10.05,9.99,10.04,1522
2022-02-23,KITT,10.04,10.04,10.04,10.04,79
2022-02-24,KITT,10.035,10.035,10.035,10.035,214
2022-02-25,KITT,10.0201,10.0201,10.0201,10.0201,2581
2022-02-28,KITT,10.04,10.04,10.02,10.02,713
2022-03-01,KITT,9.99,10.0,9.99,10.0,3112
2022-03-02,KITT,10.02,10.02,10.02,10.02,5122
2022-03-03,KITT,10.02,10.02,10.01,10.02,16501
2022-03-04,KITT,10.025,10.025,10.025,10.025,1010
2022-03-07,KITT,10.0196,10.0196,10.0196,10.0196,85445
2022-03-08,KITT,10.01,10.01,10.01,10.01,13805
2022-03-09,KITT,10.07,10.07,10.01,10.025,20491
2022-03-10,KITT,10.05,10.05,10.01,10.01,100106
2022-03-11,KITT,10.01,10.01,10.01,10.01,400004
2022-03-14,KITT,10.02,10.03,10.01,10.01,7032
2022-03-15,KITT,10.01,10.03,10.01,10.01,206465
2022-03-16,KITT,10.01,10.01,10.01,10.01,616118
2022-03-17,KITT,10.01,10.01,10.01,10.01,0
2022-03-18,KITT,10.01,10.01,10.01,10.01,69
2022-03-21,KITT,10.0309,10.0309,10.0309,10.0309,395
2022-03-22,KITT,10.0309,10.0309,10.0309,10.0309,65
2022-03-23,KITT,10.04,10.05,10.04,10.05,280404
2022-03-24,KITT,10.05,10.05,10.05,10.05,343
2022-03-25,KITT,10.05,10.05,10.05,10.05,120
2022-03-28,KITT,10.05,10.05,10.05,10.05,25
2022-03-29,KITT,10.05,10.05,10.04,10.04,5406
2022-03-30,KITT,10.01,10.05,10.01,10.05,2609
2022-03-31,KITT,10.05,10.05,10.05,10.05,49
2022-04-01,KITT,10.05,10.05,10.05,10.05,31
2022-04-04,KITT,10.039,10.06,10.03,10.03,14340
2022-04-05,KITT,10.03,10.03,10.03,10.03,13
2022-04-06,KITT,10.05,10.05,10.05,10.05,110
2022-04-07,KITT,10.05,10.05,10.05,10.05,2
2022-04-08,KITT,10.04,10.05,10.04,10.04,6006
2022-04-11,KITT,10.04,10.04,10.04,10.04,263
2022-04-12,KITT,10.04,10.04,10.04,10.04,2
2022-04-13,KITT,10.0499,10.05,10.03,10.03,4144
2022-04-14,KITT,10.03,10.03,10.03,10.03,1543
2022-04-18,KITT,10.03,10.03,10.03,10.03,14903
2022-04-19,KITT,10.03,10.03,10.03,10.03,2
2022-04-20,KITT,10.05,10.05,10.0499,10.0499,376
2022-04-21,KITT,10.0499,10.0499,10.0499,10.0499,45
2022-04-22,KITT,10.07,10.07,10.04,10.04,612
2022-04-25,KITT,10.04,10.04,10.04,10.04,1116
2022-04-26,KITT,10.05,10.0542,10.05,10.0542,1019
2022-04-27,KITT,10.05,10.0515,10.05,10.05,4703
2022-04-28,KITT,10.06,10.06,10.05,10.05,2662
2022-04-29,KITT,10.05,10.05,10.05,10.05,210
2022-05-02,KITT,10.05,10.05,10.05,10.05,3268
2022-05-03,KITT,10.05,10.05,10.04,10.05,308880
2022-05-04,KITT,10.05,10.05,10.04,10.04,56823
