date,ticker,open,high,low,close,volume
2021-10-01,KORE,7.0,7.68,7.0,7.18,270702
2021-10-04,KORE,7.5,7.535,6.11,6.46,235956
2021-10-05,KORE,6.6,6.8251,6.6,6.66,251922
2021-10-06,KORE,6.46,6.5885,6.4587,6.5,198885
2021-10-07,KORE,6.41,6.8,6.11,6.49,66853
2021-10-08,KORE,6.38,6.775,6.005,6.29,161979
2021-10-11,KORE,6.64,7.03,6.21,6.59,450332
2021-10-12,KORE,6.61,6.6711,6.21,6.28,282712
2021-10-13,KORE,6.18,6.34,5.9,6.32,264471
2021-10-14,KORE,7.8,9.5,6.63,7.29,11583341
2021-10-15,KORE,7.28,7.3,6.57,6.83,1194104
2021-10-18,KORE,6.65,6.77,6.14,6.44,409239
2021-10-19,KORE,6.35,6.45,6.12,6.2,411915
2021-10-20,KORE,6.17,6.49,6.17,6.36,391631
2021-10-21,KORE,6.36,6.62,6.17,6.55,309475
2021-10-22,KORE,6.58,6.82,6.33,6.52,338093
2021-10-25,KORE,6.34,6.57,6.2,6.31,292980
2021-10-26,KORE,6.46,6.75,6.3732,6.6,318428
2021-10-27,KORE,6.69,7.31,6.6,7.13,496941
2021-10-28,KORE,7.13,7.51,6.745,7.49,306253
2021-10-29,KORE,7.51,8.0251,7.38,8.0,296739
2021-11-01,KORE,8.03,8.03,7.55,8.02,336961
2021-11-02,KORE,8.08,8.2,7.67,8.07,177858
2021-11-03,KORE,8.0,8.0899,6.5,7.87,1623216
2021-11-04,KORE,7.95,8.0,7.58,7.62,134964
2021-11-05,KORE,7.5,7.99,7.3,7.48,215319
2021-11-08,KORE,7.5,7.6,7.14,7.55,265065
2021-11-09,KORE,7.63,8.0,7.42,8.0,260375
2021-11-10,KORE,7.89,8.0,7.5,7.66,274945
2021-11-11,KORE,7.6,7.695,7.01,7.27,291615
2021-11-12,KORE,7.39,7.89,7.27,7.78,272328
2021-11-15,KORE,7.81,8.01,7.72,8.0,319771
2021-11-16,KORE,7.35,7.69,6.83,7.63,337405
2021-11-17,KORE,7.68,7.71,7.43,7.57,204017
2021-11-18,KORE,7.58,7.59,7.4,7.59,135811
2021-11-19,KORE,7.69,7.69,7.22,7.43,149256
2021-11-22,KORE,7.52,7.56,6.97,7.48,83921
2021-11-23,KORE,7.47,7.5404,6.82,7.02,236534
2021-11-24,KORE,7.0,7.47,6.89,7.4,171807
2021-11-26,KORE,7.21,7.39,7.0828,7.39,78798
2021-11-29,KORE,7.36,7.45,7.1,7.17,132635
2021-11-30,KORE,7.06,7.26,7.01,7.2,183629
2021-12-01,KORE,7.2,7.31,6.92,6.99,276681
2021-12-02,KORE,6.96,7.08,6.81,6.97,317785
2021-12-03,KORE,6.94,7.02,6.68,6.7,233184
2021-12-06,KORE,6.76,6.96,6.71,6.81,495069
2021-12-07,KORE,6.81,7.14,6.76,6.96,498925
2021-12-08,KORE,6.92,7.18,6.85,6.92,233244
2021-12-09,KORE,6.77,7.06,6.77,6.82,237074
2021-12-10,KORE,6.85,6.96,6.74,6.92,216735
2021-12-13,KORE,6.96,7.015,6.4,6.49,145485
2021-12-14,KORE,6.45,6.74,6.3,6.4,249214
2021-12-15,KORE,6.4,6.67,6.26,6.45,414485
2021-12-16,KORE,6.43,6.7219,6.26,6.3,663470
2021-12-17,KORE,6.26,6.7,6.18,6.37,1408801
2021-12-20,KORE,6.26,6.42,6.06,6.35,378306
2021-12-21,KORE,6.37,6.88,6.37,6.82,357542
2021-12-22,KORE,6.77,7.06,6.77,6.89,72607
2021-12-23,KORE,6.9,7.07,6.9,6.98,121164
2021-12-27,KORE,7.0,7.0,6.49,6.99,169135
2021-12-28,KORE,6.96,6.99,6.76,6.95,81411
2021-12-29,KORE,6.95,7.21,6.75,7.21,139230
2021-12-30,KORE,7.1,7.2299,6.83,6.91,89686
2021-12-31,KORE,6.92,6.92,6.74,6.74,84588
2022-01-03,KORE,6.67,7.09,6.67,6.87,209283
2022-01-04,KORE,6.89,7.05,6.75,6.97,106582
2022-01-05,KORE,6.96,7.006,6.89,6.96,57701
2022-01-06,KORE,6.96,7.04,6.65,6.95,230907
2022-01-07,KORE,6.86,6.98,6.7,6.77,80057
2022-01-10,KORE,6.61,6.97,6.6,6.91,137072
2022-01-11,KORE,6.91,6.96,6.58,6.63,133599
2022-01-12,KORE,6.61,6.66,6.36,6.37,40269
2022-01-13,KORE,6.41,6.41,6.06,6.29,61221
2022-01-14,KORE,6.26,6.7,6.26,6.7,45816
2022-01-18,KORE,6.77,6.77,6.29,6.33,51432
2022-01-19,KORE,6.31,6.34,6.13,6.19,37592
2022-01-20,KORE,6.37,6.515,6.05,6.11,88417
2022-01-21,KORE,6.1,6.26,6.05,6.1,90618
2022-01-24,KORE,6.05,6.075,5.46,5.62,99563
2022-01-25,KORE,5.76,5.76,5.39,5.44,61130
2022-01-26,KORE,5.54,5.61,5.18,5.2,51973
2022-01-27,KORE,5.2,5.23,4.9,5.05,280481
2022-01-28,KORE,5.03,5.2,4.7601,5.15,62959
2022-01-31,KORE,5.18,5.34,5.09,5.27,43673
2022-02-01,KORE,5.28,5.5,5.28,5.48,41710
2022-02-02,KORE,5.51,5.64,5.43,5.53,102107
2022-02-03,KORE,5.39,5.52,5.37,5.42,10751
2022-02-04,KORE,5.39,5.626,5.39,5.51,29660
2022-02-07,KORE,5.52,5.5789,5.48,5.54,20198
2022-02-08,KORE,5.51,5.73,5.48,5.59,36720
2022-02-09,KORE,5.69,5.7,5.44,5.47,34113
2022-02-10,KORE,5.45,5.49,5.33,5.4,20432
2022-02-11,KORE,5.32,5.61,5.3,5.5,53674
2022-02-14,KORE,5.43,5.62,5.42,5.46,44135
2022-02-15,KORE,5.6,5.64,5.33,5.55,22381
2022-02-16,KORE,5.6,5.6,5.45,5.53,29040
2022-02-17,KORE,5.73,5.85,5.48,5.55,26578
2022-02-18,KORE,5.49,5.605,5.2687,5.47,23726
2022-02-22,KORE,5.38,5.5947,5.35,5.39,27792
2022-02-23,KORE,5.49,5.49,5.28,5.45,25274
2022-02-24,KORE,5.01,5.4,5.01,5.24,66953
2022-02-25,KORE,5.32,5.34,5.14,5.28,32420
2022-02-28,KORE,5.3,5.335,5.16,5.16,38348
2022-03-01,KORE,5.22,5.61,5.22,5.51,83089
2022-03-02,KORE,5.54,5.64,5.38,5.4,82736
2022-03-03,KORE,5.4,5.53,5.2886,5.29,53745
2022-03-04,KORE,5.33,5.46,4.99,5.0,684915
2022-03-07,KORE,5.25,5.25,4.59,4.64,45587
2022-03-08,KORE,4.65,5.05,4.6018,4.99,85181
2022-03-09,KORE,5.16,5.16,4.875,5.0,82149
2022-03-10,KORE,5.0,5.03,4.765,4.93,44595
2022-03-11,KORE,4.88,5.085,4.88,5.08,31796
2022-03-14,KORE,5.0,5.1399,4.805,4.94,59658
2022-03-15,KORE,4.9,5.03,4.79,4.95,82756
2022-03-16,KORE,4.9687,5.27,4.9687,5.14,52980
2022-03-17,KORE,5.05,5.1,4.83,5.08,58591
2022-03-18,KORE,5.0,5.32,4.96,5.32,386848
2022-03-21,KORE,5.32,5.35,5.23,5.35,99470
2022-03-22,KORE,5.26,5.35,5.22,5.31,104536
2022-03-23,KORE,5.23,5.38,5.04,5.18,44211
2022-03-24,KORE,5.14,5.33,5.14,5.25,67092
2022-03-25,KORE,5.25,5.4399,5.03,5.22,161516
