date,ticker,open,high,low,close,volume
2019-03-25,LAZR,9.8,9.8,9.65,9.8,102500
2019-03-26,LAZR,9.81,9.81,9.81,9.81,2500
2019-03-27,LAZR,9.81,9.81,9.81,9.81,0
2019-03-28,LAZR,9.75,9.75,9.75,9.75,560
2019-03-29,LAZR,9.75,9.75,9.75,9.75,60
2019-04-01,LAZR,9.8,9.84,9.8,9.825,548090
2019-04-02,LAZR,9.81,9.81,9.81,9.81,188798
2019-04-03,LAZR,9.81,9.81,9.81,9.81,0
2019-04-04,LAZR,9.8,9.8,9.79,9.79,1700
2019-04-05,LAZR,9.82,9.82,9.82,9.82,1000
2019-04-08,LAZR,9.83,9.83,9.83,9.83,1000
2019-04-09,LAZR,9.83,9.83,9.83,9.83,100
2019-04-10,LAZR,9.83,9.83,9.8,9.8,1400
2019-04-11,LAZR,9.8,9.8,9.8,9.8,0
2019-04-12,LAZR,9.85,9.85,9.85,9.85,8432
2019-04-15,LAZR,9.85,9.85,9.85,9.85,3
2019-04-16,LAZR,9.85,9.85,9.85,9.85,4
2019-04-17,LAZR,9.795,9.83,9.795,9.83,600
2019-04-18,LAZR,9.8,9.825,9.8,9.82,390605
2019-04-22,LAZR,9.8,9.8,9.8,9.8,50003
2019-04-23,LAZR,9.85,9.85,9.85,9.85,902
2019-04-24,LAZR,9.8,9.8,9.8,9.8,100
2019-04-25,LAZR,9.85,9.85,9.8,9.85,94365
2019-04-26,LAZR,9.86,9.86,9.81,9.83,1111
2019-04-29,LAZR,9.83,9.83,9.83,9.83,101
2019-04-30,LAZR,9.83,9.83,9.83,9.83,10
2019-05-01,LAZR,9.83,9.83,9.83,9.83,32
2019-05-02,LAZR,9.86,9.9,9.86,9.9,308
2019-05-03,LAZR,9.85,9.9,9.85,9.9,24980
2019-05-06,LAZR,9.9,9.9,9.9,9.9,40
2019-05-07,LAZR,9.9,9.9,9.9,9.9,10
2019-05-08,LAZR,9.9,9.9,9.9,9.9,2
2019-05-09,LAZR,9.9,9.9,9.9,9.9,0
2019-05-10,LAZR,9.9,9.9,9.9,9.9,9
2019-05-13,LAZR,9.9,9.9,9.9,9.9,0
2019-05-14,LAZR,9.9,9.9,9.9,9.9,0
2019-05-15,LAZR,9.9,9.9,9.9,9.9,64
2019-05-16,LAZR,9.9,9.9,9.9,9.9,0
2019-05-17,LAZR,9.97,9.97,9.97,9.97,100
2019-05-20,LAZR,9.97,9.97,9.93,9.93,6225
2019-05-21,LAZR,9.93,9.93,9.93,9.93,2
2019-05-22,LAZR,9.93,9.93,9.93,9.93,1
2019-05-23,LAZR,9.93,9.93,9.93,9.93,0
2019-05-24,LAZR,9.93,9.93,9.93,9.93,0
2019-05-28,LAZR,9.9,9.9,9.9,9.9,695
2019-05-29,LAZR,9.9,9.9,9.9,9.9,0
2019-05-30,LAZR,9.9,9.9,9.9,9.9,25000
2019-05-31,LAZR,9.9,9.9,9.9,9.9,0
2019-06-03,LAZR,10.09,10.09,9.95,9.95,206
2019-06-04,LAZR,9.9,9.9,9.9,9.9,243677
2019-06-05,LAZR,9.92,9.92,9.9,9.9,71012
2019-06-06,LAZR,9.9,9.9,9.9,9.9,12
2019-06-10,LAZR,10.1,10.1,10.0,10.0,3010
2019-06-11,LAZR,9.93,9.95,9.93,9.95,9500
2019-06-12,LAZR,9.93,10.0,9.93,9.93,497989
2019-06-13,LAZR,9.93,9.93,9.93,9.93,0
2019-06-14,LAZR,10.0,10.0,9.95,9.99,2416410
2019-06-17,LAZR,9.95,10.0,9.95,10.0,500
2019-06-18,LAZR,10.5,10.5,9.95,9.95,14610
2019-06-19,LAZR,10.0,10.0,10.0,10.0,7100
2019-06-20,LAZR,10.0,10.02,10.0,10.0,300350
2019-06-21,LAZR,10.0,10.05,9.975,10.05,19933
2019-06-24,LAZR,10.56,10.56,10.279,10.279,400
2019-06-25,LAZR,10.07,10.1,10.07,10.1,1198
2019-06-26,LAZR,10.09,10.249,10.09,10.211,12158
2019-06-27,LAZR,10.08,10.08,10.08,10.08,250000
2019-06-28,LAZR,10.21,10.21,10.05,10.07,105530
2019-07-01,LAZR,10.082,10.082,10.05,10.05,100563
2019-07-02,LAZR,10.07,10.07,10.07,10.07,125002
2019-07-03,LAZR,10.07,10.07,10.07,10.07,0
2019-07-05,LAZR,10.1,10.1,10.1,10.1,2100
2019-07-08,LAZR,10.08,10.08,10.08,10.08,308
2019-07-09,LAZR,10.1,10.1,10.1,10.1,540
2019-07-10,LAZR,10.1,10.1,10.1,10.1,0
2019-07-11,LAZR,10.043,10.06,10.023,10.06,1147
2019-07-12,LAZR,10.06,10.06,10.06,10.06,0
2019-07-15,LAZR,10.06,10.06,10.06,10.06,0
2019-07-16,LAZR,10.06,10.06,10.06,10.06,0
2019-07-17,LAZR,10.06,10.06,10.06,10.06,3
2019-07-18,LAZR,10.06,10.06,10.06,10.06,0
2019-07-19,LAZR,10.06,10.06,10.06,10.06,0
2019-07-22,LAZR,10.06,10.06,10.06,10.06,4
2019-07-23,LAZR,10.06,10.06,10.06,10.06,0
2019-07-24,LAZR,9.97,10.07,9.97,10.05,368492
2019-07-25,LAZR,10.05,10.05,10.05,10.05,0
2019-07-26,LAZR,10.03,10.05,9.98,10.05,1600
2019-07-29,LAZR,10.05,10.05,10.05,10.05,1
2019-07-30,LAZR,10.88,10.88,10.05,10.34,1230
2019-07-31,LAZR,10.12,10.12,10.12,10.12,501
2019-08-01,LAZR,10.12,10.12,10.12,10.12,148
2019-08-02,LAZR,10.12,10.12,10.12,10.12,100
2019-08-05,LAZR,10.12,10.12,10.12,10.12,1
2019-08-06,LAZR,10.12,10.12,10.12,10.12,0
2019-08-07,LAZR,10.05,10.1,10.0,10.1,5495
2019-08-08,LAZR,10.05,10.1,10.0,10.1,5500
2019-08-09,LAZR,10.05,10.1,10.0,10.1,5500
2019-08-12,LAZR,10.05,10.1,10.0,10.1,5500
2019-08-13,LAZR,10.05,10.1,10.0,10.1,5500
2019-08-14,LAZR,10.05,10.1,10.0,10.1,5500
2019-08-15,LAZR,10.05,10.1,10.0,10.1,5500
2019-08-19,LAZR,10.1,10.1,10.1,10.1,1
2019-08-20,LAZR,10.1,10.1,10.1,10.1,0
2019-08-21,LAZR,10.1,10.1,10.1,10.1,0
2019-08-22,LAZR,10.1,10.1,10.1,10.1,0
2019-08-23,LAZR,10.1,10.1,10.1,10.1,0
2019-08-26,LAZR,10.1,10.1,10.1,10.1,0
2019-08-27,LAZR,9.98,10.02,9.98,10.02,1604
2019-08-28,LAZR,10.02,10.02,10.02,10.02,0
2019-08-29,LAZR,10.02,10.02,10.02,10.02,0
2019-08-30,LAZR,9.98,10.05,9.98,10.05,1089
2019-09-03,LAZR,10.05,10.05,10.05,10.05,1
2019-09-04,LAZR,10.03,10.03,10.03,10.03,690
2019-09-05,LAZR,10.03,10.03,10.03,10.03,0
2019-09-06,LAZR,10.03,10.03,10.03,10.03,1
2019-09-09,LAZR,10.1,10.1,10.1,10.1,25002
2019-09-10,LAZR,10.1,10.1,10.1,10.1,0
2019-09-11,LAZR,10.1,10.1,10.1,10.1,0
2019-09-12,LAZR,10.1,10.1,10.1,10.1,0
2019-09-13,LAZR,10.1,10.1,10.1,10.1,0
2019-09-16,LAZR,10.1,10.1,10.1,10.1,0
2019-09-17,LAZR,10.1,10.1,10.1,10.1,0
