date,ticker,open,high,low,close,volume
2019-12-12,LFLYD,9.75,9.75,9.65,9.7,800700
2019-12-13,LFLYD,7.72,9.75,7.72,9.7,1176
2019-12-16,LFLYD,9.7,9.75,9.7,9.75,225333
2019-12-17,LFLYD,9.75,9.75,9.72,9.72,3804
2019-12-18,LFLYD,9.72,9.74,9.72,9.73,2445
2019-12-19,LFLYD,9.73,9.73,9.72,9.72,272
2019-12-20,LFLYD,9.718,9.75,9.71,9.75,2500
2019-12-23,LFLYD,9.75,9.75,9.75,9.75,1000
2019-12-24,LFLYD,9.75,9.75,9.75,9.75,0
2019-12-26,LFLYD,9.75,9.75,9.75,9.75,13
2019-12-27,LFLYD,9.714,9.74,9.71,9.74,21993
2019-12-30,LFLYD,9.74,9.74,9.74,9.74,4
2019-12-31,LFLYD,9.73,9.74,9.73,9.74,3305
2020-01-02,LFLYD,9.74,9.74,9.74,9.74,19761
2020-01-03,LFLYD,9.76,9.77,9.73,9.746,3900
2020-01-06,LFLYD,9.75,9.77,9.75,9.77,43946
2020-01-07,LFLYD,9.77,9.77,9.75,9.75,35515
2020-01-08,LFLYD,9.76,9.76,9.76,9.76,2930
2020-01-09,LFLYD,9.8,9.8,9.8,9.8,223669
2020-01-10,LFLYD,9.8,9.8,9.8,9.8,6
2020-01-13,LFLYD,9.8,9.88,9.8,9.88,6306
2020-01-14,LFLYD,9.87,9.87,9.87,9.87,510
2020-01-15,LFLYD,9.85,9.9,9.85,9.9,1048
2020-01-16,LFLYD,9.9,9.9,9.9,9.9,11
2020-01-17,LFLYD,9.8,9.9,9.8,9.9,636
2020-01-21,LFLYD,9.83,9.83,9.83,9.83,5200
2020-01-22,LFLYD,9.82,9.82,9.82,9.82,75241
2020-01-23,LFLYD,9.84,9.84,9.84,9.84,50000
2020-01-24,LFLYD,9.84,9.84,9.84,9.84,100200
2020-01-27,LFLYD,9.84,9.84,9.84,9.84,6
2020-01-28,LFLYD,9.84,9.84,9.84,9.84,0
2020-01-29,LFLYD,9.85,9.85,9.83,9.85,508
2020-01-30,LFLYD,9.8176,9.85,9.8176,9.85,1320
