date,ticker,open,high,low,close,volume
2025-01-13,MMVVF,0.4,0.4,0.2317,0.2401,131636
2025-01-14,MMVVF,0.162,0.2328,0.162,0.19,70486
2025-01-15,MMVVF,0.191,0.26,0.1701,0.2001,47921
2025-01-16,MMVVF,0.18,0.4,0.18,0.294,38749
2025-01-17,MMVVF,0.2201,0.3241,0.2201,0.3241,5634
2025-01-21,MMVVF,0.2201,0.3,0.1791,0.1791,49152
2025-01-22,MMVVF,0.1926,0.3,0.1926,0.2472,8426
2025-01-23,MMVVF,0.2001,0.2001,0.1101,0.1461,8406
2025-01-24,MMVVF,0.1101,0.1301,0.1101,0.128,10907
2025-01-27,MMVVF,0.1,0.13,0.1,0.13,1224
2025-01-28,MMVVF,0.1301,0.1301,0.12,0.12,1782
2025-01-29,MMVVF,0.34,0.34,0.1,0.1,1792
2025-01-30,MMVVF,0.03,0.148,0.03,0.097,23013
2025-01-31,MMVVF,0.135,0.1799,0.0751,0.0751,20859
2025-02-03,MMVVF,0.03,0.1999,0.03,0.1071,14508
2025-02-04,MMVVF,0.12,0.1999,0.12,0.1251,11284
2025-02-05,MMVVF,0.1989,0.1989,0.127,0.127,3371
2025-02-06,MMVVF,0.12,0.1595,0.12,0.1547,11777
2025-02-07,MMVVF,0.176,0.1875,0.176,0.176,21506
2025-02-10,MMVVF,0.176,0.199,0.176,0.1895,12866
2025-02-11,MMVVF,0.199,0.2,0.1895,0.1895,2517
2025-02-12,MMVVF,0.182,0.2,0.182,0.2,18344
2025-02-13,MMVVF,0.065,0.3629,0.05,0.0801,19872
2025-02-14,MMVVF,0.0801,0.0801,0.0801,0.0801,27
2025-02-18,MMVVF,0.25,0.2888,0.0899,0.0899,1137
2025-02-19,MMVVF,0.1,0.1003,0.1,0.1003,1474
2025-02-20,MMVVF,0.1003,0.1003,0.1003,0.1003,292
2025-02-21,MMVVF,0.12,0.1323,0.1,0.1003,18106
2025-02-24,MMVVF,0.11,0.11,0.0803,0.0803,1321
2025-02-25,MMVVF,0.0803,0.0803,0.0803,0.0803,628
2025-02-26,MMVVF,0.0803,0.1003,0.0803,0.1003,4127
2025-02-27,MMVVF,0.0803,0.081,0.0803,0.0803,7297
2025-02-28,MMVVF,0.081,0.1201,0.0805,0.0805,2829
2025-03-03,MMVVF,0.082,0.082,0.0805,0.0817,1346
2025-03-04,MMVVF,0.0803,0.0803,0.0803,0.0803,175
2025-03-05,MMVVF,0.0803,0.0803,0.0751,0.0751,11338
2025-03-06,MMVVF,0.0975,0.0975,0.0975,0.0975,162
2025-03-07,MMVVF,0.08,0.08,0.0751,0.0751,1424
2025-03-10,MMVVF,0.07,0.07,0.07,0.07,1310
2025-03-11,MMVVF,0.09,0.1201,0.09,0.1201,1135
2025-03-12,MMVVF,0.13,0.13,0.13,0.13,2036
2025-03-13,MMVVF,0.0719,0.08,0.052,0.052,5658
2025-03-14,MMVVF,0.052,0.052,0.052,0.052,11
2025-03-17,MMVVF,0.052,0.052,0.052,0.052,78
2025-03-18,MMVVF,0.05,0.0521,0.05,0.0521,510
2025-03-19,MMVVF,0.0524,0.053,0.0524,0.053,203
2025-03-20,MMVVF,0.0521,0.0609,0.0521,0.0609,14426
2025-03-21,MMVVF,0.0609,0.0609,0.0609,0.0609,85
2025-03-24,MMVVF,0.0599,0.1299,0.0599,0.12,7034
2025-03-25,MMVVF,0.0609,0.0609,0.054,0.054,2085
2025-03-26,MMVVF,0.07,0.07,0.07,0.07,1806
2025-03-27,MMVVF,0.075,0.075,0.07,0.075,1840
2025-03-28,MMVVF,0.07,0.07,0.07,0.07,206
2025-03-31,MMVVF,0.07,0.12,0.07,0.0837,1006
2025-04-01,MMVVF,0.0837,0.0837,0.0837,0.0837,1
2025-04-02,MMVVF,0.07,0.07,0.07,0.07,4379
2025-04-03,MMVVF,0.05,0.07,0.05,0.07,2269
2025-04-04,MMVVF,0.07,0.07,0.07,0.07,51
2025-04-07,MMVVF,0.07,0.07,0.07,0.07,44
2025-04-08,MMVVF,0.07,0.07,0.07,0.07,96
2025-04-09,MMVVF,0.05,0.05,0.05,0.05,829
2025-04-10,MMVVF,0.05,0.05,0.05,0.05,1221
2025-04-11,MMVVF,0.075,0.075,0.05,0.05,1743
2025-04-14,MMVVF,0.05,0.05,0.05,0.05,62
2025-04-15,MMVVF,0.05,0.05,0.05,0.05,318
2025-04-16,MMVVF,0.05,0.053,0.05,0.05,10193
2025-04-17,MMVVF,0.05,0.0753,0.05,0.0753,8706
2025-04-21,MMVVF,0.05,0.054,0.05,0.054,643
2025-04-22,MMVVF,0.05,0.05,0.05,0.05,624
2025-04-23,MMVVF,0.05,0.0568,0.05,0.0568,695
2025-04-24,MMVVF,0.0568,0.0568,0.0568,0.0568,1
2025-04-25,MMVVF,0.05,0.1,0.05,0.05,20129
2025-04-28,MMVVF,0.04,0.04,0.04,0.04,251
2025-04-29,MMVVF,0.04,0.04,0.04,0.04,222
2025-04-30,MMVVF,0.04,0.04,0.04,0.04,41
2025-05-01,MMVVF,0.04,0.04,0.04,0.04,110
2025-05-02,MMVVF,0.0685,0.0685,0.05,0.05,1581
2025-05-05,MMVVF,0.05,0.05,0.05,0.05,41
2025-05-06,MMVVF,0.0343,0.0343,0.0343,0.0343,2511
2025-05-07,MMVVF,0.0528,0.0528,0.0528,0.0528,114
2025-05-08,MMVVF,0.04,0.04,0.0328,0.0328,439
2025-05-09,MMVVF,0.033,0.033,0.033,0.033,252
2025-05-12,MMVVF,0.0495,0.0495,0.0495,0.0495,1061
2025-05-13,MMVVF,0.0495,0.0495,0.0495,0.0495,105
2025-05-14,MMVVF,0.065,0.065,0.033,0.033,747
2025-05-15,MMVVF,0.033,0.033,0.03,0.03,784
2025-05-16,MMVVF,0.03,0.03,0.03,0.03,1
2025-05-19,MMVVF,0.03,0.03,0.03,0.03,755
2025-05-20,MMVVF,0.03,0.03,0.03,0.03,6
2025-05-21,MMVVF,0.0242,0.025,0.0242,0.025,1580
2025-05-22,MMVVF,0.03,0.1,0.0291,0.05,3708
2025-05-23,MMVVF,0.05,0.05,0.05,0.05,387
2025-05-27,MMVVF,0.0797,0.0999,0.0797,0.08,1365
2025-05-28,MMVVF,0.08,0.08,0.08,0.08,4855
2025-05-29,MMVVF,0.0416,0.0416,0.0416,0.0416,202
2025-05-30,MMVVF,0.0416,0.0416,0.0416,0.0416,2
2025-06-02,MMVVF,0.0416,0.0416,0.0416,0.0416,17
2025-06-03,MMVVF,0.04,0.05,0.04,0.05,545
2025-06-04,MMVVF,0.0888,0.0888,0.088,0.0885,4144
2025-06-05,MMVVF,0.0622,0.0622,0.04,0.04,6564
2025-06-06,MMVVF,0.05,0.05,0.05,0.05,3776
2025-06-09,MMVVF,0.05,0.05,0.05,0.05,23
2025-06-10,MMVVF,0.05,0.05,0.05,0.05,1
2025-06-11,MMVVF,0.05,0.05,0.05,0.05,2
2025-06-12,MMVVF,0.05,0.05,0.05,0.05,30
2025-06-13,MMVVF,0.05,0.05,0.05,0.05,1
2025-06-16,MMVVF,0.051,0.051,0.051,0.051,1546
2025-06-17,MMVVF,0.051,0.051,0.051,0.051,432
2025-06-18,MMVVF,0.051,0.051,0.051,0.051,97
2025-06-20,MMVVF,0.051,0.051,0.051,0.051,112
2025-06-23,MMVVF,0.051,0.051,0.051,0.051,1790
2025-06-24,MMVVF,0.051,0.051,0.051,0.051,1080
2025-06-25,MMVVF,0.051,0.061,0.051,0.061,2976
2025-06-26,MMVVF,0.0682,0.0682,0.051,0.051,8902
2025-06-27,MMVVF,0.051,0.051,0.051,0.051,359
2025-06-30,MMVVF,0.06,0.06,0.06,0.06,1989
2025-07-01,MMVVF,0.06,0.06,0.06,0.06,101
2025-07-02,MMVVF,0.0804,0.0804,0.051,0.051,40245
2025-07-03,MMVVF,0.051,0.051,0.05,0.05,8181
2025-07-07,MMVVF,0.1,0.1,0.0845,0.0845,13060
2025-07-08,MMVVF,0.05,0.05,0.036,0.036,8355
